,Temporal_Pole_Sup_R,VTA_L,Cerebellum_7b_R,Temporal_Sup_R,Paracentral_Lobule_L,Rectus_R,ACC_sup_R,OFCant_L,Thal_VL_R,Red_N_R,Occipital_Sup_L,Vermis_6,Thal_VPL_L,Cerebellum_10_R,Thal_LP_R
Temporal_Pole_Sup_R,1.0,0.07699830608427365,0.2999620074135702,0.20859676029175794,-0.33239543123186427,0.40055206588491876,0.18736198560889294,0.18778219385532127,0.2727075094600834,0.3879603599374649,-0.004627603753932523,-0.0447895399074056,0.3116366851613108,-0.17370018096044437,0.039047526453396056
VTA_L,0.07699830608427365,1.0,-0.2660943973658793,0.24765686002608953,0.08803333275897851,-0.18664279129492645,-0.10419859145361896,0.37374542947940176,-0.14070946944707471,0.13592590255212672,0.2657812945326755,0.24500443838026595,-0.09416598221845665,0.025467911282942447,0.4813924696871658
Cerebellum_7b_R,0.2999620074135702,-0.2660943973658793,1.0,-0.0930932700129736,-0.16200315727529863,0.23080973298189872,0.24745290937981815,-0.04206928186491055,0.13173090995337866,0.16585860843519465,0.12686610943744617,0.23612527795953636,0.1740276993442457,0.09867157533101717,-0.15813643301636207
Temporal_Sup_R,0.20859676029175794,0.24765686002608953,-0.0930932700129736,1.0,0.2590608875309907,-0.20604821931933617,0.07029152222075163,-0.0574692500492032,0.28799527223271726,-0.07775610813937874,0.01890850724131009,-0.03595327000401561,0.16464308987396964,-0.03521450618864119,0.3257285384644125
Paracentral_Lobule_L,-0.33239543123186427,0.08803333275897851,-0.16200315727529863,0.2590608875309907,1.0,-0.21706081533949217,0.27289747835581846,-0.3005056242636959,-0.10400322065682033,-0.11359022866772492,0.11979147781302414,-0.2438507348415054,-0.31553663042415403,-0.03079787732980209,0.1729479710836278
Rectus_R,0.40055206588491876,-0.18664279129492645,0.23080973298189872,-0.20604821931933617,-0.21706081533949217,1.0,0.3175214958615636,0.37479592516441906,0.304518274994736,0.1487775099517321,-0.1311086002263685,-0.297146222054687,0.16409678219888316,-0.4101667129774474,-0.27394742888173235
ACC_sup_R,0.18736198560889294,-0.10419859145361896,0.24745290937981815,0.07029152222075163,0.27289747835581846,0.3175214958615636,1.0,-0.13022463603719192,0.07691760261965215,0.2586503836873487,0.16060435408305646,-0.1495502351432646,0.010835810761509693,-0.11319342821620756,0.012521226737147494
OFCant_L,0.18778219385532127,0.37374542947940176,-0.04206928186491055,-0.0574692500492032,-0.3005056242636959,0.37479592516441906,-0.13022463603719192,1.0,0.04014295358401199,0.1461830821422957,0.09455741701740171,0.13293825155601335,0.04686555889729416,-0.2729504353991994,0.1260789810190903
Thal_VL_R,0.2727075094600834,-0.14070946944707471,0.13173090995337866,0.28799527223271726,-0.10400322065682033,0.304518274994736,0.07691760261965215,0.04014295358401199,1.0,0.24507157558765036,-0.09053544544377289,-0.0842757950136404,0.4556534716703788,0.022063909163888878,0.09383857211225438
Red_N_R,0.3879603599374649,0.13592590255212672,0.16585860843519465,-0.07775610813937874,-0.11359022866772492,0.1487775099517321,0.2586503836873487,0.1461830821422957,0.24507157558765036,1.0,0.1160587396185974,0.017741908301804648,0.10504703188656844,-0.13500790135473206,0.08394517115438195
Occipital_Sup_L,-0.004627603753932523,0.2657812945326755,0.12686610943744617,0.01890850724131009,0.11979147781302414,-0.1311086002263685,0.16060435408305646,0.09455741701740171,-0.09053544544377289,0.1160587396185974,1.0,0.3947439831825359,-0.062372910036637766,0.30205654817111444,0.3222443670442893
Vermis_6,-0.0447895399074056,0.24500443838026595,0.23612527795953636,-0.03595327000401561,-0.2438507348415054,-0.297146222054687,-0.1495502351432646,0.13293825155601335,-0.0842757950136404,0.017741908301804648,0.3947439831825359,1.0,0.13396534570698868,0.3630013176164545,0.330219887336069
Thal_VPL_L,0.3116366851613108,-0.09416598221845665,0.1740276993442457,0.16464308987396964,-0.31553663042415403,0.16409678219888316,0.010835810761509693,0.04686555889729416,0.4556534716703788,0.10504703188656844,-0.062372910036637766,0.13396534570698868,1.0,0.016353539612368677,0.11186332692568132
Cerebellum_10_R,-0.17370018096044437,0.025467911282942447,0.09867157533101717,-0.03521450618864119,-0.03079787732980209,-0.4101667129774474,-0.11319342821620756,-0.2729504353991994,0.022063909163888878,-0.13500790135473206,0.30205654817111444,0.3630013176164545,0.016353539612368677,1.0,0.1573368042820543
Thal_LP_R,0.039047526453396056,0.4813924696871658,-0.15813643301636207,0.3257285384644125,0.1729479710836278,-0.27394742888173235,0.012521226737147494,0.1260789810190903,0.09383857211225438,0.08394517115438195,0.3222443670442893,0.330219887336069,0.11186332692568132,0.1573368042820543,1.0
