,Heschl_L,VTA_R,Thal_VPL_L,Rectus_L,Lingual_L,Raphe_M,Thal_PuM_L,Frontal_Med_Orb_R,Red_N_L,Thal_PuA_L,Vermis_6,Thal_PuL_R,ACC_pre_L,SupraMarginal_R,Thal_MDm_R,Thal_VL_R,Cuneus_L,Thal_PuI_L,Frontal_Inf_Orb_2_R,Cerebellum_Crus2_L
Heschl_L,1.0,0.08239132184098609,0.17193399316729904,-0.17776617019274774,0.15223411379191965,0.008696952374195642,0.042871311703639524,-0.021871801392838883,-0.005090661764601379,0.061947081941699685,-0.10939635819479951,0.48058167235618593,0.030985933570637548,0.22514863333110896,0.18210191925597488,0.157328921253453,0.07430244948469387,0.08137290339911195,0.08547555525392636,0.08506623191826072
VTA_R,0.08239132184098609,1.0,-0.0018977598978252436,-0.15948800996838416,0.10632902521629695,0.3044124108971883,0.1653281770655956,0.29362933648898976,0.2515386659625697,0.021229188863678236,0.04782716938692748,0.13645204342139627,-0.05794257706339399,-0.03661082235027066,0.1241302698513653,-0.02541542494187664,-0.04867748396543705,0.05504430527602365,0.40304454107841364,0.0353204123476017
Thal_VPL_L,0.17193399316729904,-0.0018977598978252436,1.0,0.10223639266691012,-0.1026107713223373,-0.07992066679378286,0.26758340570374334,0.26211417622600997,0.22574712685365142,0.15987365866473421,0.13396534570698868,0.13488881842549216,0.12428146026817538,-0.05018763678996274,0.3385027574336702,0.4556534716703788,0.05909534857929719,-0.0023812963364038707,0.28884279032027327,-0.11483199466530691
Rectus_L,-0.17776617019274774,-0.15948800996838416,0.10223639266691012,1.0,-0.26005476496278757,0.16333919624818607,0.2308516119253856,0.4328860508496372,0.29364979227693416,0.042183812003065445,-0.2624389346785455,-0.17597749500856366,0.2602044689640429,-0.15666250788493521,0.05391494000359055,0.26790856161019044,0.08116742610309843,0.14697132752627293,0.14522095923505984,-0.23923010755351198
Lingual_L,0.15223411379191965,0.10632902521629695,-0.1026107713223373,-0.26005476496278757,1.0,0.1510750689424438,0.04933305853881556,-0.1792810409342312,0.12144904979846805,0.019939897384455542,0.1568998686092498,0.10558942848009625,0.1804512177839256,0.32551303020711986,-0.007527185881139778,-0.26302556863486165,0.17486422181666655,0.02970454313690604,0.20765852542438792,0.14742875818666365
Raphe_M,0.008696952374195642,0.3044124108971883,-0.07992066679378286,0.16333919624818607,0.1510750689424438,1.0,0.22916698344423583,-0.003927499592281632,0.1887133510671769,0.029478675144038968,-0.03721935553813918,-0.04909950362281005,-0.03348071423257152,0.17230364928157824,0.035822329264096585,-0.13529715357088135,-0.0841331370745783,0.12882509678919338,0.189058044069825,0.0341478646060008
Thal_PuM_L,0.042871311703639524,0.1653281770655956,0.26758340570374334,0.2308516119253856,0.04933305853881556,0.22916698344423583,1.0,0.3023034749215006,0.3327498668523037,0.3511229809112003,-0.2438876043996421,0.014551969205755756,0.36703407531292687,-0.02979715929280379,0.21125786460547535,0.06814384315107003,0.18715103950698211,0.1967855626288397,0.2933372843562201,-0.0880456587284177
Frontal_Med_Orb_R,-0.021871801392838883,0.29362933648898976,0.26211417622600997,0.4328860508496372,-0.1792810409342312,-0.003927499592281632,0.3023034749215006,1.0,0.44618825654810934,-0.02976305919659181,-0.3031961946901729,-0.012123831899467386,0.2551231308399776,-0.39661033038721555,0.06926869113064979,0.2965062112123281,0.14358242101810606,0.19724098719754815,0.4299412733517702,-0.3609947549782715
Red_N_L,-0.005090661764601379,0.2515386659625697,0.22574712685365142,0.29364979227693416,0.12144904979846805,0.1887133510671769,0.3327498668523037,0.44618825654810934,1.0,-0.035822444899527434,-0.3319716867860134,0.09144549954952397,0.27142073963039653,-0.016411102802311346,0.269860849875211,0.37346236887147033,0.24702286053475783,0.11407548469132439,0.44354001630106327,-0.15658393897165948
Thal_PuA_L,0.061947081941699685,0.021229188863678236,0.15987365866473421,0.042183812003065445,0.019939897384455542,0.029478675144038968,0.3511229809112003,-0.02976305919659181,-0.035822444899527434,1.0,-0.04335906691392004,0.2075706963368944,0.07765183564007849,-0.028645464275411602,0.2980194405660504,0.10257320012259734,-0.1407834933007211,0.011077341880708892,0.16541028264495886,0.19157121322696166
Vermis_6,-0.10939635819479951,0.04782716938692748,0.13396534570698868,-0.2624389346785455,0.1568998686092498,-0.03721935553813918,-0.2438876043996421,-0.3031961946901729,-0.3319716867860134,-0.04335906691392004,1.0,0.007313555337547854,-0.09335078792844194,-0.20506030930539504,0.0876289723206942,-0.0842757950136404,-0.2340454446909468,-0.0895510037998856,-0.16648988352417401,0.11136782064714251
Thal_PuL_R,0.48058167235618593,0.13645204342139627,0.13488881842549216,-0.17597749500856366,0.10558942848009625,-0.04909950362281005,0.014551969205755756,-0.012123831899467386,0.09144549954952397,0.2075706963368944,0.007313555337547854,1.0,0.00504399591862681,0.1960253673941325,0.4075055392366102,0.42774540658846333,-0.23248415681972517,0.02540974277539457,0.22632503982230492,0.2271876605602024
ACC_pre_L,0.030985933570637548,-0.05794257706339399,0.12428146026817538,0.2602044689640429,0.1804512177839256,-0.03348071423257152,0.36703407531292687,0.2551231308399776,0.27142073963039653,0.07765183564007849,-0.09335078792844194,0.00504399591862681,1.0,-0.2510144997939845,0.40672253347155485,0.2690187650564497,0.2091519698291539,0.2595176561141241,0.1202171949442797,0.13272810598262128
SupraMarginal_R,0.22514863333110896,-0.03661082235027066,-0.05018763678996274,-0.15666250788493521,0.32551303020711986,0.17230364928157824,-0.02979715929280379,-0.39661033038721555,-0.016411102802311346,-0.028645464275411602,-0.20506030930539504,0.1960253673941325,-0.2510144997939845,1.0,-0.19133101641304412,-0.15230632202579666,0.05249715689354052,-0.243086165244131,0.1303522379017379,0.10969268400432794
Thal_MDm_R,0.18210191925597488,0.1241302698513653,0.3385027574336702,0.05391494000359055,-0.007527185881139778,0.035822329264096585,0.21125786460547535,0.06926869113064979,0.269860849875211,0.2980194405660504,0.0876289723206942,0.4075055392366102,0.40672253347155485,-0.19133101641304412,1.0,0.7035849750529666,-0.0957850267728619,0.18750638395987362,0.1280558944537541,0.2857157486148799
Thal_VL_R,0.157328921253453,-0.02541542494187664,0.4556534716703788,0.26790856161019044,-0.26302556863486165,-0.13529715357088135,0.06814384315107003,0.2965062112123281,0.37346236887147033,0.10257320012259734,-0.0842757950136404,0.42774540658846333,0.2690187650564497,-0.15230632202579666,0.7035849750529666,1.0,-0.05436150226200612,0.20717912478236494,0.15888926104907752,0.04075264713834882
Cuneus_L,0.07430244948469387,-0.04867748396543705,0.05909534857929719,0.08116742610309843,0.17486422181666655,-0.0841331370745783,0.18715103950698211,0.14358242101810606,0.24702286053475783,-0.1407834933007211,-0.2340454446909468,-0.23248415681972517,0.2091519698291539,0.05249715689354052,-0.0957850267728619,-0.05436150226200612,1.0,0.09731524399496377,0.10715933613867161,-0.10617501017558074
Thal_PuI_L,0.08137290339911195,0.05504430527602365,-0.0023812963364038707,0.14697132752627293,0.02970454313690604,0.12882509678919338,0.1967855626288397,0.19724098719754815,0.11407548469132439,0.011077341880708892,-0.0895510037998856,0.02540974277539457,0.2595176561141241,-0.243086165244131,0.18750638395987362,0.20717912478236494,0.09731524399496377,1.0,0.023305598484699333,0.0870522642474173
