,Cerebellum_6_R,SN_pr_R,Thal_PuM_L,Frontal_Inf_Oper_L,Red_N_R,Thal_MDl_L,SN_pc_R,Frontal_Med_Orb_L,Occipital_Mid_L,Cerebellum_9_R,Thal_VL_R,Occipital_Mid_R,Supp_Motor_Area_L,Thal_IL_R,Thal_MGN_L,ParaHippocampal_R,SN_pr_L,Cerebellum_10_R,Vermis_1_2,Precentral_L,Cerebellum_3_L,Parietal_Sup_L,Frontal_Inf_Oper_R,Frontal_Mid_2_L,Occipital_Sup_L,Lingual_L,Parietal_Inf_L,Rolandic_Oper_L,Temporal_Mid_L,Frontal_Inf_Orb_2_L,Thal_PuM_R,Supp_Motor_Area_R,Cerebellum_3_R,OFCmed_L,Occipital_Sup_R,Postcentral_L,ACC_pre_R,Thal_MDm_L,N_Acc_R,Cingulate_Mid_L,Vermis_9,Angular_R,Hippocampus_L,ACC_sub_R,Precuneus_L,Temporal_Pole_Sup_L,Fusiform_R,Caudate_L,Rolandic_Oper_R,Temporal_Sup_R,Cingulate_Post_R,Paracentral_Lobule_L,Thal_VPL_L,Frontal_Mid_2_R,OFCpost_L,Frontal_Inf_Tri_L,Lingual_R,OFClat_L,Thal_AV_L,Temporal_Pole_Mid_L,ACC_pre_L,Thal_VA_R,Thal_MDl_R,Caudate_R,Vermis_8,Paracentral_Lobule_R,Temporal_Pole_Mid_R,N_Acc_L,Olfactory_R,Fusiform_L,VTA_L,Frontal_Sup_2_R,Frontal_Inf_Tri_R,Vermis_3,Thal_MDm_R,Calcarine_L,Thal_PuI_L,Cerebellum_Crus2_R,Frontal_Sup_Medial_R,ACC_sup_L,Thal_LP_R,Frontal_Med_Orb_R,Postcentral_R,Temporal_Inf_L,Thal_VA_L,Vermis_4_5,Rectus_L,Cerebellum_4_5_R,VTA_R,Thal_LP_L,Thal_MGN_R,ACC_sup_R,Raphe_D,Pallidum_L,Cerebellum_9_L,Cerebellum_Crus1_L,Angular_L,Cingulate_Post_L,Parietal_Sup_R,Cuneus_R,Olfactory_L,ACC_sub_L,Precentral_R,Cerebellum_8_L,Thal_PuA_L,Cerebellum_Crus2_L,Red_N_L,SupraMarginal_L,OFCant_L,Cuneus_L
Cerebellum_6_R,1.0,0.15333375316963357,0.6644527840986605,0.44860219316825684,0.42050348496885825,0.31842008559021157,0.23981025377805623,-0.0645289893973065,0.3399582632233033,0.6321539749397471,0.5103249649452778,0.24252655929079414,0.37112464538777135,0.12746504464802033,0.07132265929601364,0.3298996462282148,0.0493564919005808,0.3166459899679349,0.5945232665681486,0.3563452476252941,0.24511877422710446,0.006309455261047917,0.5572511702878068,0.39471291642070655,0.32841016165426934,0.694516328155269,0.18206560188032395,0.5044425877623185,0.5448462254645401,0.20889010765453989,0.5055594800410218,0.2931075459885136,0.40330380592121745,-0.00019722696614632397,0.4839326850628434,0.36485959511053795,0.3458925256937052,0.5034286161454827,0.49544424102721374,0.5881725743124789,0.350164714526922,0.41579091192347756,0.5540161775914716,-0.03592162227741571,0.5771314365309336,0.2658948036707603,0.7682445517436522,0.5185680094913414,0.6029382717089874,0.6203477033504703,0.6058141370447291,0.2718396022215545,0.4726480170435437,0.35699053343303566,0.17814840632569495,0.3739973439961505,0.6197377446240037,-0.023883718603681027,0.44009511678218,0.42093074274827846,0.21135574824734019,0.3587346748274423,0.4395619315088447,0.5990198948643067,0.4654838007215465,0.31257049393607256,0.06354036587433322,0.09146694056094117,0.27670446344394617,0.6971597646416297,0.104920694685084,0.17403879307836895,0.47669165176480016,0.22957040558493436,0.4429183464297865,0.7331761373992604,0.6600034746704139,0.5967597420593914,-0.03424773045723732,0.4562745859906768,0.19747907032371936,-0.0900596421032952,0.31739172942580407,0.3257395574334125,0.2112128889778426,0.5183449278362644,-0.09999056194055919,0.5440130163310487,0.08844378082211121,0.513624223749558,-0.00033338857637492056,0.5315177389213785,-0.03165567999434766,-0.06998750192847167,0.6953044847008362,0.7139998227971005,0.3842019582921348,0.29376041368358924,0.1165364200886118,0.4900650626860841,0.28009454040955784,-0.0072711164638460755,0.36000352494669535,0.651346057338,0.5789765497003206,0.5304153681736742,0.4904193374362736,0.36607477752236306,0.13758395819941321,0.5950173397247964
SN_pr_R,0.15333375316963357,1.0,0.23701277534932258,-0.07240356322130397,-0.2759830032806943,0.4215854391609688,0.41198437057374127,0.234016323827613,-0.2712770946382315,0.06371422116774779,0.2630132193126464,-0.12885496695825505,0.25742379670370114,0.5818442233259187,0.16976675357833537,0.43141181003131585,0.32981861252257505,-0.017069410295401072,-0.03726310009448645,0.2789084431302051,-0.00726998901373496,-0.10624183390578933,-0.09659994586248649,0.30098861956909284,-0.05766593123670739,-0.013589116179936026,-0.04451317051249394,-0.025370358009935565,-0.06722716452695074,0.3093641395541374,-0.09781007163664862,0.4799000035575394,0.31546215944871087,0.1669487704703252,-0.10558604191788767,0.15939550344861986,-0.22854581626989218,0.6205309613449469,0.07683332071968059,0.33533583069270523,0.2299919647851494,0.3759537373975863,0.44928204841175684,-0.2123466074131921,0.10250066126834607,-0.032563225020719136,0.4318954527919413,0.37622740200452415,0.24985609647350415,0.26713260299585945,0.08203120460683902,0.24966391921523642,0.05818278674656798,0.17954690015279579,0.16948892100181295,-0.1093366570624389,0.14390286883653533,0.23602718596332256,0.43326902307514126,-0.293106704551438,-0.17692979901544884,0.2134321977368518,0.4310128984617783,0.45530589935451726,0.1757469712788056,0.34676320355921386,0.37614744565111596,0.16597032749658353,-0.04520955030070223,0.20025865333748322,0.6942454804823238,0.4294413037909719,0.1533903184368397,0.30993972593231195,0.6813410154619602,0.3051315892329713,0.28924579655288457,0.004408385139747369,0.165040728732891,-0.006785688051722887,0.33143764298616446,0.1249271508505731,0.37683251179562305,-0.11117515640254778,0.27517871750787226,0.4053165685269464,0.3462326362138132,0.15737947689034162,0.5418682557639344,0.5485714981818944,0.5408999560357456,-0.031274735801254505,-0.12123431308081789,0.1892031967510692,0.30060366172209757,-0.20153560857112338,-0.11096675045622476,0.1812667924628849,-0.5311790781930251,-0.24319786231408003,0.2636785016009921,-0.1850292906511267,0.2022950883779742,0.35721367079259464,0.03771396134024609,-0.38946265310503697,-0.17200815999829966,-0.014508582353470726,0.6533791775416866,-0.04056754621847382
Thal_PuM_L,0.6644527840986605,0.23701277534932258,1.0,0.35795432610514205,0.659336286517404,0.14337342434868908,0.19101241003051275,-0.1594302707192899,0.4216775824643885,0.6489580419681579,0.7078210694092016,0.35998556207575616,0.7082624265457574,0.15299861619753372,0.029301480222803395,0.19707733900869262,-0.12500841906265658,0.46393703232454137,0.7934900731199753,0.6761836384124009,0.12456576465237484,0.02961778365702703,0.5507226573050834,0.4756920175795638,0.5182625076162611,0.7968027501438111,0.3949296778630437,0.5390803471376581,0.35136228951016285,0.2254821910425653,0.724623233651599,0.5579867501087129,0.4099132335250809,-0.1864414147466788,0.5275876123523036,0.4143421323139201,0.15464578515330882,0.4890115441103654,0.5819723163162812,0.7696987805144152,0.1239872677099306,0.5389414465624235,0.7353500365142766,-0.36387334084734496,0.7589486934749751,-0.07093824913789543,0.6262337230139802,0.41097784661530495,0.48731194358842367,0.815198348476239,0.7014338250635783,0.6451687702998777,0.5160834988786541,0.45190905530466907,-0.13038193427749256,0.24904522848039648,0.7358155339170881,0.08404306900577883,0.3283553092481536,0.25426820290369734,-0.0410346302017708,0.2783170866191935,0.3239379517528504,0.572641014357435,0.5079716398620476,0.5901979292545764,-0.08918214442542559,0.1161298499804529,0.3807483542214271,0.45604787517251455,-0.04552549435328969,0.35522184943858415,0.3998584343238339,0.263337737839069,0.42566306127533454,0.7952283301581028,0.8450462818094251,0.32432968994735445,0.13797890523904904,0.394487912958775,0.3998598122079111,-0.18513737496365146,0.6016468896599946,0.01139751364007373,-0.02112081415579299,0.5503574091487908,-0.2959141209579052,0.40856820930927296,-0.020289168131138697,0.8034356165018154,-0.0851269190288228,0.45499516391530515,-0.14012410968779943,-0.25652266505787197,0.6582792226440651,0.2854520073225746,0.4032708849224745,0.6530624865452355,0.09145999147248854,0.4693523043666595,0.2378983131530433,-0.33290199892083816,0.6905002337179423,0.43974617313133035,0.9007480835785754,0.16471282746809834,0.6975505138447684,0.5083074102210912,0.03946312577722471,0.6004762062366134
Frontal_Inf_Oper_L,0.44860219316825684,-0.07240356322130397,0.35795432610514205,1.0,0.24646107177354776,0.43868900543985834,-0.021803950368758946,-0.335045891010648,0.3270035892385579,0.20296802202410288,0.3245888704990662,0.004356830701928151,0.34715206164638945,0.08389201301458597,0.29363047591642366,0.25586945346829376,0.17673643845847095,0.014404431202754326,0.439700242957913,0.3991259485361183,0.1894946811287895,0.26031287999137803,0.7219291901204767,0.6937946769642,-0.0835241678372032,0.3502912778283183,0.27187749978601083,0.7835569589962547,0.495660837557302,0.07447353448811139,0.19961439149525922,0.14957006024163447,0.23027597288042664,0.05037111299395728,0.27833898303540394,0.4900879787356531,0.7424288634126112,0.35253053374436605,0.04573923650884961,0.4221447619928901,0.32211192410961714,0.0035119718586164505,0.40621129350394664,0.22264461600545588,0.3665512841190504,0.4266563014977126,0.24269286358105002,0.5973641083442013,0.7344340824569427,0.14121123633613653,0.5896837503068587,-0.1018801816879923,0.6696529870485607,0.4169224937709191,0.2417770468138186,0.8804654156284512,0.1507690578039399,-0.15045435609767133,0.2581958845666726,0.490515683657462,0.6064633567221211,0.18103682646415514,0.3672214788360248,0.32861882715679985,0.06175860317409313,0.08302487950825592,-0.1088246871326268,0.3185030443191141,0.2670367553845582,0.6151359813779119,0.043072666383603,-0.008673179763675746,0.6314091928698259,0.24147406448041114,0.14653910589112976,0.24514570187041973,0.543477832257126,-0.015656942185989543,-0.08045717982114683,0.6299956544931403,0.04268453415010913,-0.22039920335073082,-0.0679997908102469,0.42013005378266893,0.2677806501183194,0.40387599136084823,0.06023873229489605,0.33698763769570045,0.07987596586043483,0.18420401284437132,0.13527878492688056,0.6399655629956927,-0.14577665190290726,0.3983284393570354,0.28641286086896844,0.5439009230865414,0.47230025925967617,0.05785543741264384,0.4273251881337861,0.48580167853051354,0.43355729100747376,0.30589746877732615,0.19050137058797076,0.27186490278235276,0.34882101274254534,0.35252925444082484,0.2559388742694075,0.2880874691215055,0.045847736462856004,0.22588195197404937
Red_N_R,0.42050348496885825,-0.2759830032806943,0.659336286517404,0.24646107177354776,1.0,-0.09724244711502796,0.07838541270108716,-0.19830996958004918,0.2777626980831771,0.7060196017257474,0.5835345237449555,0.16561911685953717,0.4737382354810753,0.025037812056433437,0.0015623512676407906,-0.030977422179555233,-0.25015781725783426,0.6864169694133869,0.7209398388142608,0.31450068288538535,0.25373128992126215,-0.17034246984945836,0.5139768028907963,0.24523963030732798,0.26968112642488823,0.6656275135226183,0.08051570022806963,0.4323560401729458,0.19194886879434833,0.12363930696191931,0.566988702207372,0.28051895817899947,0.2770595085627854,-0.2110697473921337,0.35002779280778873,-0.010132420182491704,0.2003475411610177,0.10711491356606453,0.6427357578812916,0.401161333707099,0.06470045075612159,0.1675487439432763,0.40558452567488196,-0.17760952612404415,0.46099414180295945,-0.05684581955666396,0.3813878411579176,0.0884483077853157,0.2463717357901971,0.6668153428595001,0.5296072230997898,0.31719019749682925,0.37083833738944216,0.3846009976418561,-0.2039138747047584,0.20290855808782648,0.7036169949708948,0.008974953537428554,0.08929113987478457,0.29395627600259766,-0.015510008004855996,0.25923562341734036,0.014467541144070463,0.27269264762039813,0.4613979782867836,0.28327045391157485,-0.3375964090474569,0.0535781858935309,0.556081872075223,0.1883033780082334,-0.45325913701371395,0.13837621673319073,0.26756107541639856,0.19614238458038913,0.07351481176850184,0.48889200136454425,0.4207744347885515,0.35378351108604456,0.055755225828022593,0.30461046681881165,0.1169094909967303,-0.35635602350754,0.3240186576980236,0.0036194530972816566,-0.10742616207150743,0.3507928155969126,-0.3936735023786748,0.37731981843767404,-0.33153160170903373,0.2926041308563255,-0.2300508818559522,0.489025415276748,0.07576985608631082,-0.33116032160343334,0.5229549423553144,0.19055107809967484,0.1508008986900424,0.5467215798437799,0.2138524174395076,0.35919772496168256,0.21041429434187797,-0.22238094936862235,0.4935938432706954,0.2966366701225139,0.732902550913269,0.3209533332028926,0.8158886473019601,0.14627942713297798,-0.27945147285988686,0.37114670673597777
Thal_MDl_L,0.31842008559021157,0.4215854391609688,0.14337342434868908,0.43868900543985834,-0.09724244711502796,1.0,0.566118149967127,0.34383766236222557,-0.325877804472586,0.2658655916272902,0.5630521539405597,-0.3710590947361219,-0.13216117800253424,0.7380581349167632,0.733154909711889,0.8774701455142714,0.7289788995025274,0.15493509936629032,0.09751440444804405,-0.07349782422278946,0.45649272970046806,0.08964778152578527,0.08825553087592533,0.472482559955064,-0.441384601868208,-0.05501795738055092,-0.30278034845755547,0.451983835786836,0.452828068734908,0.5757670146653814,-0.3320650926182612,-0.025088602233303288,0.41618922874007747,0.6224101045104977,-0.3016307657761624,0.016397290389069525,0.35016852935676124,0.7750320499509937,-0.13341783813498806,0.11258345658138559,0.731318987489074,-0.20742323711350963,0.48881068159532565,0.5390638285210129,-0.12233321864952464,0.7380638104059054,0.5809803422080216,0.8590610549933856,0.42767867599018006,0.04580886134087781,0.4233722374595999,-0.3440134428896943,0.6604950609097607,-0.01091359890226073,0.6655442711176826,0.5771208617404674,0.14265197931314483,0.47744947688580175,0.8580772274577024,-0.08736335449175928,0.5969647080405358,0.751505484420103,0.8911680274975111,0.40974948413143036,0.033924237127124855,-0.14389298066088638,0.6885184037708105,0.5334709694937482,0.2136599545711607,0.7458201328058894,0.6551961360293955,0.20886201583666608,0.3626107944695945,0.535692947063326,0.6978010821684721,0.14639677117314862,0.38375494685630024,0.11351406559023972,0.23400130767022465,0.5403430668207148,-0.28673476890387434,0.4094864447128161,-0.32017870156820283,0.6955723177133986,0.9200871362610424,0.6019264470684293,0.7375133599534888,0.5095457608087269,0.6493170614065144,0.0952056935809469,0.8215517551010116,0.43016546408738787,0.30092310789021437,0.7529279324680128,0.44905350779294206,0.21056421721912463,-0.16056008099610916,-0.04521375316993572,-0.21025503736823692,-0.2149922222861531,0.7322318114309325,0.5416349122792832,-0.3218669146068549,0.5830844293802876,0.07151980148016528,0.12203193134101681,-0.13623573786564366,0.00502747372290769,0.46923737526408626,-0.22364695709243052
SN_pc_R,0.23981025377805623,0.41198437057374127,0.19101241003051275,-0.021803950368758946,0.07838541270108716,0.566118149967127,1.0,0.4017432447970114,-0.4588689658809075,0.38297841467422544,0.5178402343542274,-0.410075117764266,-0.03258346373267131,0.6759138014375468,0.5939757794879543,0.6538883757539226,0.30336414357345604,0.4188946498998887,0.12231305270371556,-0.10897335131584095,0.3377467555899162,-0.2937891322046215,-0.0715597277388748,0.15771567569079384,-0.31970153502132,-0.013543913836723227,-0.46103021759880414,0.16137568167125543,0.11278626861811625,0.4226028284963048,-0.2547393742970411,0.049183541347831775,0.6023049529303911,0.4893746667964977,-0.3635072884677895,-0.2740290778729394,-0.0288153436178589,0.5397736733680093,0.17854364798038155,0.1804655343410277,0.5155710831511443,-0.10425477411595946,0.36303740709123083,0.2158991494443965,-0.14076667628240344,0.405128186519935,0.6315910185187619,0.46609585852732016,0.21862680820022662,0.3287293057349982,0.2572816615421513,-0.14807736650444447,0.331315365524829,-0.049970078207079924,0.4724362740906701,0.10218312409305108,0.3665132664713639,0.46940181651255913,0.6234693325533822,-0.2304743895661713,0.1113544092294355,0.671608126159007,0.5029336224980607,0.35036283266211093,0.3211544951364679,-0.08449334271539913,0.48985364333041903,0.13257550154856,0.18769918142369435,0.3133205925945915,0.3278488570218257,0.1662720185604815,0.09940032965094071,0.457550512617305,0.6075623397633186,0.2284589228761242,0.29498806289056423,0.3114977334104502,0.18839119947887042,0.2879235514892683,-0.18607568541268862,0.26512292418205846,-0.06499955128587584,0.302116426771037,0.53400673313166,0.5420835194655599,0.5010093450376325,0.49632999339526923,0.675392959790199,0.16455805658046938,0.6071905983366549,0.2220570312331098,0.28059575439712253,0.24109249120783147,0.4666381797785383,-0.09082242549171253,-0.4169549063679253,0.1854210383076963,-0.392886387367662,-0.4377516575534174,0.5448654609959974,0.12421510853701115,-0.1473312294021851,0.5291622190616561,0.22261914547896886,0.06653662909302867,0.035402822649185574,-0.2007300978896831,0.26036606874882173,-0.22599640235610607
Frontal_Med_Orb_L,-0.0645289893973065,0.234016323827613,-0.1594302707192899,-0.335045891010648,-0.19830996958004918,0.34383766236222557,0.4017432447970114,1.0,-0.41273606916336636,0.15806090291900524,0.20123241738294503,-0.3292208948025481,-0.3940573754669789,0.39889180505666216,0.33520424084603445,0.437799468727708,0.44784363360273943,0.2060886710981322,-0.22794566298618055,-0.3294211140100728,0.41047264591252985,-0.17106574627791143,-0.5732251415381927,-0.21575957730918705,-0.11935736456709906,-0.1878613426009514,-0.4433713151762733,-0.1654681825939731,0.14347717132164223,0.34497278958034666,-0.4172060320090331,-0.2829428735583186,0.19353385817419635,0.36560476179005513,-0.40905459430860597,-0.3441668219356233,-0.33070485258605453,0.19166319434701365,-0.2905736517938589,-0.06830048641700964,0.32331696520068426,-0.23132031457483154,-0.07874512752441962,0.3575737825454029,-0.26024527853799995,0.32482492696732335,0.2861644962113722,0.2565921599633468,-0.21177755014526028,0.0022292515854229655,-0.03579343231228955,-0.12699863254772575,0.010232663371721648,-0.5482115508044983,0.26367751554344687,-0.15816368567818148,0.05590996586308647,0.5275252852993525,0.4228266707589979,-0.4053656027759469,0.1265730877241341,0.4658086837842574,0.3466864873070408,-0.13502955037074665,0.2052581851749545,-0.18719235817048796,0.6404050171332004,0.25218110095018753,0.06705718790145165,0.11223534000123181,0.34642941359213303,0.07904307986121548,-0.47116775514586534,0.2820939196790658,0.2849745265212768,-0.001209692943966744,-0.1497444543923952,0.15460078974561442,0.30940668423098433,0.06185531475264483,-0.3532027966789722,0.6112466070379127,-0.3023012985143425,0.30482067947672936,0.5071452863148039,0.19093651647665888,0.4327196645331434,0.2605620469807465,0.26351021020362086,-0.192396599692568,0.43634139222632223,-0.16997933059062728,0.4096388103689688,0.24019987227372078,0.13666996482340335,-0.20218562972825568,-0.5053105723886419,0.1019303262162245,-0.40145704045574027,-0.5175046148208096,0.2616649853154571,0.27443739320783667,-0.4947446823441034,0.2968496844353748,-0.09468937554034008,-0.08195377305163148,-0.27180942657628515,-0.05574740346473149,0.1050214031658845,-0.316711295173629
Occipital_Mid_L,0.3399582632233033,-0.2712770946382315,0.4216775824643885,0.3270035892385579,0.2777626980831771,-0.325877804472586,-0.4588689658809075,-0.41273606916336636,1.0,0.03868131284150859,-0.15310137222302744,0.6390160987722329,0.3871979331137276,-0.5257087556908618,-0.5639222722387878,-0.3297329309449596,-0.385328807195189,-0.1816225538004738,0.4070790714410353,0.5018711201967687,-0.32967956120698244,0.4924553482022577,0.4115677400460624,0.1427276144391886,0.7707739309008463,0.6383280014315115,0.792975277409881,0.18833684183987243,0.4104032049264223,-0.3342093055787472,0.7795244514315796,0.2530810645205819,-0.13971678389404285,-0.5120131650430085,0.8422694948436895,0.5862391800527371,0.3115157430362109,-0.07666227554938415,0.18763007822706493,0.3325606498710872,-0.3800425039843119,0.5234433085785284,0.16533891502707174,-0.28649434063315754,0.7334951773849034,-0.21914656675466185,-0.06324088832914869,0.04997109733394197,0.12625716938981585,0.15927887073132377,0.2181172369010979,0.3859050546705492,-0.03971684774110038,0.1653131449486929,-0.3116525443954177,0.1661419658185496,0.22062310005401223,-0.5284585354248806,-0.22611347387760328,0.5181021632382776,0.05601608759634483,-0.38047331577384713,-0.15488089533668986,0.19432110437387978,-0.021097727586922313,0.4397451266394257,-0.4191085856122598,-0.04843399190159479,-0.046480892459080235,0.18916034951063498,-0.29483750150163185,-0.16319235975951296,0.12002451605810399,-0.22536539066894734,-0.13827954217002053,0.43275451112013985,0.3700797013777531,0.022412342820850386,-0.30999152215277515,0.21803591512063447,0.5021483525868908,-0.2846609791445588,0.3475598322078399,-0.08566982913492592,-0.3718750659324647,-0.05977014598164423,-0.5523580501727803,-0.12534966006155754,-0.41162177808627315,0.3661742122432103,-0.6025472051160508,0.16552920965489515,-0.4316410663205925,-0.3798402039465681,-0.0010171989561985756,0.5233529667298282,0.8404122118043017,-0.006145981967755433,0.4908631273844257,0.8308582811095659,-0.22917828458643524,-0.16325622193031986,0.41228895120831055,-0.14111745342103346,0.27665679243152036,0.32126717719895953,0.49454403175504336,0.5401484881484058,-0.2972027692212675,0.8164906267269532
Cerebellum_9_R,0.6321539749397471,0.06371422116774779,0.6489580419681579,0.20296802202410288,0.7060196017257474,0.2658655916272902,0.38297841467422544,0.15806090291900524,0.03868131284150859,1.0,0.7581910023259045,0.016490399192524124,0.4021838705041623,0.3452362252694816,0.19840671822426856,0.36102037375397616,0.018952398001649447,0.795231667163838,0.6281981640003428,0.2389878191177366,0.4102226958437275,-0.26788569690391434,0.38657346928589376,0.3223931934578189,0.1384509210172538,0.6438099398733643,-0.19980312494249947,0.3803407164123603,0.4005322150717462,0.30803098963263725,0.3468130946084718,0.2963254382764187,0.5006612579700057,0.03316095225945555,0.2105507588942601,-0.09314113609220383,0.1551925458715621,0.4594596209570086,0.5772251839654883,0.46179183154299447,0.3808381042743407,0.15063524863392086,0.5184869957700634,-0.035185288108955354,0.363528227625064,0.2167886900526522,0.7555543135697957,0.4002650271117198,0.2940259318189576,0.7226541360896364,0.5618362292153589,0.25345716410914826,0.45450983097657816,0.31227182991141583,0.090861529315684,0.24724294066909772,0.7969924328878801,0.20006770163111423,0.5062922241197226,0.2525496988720564,0.08439852552193781,0.5774200889641407,0.3850942169510267,0.43082909428113975,0.6447968055350911,0.25334404424072793,0.07882602182920954,0.10857643472230885,0.42003964859969295,0.4949325053081225,-0.02533455852931874,0.2730940386762927,0.27348076967894064,0.46742964500780493,0.4553970375314535,0.6818505034429366,0.4479679763353931,0.6669000261592573,0.15755768577929885,0.4636447575539214,0.029238913487893342,-0.13250008995356893,0.25361917047550936,0.29497902849547825,0.27589458433144726,0.6056247335400713,-0.10289998522023423,0.5819983156504092,0.010413147732408215,0.3534865057705277,0.1662654307005562,0.552522187729706,0.22731308794545294,-0.14780737582452294,0.8987629655683632,0.34054785458310677,-0.03526874550395828,0.4877814385738635,-0.03485731146225357,0.17014412500071474,0.3904802573800354,-0.10609350423294144,0.3376078642568229,0.7709555506411953,0.6692990920361116,0.44595897013589153,0.6264449016699682,0.08125679834161272,0.04594568118792646,0.3154648246946462
