,Cerebellum_10_L,Vermis_10,Cerebellum_8_R,Thal_MGN_R,Thal_LP_R,Frontal_Sup_Medial_R,Frontal_Inf_Oper_L,Cerebellum_8_L,Cerebellum_7b_L,Thal_IL_L,Thal_PuA_L,Cerebellum_10_R,OFCmed_L,Cerebellum_3_L,Olfactory_L,Raphe_D,Angular_L,OFCmed_R,Thal_PuL_L,Occipital_Inf_R,VTA_R,Parietal_Sup_L,Temporal_Sup_R,Amygdala_R,Thal_PuI_L,Cerebellum_6_R,OFClat_R,ParaHippocampal_L,Hippocampus_R,Lingual_L,Vermis_9,Pallidum_L,Rolandic_Oper_L,Temporal_Pole_Sup_L,Vermis_4_5,Parietal_Sup_R,Frontal_Med_Orb_R,Thal_LP_L,Thal_MGN_L,Angular_R,Precentral_R,Thal_VL_R,Cerebellum_9_L,Supp_Motor_Area_L,OFCpost_L,Thal_AV_R,Heschl_R,Putamen_R,Paracentral_Lobule_R,ParaHippocampal_R,Thal_PuM_L,ACC_sub_L,Temporal_Mid_L,Cerebellum_9_R,N_Acc_L,Frontal_Inf_Oper_R,Frontal_Inf_Orb_2_R,Thal_IL_R,OFClat_L,Occipital_Mid_R,Calcarine_L,Temporal_Mid_R,Temporal_Sup_L,VTA_L,Cuneus_R,Red_N_L,Thal_LGN_R,Putamen_L,Hippocampus_L,Frontal_Inf_Tri_R,ACC_sup_L,SN_pc_R,Cerebellum_Crus2_L,Thal_VA_L,OFCpost_R,SN_pr_L,Thal_VPL_L,Thal_VPL_R,Vermis_3,Thal_PuA_R,Paracentral_Lobule_L,Thal_VL_L,Frontal_Mid_2_R,Thal_MDm_R,N_Acc_R,SupraMarginal_L,Rectus_R,Caudate_L,Frontal_Sup_2_L,Cerebellum_Crus1_L,Cerebellum_4_5_L,Vermis_8,ACC_sub_R,Thal_MDl_R,OFCant_R,SupraMarginal_R,Cerebellum_Crus1_R,Cerebellum_Crus2_R,Calcarine_R,Cerebellum_7b_R,Rectus_L,Cingulate_Post_R,Frontal_Inf_Orb_2_L,Insula_L,Rolandic_Oper_R,Insula_R,Precuneus_R,Thal_PuI_R,Cingulate_Mid_R,Cerebellum_4_5_R,Temporal_Inf_L,Vermis_6,ACC_pre_L,Cingulate_Mid_L,Frontal_Med_Orb_L,Temporal_Inf_R,Raphe_M,Cuneus_L,Frontal_Mid_2_L,Cerebellum_6_L,Thal_PuM_R,Occipital_Inf_L,OFCant_L,Postcentral_L,Amygdala_L,Caudate_R,Vermis_1_2,Precuneus_L,Temporal_Pole_Mid_L,Temporal_Pole_Sup_R
Cerebellum_10_L,1.0,0.6029313959841079,0.3923149168258178,-0.10893498897560094,0.5540376968536864,0.11480069163116988,0.444577068588154,0.21678647907777382,0.12822336486765853,-0.23892308551401478,0.5532979414819378,0.2986025784953204,-0.2640391448561953,-0.0767280820216776,0.14962788739933539,-0.45612425377624705,0.6279413300578972,-0.46132423140744105,0.6777494061805697,0.3573736734545387,0.0059621620912232295,0.18512195806117565,0.5383033230612887,0.5834303307693087,0.6437181430983236,0.5077025721563033,-0.18511471806767776,0.041251400909552684,0.6777734985179771,0.7214996807310484,-0.07793212315878072,-0.12843960170419794,0.4380469268692859,-0.20121782132344215,0.41354937134181813,0.20541203299408392,-0.39237195462612423,0.6560103048063733,-0.17944547660028573,0.5179852936029776,0.7232145532657431,0.34379826237392386,0.4860087403379191,0.7759307770534348,-0.11148333279794116,0.3243678320355373,0.4895212100936337,0.23443005030450323,0.5950515436285024,0.0029139625982676823,0.7133635036926089,-0.33648555946265135,0.2841263149424104,0.42886054632583653,0.021812137125201983,0.658536222571561,-0.27441241059188887,0.02529170520682165,-0.17426025367473325,0.39602724069159684,0.6633881116727771,0.5319996314970137,0.5435855296383877,0.0006106551638611238,0.6308446377491599,0.616777842471755,0.35981063498113874,0.37141075402359713,0.6662411260347694,0.5606528805007611,0.32054621751672147,-0.05786087360118276,0.03145454980096749,-0.1429171458584692,-0.2694220120824393,-0.23821591491077154,0.351870271629817,0.5146238931727054,0.13573612862227805,0.6411802736127813,0.5345175060212057,0.26438511064066994,0.6910231454053245,0.3011357014980979,0.43338615890231186,0.47851236003396785,-0.31347257064191675,0.3077329680031546,0.5456589870798207,0.28904307140691793,0.515778207507048,0.2843710282482774,-0.3807055047208744,0.0856208668426986,-0.16338737096819247,0.5526208307874825,0.36734266585412134,0.025745233251060852,0.5894658775696736,-0.18085133222995975,-0.27650467086367103,0.5323127688981691,0.03635694351444741,0.5068828460320095,0.45556305081094794,0.6319904573094044,0.6884759252973355,0.4697905800436122,0.5872503071344085,0.1642106193634635,-0.14081564632683136,0.294916940860845,-0.009736012070348419,0.6605701162967246,-0.3755280723123454,0.2765237226160234,0.742797452590618,0.5840655768015233,0.6496198458906455,0.42410866765905275,0.6888694001164055,0.3906651776454539,0.21902874895997532,0.6064723871671733,0.34517190110607604,0.4891569200429902,0.654949338765997,0.7384380164219218,0.3089067710116878,-0.00573467938268273
Vermis_10,0.6029313959841079,1.0,0.2968223681091617,-0.22264063914155627,0.2631023358675561,0.002647767236380189,0.555116400867982,0.1972390734729779,0.3437880806115265,-0.02040565733892465,0.6263676181186236,0.05800630997167859,-0.0005456506076024882,0.1201953556485754,0.21504827909888263,-0.16002218487211994,0.5121781157191779,-0.24550647278999535,0.7198700361769984,0.31976486995863723,-0.10558998981128369,0.2793995396842518,0.45930386713552324,0.45089351415329093,0.7286767560790259,0.65455975611477,-0.2526046156913703,0.11784667684092359,0.4208846267851136,0.5842019076017749,0.08903258133474187,-0.04160709453013419,0.5829560707224289,0.14449693447196105,0.35799520807284163,0.36242728301945587,-0.10603811454769926,0.4755499474976376,0.040085356079845674,0.297774231173355,0.42820760641600164,0.3507224146127677,0.3278062399630062,0.4593590120375031,0.1321284532541297,0.39212638945657813,0.30195711904089273,0.3855307263485442,0.2813884968389135,0.09799461009680464,0.6599104548388063,0.03715206669779088,0.48016084349090143,0.3066727321671937,0.036658818135384526,0.6654600426059811,-0.2945099496090669,-0.1239938840911161,-0.07925596702720027,0.3920708757616639,0.4796581229760258,0.3611810133403147,0.6397401921075139,-0.13012698281307356,0.5869154942935499,0.4388016046432401,0.20201226580511156,0.2970948977463649,0.4687534208742901,0.5272593802625727,0.3243196564265163,-0.01895729813774133,0.29074637811635323,-0.03787971792268775,-0.11757050186717449,-0.03967896455818302,0.5217768131606517,0.5382677467265682,-0.14814414178985016,0.6616101772235616,0.3063056283872397,0.4231996262213768,0.40535272546774465,0.1297654051963904,0.3365242508122409,0.4795684598051026,-0.2368797986926555,0.38550242952982494,0.4625075997268481,0.5563836347168163,0.5203962673594406,0.27409331430366635,-0.03704129557214234,0.17094688127642904,-0.2749380542322868,0.30694189547599204,0.46636352788901264,0.14756485746260437,0.6145965512354798,-0.06771024357784612,-0.13316682183574946,0.5521631558883461,0.17059847777155693,0.5835247454440479,0.5383438359208879,0.6472249025172191,0.5174900979862554,0.5400652297851263,0.44624775048389953,0.40219656020342276,0.2006416543137515,0.3402535920522607,0.275102845126424,0.5758505215102669,-0.3202874945281432,0.3832557898624064,0.35194073731498926,0.5693653497116966,0.42627904731170313,0.6139680675507373,0.5994153625135306,0.5362538806021585,-0.06189430933370263,0.47632321009990275,0.10338484913717765,0.4379817439410439,0.5459130773775244,0.5894949589579606,0.42870848010292506,0.1559976331829809
Cerebellum_8_R,0.3923149168258178,0.2968223681091617,1.0,0.2447527908804426,0.0867426886886038,0.054249508001532804,0.24165265294407387,0.8936569486125828,0.4333041412327932,0.1685509318660542,0.5048600682196807,0.5665131286346639,0.016265673168484637,0.3028754083030258,0.3148192146394091,0.2230725384281539,-0.00037770835059974025,-0.12903364856149435,0.40021770571390963,0.35621795474329954,0.14502487501013547,-0.2815310425225306,0.6442386189051786,0.5194171493874615,0.4281781708508163,0.699595715080544,0.016180716556258832,0.5433990093660082,0.46065665091654734,0.5968552857137418,0.40921077714336135,-0.07455953527785177,0.29168379142161127,0.26928826566524766,0.6205792365991865,-0.1209703428127769,-0.11236622936638013,0.41498272712339723,0.1806523846073457,0.23859218952760694,0.2917206675366126,0.6384220847482511,0.9022423994465816,0.3624343492720432,0.17219841868940572,0.5310828854089107,0.18267836578377458,0.3930616868112962,0.23895582216185618,0.392140626201479,0.5603949991937343,-0.06855838964606113,0.46479146296616847,0.8631236979787515,0.07836396257181706,0.3672157398770221,-0.0025369487705320325,0.3605293957391488,0.0967016108401363,0.00987184806850234,0.7270240187990181,0.5768202670267073,0.2866667294507571,0.23266663025830406,0.17657779025570422,0.4096121330536269,0.48361920408148434,0.6649980290411621,0.47723729854096786,0.3088537404544955,0.490656892001199,0.4101708012594313,0.5202881881786372,0.34432825843062903,0.018359089157597982,0.11642393233911369,0.3906996943402384,0.5550644468475799,0.47945834205534016,0.3982330954374026,0.19532892324038162,0.46821936594568103,0.31328297889737167,0.5348385105748628,0.49754749400931086,0.04861544888706765,-0.015269953528688937,0.45663449448673765,0.2368281345921655,0.48222256752208636,0.538332771341195,0.6633584769388623,-0.05385854661902227,0.48944334395715317,-0.028006346416967826,0.1959032955510951,0.664421448966774,0.7726557182984582,0.6638608627632024,0.6350763733394595,-0.035848506617770344,0.5059266814794593,0.2611868012561779,0.6265505705524544,0.359189359028649,0.596130251544462,0.5161887302877066,0.5247795221515976,0.6700374705785588,0.5232679699935363,0.34930941963207945,0.6698553462356576,0.08796579088809599,0.4848103690350631,0.14877974550568773,0.7466384541889065,0.2928739292796511,0.3515014974893779,0.3541695710245638,0.7629975972736006,0.2779522002624805,0.20700641806463554,0.2133671363746239,-0.0015754958140030261,0.7745953227526234,0.5119238829528269,0.5199292830882218,0.3306949688873447,0.2792938281120622,0.38893959150043067
Thal_MGN_R,-0.10893498897560094,-0.22264063914155627,0.2447527908804426,1.0,-0.23532691317970159,0.2413780998299686,0.13527878492688056,0.46968440158703745,0.06221523067256706,0.7222150068695347,-0.14005926252390086,0.22808573164123763,0.5974654126988753,0.3783036280411522,0.6422656909758552,0.2697215176841116,-0.4190911722954559,0.6205753809436646,-0.10564734456392164,-0.5514012022646411,0.7556774564103292,-0.11105914012843557,-0.018948360028508696,-0.06525999280465064,0.08924445423937215,-0.00033338857637492056,0.17971673615712078,0.7362968547888685,0.3440243506218253,-0.27218964374332877,0.6321701682414714,0.6958437887100176,0.19995873507282264,0.5029709197563611,0.5024886927714194,-0.4035795882813084,0.30084402753063677,-0.011807158787571916,0.6800546313404603,-0.24966918195441334,-0.3282299856719731,0.4335864422690872,0.3584916935313045,-0.15081299925896496,0.5583504068332454,0.35430958411772895,0.42238893327683663,0.43722816542931026,-0.16280920061083615,0.8000009393414486,-0.0851269190288228,0.3240023501820833,0.06926817329042181,0.1662654307005562,0.4629142906340526,-0.1649828602754261,0.4838592133684218,0.8728894211654966,0.5044834325569139,-0.6061116038918861,0.0026083855214256236,-0.09848191172236305,0.04458263214571631,0.6890850379161905,-0.5116698729780452,-0.2586477681045288,0.6643683732723213,0.3523906185645655,0.3917416769330024,0.16660805741170398,0.291647717882609,0.6071905983366549,-0.18341034222284286,0.797215110164762,0.6723504955030115,0.6396894977135823,0.38224926776671775,0.15951208437874437,0.5673907279843172,-0.4662296709179036,-0.33366864245936523,0.5217267211809175,-0.04987726263830692,0.6659361275365258,-0.2046735457370646,-0.26031745711770266,0.8168054635434493,0.6117410187275383,0.04664870207804245,-0.19621703511240332,0.37160796937322715,0.01918447024269416,0.3750754356227195,0.6846741139250889,0.4127520886209262,-0.37347509556085895,-0.37056872406905517,-0.03173349413582716,-0.18129109022825124,0.4915431905582951,0.7634708110034741,0.13437597067952292,0.525045632640271,0.2897383583007263,0.21363787403030085,0.196164698682153,0.005023197898245637,-0.3486780435700153,0.25648604493791655,0.3687535797867758,0.4005308642194285,-0.09855914545801288,0.30049555954924567,-0.021932549619550754,0.43634139222632223,0.15574693094734463,-0.2142726033149861,-0.4808388486472557,0.34249358194217056,0.045936193157845806,-0.5809068214037845,-0.4856597907439892,0.567313824359381,-0.19300682767042687,0.3975046578261994,0.2356475131579918,-0.10731217691870959,-0.3074017624344216,-0.3416135631181784,0.6578001221083909
Thal_LP_R,0.5540376968536864,0.2631023358675561,0.0867426886886038,-0.23532691317970159,1.0,-0.21587544273851966,0.04268453415010913,-0.03680545563725185,-0.2587287854242567,-0.6126522094815084,0.09540621585008598,-0.10415677666838093,-0.5090145875338261,-0.4412282279974496,-0.16206842343723962,-0.7095218761507067,0.6303079905137804,-0.5944586100309187,0.15858482578605368,0.4503281092859546,-0.04769045813591195,0.13435584167182163,0.3029842994887733,0.4719540083072432,0.34393429790314595,0.19747907032371936,-0.0912952328160826,-0.233789182941929,0.4996391582608109,0.4852128592475257,-0.30252794753851087,-0.37795638421011096,-0.0822675904702001,-0.5683006509437317,0.12292209852028796,-0.07727772899421143,-0.578164795521877,0.7376822706632009,-0.6134126630985929,0.8510825840234233,0.689826859643866,-0.17050908724032615,0.1352267956175386,0.6358288792340631,-0.40093579640707755,-0.040803119590332435,0.5104383617395188,-0.15145942913615615,0.7811857433131678,-0.2290633006499497,0.3998598122079111,-0.6090607599741071,-0.03136610008675405,0.029238913487893342,0.027303297332936054,0.22841085373412762,-0.2225030828999935,-0.046344975390801936,-0.4174574982428327,0.39318322228172153,0.5209632890912171,0.45205855553925905,0.20898192895494616,0.06761052913659625,0.4862098935000608,0.42780804318486926,0.3355731431640608,0.09770253019091438,0.44108003069665247,0.15128017251319334,-0.1617065299556846,-0.18607568541268862,-0.2156996134886635,-0.4566160849747203,-0.3379129942544266,-0.3832053810044869,-0.3026964924987643,0.022439855146185014,-0.06859277878960196,0.35746683195038287,0.5310879496798592,-0.34786727742745116,0.483257731693229,0.28135789657231924,0.3544044284149973,0.26842311396374835,-0.41706166903590447,0.0016852363190951573,0.2925356183344504,0.02660743842688528,0.28686404768149554,0.11508896344759906,-0.6951115605828606,-0.1291892372481957,0.007117850405217037,0.7622784698204269,0.126570783805274,-0.13634232840745314,0.4130285617618966,-0.1806591036247793,-0.35517861357166686,-0.05999412618870555,-0.11198565084155672,0.23116814938056343,0.12007277170680083,0.41637133308894375,0.6386798781052929,0.09966853488057374,0.4116991266578666,-0.1123305108589118,-0.5721633936622428,0.20337475720871628,-0.4750571998708656,0.41997411951056457,-0.3532027966789722,-0.021429015441767608,0.5424664353075329,0.6025802717217198,0.34663189157357077,0.07350197297040605,0.6271151570514164,0.2600661012530585,0.28405189087018146,0.5759685595459179,0.19419814689731366,0.41478296006204934,0.1823044903715837,0.6177846282841823,0.15839280766925515,-0.39396697631727584
Frontal_Sup_Medial_R,0.11480069163116988,0.002647767236380189,0.054249508001532804,0.2413780998299686,-0.21587544273851966,1.0,-0.08045717982114683,0.08410681141995666,-0.19292964791057998,0.39185110934050477,0.18524490279989195,0.3536342083788025,0.24575357765645006,0.5237364711660379,0.30551309697064405,0.1455240215208545,-0.20294980203115134,0.4153472630897074,0.26078393808545686,-0.13602009875342258,0.15774606505957975,0.04448471022070346,0.10282909245460849,0.17236153894470535,0.1995542110479086,-0.03424773045723732,0.563280855964147,0.17314915947646836,0.13075749868552114,-0.025957082652046506,0.2709311211423563,0.31411953437073564,0.1431700232025863,0.019965108340172778,0.34036223900960877,-0.24472026648853015,0.40003485126188526,-0.0024767069398865613,0.4181528198537118,-0.1884494032615474,-0.03382382353285758,0.3424236707536301,0.1399090679034115,0.0788532850269156,0.08127055424654742,0.04999775447156182,-0.17096828706032322,0.05857361973770004,0.08937765553808111,0.21623314793506182,0.13797890523904904,-0.023958291788276357,0.14835274644325022,0.15755768577929885,0.23776842199804718,-0.17266383584942505,0.6360822306958469,0.22653725051363374,0.7337476352066966,-0.08269519818853635,0.031174147272967717,0.06198379161398334,0.1502361760706281,0.08477650735665028,-0.24560897261081896,0.030638724050167307,0.19471514331547754,-0.025293341355908414,0.27236677534242903,0.025815015640278216,-0.0487065886624824,0.18839119947887042,-0.3843433102079004,0.23055072690513426,0.44534315994737766,0.34838656140908325,0.38037400302616314,0.26923631002131376,0.2933302326369441,0.026919291598531223,0.2728103136377404,0.36543333316809984,0.08441151526035243,0.08615574501556647,-0.17349765594688282,0.34242653940834034,0.37057897794584294,0.16190062395964175,-0.20266569037769397,-0.32385722775404946,0.2023912448793299,0.15031075496611304,0.09999810621092806,0.1778959405053138,0.4270212332239973,-0.09387549404714671,-0.06365848798455,-0.21685325204141612,-0.12860464290121504,-0.061890443699399014,0.3090384927414442,0.35771499790382416,0.538663983613384,-0.060312532521266074,-0.02690538590086262,0.008689936083047703,-0.108064757178124,-0.026621750499588977,0.08927006457534202,0.20083366385092757,0.14574589533731822,-0.025454824738429135,0.058343327281257934,0.20503992269323712,0.30940668423098433,0.05683294465981844,0.08987111259666183,-0.34076520131556587,0.32870423475780547,-0.043914751012231606,-0.0867722433324465,-0.3180403694031441,0.21047526893586171,0.14377253152266029,0.08386147410853804,-0.20368481175892275,0.17168371837594515,-0.0722967939495917,-0.40599789743719006,0.3844931160842316
Frontal_Inf_Oper_L,0.444577068588154,0.555116400867982,0.24165265294407387,0.13527878492688056,0.04268453415010913,-0.08045717982114683,1.0,0.27186490278235276,0.5730809128326285,0.31075396598556493,0.34882101274254534,0.014404431202754326,0.05037111299395728,0.1894946811287895,0.43355729100747376,-0.14577665190290726,0.47230025925967617,-0.0528712424261023,0.5359036037629126,-0.22460753353779184,0.07987596586043483,0.26031287999137803,0.14121123633613653,0.22521435195587416,0.543477832257126,0.44860219316825684,-0.5533449881237167,0.1931292230935942,0.3835674355929357,0.3502912778283183,0.32211192410961714,0.3983284393570354,0.7835569589962547,0.4266563014977126,0.40387599136084823,0.4273251881337861,-0.22039920335073082,0.18420401284437132,0.29363047591642366,0.0035119718586164505,0.19050137058797076,0.3245888704990662,0.28641286086896844,0.34715206164638945,0.2417770468138186,0.4143836974147527,0.49298535516820285,0.6385269008823965,0.08302487950825592,0.25586945346829376,0.35795432610514205,0.30589746877732615,0.495660837557302,0.20296802202410288,0.3185030443191141,0.7219291901204767,-0.46932898767316805,0.08389201301458597,-0.15045435609767133,0.004356830701928151,0.24514570187041973,-0.04081980467110847,0.760522727315422,0.043072666383603,0.48580167853051354,0.2559388742694075,0.20686885084563467,0.19025627632476919,0.40621129350394664,0.6314091928698259,0.6299956544931403,-0.021803950368758946,0.35252925444082484,0.2677806501183194,-0.03141707322307974,0.17673643845847095,0.6696529870485607,0.3901773290111518,0.24147406448041114,0.3751416667681829,-0.1018801816879923,0.5860118621223854,0.4169224937709191,0.14653910589112976,0.04573923650884961,0.2880874691215055,0.012239823620787274,0.5973641083442013,0.7496966168823818,0.5439009230865414,0.4320411358586262,0.06175860317409313,0.22264461600545588,0.3672214788360248,-0.3561834321900828,-0.03871365399796991,0.04159330663147039,-0.015656942185989543,0.3716370249487943,-0.09135088480698018,0.06023873229489605,0.5896837503068587,0.07447353448811139,0.5281368737410113,0.7344340824569427,0.5116094030638854,0.5423014178975532,0.24214329100786688,0.40600604655906053,0.33698763769570045,0.42013005378266893,0.10422452116368353,0.6064633567221211,0.4221447619928901,-0.335045891010648,0.05912235119262028,0.13283277530713072,0.22588195197404937,0.6937946769642,0.40759305051550415,0.19961439149525922,0.4935071442612187,0.045847736462856004,0.4900879787356531,0.10162749618295766,0.32861882715679985,0.439700242957913,0.3665512841190504,0.490515683657462,0.21056988107535157
Cerebellum_8_L,0.21678647907777382,0.1972390734729779,0.8936569486125828,0.46968440158703745,-0.03680545563725185,0.08410681141995666,0.27186490278235276,1.0,0.44343755859617984,0.3923198562508929,0.38987917546178696,0.49242153402071126,0.2227264714533599,0.4241344250284698,0.5004928172725686,0.29000271952643314,-0.13885483794979617,0.12817275920954685,0.2961347388127428,0.15007185347373586,0.3362953254672773,-0.24452314019516316,0.5353330227972783,0.4456382626790015,0.39341965540588375,0.651346057338,0.088434355042256,0.7349249823580992,0.4561679604753412,0.4078818348962497,0.6095232630158629,0.1320597457757876,0.3684847802323192,0.4149021355968512,0.6624965100940463,-0.26273632551553033,0.037898454659714614,0.3296331535096401,0.3659621473326343,0.12428083509523642,0.0672780914345691,0.6603185857019951,0.8725900452429636,0.19680488791278922,0.31473593733937405,0.5710445381510207,0.26446749185477514,0.5483782778097777,0.10900769016401018,0.6298042469058668,0.43974617313133035,0.07875021763322078,0.4785713718287999,0.7709555506411953,0.2687146597410194,0.20597072627966556,0.1590536831347585,0.5535157639251362,0.2415375353062639,-0.20757090287235944,0.5998336060872631,0.4213059480483329,0.3075011435439968,0.40812985523834144,-0.04631494947472684,0.25944284453195476,0.577510614247725,0.6270867631830973,0.4886892204067483,0.2201645696848228,0.5303052921662178,0.5291622190616561,0.4704491694709936,0.5700320483344204,0.26966874021775,0.3394497936911656,0.4483515552775414,0.4989643880864919,0.5754330136960543,0.20987727976675938,0.03854562801974235,0.5782932332032008,0.13069019349285424,0.6622595398699059,0.32294125147785924,0.037635356793990396,0.24832237674961977,0.6241613221986743,0.14361327669187954,0.4346681542951457,0.5835611224096061,0.5537581237129159,0.1077130001091521,0.6812471427089636,0.113530783120847,0.01418490203425289,0.49226233141401343,0.7074636089198487,0.5511259202852469,0.7540525293474849,0.20297161044012368,0.48177566872220773,0.3635119912226679,0.6199081815820061,0.38597426723366757,0.5626371313199566,0.4316868685541722,0.37306968511749666,0.6444851427852311,0.6335508630359976,0.5094863543046918,0.5724387882413836,0.20092920749442816,0.42048181428906856,0.2968496844353748,0.7100637656489401,0.09299542809234508,0.17490994618907,0.34929734274124213,0.7363344892139713,0.05897534759876963,0.07085105030484598,0.26020980396215637,-0.04550505537954626,0.7638667988945254,0.44870898840067813,0.3547042660968913,0.18345561300285548,0.14657324488976786,0.5726738456954139
Cerebellum_7b_L,0.12822336486765853,0.3437880806115265,0.4333041412327932,0.06221523067256706,-0.2587287854242567,-0.19292964791057998,0.5730809128326285,0.44343755859617984,1.0,0.2954414297590239,0.09954473776600019,-0.021300059748224968,0.15761532261055516,0.11834657405707733,0.23063808721470705,0.23709587066705165,0.31448924725840904,-0.03582298137769651,0.2918967261156281,-0.01166442513769829,0.08644863028772586,0.24417897678258657,-0.0684861377792535,-0.025673029151320675,0.2507399197275968,0.5428345257987441,-0.5987484355475396,0.3321188805551107,-0.09061810688654073,0.2811295310763229,0.30002602792030947,0.2790911028369203,0.35636832930464213,0.6174665981968593,0.2001178087508943,0.3660461771896266,0.0978544085229239,-0.10742415474315309,0.1995570678313607,-0.150647486373329,-0.21594432114570722,0.1712653008069918,0.3475621463667412,-0.11996165640165544,0.4081122573011454,0.3582132789335169,0.0765303629033483,0.6428384436168716,-0.2424527115866508,0.294361124899346,0.11604233386959774,0.49655036029986954,0.7083813862455519,0.29905139447102813,0.04745755300320793,0.41220488618231327,-0.3976826928378816,-0.07747419325722774,-0.19277561809952934,0.06643375796629818,0.2199233506021895,-0.16058282037831303,0.47361126214301036,0.10366270875787513,0.423551941287669,0.11536948571674126,-0.09501614483065882,0.23328583661498692,0.12064333141852629,0.3716780995390481,0.6124595970507338,0.06247757806385755,0.8268096790663765,0.45092146651496073,-0.08498849354746814,0.19290825386098712,0.47314856076330675,0.14873250501288232,0.18058324896622022,0.19217983054742857,-0.34721199866638075,0.4975289020287854,0.03128224970927516,0.11051296959762352,0.031456426916540346,0.12073233606071275,0.02479689534821123,0.4965118755120389,0.4592136861461353,0.8691685548864487,0.22214817168586384,-0.04666624735166629,0.438605195350357,0.3990962978988922,-0.49730192109026816,-0.3531835922431484,0.33463158379140256,0.4949203447326258,0.48471533125761196,0.229381856383723,0.09550275792071654,0.4132739077314647,-0.04038785230418081,0.4166226594447348,0.3361959374878576,0.23654737956595584,0.27423072553692696,0.4702137052623352,0.1439074098394026,0.22652824840113944,0.7179244784401887,0.15181568102904838,0.6212719058231215,0.01940159211775688,-0.10427299094403411,0.22344985608111034,-0.14745060578076263,0.3312847929668158,0.23604416968346797,0.5214659416644911,0.14686755071949334,0.5850464423289272,-0.03739058464707012,0.15049667273066644,0.15979835836732711,0.26336916905755275,0.3145706528745826,0.09765562217746677,0.4945027971048938,0.13503416377069075
Thal_IL_L,-0.23892308551401478,-0.02040565733892465,0.1685509318660542,0.7222150068695347,-0.6126522094815084,0.39185110934050477,0.31075396598556493,0.3923198562508929,0.2954414297590239,1.0,0.04516050343748187,0.1920295672620386,0.6548293102853449,0.6165036858584562,0.6453473057950382,0.5000505506581819,-0.4533325086811003,0.7256985807759427,0.059046808119743686,-0.5436651857542335,0.516107990762365,-0.026953595714466972,-0.07275138614427587,-0.16360811908550843,0.19966163314312563,0.07505845974927422,0.12903163161898976,0.6550733459310695,0.08097547833609878,-0.2897430510529354,0.6829248237420995,0.7554622712386199,0.39557266369887667,0.7192426173889633,0.44198047161175885,-0.17665272263817275,0.5443596555802819,-0.2684920111972209,0.9270609567917182,-0.5567387393224473,-0.5298156351045725,0.4773621389010895,0.21270268254388222,-0.3439122475523608,0.6115390491797013,0.32265902598600954,0.061965443838426004,0.5665816150141151,-0.4433866101333015,0.7008892621485253,-0.0920016275358523,0.60649023071133,0.30016760796236003,0.13975580672149684,0.42295974396096137,-0.056952719836715036,0.3927998338553219,0.5992170347868403,0.6304029972813199,-0.518407665931814,-0.14935960823934305,-0.25454955359263753,0.2331589256939891,0.3916124192223402,-0.45286571530685654,-0.29547574726985476,0.35173145942997563,0.25078976738607556,0.18262966399287567,0.19050500198286827,0.38337276351108535,0.5878233744863633,0.05466946063918086,0.8226643309893517,0.6388506709803123,0.7323628677515283,0.6522657852543458,0.26282510790214514,0.44491272500618917,-0.3110535419512868,-0.47391749945602724,0.7359659564774977,-0.1891261796514964,0.3320064193124072,-0.2583282317476643,-0.10182455476811399,0.7161722830835247,0.5727248069725087,0.007252221552492549,0.008739961803459121,0.3005140683402675,-0.016786967504040587,0.663344967766608,0.6231894781001446,0.19126249542322107,-0.6129999662286095,-0.2551196761949746,0.027413034595044603,-0.1354727930859699,0.38072247703540196,0.7125032435730984,0.35612464555726286,0.5148691143289584,0.2418018698267003,0.2684240724796682,0.0865634998216865,-0.17581022141723127,-0.16235657329474176,0.11861298075872523,0.4695738224482761,0.7016841959908476,-0.1293235070189754,0.6030930431440312,-0.03237856171812644,0.4368362385595855,0.1895396253836152,-0.39022665825949465,-0.53225827665734,0.25614969273791177,0.15786540940216992,-0.5394963724139706,-0.2817728511586362,0.18269114634006295,-0.22413236032094916,0.1305128357543087,0.0642212951514829,-0.042278063237262846,-0.4024634677021764,-0.27343744304804113,0.7187903080959833
