,Cuneus_R,Angular_R,OFClat_L,Pallidum_L,Putamen_L,Cerebellum_4_5_L,Caudate_R,Amygdala_L,N_Acc_R,Thal_AV_L,Temporal_Pole_Sup_R,Thal_VA_L,OFCpost_L,Temporal_Sup_L,Vermis_9,Occipital_Inf_L,Thal_VPL_R,Cerebellum_Crus1_L,Hippocampus_L,Temporal_Pole_Mid_L,Frontal_Sup_Medial_L,Angular_L,Putamen_R,Precentral_L,Pallidum_R
Cuneus_R,1.0,0.5346877038258159,-0.5470610219015963,-0.2643019231432139,0.10436230583693146,0.19639301017519378,0.4006921000284184,0.051958941642488786,0.34450178967306455,-0.15784397315765064,-0.34891044404224664,-0.3201975570384484,-0.20162194836821623,0.5570123288984073,-0.2629077598599543,0.7701439962329987,0.21095385446778098,0.6121252906738638,0.28897837647830316,0.652452222210734,0.5339588971425584,0.8827563648361005,0.16245644780465548,0.5445431035056383,-0.6325453743646968
Angular_R,0.5346877038258159,1.0,-0.32327144476660524,-0.45871995718213443,0.24262534586392545,0.3182541318362509,0.5120401417252605,0.31812796136066535,0.43310733974622545,-0.03468971079231341,-0.20951340887093758,-0.37595876982578336,-0.388673280725194,0.2564438731282553,-0.17979078041628496,0.26527722286459754,0.207051576466626,0.1428189726264219,0.4520464717053323,0.2086809943156741,0.0728780085835606,0.6179831042642194,-0.0839777411105043,0.6863827181752967,-0.518230592614302
OFClat_L,-0.5470610219015963,-0.32327144476660524,1.0,0.45389435667246664,0.05274946787896737,0.25648414189753344,-0.13283756471362304,0.1916289890796602,-0.20689972293467052,0.4086826521816093,0.727554911238143,0.4771767781320842,0.3397228114978401,0.08930292533930922,0.6000834641902096,-0.5188816638464084,0.33094132964395717,-0.4011108470345388,0.2769859902929863,-0.5018556588471631,-0.1686397851082092,-0.4981312832600282,0.17082592515205222,-0.11138425958509447,0.6513453481321358
Pallidum_L,-0.2643019231432139,-0.45871995718213443,0.45389435667246664,1.0,0.02024119791364287,0.2469101112021792,0.023382210797537502,-0.06491756344109287,-0.4742047934808902,0.4373202021202938,0.47416317733813773,0.7246432782015795,0.5899261578950912,0.3211189528057378,0.5673976752056327,-0.2586786364752604,-0.011489397541146319,-8.618789639764206e-06,0.2132612140156855,-0.21409306437263154,0.22952110138793586,-0.1567887444095955,0.5536942526846682,-0.181630854706369,0.7434814329303658
Putamen_L,0.10436230583693146,0.24262534586392545,0.05274946787896737,0.02024119791364287,1.0,0.5281606103967261,0.7316287680172849,0.6075502181790993,0.5266173480235479,0.5871918103974213,0.4137123279765226,0.36930730685034313,0.31725658491490477,0.1445735065939793,0.3157359418060072,-0.022896925783576567,0.5179885799386348,0.2775086613333348,0.4358191603386724,0.2124281168048781,0.3054387181648625,-0.0573084315523839,0.32423207357193096,0.13537296221832448,0.19887587052514152
Cerebellum_4_5_L,0.19639301017519378,0.3182541318362509,0.25648414189753344,0.2469101112021792,0.5281606103967261,1.0,0.548050207698907,0.5530507383509479,0.2672648602203613,0.47390771816304444,0.49765268001266116,0.3370644452006339,0.39012117833668136,0.5095504475430468,0.49991801521082513,0.1321021903777822,0.48110911925735045,0.2852051642227165,0.7232297844813212,0.14457542882140295,0.37617156922994954,0.22335847638477502,0.5182607563885876,0.47599676861492046,0.11973921513023116
Caudate_R,0.4006921000284184,0.5120401417252605,-0.13283756471362304,0.023382210797537502,0.7316287680172849,0.548050207698907,1.0,0.5248931508218868,0.6035131856757671,0.5111261960358313,0.26825397848061844,0.23067135362010874,0.25316016957373083,0.35428948950777467,0.23370118282254054,0.2074005800861035,0.49683217575705124,0.35922637983002664,0.6281193815086064,0.3419876894839191,0.48529307994008053,0.307475539192746,0.30717070558912113,0.3472664946078768,0.02698809718722808
Amygdala_L,0.051958941642488786,0.31812796136066535,0.1916289890796602,-0.06491756344109287,0.6075502181790993,0.5530507383509479,0.5248931508218868,1.0,0.5008600271130424,0.5632598185618398,0.476323529582128,0.3233418513632272,0.1691709095466875,0.16563274820470691,0.4310045521515238,0.012509567027203627,0.5100267631055816,0.15840156871432723,0.6348743324930787,0.1373326977727443,0.20417010295879495,-0.057034298677256574,0.28309422298861997,0.28778979886496553,0.10412385186033737
N_Acc_R,0.34450178967306455,0.43310733974622545,-0.20689972293467052,-0.4742047934808902,0.5266173480235479,0.2672648602203613,0.6035131856757671,0.5008600271130424,1.0,0.10063224545287872,0.03266187263373171,-0.2190632011537583,-0.16211960764399566,0.07463132585661134,-0.048744599313559324,0.26653689726616625,0.4731400085150881,0.19948423034702636,0.3770662649270659,0.30383508929671654,0.34471980824165704,0.13372428629997485,-0.09487120679395364,0.2767525349456717,-0.3732694966304644
Thal_AV_L,-0.15784397315765064,-0.03468971079231341,0.4086826521816093,0.4373202021202938,0.5871918103974213,0.47390771816304444,0.5111261960358313,0.5632598185618398,0.10063224545287872,1.0,0.7295726613756116,0.8480201046749598,0.5193706012434305,0.3441160125695184,0.6305766888425453,-0.08001424796367766,0.49770244771628985,0.2431467467895913,0.47803860959059724,0.0015007888913274616,0.1049720667404108,-0.1680104527710508,0.6560750166455565,-0.008368614898875514,0.574872520579612
