,Caudate_L,Temporal_Inf_L,Heschl_R,Precentral_L,Occipital_Inf_R,Insula_R,ACC_sub_L,Temporal_Pole_Sup_L,Amygdala_L,Occipital_Sup_L,Frontal_Med_Orb_L,Fusiform_R,Cerebellum_8_L,Cuneus_L,Precentral_R,ParaHippocampal_R,Vermis_7,Frontal_Sup_2_L,Thal_AV_R,N_Acc_L,Cerebellum_6_L,Parietal_Sup_R,Precuneus_L,Cerebellum_10_L,Cuneus_R,Thal_LP_L,Temporal_Sup_L,OFCant_R,OFCmed_R,Cerebellum_10_R,Postcentral_R,VTA_L,OFClat_L,Vermis_8,Thal_PuM_L,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Cingulate_Mid_L,Raphe_M,Occipital_Mid_R,N_Acc_R,SN_pc_R,Frontal_Inf_Tri_R,OFClat_R,OFCpost_L,Cerebellum_6_R,Hippocampus_L,OFCmed_L,Thal_VA_R,Caudate_R,Thal_PuI_R,Thal_PuL_R,Thal_IL_L,Occipital_Mid_L,SN_pc_L,Vermis_4_5,Parietal_Inf_L,Thal_LGN_L,Lingual_L,Rolandic_Oper_L,Cerebellum_Crus1_R,Hippocampus_R,Supp_Motor_Area_L,Olfactory_L,Parietal_Sup_L
Caudate_L,1.0,0.6208172558360548,0.5120850237741958,0.2717420645290756,-0.13814062266244037,0.590514128887755,0.4026793816735489,0.6371801502836513,0.4509332490342629,-0.08450066704075983,0.2565921599633468,0.6446159887279018,0.6241613221986743,0.14584173386708674,-0.06119397074005547,0.7921291526531714,-0.16094875109762136,0.3901904971200988,0.646550717060362,0.5721786133533653,0.5180296297703558,-0.03309108963698016,0.26517513675365045,0.3077329680031546,0.10948531297195231,0.329361235772747,0.6797107060344697,0.13636517114161725,0.3679216986183336,0.19933849859895592,-0.0937492846168903,0.5457783599400013,0.30305829526204214,0.18999497580804148,0.41097784661530495,0.32704326133767153,0.16190062395964175,0.3930002013241032,0.011532225027943512,-0.1562997391830965,-0.005591955461263922,0.46609585852732016,0.37783136274218787,-0.12610555320372796,0.5243861646442132,0.5185680094913414,0.6301344450498738,0.3854206310473908,0.613965570903566,0.5152747243886996,0.22349632518398266,-0.2247552019002006,0.5727248069725087,0.04997109733394197,0.6763428956708101,0.6966872422891598,0.029890563140070426,0.4324548615626827,0.31257626508154984,0.5858944437276531,0.05734426711885969,0.4917110440459361,0.17038392048486645,0.7350215562786029,0.20288883142291275
Temporal_Inf_L,0.6208172558360548,1.0,-0.080175985964943,-0.31721157625796653,-0.3078404103256465,0.13459170343862614,0.7091944884520838,0.8090746251300501,0.17060762163307347,-0.2927100089533554,0.30482067947672936,0.4406488268257109,0.5094863543046918,-0.11795600346824811,-0.5699820379412637,0.6330065295128596,-0.14215318370040467,0.07314163303582866,0.4178484992439724,0.36909502886125356,0.422549202888498,0.08443642107407462,-0.17628304856036256,-0.14081564632683136,-0.07453164304260014,-0.29120841826576543,0.4295299422112029,-0.07650806725849418,0.5448175013651534,0.09313786705944238,-0.6636415198419086,0.2538081011180384,0.3555075984323268,-0.016307067690270318,0.01139751364007373,0.09897687026576682,0.14574589533731822,-0.05811656312915743,-0.42712017816143594,-0.27548617234800615,-0.24262627986524724,0.302116426771037,0.1062970154570072,-0.15008351488075056,0.5871583435031184,0.3257395574334125,0.12207855090632777,0.5444897410311613,0.6622670737474188,0.021095541462683248,0.25371618295770126,-0.4875122184838182,0.7016841959908476,-0.08566982913492592,0.41894489082342273,0.35324860988251783,-0.31173795989534697,0.3159194949054779,0.005764650814338525,0.43379760126880784,0.06005423127101066,-0.11317970950915099,-0.3908600021690947,0.519849562561242,0.18441123576578863
Heschl_R,0.5120850237741958,-0.080175985964943,1.0,0.5469148627547391,-0.1513360945394645,0.5603316200938785,-0.15022532291157445,0.03207045950617521,0.29697807868352516,-0.01963601539401271,-0.22709405834826013,0.31535495498107713,0.26446749185477514,0.19741476038644476,0.3781153521982385,0.3735990423466457,-0.26249407585141593,0.5245500084473305,0.30616222676112814,0.2383759749272692,0.22987123024997744,-0.03563329681921648,0.3857191592485696,0.4895212100936337,0.19760029044217992,0.5353524226169396,0.3647271452138486,0.09023435852501563,-0.1251338084102517,-0.02858576250306922,0.38669329699635785,0.42875986986296666,-0.13489855413589089,0.0439229923567848,0.3057989086639246,0.35978710550150006,-0.17096828706032322,0.42901467366931817,0.33682773386305603,-0.11042724876465575,0.1070081687404558,0.21780366701271772,0.4934839261078152,-0.21458459944368932,0.21414269946309641,0.3038203981170892,0.6053997824346445,0.05319578673772709,0.020113408332639655,0.5194059623350411,-0.10281904823301422,0.0560708227436656,0.061965443838426004,0.10218472301910858,0.4599003906009352,0.4488892048245721,0.2924164043267804,0.27265746120922923,0.24279440462759025,0.4074570386918641,-0.14761600267201122,0.6845235059227603,0.48637180532201896,0.39174079432054165,0.11776103011300079
Precentral_L,0.2717420645290756,-0.31721157625796653,0.5469148627547391,1.0,0.3351687799510515,0.5247766091318534,-0.537995966939864,-0.36642781801002977,0.28778979886496553,0.5399453673836389,-0.3294211140100728,0.18214511935453806,0.12602769599291677,0.5341518127651433,0.8044375575091323,-0.06473609995726777,0.18980693017238606,0.43274947828645927,0.22062147204916316,0.12113846211510453,0.257539386629822,0.10149679269636858,0.7909428672641945,0.7532967134936042,0.5445431035056383,0.7551864607675054,0.5393948700800753,0.06849227535734377,-0.40889722328587236,0.15679937674983718,0.7153606247567731,-0.0019043474329083052,-0.11138425958509447,0.3102628903257888,0.6761836384124009,0.37113355159315264,0.13070242345820263,0.7835415443990505,0.6290070640485148,0.3643410258211679,0.2767525349456717,-0.10897335131584095,0.3072314421315339,0.0014772149733249377,-0.30980351405411766,0.3563452476252941,0.6286760889916895,-0.3767481377994488,-0.26903260325305256,0.3472664946078768,0.3213052226563966,0.6616102598222329,-0.3359210963123657,0.5018711201967687,0.1344423669832381,0.411468657465644,0.7056219743349963,0.33432085096800834,0.6591832554695949,0.3673373346694263,0.19445510054229334,0.65744313661151,0.8925619951579425,0.09064671762454456,0.18410467528918767
Occipital_Inf_R,-0.13814062266244037,-0.3078404103256465,-0.1513360945394645,0.3351687799510515,1.0,0.29118969693695795,-0.4333263684528169,-0.33048387202785173,0.26851472324762593,0.7045715434068315,-0.1393968219286165,0.2509303386025964,0.15007185347373586,0.7277554464145339,0.5255363059080456,-0.2733196049587905,0.7687802711201309,-0.006278575099796728,0.05045843522745752,-0.29134217375118115,0.39599107896162883,-0.004882896696429483,0.5475903474061786,0.3573736734545387,0.4394453703333422,0.5316650745759505,0.06256302765876075,-0.15256641302029975,-0.5692313275175587,0.22224698371398402,0.6008206638931324,-0.2672913042019786,-0.2727031592656154,0.4647920909600685,0.5264276295716175,-0.0037977657803412055,-0.13602009875342258,0.3550200945131724,0.48034443894130324,0.6425673104073669,0.568098891373163,-0.037051347676319936,-0.041022725997824576,0.0503179133653514,-0.3339706769184597,0.42567321383049994,0.1362549015109981,-0.44339112556252275,-0.1417530659883739,0.3371479828361939,0.5652688607278491,0.7135752048558862,-0.5436651857542335,0.4972752479005425,-0.04467243923406884,0.02442473523855084,0.31168285377810523,-0.14598110655457872,0.6254989847788106,-0.18663186562622422,0.713748399641491,0.16153391618383683,0.40803328824204943,-0.29128680900355064,-0.06584737795980242
Insula_R,0.590514128887755,0.13459170343862614,0.5603316200938785,0.5247766091318534,0.29118969693695795,1.0,-0.08171470888502338,0.17659339322080972,0.607291152703832,0.1778831852510397,-0.17382065923862772,0.6912828804639028,0.5626371313199566,0.45660861992825597,0.5282924702203673,0.43206697188523835,0.2181897544304337,0.5232144417725589,0.5337593348974863,0.3043021206130458,0.6780674450959331,0.053190847932335215,0.5726699613954781,0.6319904573094044,0.37320549195832936,0.6448642394697558,0.5793310427219915,-0.05607037943323748,-0.1658707890314757,0.43608473912079193,0.44337937102502156,0.12021353730410372,0.0492217228773354,0.47360749087450205,0.7327855311526227,0.5166227449848333,0.008689936083047703,0.5949179675648139,0.5312014279380107,0.08452207263012745,0.5708395429575825,0.32476050873702106,0.6124745204909908,-0.1126274041838914,0.25973437435192115,0.6847329465022935,0.7886072646469894,0.058869081450208534,0.3317238128184184,0.7048493104081538,0.4354084787207756,0.33851944708333903,0.0865634998216865,0.25021761011125,0.46487272939931085,0.6743605345444619,0.18454724080204296,0.5054287274084992,0.6452332444329997,0.6169403986852567,0.4257475367089626,0.7936901693487745,0.5752820826832847,0.5563938353746067,-0.01891739009567006
ACC_sub_L,0.4026793816735489,0.7091944884520838,-0.15022532291157445,-0.537995966939864,-0.4333263684528169,-0.08171470888502338,1.0,0.8328111379793484,-0.18324710451978457,-0.4407253667430832,0.27443739320783667,0.0334227743226501,0.07875021763322078,-0.2849866858510821,-0.6670592573547709,0.4129708404854389,-0.2745585818120331,0.13950345107546122,0.2495581574828954,0.37335679250815224,0.055347768334845227,0.22055562789069807,-0.36353270156306616,-0.33648555946265135,-0.11409891699001388,-0.4935763259549614,0.20976321173182885,-0.12712369444384106,0.5760968508799567,-0.18366336706741762,-0.7459033410525718,0.19122426693908937,0.18926911572706404,-0.16987880946733624,-0.33290199892083816,0.09963419049822649,-0.023958291788276357,-0.34893074308236427,-0.5751451726748231,-0.20703447103571057,-0.3462553187072716,0.12421510853701115,0.13244917711376247,-0.3522662573183347,0.6202300932925474,-0.0072711164638460755,-0.19217149509383138,0.5218880583626001,0.4645548976277846,0.017886301506815125,-0.16146961244900812,-0.6502795574472408,0.60649023071133,-0.16325622193031986,0.24269263328258667,0.0680265789229574,-0.3226688042559545,0.06873487321582576,-0.3220107723933162,0.22658526395061368,-0.22658012385045576,-0.3363979260891335,-0.5644211113235483,0.36491696117535105,0.20169244214425683
Temporal_Pole_Sup_L,0.6371801502836513,0.8090746251300501,0.03207045950617521,-0.36642781801002977,-0.33048387202785173,0.17659339322080972,0.8328111379793484,1.0,0.1767618050759933,-0.4399318334716874,0.32482492696732335,0.3772314355529935,0.4149021355968512,-0.18752666984575744,-0.48553535837646655,0.6848877367510673,-0.20824321443088514,0.2680119511403124,0.4389666765588876,0.34354941249672294,0.33188890648772545,0.17411202792248973,-0.20419178808027874,-0.20121782132344215,-0.08258253758800879,-0.27750860179860753,0.2885238112110208,-0.047633926694746725,0.5735400407778902,0.0797200818918183,-0.5959782486485828,0.2724733227030302,0.3083185563759782,0.08135269557367016,-0.07093824913789543,0.23160238677146408,0.019965108340172778,-0.10458999625342548,-0.4143053817003949,-0.25869599082260103,-0.1580120016401903,0.405128186519935,0.29254213406766916,-0.2884303683617371,0.7621957990741194,0.2658948036707603,0.08306029123848584,0.6403376268495037,0.6929778546585615,0.23758576506151288,0.0111563613141746,-0.5990789326029254,0.7192426173889633,-0.21914656675466185,0.382129890318514,0.3895279440613261,-0.38398532141853575,0.23541323876237244,-0.1155662025688456,0.3782642046685877,-0.04131419694238385,-0.05640806800400723,-0.33842136769192815,0.594628812291442,0.07341813390135542
Amygdala_L,0.4509332490342629,0.17060762163307347,0.29697807868352516,0.28778979886496553,0.26851472324762593,0.607291152703832,-0.18324710451978457,0.1767618050759933,1.0,0.06781280866112885,0.2105162134106702,0.7447222212412005,0.7638667988945254,0.2407749160939153,0.32959441437106024,0.53322717824189,0.26176195614583836,0.1714753952803511,0.4465319956008569,0.18368822411971245,0.5699447041657641,-0.19350563367878318,0.3467937631861528,0.34517190110607604,0.051958941642488786,0.46335591951637484,0.16563274820470691,0.18263017395752526,-0.030407898922764444,0.6394224210832558,0.36846914595432423,0.26026795213053283,0.1916289890796602,0.5622990141095535,0.5359257860150175,0.20417010295879495,0.08386147410853804,0.43868666742311785,0.3815587094945783,-0.09165704051072325,0.5008600271130424,0.48930046987831677,0.223567029284792,0.16679045674732243,0.1691709095466875,0.5112666257101527,0.6348743324930787,0.13946804453698647,0.5007440469634251,0.5248931508218868,0.3787923225384214,0.1480471081982203,0.1305128357543087,-0.07342797630453701,0.34311954426419977,0.6736438656075309,-0.18236345714473823,0.14359191184519696,0.5133317326852793,0.23356236203249253,0.4470792622447011,0.6223781290281306,0.40269805988948953,0.47034068094231346,-0.26207815596774875
Occipital_Sup_L,-0.08450066704075983,-0.2927100089533554,-0.01963601539401271,0.5399453673836389,0.7045715434068315,0.1778831852510397,-0.4407253667430832,-0.4399318334716874,0.06781280866112885,1.0,-0.11935736456709906,0.05144612407284546,-0.07490659833569395,0.7857337921765964,0.4964235929956473,-0.3290855982755812,0.6170622826277653,-0.04964088694073038,0.023959018569736455,-0.11576519080399143,0.2772714854089165,0.18426371396159852,0.7527571604835763,0.4876812949396508,0.6075329520964502,0.5131543956490965,0.3065548827839819,-0.06210981118081921,-0.4877565725831411,0.015749114223013658,0.5646111370697855,-0.23054905650051602,-0.26423485409918973,0.2305334289330105,0.5182625076162611,-0.1017211032581872,-0.06896225090114542,0.4217933732167152,0.4511953888549442,0.6793644565277502,0.24357943051809347,-0.31970153502132,-0.12590589965920637,0.0343239499881705,-0.4348886526607209,0.32841016165426934,0.20379579088635555,-0.5200478401087019,-0.34864164703508316,0.13666057751463498,0.552215198407101,0.7700773683256801,-0.6091257433719465,0.7707739309008463,-0.09214905383984823,-0.022928112303098346,0.7083654569859138,-0.05993897266224067,0.6710048389326483,-0.015891789497263154,0.4869551958531916,0.13131819989280452,0.42382875086837724,-0.313142160414725,0.2730669779179472
