,Cerebellum_7b_R,Frontal_Sup_Medial_L,N_Acc_L,Precentral_L,Frontal_Inf_Tri_L,Thal_MGN_R,Cerebellum_9_L,Occipital_Inf_R,Putamen_L,Thal_MDl_R,Vermis_1_2,Cuneus_R,Calcarine_L,Temporal_Sup_R,Cerebellum_3_R,Lingual_L,ACC_sup_L,Precentral_R,Olfactory_L,SN_pc_R,Frontal_Sup_2_R,Cingulate_Mid_L,Thal_IL_R,Frontal_Med_Orb_R,Calcarine_R,Temporal_Pole_Sup_L,SN_pr_R,Insula_L,Temporal_Pole_Mid_L,Cerebellum_7b_L,Cingulate_Post_L,Hippocampus_L,Red_N_L,Temporal_Inf_R,Cerebellum_10_R,Thal_LP_L,Frontal_Mid_2_L,Temporal_Sup_L,Frontal_Inf_Tri_R,Cerebellum_6_R,Heschl_L,Frontal_Inf_Orb_2_R,Rolandic_Oper_L,Thal_VPL_L,Vermis_3,Supp_Motor_Area_R,Thal_PuL_R,Angular_R,Amygdala_R,Temporal_Pole_Sup_R,Fusiform_L,Thal_IL_L,Thal_VL_L,Parietal_Sup_L,Cerebellum_Crus1_R,Angular_L,SupraMarginal_R,ParaHippocampal_R,Cerebellum_Crus2_R,ACC_sub_R,ACC_pre_L,Caudate_R,N_Acc_R,Paracentral_Lobule_R,Raphe_D,Thal_VL_R,Parietal_Inf_L,Cerebellum_Crus2_L,Thal_VA_R,Hippocampus_R,Cerebellum_8_R,Rectus_L,Thal_PuA_R,Parietal_Sup_R,Occipital_Inf_L
Cerebellum_7b_R,1.0,-0.19337759601130383,0.06709069374989303,-0.24076648621389352,-0.026886344083314615,0.4915431905582951,0.49673305214054053,0.026419287269005495,0.5222198471733709,0.5295003312245643,-0.09934016340693978,-0.38417594444047215,0.245700807347723,0.23542754505932387,0.2732897702727273,-0.03996268988756217,0.2178495542001945,-0.2333798854747458,0.2909352104300111,0.5506258566567176,0.006550178576484811,0.10125700202404102,0.4625774295081861,0.2510469938005252,0.26235566082338696,0.3462614040178833,0.4627875036424534,0.2719788474422901,-0.14492195151151951,0.229381856383723,0.022758474612769093,0.12640259966362827,-0.19482957914145216,0.5182553007657899,0.1346742034930052,0.13998566672588114,-0.08499311879533092,-0.12380563546497146,-0.05889984792906682,0.3134616588884105,-0.3178897431811395,0.29630267590028775,-0.023617402447552123,0.13598492738706675,0.30108334614123866,-0.029370093105560796,-0.3275537561236508,-0.03948960886827154,0.052966868788341774,0.43510150831847993,0.36748143092404434,0.38072247703540196,0.3191106957000145,-0.359129790741369,0.2453594807979961,-0.4594331047655197,-0.1632151973978258,0.5303753462781553,0.6540963636953361,0.16040978918523838,0.05606175213108812,0.28532166710798634,0.11679374803595058,-0.1649363077994805,0.4259319052037319,0.35195913949703705,-0.5515998122548205,0.3093226184363012,0.5579890407477436,0.1444524753520824,0.6350763733394595,0.30032657933321133,-0.17083980828071943,-0.46579108690612286,-0.20045865286387504
Frontal_Sup_Medial_L,-0.19337759601130383,1.0,0.05345632227943056,0.37113355159315264,0.6615845142315416,0.059785703193330875,0.2971726420928386,-0.0037977657803412055,0.3054387181648625,0.11675447868870817,0.424533494863454,0.5339588971425584,0.24384905366890902,0.15375943427574892,0.30603425850482474,0.3253454434178496,0.3923660153758858,0.4172399569542494,0.3185275859713876,-0.04281226577302139,0.34170636382216785,0.2920405007884901,0.05413982395962836,-0.3704992531308567,0.29711987275969354,0.23160238677146408,-0.019384472570673824,0.4928757269782492,0.5028026187101308,0.4114075242348716,0.02007347882847131,0.4475217623982304,0.3577890821488804,0.0890575347549352,0.17310692761641203,0.20955617369700877,0.7454217206498169,0.4302891988139282,0.8447069114820268,0.3792651599585246,0.32501220510027146,-0.48476985502694053,0.4144221449156121,0.47132473960483484,0.21992253032069883,0.3597244071845226,0.17274664231863543,0.0728780085835606,0.3498601509150597,0.021307892271132844,0.38786542378293143,0.12296553351256431,0.35685480665836516,0.09262877305311311,0.12875478417917832,0.40461687239234245,0.09843774873643439,0.07317635902847211,-0.0031969284810975437,0.06872325891354877,0.4059658010049618,0.48529307994008053,0.34471980824165704,0.18718477493005078,-0.2537652088176465,0.2396365737202038,0.1556207570741073,0.21003152578210713,0.06488720502471033,0.38338238315766576,0.2927202126196339,0.004271689199030663,0.33980628014184094,0.3390155333503405,0.34293646920059717
N_Acc_L,0.06709069374989303,0.05345632227943056,1.0,0.12113846211510453,0.3558971595371526,0.4629142906340526,0.2328890237509004,-0.29134217375118115,-0.06069009192465885,0.5186889100716643,0.0713901662170814,-0.1287547305429622,0.11327048311643076,-0.000311857514550265,0.15727729785467418,0.042123436871319135,0.2993698653616129,-0.21134253037247774,0.5162767615230884,0.13257550154856,0.20967337058292537,0.091137937970835,0.4625478502828815,0.1632312665074707,-0.03902075457245673,0.34354941249672294,0.16597032749658353,0.29040219078664475,-0.11234352994846936,0.04745755300320793,0.00886209954758595,0.427095756720282,0.10736419472409381,0.0357764499296648,0.12960714874630483,0.10211390057751059,0.3604019508279057,0.5246663188315351,0.01990184022334603,0.09146694056094117,-0.03464522746285173,0.34440166212644985,0.40011118898460935,0.36483390862323456,0.3341259536832293,0.09493728333551205,-0.24082284081973393,-0.028878043952373148,0.13174423485165884,0.46925211948066853,0.49584651310424105,0.42295974396096137,0.45453684775142755,0.18823740897677016,-0.2698159842787255,0.015775512118830735,-0.20345171824941868,0.5483122991832642,-0.21932579162883797,0.3353582270591972,0.3305742038382121,0.09573558171043331,-0.18222738056177903,0.13611656063661498,0.10437842809842235,0.29807240856698064,0.04687980436738305,-0.13591638372165876,0.26685071941999916,0.2721245228328459,0.07836396257181706,0.46083089507094815,-0.08161126936583339,-0.1309302433591142,-0.03595181617167831
Precentral_L,-0.24076648621389352,0.37113355159315264,0.12113846211510453,1.0,0.1593088699540692,-0.14078227371418015,0.3374430636861514,0.3351687799510515,0.13537296221832448,0.08950868925237118,0.5571006209977403,0.5445431035056383,0.6496294352044756,0.4651541019412434,0.3229024181142955,0.6591832554695949,0.20857466598225202,0.8044375575091323,0.09064671762454456,-0.10897335131584095,0.4476861737394867,0.7835415443990505,0.03126842962552207,-0.48746705980514005,0.4741013547726915,-0.36642781801002977,0.2789084431302051,0.32442647101931155,0.25913118271897045,-0.0938293099631624,0.4502082863018271,0.6286760889916895,0.5592400967648705,0.0951754968752812,0.15679937674983718,0.7551864607675054,0.6942807200053002,0.5393948700800753,0.3072314421315339,0.3563452476252941,0.5912219036276936,-0.16105450344307393,0.3673373346694263,0.1583763637811266,0.2351653800144077,0.8251580887467107,0.6616102598222329,0.6863827181752967,0.6277671234882524,-0.07114445109169285,0.19760912574483977,-0.3359210963123657,0.07501991083253035,0.18410467528918767,0.19445510054229334,0.663478881384354,0.7241214540489342,-0.06473609995726777,-0.14718297846359513,-0.5950015444110764,-0.215113586184378,0.3472664946078768,0.2767525349456717,0.8177723943541868,-0.6325345742509461,0.23494747311456204,0.7056219743349963,-0.15317547571926324,-0.26903260325305256,0.65744313661151,0.23784546536051795,-0.3075801998533206,0.6372372571251765,0.10149679269636858,0.3194905399243247
Frontal_Inf_Tri_L,-0.026886344083314615,0.6615845142315416,0.3558971595371526,0.1593088699540692,1.0,0.283166420811961,0.27323197405445243,-0.32561205475861676,0.229816303606532,0.4338528833736975,0.40531509162469814,0.3500837673559332,0.11259618823536918,0.027182734250275092,0.2924885456511675,0.21575294382686236,0.7558911218453906,-0.027750725121161036,0.5670777903241188,0.10218312409305108,-0.041051887342210734,0.2654666847913887,0.16044327955479312,0.04485562841965078,0.19224786203000932,0.6901995426807491,-0.1093366570624389,0.5281809261702315,0.4756874106246287,0.6423607815663441,0.01699995029526499,0.34111012863071893,0.1572199943222475,0.1454680921519322,0.07258618148029641,-0.022835368383824328,0.5989606748911805,0.6706677359301155,0.6240132498211162,0.3739973439961505,0.27354011434569325,-0.33662101756859625,0.7265325890233565,0.7615160751877204,0.3007152368893884,-0.05784045732966166,-0.17637085597391172,-0.2477551292269403,0.07464594350246388,0.40708228520311024,0.6629195830317592,0.5104332527728995,0.7206628539740106,0.23859062201640024,-0.009396406375212324,0.25850022704860226,-0.29808830889879556,0.4170746786268217,0.017450633243356144,0.5181354781993424,0.8390266833071663,0.30906717822153407,-0.02115933822638504,-0.11988313239090245,0.09611288950116686,0.4076001112576152,0.05451004195563393,0.38649838511077533,0.41178537279544103,0.2571459481486075,0.24565085300466225,0.26110253998368216,0.23380080273467907,0.49450824274873284,0.39442554821901143
Thal_MGN_R,0.4915431905582951,0.059785703193330875,0.4629142906340526,-0.14078227371418015,0.283166420811961,1.0,0.3584916935313045,-0.5514012022646411,0.3523906185645655,0.6846741139250889,-0.10731217691870959,-0.5116698729780452,0.0026083855214256236,-0.018948360028508696,0.39326419481424985,-0.27218964374332877,0.291647717882609,-0.3282299856719731,0.6422656909758552,0.6071905983366549,0.24384014741782198,-0.021932549619550754,0.8728894211654966,0.30084402753063677,-0.18129109022825124,0.5029709197563611,0.5408999560357456,0.2897383583007263,-0.3416135631181784,0.06221523067256706,-0.044011840244726985,0.3917416769330024,-0.2586477681045288,0.15574693094734463,0.22808573164123763,-0.011807158787571916,0.34249358194217056,0.04458263214571631,0.16660805741170398,-0.00033338857637492056,-0.44426978843241405,0.4838592133684218,0.19995873507282264,0.38224926776671775,0.5673907279843172,0.03747772069002253,-0.667064159794593,-0.24966918195441334,-0.06525999280465064,0.6578001221083909,0.41282050623544125,0.7222150068695347,0.5217267211809175,-0.11105914012843557,-0.37056872406905517,-0.4190911722954559,-0.37347509556085895,0.8000009393414486,-0.03173349413582716,0.3750754356227195,0.30049555954924567,0.2356475131579918,-0.2046735457370646,-0.16280920061083615,0.2697215176841116,0.4335864422690872,-0.48051867545137533,-0.18341034222284286,0.6304140654252333,0.3440243506218253,0.2447527908804426,0.7634708110034741,-0.4662296709179036,-0.4035795882813084,-0.4856597907439892
Cerebellum_9_L,0.49673305214054053,0.2971726420928386,0.2328890237509004,0.3374430636861514,0.27323197405445243,0.3584916935313045,1.0,0.28920574637315466,0.6281711346377751,0.5741330042217547,0.613664896571317,0.1397782222338139,0.7526876635692304,0.6989943964114024,0.5219252821837252,0.6223762475019815,0.4962928708433515,0.33840116172528895,0.42459270733397353,0.4666381797785383,0.35893947162722345,0.5147892306829404,0.5089037762745205,-0.12126474910266583,0.6224791354638466,0.24338124297084945,0.30060366172209757,0.7063228281197745,0.19517539313954754,0.3475621463667412,0.4189488863661926,0.6550503142732627,0.5180608671945428,0.752345184993485,0.6980741262187258,0.4981199518057198,0.46050701147643786,0.38984963932031186,0.34690699150782506,0.6953044847008362,0.14984555668451602,0.10750810271350518,0.420440796747655,0.48777091445323484,0.5541834618323033,0.4210585671623899,0.1673121746752323,0.2663964877438674,0.634034411451105,0.5090766947639337,0.6238407960844298,0.21270268254388222,0.5604706754287542,-0.20528850873042637,0.5918836643833715,0.04324935616997652,0.23632536320537006,0.5117237369206324,0.6262175174327537,-0.08851504826074227,0.073480942790444,0.5327931838400957,0.49647245020917063,0.31983009993669487,0.16092931869406904,0.7586156061418421,-0.15706009479754518,0.37760671626538567,0.5816458416424317,0.6355351671179732,0.9022423994465816,0.039424603411219214,0.43067205892546134,-0.17140877203060298,0.15250545380226885
Occipital_Inf_R,0.026419287269005495,-0.0037977657803412055,-0.29134217375118115,0.3351687799510515,-0.32561205475861676,-0.5514012022646411,0.28920574637315466,1.0,0.2989187911341288,-0.16300377142123523,0.38978093795796376,0.4394453703333422,0.6152777560635353,0.5102750579729433,0.03894179062239728,0.6254989847788106,0.006870336349968193,0.5255363059080456,-0.29128680900355064,-0.037051347676319936,0.06522879347089185,0.3550200945131724,-0.27614912158289495,-0.2454873274659208,0.564019582432639,-0.33048387202785173,-0.0037206649351748367,0.24214723582280542,0.36671818168783277,-0.01166442513769829,0.24937540474591988,0.1362549015109981,0.5417746072265861,0.48628509099435635,0.22224698371398402,0.5316650745759505,-0.08718686153034773,0.06256302765876075,-0.041022725997824576,0.42567321383049994,0.35504082717972474,-0.17868711627452855,-0.18663186562622422,-0.2354371943082116,-0.14067379296861107,0.37558233267321545,0.7135752048558862,0.5815368083303158,0.4726152531866069,-0.230219379162836,-0.042380458734690804,-0.5436651857542335,-0.22401082050544835,-0.06584737795980242,0.713748399641491,0.33638615132003713,0.6269872270143009,-0.2733196049587905,0.454626620030245,-0.47397518399852834,-0.34912017157011616,0.3371479828361939,0.568098891373163,0.47254670036459984,-0.1714365012055449,0.08015198732881267,0.31168285377810523,0.27319153699497306,-0.1417530659883739,0.16153391618383683,0.35621795474329954,-0.5442568893760682,0.5741415768158562,-0.004882896696429483,0.3521076334253417
Putamen_L,0.5222198471733709,0.3054387181648625,-0.06069009192465885,0.13537296221832448,0.229816303606532,0.3523906185645655,0.6281711346377751,0.2989187911341288,1.0,0.4656561240372361,0.3564325477565813,0.10436230583693146,0.5542621555801788,0.5906902714512812,0.44845526917939693,0.36109459800901134,0.4190255698853007,0.29036194139633137,0.3740552538055782,0.5054647279797808,0.1655690595544083,0.42895670166816946,0.48241391243132786,0.013638153862232803,0.4853937505508334,0.30795695904869347,0.43091463829456567,0.6608579940704998,0.2124281168048781,0.23328583661498692,0.2427518304449481,0.4358191603386724,0.24069385078372504,0.6644621101003275,0.41009322416376714,0.45711493936249326,0.3387829381467721,0.1445735065939793,0.47308480585224055,0.5586450984606887,0.08018470162701509,-0.013494332698857005,0.23151152224923507,0.329569441087377,0.3563669954195676,0.3142992004909301,0.053935957490015084,0.24262534586392545,0.34086898626574336,0.4137123279765226,0.3961597030111476,0.25078976738607556,0.405771020791132,-0.20742778657963104,0.4459329524850086,-0.0573084315523839,0.24402944312927768,0.42704186591938303,0.5169119644949655,0.01083099757872686,0.1729296895242609,0.7316287680172849,0.5266173480235479,0.16233863833370524,0.11327354120582905,0.5761189123570638,-0.21282421204272997,0.24817545295339058,0.5700227054214053,0.5197734872656639,0.6649980290411621,0.12260865910133667,0.22884175965426995,-0.11998228117635167,-0.022896925783576567
Thal_MDl_R,0.5295003312245643,0.11675447868870817,0.5186889100716643,0.08950868925237118,0.4338528833736975,0.6846741139250889,0.5741330042217547,-0.16300377142123523,0.4656561240372361,1.0,0.21776515403257862,-0.10049470575268747,0.3623241949084975,0.20704076009733943,0.4000882838203459,0.15605805039981227,0.5452935192413354,-0.1560042548569414,0.6306122814801302,0.5029336224980607,0.21732443132353602,0.24729640422265275,0.6870384818265399,0.33449374231847756,0.3066376358768978,0.5929457673086802,0.4310128984617783,0.554329386297562,-0.003951784604920798,0.3990962978988922,0.05554871276141235,0.5363030815232824,0.011013849641184546,0.3998222874366431,0.22341737572575313,0.30355090640570065,0.4312230629987014,0.4596680480344925,0.2553633052389251,0.4395619315088447,-0.16285911420633684,0.33705227786195396,0.4141537970873812,0.5322046853030796,0.5700211521254814,0.1347849026897499,-0.31548261898780244,0.038222423060536644,0.20747559697738782,0.6781612238954682,0.7430374101742167,0.6231894781001446,0.6798687093619046,0.10134469675881747,0.034940689388818724,-0.03473422954045877,-0.16755051379136923,0.8229877946235263,0.25729108992774324,0.3015900647512376,0.42954965004170126,0.46521497243322196,-0.02337704713235225,0.051029119929839044,0.22152850617345227,0.6214486015710472,-0.15052798928107874,0.1898810020863949,0.6867102725527013,0.37826886758063705,0.48944334395715317,0.5442090063432735,0.06155148160513238,-0.22553110624397177,-0.022280434138417727
