,OFCant_L,ParaHippocampal_L,Precentral_L,Rolandic_Oper_L,Angular_L,Temporal_Sup_L,ACC_sub_L,Thal_AV_L,VTA_R,Occipital_Mid_L,Cerebellum_6_R,Cerebellum_6_L,Cerebellum_8_L,Fusiform_L,Red_N_R,Temporal_Sup_R,Pallidum_L,Cuneus_L,Vermis_10,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Raphe_D,Vermis_8,Frontal_Inf_Oper_R,Angular_R,Temporal_Mid_R,Thal_LGN_R,Temporal_Pole_Sup_L,Cuneus_R,N_Acc_L,Cingulate_Post_R,Caudate_R,Supp_Motor_Area_L,Thal_VA_R,Parietal_Inf_L,Cerebellum_7b_L,Insula_L,Frontal_Sup_Medial_R,Lingual_L,SupraMarginal_L,ParaHippocampal_R,OFCpost_R,Thal_MGN_L,Thal_AV_R,Thal_LP_R,Cerebellum_9_R,Parietal_Inf_R,Thal_VPL_L,Thal_PuA_R,OFCant_R,Cerebellum_Crus2_R,Vermis_1_2,Thal_PuI_R,Occipital_Mid_R,Cerebellum_4_5_R,Caudate_L,SN_pc_R,Temporal_Inf_L,Supp_Motor_Area_R,Cingulate_Mid_R,Cerebellum_4_5_L,Occipital_Inf_L,Frontal_Med_Orb_R,Rectus_R,Cingulate_Mid_L,Occipital_Sup_R,Rolandic_Oper_R,Vermis_6,Thal_MDl_R,SN_pc_L,Parietal_Sup_R,Thal_MDm_R,Paracentral_Lobule_R,Cerebellum_3_L,Temporal_Mid_L,Insula_R,Thal_VA_L,OFCpost_L,Heschl_R,Vermis_4_5,Olfactory_R,Frontal_Inf_Orb_2_R,Cerebellum_3_R,SN_pr_L,Frontal_Inf_Tri_L,Thal_LGN_L,Cerebellum_10_L,LC_L,Lingual_R,Thal_IL_R,Thal_MGN_R,Putamen_R,VTA_L,Red_N_L,ACC_pre_L,Heschl_L,Thal_PuL_R,ACC_sup_R,Frontal_Inf_Tri_R,OFCmed_L
OFCant_L,1.0,-0.6254525328676238,0.03404019047880602,-0.21153439454921835,-0.6339386260954704,-0.4403764592369203,0.3034367895536333,-0.06846914468982726,-0.2456027245469902,-0.021518816913727742,-0.06392060129179164,-0.5201227137894138,-0.014906548608633328,-0.34337822713405314,-0.003366732216336301,0.4156592712099792,-0.3037854081437548,-0.5040488987005587,0.54450820954387,-0.17936124145034613,0.26503920384064755,-0.4019004852120992,0.41067352595740547,0.2871863164558747,-0.011861416212024153,0.334152965766264,0.11786528226711392,0.2660212125254183,-0.21679656365988653,0.5280479928637548,0.1314177147266409,0.4530692791489173,-0.28999700866136574,0.2873468209436345,-0.050816287165742643,-0.6113210411392608,-0.42064664016464026,0.3560111146041326,-0.4025600681792082,-0.41909550006077523,0.5124068635949969,0.16534580046382166,-0.09418354436170082,0.088549933430199,0.04832756534519652,0.278356567579276,-0.3263486446428519,-0.48583628446137367,-0.3662097314175844,0.44378818481543497,0.14422890137030855,-0.45792713503445626,-0.2263497738246055,0.7002327498768997,0.41699702184001936,0.5103505553810277,0.33642941445981217,0.11540874511967826,-0.10925712260204484,-0.029030415284356324,-0.1008023031085235,-0.15552796128471544,0.5872952156700654,0.5430672489463013,-0.17301106432016322,0.41420200267373947,0.5856016243213535,0.18897286986816197,-0.09599772882772666,0.07249431368554907,-0.10176810058658693,-0.06203815210583544,-0.04117346873930133,-0.3249701374709556,-0.42488337587881286,0.6836810924331217,-0.23667710976171838,0.5585566634410877,0.05878826214050718,-0.13934072557576593,-0.3359214687749736,0.7590311299900534,-0.38911934271283377,-0.06489646402804045,-0.28474900428704947,0.2952761072983967,0.19893998182531222,-0.13448031803277255,-0.16844071405033942,-0.02747484886789794,-0.33723331657938055,0.4251557313133376,0.019909337021743037,-0.5464787488363076,0.7528897949709232,-0.3565854284533247,0.2911346383121219,0.40089417306831143,0.6207407805165421,0.6723479716024713
ParaHippocampal_L,-0.6254525328676238,1.0,0.4003949341413837,0.6721015776776258,0.6388226253181207,0.7686760844179276,-0.275289019349907,0.018342131915875987,0.26543603579071656,-0.22466044158599924,0.19935722389333463,0.6302772415944848,-0.16567747068485214,0.3812277610134413,0.15087833810054183,-0.45880360352425903,0.7372122863957988,0.36786095866378726,-0.5632252652417883,0.43384464063214756,0.028905332448831964,0.5038206660838976,-0.6252472689761035,-0.13779602712739017,-0.37294377987098215,-0.47850676048065766,0.30307005834684153,-0.35024548923910276,0.04180474501359352,-0.1582744311566037,-0.08092972078265794,-0.22651885220645082,0.08399768086259532,-0.05651204126124496,-0.15656124130209365,0.6251627659930823,0.8336599569767004,-0.15423492725034504,0.5538125771840504,0.5946555130480148,-0.3543458758868965,-0.10660499632271767,0.33483798654179975,0.18923167826614948,-0.0640973781299939,-0.3084358806291994,0.01322610749210609,0.5093735411636287,0.5997145041391548,-0.4573315454348239,-0.2708357072424053,0.6044524932073417,0.4687186916905231,-0.7752557073769918,-0.48344634627853733,-0.237050012066155,-0.238213547839924,-0.09972774410295239,0.19857549587732506,0.15438405502733543,0.24002859530136642,0.08825815804149655,-0.6961920979810245,-0.3962639236665116,0.2541239149545384,-0.6299879042450528,-0.5400353837091382,-0.3648493536122702,0.30065151126305967,0.29872723762964903,-0.23224256128261506,0.29578884621505597,-0.06100149363913936,0.6031727878110185,0.5183367121627903,-0.550983175450241,0.43339370033255215,-0.08732068365703012,-0.06392488683068541,0.08777002864587963,0.3772545744436915,-0.6044525161481469,0.748242277819739,-0.11718237303176579,0.6649988141521216,-0.033015994204630056,-0.3602763889884722,0.42287540284632996,0.24122721647519674,-0.02846567995445144,0.5165115747069408,-0.17639887658504988,0.02498974787430376,0.678083652485938,-0.539720650962047,0.7995008986270399,-0.45565467424713335,-0.1488016968163485,-0.5480908106865728,-0.6423179690310258
Precentral_L,0.03404019047880602,0.4003949341413837,1.0,0.7475042630665973,0.36143673732335657,0.6553586092356974,-0.16330750712476735,0.0340873399338459,-0.015314787148707583,-0.06303888369146475,-0.006185258233752651,0.15150443504694985,-0.39107499137467544,-0.05838950355399215,0.2618721710258492,-0.1682722263432235,0.5561633243504545,0.18195738070516398,0.0033852046480534696,0.40200272446997337,0.2788858920602148,0.2394234077463736,-0.2750599386251014,0.10257790546759049,-0.23239297251862726,-0.15036198038128284,0.4518630301527682,0.08357848511002922,0.006931720407132264,0.22580551091171747,0.3656818536825801,0.06108078417940863,0.13107668495730995,0.08119715651848022,0.1408076027870564,-0.00687809675498271,0.6077315146425637,0.15440863430809015,0.40015668590363274,0.6085784025792071,-0.012871629653764424,-0.28476800684004633,0.3649270808861568,0.043741341084275305,0.06831261316401784,-0.051676157351085696,-0.14971224593749155,0.21041304556597287,0.4843425608593717,-0.17164809162538675,-0.040987854533994096,0.27235230911103364,0.45912608796528787,-0.1842544736958968,-0.1838030286877004,0.10684177268039134,0.045205918366693604,-0.08554818283012186,0.3096137444153377,0.2535815499982143,0.14135817067666687,0.04366680531428004,-0.24285413682492296,0.2533953744242979,0.31532538906568297,-0.23170597769462498,-0.19401409732234945,-0.10556606585423534,0.06820709138052969,0.3398260906148767,-0.0879450554369396,0.19910730399316717,0.24712430675152405,0.3471471307815906,0.30951452468637397,-0.05772260359998522,0.23937844458871693,0.3017030480586964,-0.15219351393297678,-0.05683035681105871,0.08981204986855411,-0.12346982508125127,0.3811009631137439,-0.14770198986312966,0.6932098388163417,0.3035208227854735,-0.27054722321513974,0.39711409027873157,0.22227035883860893,0.1855399845026675,0.11701184175640833,0.07951367551708223,0.17595471774512078,0.22577391666409558,0.061531266487030195,0.6591160595136052,-0.22392732904790907,0.044559581660016105,-0.1245235573404485,-0.1802761613178657
Rolandic_Oper_L,-0.21153439454921835,0.6721015776776258,0.7475042630665973,1.0,0.42348872424348316,0.8220834416869861,-0.23921827840996224,-0.15527690766512992,0.21346259712023202,-0.18639619592486942,0.029164332579325984,0.2750169492652131,-0.370211054284539,0.014412910335182431,0.34245577119837173,-0.3039219364072438,0.7163320531315608,0.1419535352772459,-0.13423344710383897,0.4514861524764912,0.23077314947698754,0.16401046942572584,-0.5604593976009864,-0.18266900743259146,-0.46903981842787507,-0.29420022404060026,0.4776966654559545,-0.1077566726927791,-0.09314754630417658,0.22193192909948284,0.01541194167701723,0.04129465606472486,-0.0888785737467949,0.13975963946444464,-0.08745805170201788,0.11347159631442374,0.8333968062688352,-0.15487279142903812,0.5593077494635941,0.6386980400432145,-0.023518602148783714,-0.14356377578175566,0.4544448811813139,0.28050052826926375,-0.013236121460207625,-0.2310392799097331,-0.20887223886710066,0.30154033575194705,0.473483883177501,-0.3432184404360656,-0.144112283777335,0.3008638412372543,0.4575625301507075,-0.4370640401564114,-0.3171000558910293,0.08923786451847562,-0.01290874506696124,-0.2583682748648169,0.025944237250348254,0.027875811367330847,0.08308307831062375,-0.000297041053017608,-0.46946641752831886,-0.006615682726431644,0.06796484411083885,-0.499422671442142,-0.3948619722413421,-0.23997748222254367,0.3199326967101546,0.45101176656092073,-0.23421111863363417,0.3565609943646834,-0.05931612793173399,0.3614935290570721,0.33644798250334695,-0.19397857336801158,0.41420678048584153,0.2920420087757784,-0.04134981757116691,0.02255215200272048,0.29883157968049134,-0.3191231904093239,0.5575286178482546,-0.31106339293065954,0.69973910947124,0.1463134356479332,-0.41898661939740306,0.4101543534385544,0.25623444429159886,-0.04022199059787919,0.3443238124509423,0.07816693300721932,0.3503252854443735,0.36521600153027284,-0.22672386079307655,0.9235012749646974,-0.4081634617904893,-0.0944973332901869,-0.3205088316140846,-0.3207903550887959
Angular_L,-0.6339386260954704,0.6388226253181207,0.36143673732335657,0.42348872424348316,1.0,0.7366865891750336,-0.30245577101754845,0.17158737143874156,-0.03939403450833209,0.23554414167556348,0.1970072131758876,0.6930622840589304,-0.11991858357894551,0.38458011641211104,-0.13722858933912674,-0.49608228919711816,0.500306603936671,0.8690319915347441,-0.5076195903112318,0.4472172016715738,0.06490953214053662,0.5865761113908479,-0.40826029240888906,-0.04563820969958393,0.20840342320824362,-0.2503814308282627,-0.10295622788803786,-0.034179347516401254,0.5804003732752496,-0.5332164022147745,0.2025276873359281,-0.5494602927938103,0.2960667227064018,-0.48587688369604326,0.4215925041194204,0.5699546630376736,0.56357284115177,-0.3987162786737347,0.7189401444466599,0.8601597052314565,-0.6179928106577827,-0.4552317250407015,0.21772421367121486,-0.2916305295446433,-0.008088482080756984,-0.25267077111038094,0.3495592403415708,0.6125010687261194,0.6520594585217989,-0.5923033508172606,0.12959048662628322,0.6746252079358969,0.30324194791118425,-0.617549619022324,-0.34025126185513255,-0.5177820099032712,-0.4868200371583115,0.07924705780542583,0.07051342757900605,0.08062305628542236,0.31725024330719964,0.08151201925832088,-0.5531134250434037,-0.21584520797356954,0.29027692065719013,-0.18324714452989163,-0.6955040164551154,-0.04879236583667426,-0.08196104425436551,-0.10688013166726014,0.21120505776822734,0.06348032965182134,0.08921097391834851,0.3123218120783235,0.6376515325512586,-0.640144943313506,0.179915902570947,-0.3134077648901454,-0.37051812277224533,0.3006783564425667,0.28907941649198576,-0.7791299940131641,0.47019504121272887,0.07753965912021549,0.49645845758101215,-0.13247575180791638,-0.2595246294290681,0.2850135373027136,0.41635180712206543,0.29281861744402743,0.0997566605663355,-0.48351255563268225,-0.24329837788305347,0.47749424439754223,-0.6543756704330678,0.5605522112818639,-0.3456771297084532,-0.5293819801752647,-0.6633669356028029,-0.6625142177583753
Temporal_Sup_L,-0.4403764592369203,0.7686760844179276,0.6553586092356974,0.8220834416869861,0.7366865891750336,1.0,-0.2704938715273424,0.011561483959906221,-0.006170720702849352,-0.13818230173388552,0.18631775033871367,0.6573710703962204,-0.3220743082260268,0.23923253673668193,0.0829801002690574,-0.4491404457467082,0.8369204938643734,0.48173830221855934,-0.36461652152332036,0.6280210570510085,0.23318540191120785,0.4925924823744836,-0.6286735332966695,-0.15463122583771421,-0.3034007276335881,-0.3975741103843386,0.3525085905034263,-0.056742449773195223,0.13773356340715584,-0.05721707743181162,0.10815011151178243,-0.2133254483130935,-0.0933808814752065,-0.22840879999312005,0.007770469347048459,0.457966114741487,0.8652446834243881,-0.21920699777431918,0.7573818275891023,0.833943652277547,-0.390411937875972,-0.42570015303380365,0.462767568359174,-0.007344508988859845,0.09050753535331048,-0.289371930310845,-0.13667636509203235,0.3129656574427716,0.6861684882631862,-0.5330781148031207,-0.03873922329310287,0.6120760078107275,0.29286596637232337,-0.6068388080371796,-0.48422552751410564,-0.2887886122871424,-0.2813865562336733,-0.07108851568253244,-0.016188759210715414,0.04041791476043175,0.31196267389388127,0.0438981075385696,-0.6325494445307301,-0.0679713600229064,0.13191481402763483,-0.43485499121473065,-0.5749418587970618,-0.0921818963610252,0.06701647795298306,0.18977330567926964,-0.25252069428394447,0.2486351009171605,-0.14335523852304932,0.36225832327530244,0.6433734279566573,-0.5097484026287443,0.26651548594207425,0.015354956564279149,-0.34183368588743507,0.20347070091023253,0.32184574785299835,-0.5898732634296789,0.6289993598296191,-0.2274320842516533,0.7535156277418456,0.05992165297537522,-0.3912739709771607,0.4802549961366074,0.467298625802401,0.12484879334028105,0.17134414650010715,-0.18099430038653624,-0.023712225230393964,0.4004694504259939,-0.3926152404968945,0.8457555050112896,-0.592723276466838,-0.32920746440270177,-0.6295774081189185,-0.6191350829408278
ACC_sub_L,0.3034367895536333,-0.275289019349907,-0.16330750712476735,-0.23921827840996224,-0.30245577101754845,-0.2704938715273424,1.0,-0.2913097600182454,-0.04757310430428317,0.09096247163695831,0.007299274130934355,-0.2518535973798327,0.08501119394585936,-0.256458237767425,-0.1678083534683363,0.07365413664999046,-0.07491719853360577,-0.2325181527329069,0.16269113751663614,-0.06390863895697238,0.04719163545015611,-0.1798369115931704,0.24614613156760323,-0.06130554772600887,0.06792819201703584,0.1241869928590098,-0.2178722704043327,-0.028501117867890783,0.012920153772196836,-0.04093790127171424,-0.29344651724611215,-0.0516061492647431,-0.14417456797841252,-0.07246857301682019,0.004691633330242459,-0.18419826329515762,-0.1966554591542914,-0.02585188989090342,-0.31682674171301317,-0.22866953437726759,0.10103361883025005,0.2718777992575621,-0.12198733725953552,0.09963140427881542,-0.20309502579899794,0.12151051843788134,-0.09722880148295857,-0.1941260919026677,-0.3838759487143552,0.27662182072410485,0.11209137455238175,-0.11728673656137677,-0.25814663600055715,0.27050051905951245,0.16993951136001695,-0.05935391895746108,-0.04954493690831229,0.1650712948480216,-0.12300367682186102,-0.16016008319263736,-0.28916582475169333,0.031115354607939974,0.2068050255434162,-0.017313158435805262,-0.18392109838154747,0.21155988177122392,0.10082384662654757,0.13482321484513163,0.05929290253682626,-0.07089609516283223,-0.02404317762799303,-0.20606308469765497,-0.05537190722247924,-0.14582417053869157,-0.124279365010617,0.11691766945543972,-0.3644248926604265,0.07411350043961566,-0.04256704358857547,-0.21413946855364796,-0.05342614397031549,0.23339376261786068,-0.122532955192953,0.2793313802932416,-0.24167851181765465,-0.12099633463137086,0.21378570308968767,-0.031200757656463716,-0.22553643923151834,-0.14054540738986418,-0.16647492813909706,-0.06813721213244552,-0.19760149539870878,-0.25959006665972045,0.26529361135354457,-0.29014289069584476,0.2616249454146457,0.0078112260252989375,0.08152580090372093,0.12944886817495116
Thal_AV_L,-0.06846914468982726,0.018342131915875987,0.0340873399338459,-0.15527690766512992,0.17158737143874156,0.011561483959906221,-0.2913097600182454,1.0,-0.314548340126122,0.02195716965315371,-0.00022698168074982854,0.14072382591379126,0.24126639775811104,0.25418849554316775,-0.13940160434978655,-0.05937716772389964,-0.0890586599452702,0.22955366396741,-0.12419829098163167,-0.14319330955474643,-0.09938464554313658,0.3499774826551819,0.2329436825380739,0.24805421616507028,0.23396582657022846,-0.0818968182467646,-0.024772054149677366,-0.015321081877134568,0.1854035276297381,-0.2000594092967657,0.48794236872885577,-0.03291617618681623,0.21585159058787445,-0.13705786844046688,0.24369029094152614,0.18186712253224357,-0.09688058387178108,0.21724347118804527,0.03992942749112287,0.11469779524437586,-0.12618940782024907,-0.39027474777055904,-0.018800208972708378,-0.3739195387047886,0.44529148543608155,0.25853117618939403,0.14750470920757566,0.07523808979102183,0.35283212675992287,-0.13351702886801797,-0.04909965234626739,0.17345778743502496,0.02468880734990494,-0.07038421021961101,0.04593878956235192,-0.02047598031162469,0.031203000202797374,0.15366877261530124,0.2626722788988142,0.4449548606683402,0.35670856983331084,0.025316909514301704,0.008441088447431976,0.044514021538928375,0.46629998306080295,0.15853551798966967,0.007277516853914647,0.026596045962436723,-0.18837703509549777,-0.012197478953563158,0.06789306236131706,0.06245311052645083,0.04936672021943856,0.13901304555299263,0.16638177771959548,-0.10362507964602537,0.22446878287959213,-0.07768529030603614,-0.22329863809040434,0.08030206090866931,-0.11981217315253732,-0.08583945406802988,0.06351530458658858,0.07086908132927879,0.0661275128978836,0.23992771293120896,0.14050953846386244,-0.16566876051565638,0.08151384411690472,0.498619636292274,-0.14266533706974022,-0.07453261765228464,-0.16370855997348546,0.07380149213094701,0.010986176530097985,-0.12453417953240035,0.09370694884182833,0.21449708415407925,0.025217267765388778,-0.03537132304684724
VTA_R,-0.2456027245469902,0.26543603579071656,-0.015314787148707583,0.21346259712023202,-0.03939403450833209,-0.006170720702849352,-0.04757310430428317,-0.314548340126122,1.0,0.08817011874951923,0.14997873555344526,-0.14100679333799856,-0.048179433404322215,-0.16028867104709738,0.2511923270335218,0.06871426692152248,0.029111756123320738,-0.13286235164008162,0.00421215668433345,-0.002987392707092188,-0.12734617583999977,-0.3457577313336786,-0.3744596116475601,-0.04816316425970209,-0.24061427141220126,0.11917646114955198,-0.0016621734771204712,-0.16542867365906416,-0.07519373960839433,0.042927507392607006,-0.3304640263221715,0.06075786929152401,0.21001830258108045,0.34240390052672737,-0.006889861413980634,-0.042541860910521236,0.22138056867080816,-0.10321424275261284,0.01748481491747217,-0.012547090841834222,0.1388384898959251,0.5305868040179249,-0.006116082447450777,0.44095907299221393,-0.3291209798080219,-0.19540225131206973,0.159617393402563,0.26313948175216845,-0.10596736627216376,0.14210553363981593,-0.10602072342952866,-0.09362223855378868,0.17966127502808452,-0.08805672950563152,-0.01271836239346334,0.01770258574873969,0.12005435089626114,-0.3765201379509431,0.162944551354258,-0.01861259969131118,-0.44067864776758914,0.0365637221682901,-0.053939962783408416,-0.33795656863148055,-0.11874203142081143,-0.24664022222642845,-0.02386557247223765,-0.19311211528060365,0.39029767003757365,0.18775361968391957,0.1245105046363136,0.12439304625728323,0.20527239064423605,0.10507027371719654,-0.15545683566020965,0.07504966649987972,0.3296841841045257,-0.06803695264035794,0.5933990869609949,0.04810736813264201,0.2874691171167744,-0.027059865918292896,0.23772530226156913,0.11608167954953715,0.04053953649995424,-0.40229071427941426,-0.31964221913911933,0.04821976389660716,-0.0874711878110671,-0.5349493512588043,0.6975235622370508,0.13432530951416335,0.4811077170037994,0.2525521252959861,-0.3084631396527417,0.20998409526253622,-0.07115506783520477,-0.06399522993890905,0.0800490985617651,0.04974557061976279
Occipital_Mid_L,-0.021518816913727742,-0.22466044158599924,-0.06303888369146475,-0.18639619592486942,0.23554414167556348,-0.13818230173388552,0.09096247163695831,0.02195716965315371,0.08817011874951923,1.0,0.0243018664571805,-0.23918282004190472,0.027080782312124227,-0.2264729623571579,-0.17895997053085225,0.11324489707785067,-0.27786489947887033,0.3568557279382704,0.3011829830392071,-0.13215598050298705,-0.03113242816554141,-0.18747525873944756,0.18385045201688263,0.010617644051480852,0.5129609321710978,0.42311456657427676,-0.39280914873913986,0.28665862683326854,0.5370231210958735,-0.3506501951539078,0.009541131743708868,-0.275196660091845,0.3952423674582265,-0.19815473366204225,0.6268427582343016,-0.27333978714631707,-0.21160086500698294,-0.19486764665580297,0.09878684634615935,0.1741128003599875,0.027270415106665363,0.1422870359124308,-0.18931225958641862,-0.21788361233609593,-0.2038436170908949,0.05065140470179685,0.4648548369491266,0.2675109738056716,-0.11539770614343715,0.1603484285568925,0.45392692753635866,-0.11050509784859436,-0.004658316251872018,0.3261536673584327,0.38527032605278777,-0.1395117678770883,-0.10503135564408148,0.1027138926849424,-0.019546223560147912,-0.0045311957787951655,-0.19917689377915215,0.008530707232868029,0.4143815504504771,0.0691140241576287,0.09802925986883677,0.5243883384140712,-0.05737287456323784,0.33097702047925964,-0.1041468755209024,-0.16775293089924836,0.6106256460108324,-0.18373282867079113,0.3345121673032812,-0.1723197611465475,-0.12556144780314402,0.1080878413969061,-0.05249483051047721,-0.20319034262809427,0.19802203308231228,0.2784801141849244,0.07415413537847267,-0.032848493752048284,-0.2194789766714725,0.3668921211028162,-0.182809410705574,-0.3308440666101137,-0.09253278290817424,-0.11040460736046016,0.057173299887384274,0.048371328709380323,0.022814846520426334,-0.14451201026809513,-0.009870147933079576,-0.1951692057696656,-0.1312273461094133,-0.23586630938465222,0.28241568539639883,-0.24936478210685148,0.04951798257232079,0.18857586700148216
