,Hippocampus_R,Occipital_Sup_L,Rolandic_Oper_L,Thal_PuA_R,VTA_R,Cerebellum_4_5_R,Thal_LP_R,Parietal_Sup_R,OFCmed_R,Thal_MDl_L,Putamen_R,Paracentral_Lobule_L,Thal_VL_L,Lingual_R,Occipital_Inf_R,LC_L,Thal_PuM_R,Occipital_Inf_L,Amygdala_L,Thal_LP_L,Cerebellum_Crus1_L,Frontal_Inf_Tri_R,Vermis_1_2,Calcarine_R,LC_R,ACC_pre_R,Lingual_L,Cerebellum_9_R,Thal_PuI_L,Temporal_Inf_L,Putamen_L,Thal_VA_R,Cerebellum_8_R,Cuneus_R,Frontal_Inf_Orb_2_L
Hippocampus_R,1.0,-0.18038362860397136,-0.07643776929015272,-0.21779044478134912,0.009631815186899642,0.5983252745429529,0.018136473322911826,-0.02153621120592065,0.2215849689803093,-0.4345298264317501,0.7402204810640796,-0.07050597882159443,-0.09992262258152838,0.01584353521920786,0.578496787816279,-0.24316793233892484,0.16294602073110934,-0.2534858035526321,-0.44000806103749246,-0.03610503330820392,-0.5878042253809063,0.7804713642928216,-0.5053248426619071,-0.3338272450049916,-0.5268153897575041,0.46907362015992105,-0.22716875443938747,0.3026117125026542,-0.05144044510549543,0.019134754848163498,-0.2591174971082129,0.7019128519546317,-0.6333954707975586,-0.46159468421012195,-0.07016879547075097
Occipital_Sup_L,-0.18038362860397136,1.0,-0.33853400359832886,-0.21999687563326947,0.08116582443853014,0.2045534725676651,-0.1960675102395556,0.3261633082827536,0.06985380629343577,0.3575722091668659,-0.2215611545673304,-0.6113761391646614,-0.11302026965579844,-0.14734149846130407,0.3121624047466751,-0.12912220664628243,-0.10144828055918498,0.08969599397686112,0.01067576649188979,0.3067761009965892,0.032395307039475775,-0.019994337487874332,-0.08416831333284444,0.007299645819991537,-0.15391311679561154,-0.12645289771825274,-0.19526986024189685,-0.016250466879853383,0.37742831440055014,0.24137538257856717,-0.2913788529925123,-0.24065996241698764,-0.014639910219665939,0.569316055631489,-0.39524713180782595
Rolandic_Oper_L,-0.07643776929015272,-0.33853400359832886,1.0,0.473483883177501,0.21346259712023202,-0.3171000558910293,-0.013236121460207625,-0.23421111863363417,0.09682737175804347,0.1511743873394904,0.07816693300721932,0.5245330530114507,0.41881323833588335,0.25623444429159886,-0.49525192872784496,0.4101543534385544,0.21062781031095115,-0.000297041053017608,0.10503644164692945,-0.34713368614714224,-0.0494304481126294,-0.3205088316140846,0.3008638412372543,0.3400885893003728,0.23240214363736833,0.024175056201660543,0.5593077494635941,-0.2310392799097331,0.06523629781864754,-0.2583682748648169,0.5955185150301613,0.13975963946444464,0.3796434082611928,-0.09314754630417658,0.5803894852966007
Thal_PuA_R,-0.21779044478134912,-0.21999687563326947,0.473483883177501,1.0,-0.10596736627216376,-0.27664070894901516,0.3484290281243232,-0.11939103297373746,-0.35340552313724527,0.3097876035142421,-0.0996041224852449,0.6345937788195851,0.6314604717388695,0.6082970413996528,-0.4986644649069153,0.25359535393225835,0.6294911564495473,-0.0020488686642934485,0.3894028801039815,-0.19055305788531632,0.3581607798091197,-0.32365146041938736,0.653826996877816,0.7135780624264604,0.6778383131832678,-0.3869123089431402,0.703273747079332,-0.16714870855177805,-0.1644017511430378,0.07478303247338675,0.5484005100535868,-0.20276262647331633,0.47139576527066496,0.24609049116648885,0.25909919685269683
VTA_R,0.009631815186899642,0.08116582443853014,0.21346259712023202,-0.10596736627216376,1.0,-0.01271836239346334,-0.3291209798080219,0.1245105046363136,0.36585486004765183,0.27307175308903187,0.13432530951416335,0.01717726960490895,0.24013289074356337,-0.0874711878110671,-0.03927318762246427,0.04821976389660716,-0.06022160817713787,0.0365637221682901,-0.1774909829205991,0.009496321590550846,-0.01966448432113003,0.0800490985617651,-0.09362223855378868,-0.019223302305246694,-0.2556214359119484,0.24713317237905885,0.01748481491747217,-0.19540225131206973,0.45615699024267076,-0.3765201379509431,-0.03234385620576506,0.34240390052672737,0.1521529972769315,-0.07519373960839433,-0.05908795779156455
Cerebellum_4_5_R,0.5983252745429529,0.2045534725676651,-0.3171000558910293,-0.27664070894901516,-0.01271836239346334,1.0,-0.09928228600229098,0.2705551145029771,0.17770233923183415,-0.04297431881521729,0.43383347530295596,-0.2927966249113189,-0.01818896935265634,0.1419092882171898,0.516869444128994,-0.298592633398899,0.19254241735910638,-0.12813785172340653,-0.16737110017022733,0.12519027099750032,-0.285596061280427,0.5420471510880361,-0.25942484734953225,-0.1572479570856599,-0.4091328503968966,0.20809951708306273,-0.10919025816994447,0.2387552085213116,0.10436441990067732,0.1808471100740253,-0.3347824242991939,0.3705204586590188,-0.47380112818330683,0.13707597713275388,-0.3147076312290156
Thal_LP_R,0.018136473322911826,-0.1960675102395556,-0.013236121460207625,0.3484290281243232,-0.3291209798080219,-0.09928228600229098,1.0,-0.20133156394844406,-0.2569386304704991,-0.09647389085070658,-0.0034504027904607363,0.1890473340587576,0.03766408309581742,0.1522029646622333,0.038695191302525106,-0.10594996065360855,0.05209524545042938,0.05361254777991271,0.07426821810952164,-0.16689470621968375,0.002179069009971351,-0.07132523010575725,0.052464356428663296,0.13454165642603996,0.30474574434243606,-0.07199484261036129,0.07603592432438518,0.12338342656381587,-0.33783005552311773,0.15006436947211582,0.000626883247243711,-0.13155209747789665,0.024367362117332588,-0.07714399133018318,0.005842125630924353
Parietal_Sup_R,-0.02153621120592065,0.3261633082827536,-0.23421111863363417,-0.11939103297373746,0.1245105046363136,0.2705551145029771,-0.20133156394844406,1.0,0.007329427142299256,0.19410906478396192,-0.3706101074093168,-0.13308684732815368,0.08255741072941596,-0.018905220000948617,0.10409624557453133,-0.2124169993869351,0.03905708636133776,-0.011829290832702372,-0.1986466447762326,0.19500429680268297,-0.04565852648563617,0.157071211945593,-0.19337183684282996,0.047708348959033316,-0.3335148364011524,-0.49336221940794667,0.0015253571981316898,0.04315950768756678,0.14501429001128077,0.09872982882450657,-0.5663989075522539,-0.18852624821987968,-0.018448252729250127,0.5317732279496638,-0.5912731790174445
OFCmed_R,0.2215849689803093,0.06985380629343577,0.09682737175804347,-0.35340552313724527,0.36585486004765183,0.17770233923183415,-0.2569386304704991,0.007329427142299256,1.0,-0.029383989420161592,0.31596707569003973,-0.2696365275194921,0.005354270551354338,-0.049713115794245935,0.2551928454683086,0.0682297102775782,-0.18324473993892276,0.12812948622838766,-0.353234169163395,0.013011249141951108,-0.14797666939647877,0.13665248416815723,-0.1957521981390947,-0.18794914330255083,-0.3708227914965969,0.21374763897164473,-0.0652533502835684,-0.007371137883661911,-0.06371399547589045,-0.10153668663745173,-0.0709906054388152,0.2587231355336432,-0.06036595561785493,-0.10079295158811796,-0.11668934172102956
Thal_MDl_L,-0.4345298264317501,0.3575722091668659,0.1511743873394904,0.3097876035142421,0.27307175308903187,-0.04297431881521729,-0.09647389085070658,0.19410906478396192,-0.029383989420161592,1.0,-0.35000377722690407,-0.01040499776391205,0.5697275120940897,0.12021627005626677,-0.37974836360353226,0.07294410784808435,0.24633088486311724,0.10180923567567332,0.32083157994877487,0.26831013071159104,0.5274115802404065,-0.3479378210299408,0.498085349863227,0.3646264234034969,0.14057147939834572,-0.31154910131487334,0.29368023951625405,-0.023930056158782607,0.38023629295743494,0.15693397647570465,0.1694698922504758,-0.30778236358012623,0.553016481649258,0.5718330092448717,-0.07704798902249758
