,SupraMarginal_R,ACC_sup_R,Temporal_Sup_R,OFClat_R,VTA_L,ACC_pre_R,ParaHippocampal_R,Vermis_4_5,Cuneus_L,Temporal_Inf_L,Thal_PuL_R,Temporal_Sup_L,Cerebellum_4_5_R,Frontal_Med_Orb_R,N_Acc_R,Frontal_Inf_Orb_2_L,Calcarine_R,Thal_MDl_R,Parietal_Inf_L,Amygdala_L,Occipital_Mid_L,Frontal_Inf_Tri_L,Cerebellum_Crus2_R,OFCant_R,Frontal_Inf_Tri_R,Temporal_Inf_R,Thal_VA_L,Thal_PuL_L,Hippocampus_R,Putamen_R,Rectus_L,Calcarine_L,SN_pr_R,Thal_MDl_L,Cerebellum_6_L,Thal_VL_R,Heschl_L,ACC_sub_L,Rectus_R,N_Acc_L,Postcentral_L,Cingulate_Mid_R,Cerebellum_Crus2_L,Postcentral_R,Raphe_M,Thal_AV_R,Thal_AV_L,SN_pc_R,Cingulate_Post_R,Cingulate_Mid_L,Olfactory_L,Parietal_Sup_R,Precuneus_R,Temporal_Pole_Sup_L,Caudate_L,Thal_MGN_L,Vermis_3,OFCpost_L,OFClat_L,Hippocampus_L,Cerebellum_10_L,Frontal_Mid_2_R,Olfactory_R,Frontal_Mid_2_L,Angular_R,Thal_VPL_L,Thal_VL_L,Fusiform_L,Paracentral_Lobule_R,OFCmed_L,ACC_sup_L,Cerebellum_Crus1_L,Red_N_L,Cerebellum_7b_L,Raphe_D,OFCant_L,Cerebellum_10_R,Rolandic_Oper_R,Temporal_Pole_Mid_L,Thal_PuA_L,Heschl_R,Frontal_Sup_2_L,Precuneus_L,Precentral_R,ACC_pre_L,Insula_L,Thal_IL_R,Frontal_Sup_Medial_R,Cingulate_Post_L,Thal_PuA_R,Supp_Motor_Area_L,Temporal_Pole_Sup_R,Thal_LP_L,Pallidum_L,Temporal_Pole_Mid_R,Lingual_R,Angular_L,ParaHippocampal_L,Vermis_6,SN_pc_L,Vermis_10,Thal_VA_R,Precentral_L,Cerebellum_7b_R,Cerebellum_4_5_L,Putamen_L,Frontal_Sup_2_R,Frontal_Inf_Oper_R,SN_pr_L,Lingual_L,Thal_LGN_L,Thal_Re_R,Red_N_R,Temporal_Mid_L,OFCmed_R,Thal_MDm_R,Temporal_Mid_R,Pallidum_R,Cerebellum_9_R,Thal_MGN_R,OFCpost_R,Thal_PuM_R,Thal_LP_R,Parietal_Sup_L,Supp_Motor_Area_R,Cerebellum_9_L,Vermis_9,Insula_R,Thal_PuM_L,Rolandic_Oper_L,Thal_LGN_R,Vermis_1_2,Thal_PuI_R,Frontal_Sup_Medial_L,Paracentral_Lobule_L
SupraMarginal_R,1.0,0.07658300698849695,0.5592506229555373,-0.22417923664072842,0.288099550991841,0.051655631268985674,0.1326905210894963,0.4381965440817004,0.0,0.08291823793616306,0.02792014178700784,0.10347220968646853,0.24644686257300838,-0.5863081874981683,0.16405936824060494,-0.3358196276247348,0.45832351621870715,0.07807928757330324,0.11792191166546277,-0.3386807622426234,0.0,-0.3204545204513818,-0.04068109598775697,-0.05040831622027914,-0.07666835858761596,0.25476170217639654,-0.43084135444038263,-0.07092104455153916,-0.10830141100653862,0.1588515045818617,-0.3199116519683553,0.27092593295583295,0.2035767321989804,0.00986313798589569,-0.18367918105356879,0.04144344970362877,0.3793935984000456,-0.12460662518006438,-0.45289995417444145,-0.07834795005573553,0.2326997824604323,0.21016925667768313,-0.2577350235950272,0.7741141859851475,-0.23489487798695882,-0.25650913662000346,0.31596529558002406,-0.45181140495881805,0.6605788908437294,0.2947476262705345,0.11347875579234323,0.3724210862376638,0.6294329227191431,-0.3061189398483742,0.12204035145421013,-0.3690776791381091,0.2820207088103195,-0.4537580996880024,-0.24387760118373641,0.15095900409623256,0.017663702474049674,-0.09147244002236361,0.058405357245313844,-0.15681078564018577,0.19025819636313207,-0.208472406542981,-0.2357332493877757,0.18320198910329383,0.2728594485709304,-0.169349204330527,-0.03689134410254209,-0.18313037607955027,-0.31221911699700466,-0.050486924583387285,0.11729879890086034,-0.13474719555000586,-0.2779544989714434,0.28032655391537964,-0.28713909116015046,-0.28466011173969297,-0.16675223640738626,-0.06459437772068034,0.3948881241741482,0.3687859434250415,-0.38312900394178484,-0.21925636610258442,-0.38918697944043884,0.007565579050234025,0.5617271406393207,0.25070537935850257,-0.036276994394029545,-0.41266524880277433,-0.14452629786563265,0.278290452483002,-0.11564642620211082,0.39494733251124453,0.018364836180540505,0.24926368298668433,0.0,-0.18520355758488435,0.20644691677846744,-0.417878541065666,-0.05731194563192315,-0.23936911247800988,0.31069218926124087,-0.0697805466884256,0.04094097995212033,-0.2271026462257826,-0.1269709387536537,0.3759597306935383,0.0771097056390021,-0.5614059507164726,-0.2824635398423526,-0.08523371443364598,-0.5562901257250242,-0.09758702369270945,0.29974581155478053,-0.120427072623705,0.13666312661775984,-0.18041215193272178,-0.38312147340953895,-0.28672135822848077,-0.0014553965133088968,0.10500861363445238,-0.041750252948408735,0.11920288568952872,0.2312757508422177,0.03976545670301325,-0.23935334238228992,0.21960929975428364,-0.30335142651196545,0.36782485216933125,-0.11433500532068092,0.04243757836405362,0.30225504081702875
ACC_sup_R,0.07658300698849695,1.0,0.21705342054743385,0.079106486163137,0.20637168610929713,0.9373774864214603,0.4015991282325987,-0.019116442539833117,0.0,-0.03335244892447395,0.08430065185013663,0.0006665928500352195,-0.04929005257141426,0.2367036153413823,0.8046467724291274,0.18087931632835896,-0.1626381265739464,0.4974917846208341,-0.04933209202850932,0.3278691032039723,0.0,0.5044717457708893,0.12304623823976323,0.4206791701095701,0.8649034731232926,0.2781847762162342,0.3434666699054251,0.5279093898569106,0.5157363860629905,0.89434125807674,0.2635409549697635,-0.04152266957288341,0.29787001745490616,0.4644125871087255,-0.02107401928974772,0.8077909890016802,-0.09089765685511443,0.7014815142714756,-0.07726719572472555,0.5195624583415845,0.16852054417772366,0.7311933102315091,0.06928291768386183,0.26754937455108874,-0.06680029564516898,0.5961233110717968,0.05752260758587277,0.46971016144043104,-0.0008457870620768883,0.6963136745312533,0.7949519417650347,-0.07589151815109571,-0.06429174618726323,0.3698574554923499,0.9661385544903753,0.33960120942087274,-0.048869836044802384,0.23419017137016077,0.07945870380693464,0.10013123785470775,-0.05623138836832406,0.8231769871266318,0.8067326799571118,0.6467605043522515,-0.08822458090984214,0.5501870714995516,0.5899041182306081,-0.004517313407006425,-0.12718714481423216,0.4708343699867785,0.9716190073612135,0.11471536148233903,0.3479791744686792,0.1305119011541628,0.3647358512203143,0.278344758903539,-0.12440337622381631,0.5993599328449282,0.3997069893572705,0.48073080394365447,0.5757953733246791,0.7991201520024244,0.04751129736859668,0.5753802655820902,0.6719166708360323,0.7352268779314345,0.5944158078240718,0.9393091025588144,0.1720129892316453,0.36549919551116056,0.6072498390601332,0.5538822126193528,0.5270495283687517,0.7022042083125336,0.49544023655209984,-0.12469044009412235,-0.015355099798258665,0.030127712933440496,0.0,0.21165330485006478,0.05370809706607414,0.460851200392843,0.36010034581120076,-0.006932737674450389,-0.12014067353739431,0.8799417664115006,0.8491952583165142,0.7388675524581406,0.4499154452970529,-0.05655113581444287,0.2628767956897756,0.26975684334732647,0.6074367750311237,-0.08108103633988838,0.11251032678105817,0.705047806028193,0.24954586235429765,0.543004207041158,-0.060840220200329205,0.44463497806378854,0.3853713085434754,0.5303451270935327,0.479334718258959,-0.0653999582910555,0.3893810505936988,-0.04045645131479657,0.013370115397904099,0.9299125455806487,0.465914658086268,0.26880717395827824,0.4461571009399585,-0.19775112894441152,0.18206431281378424,0.9398861986610082,0.18101647866479623
Temporal_Sup_R,0.5592506229555373,0.21705342054743385,1.0,-0.06027196537618321,0.4324222345921233,0.16632025522703736,0.6912727730181458,0.7618613228793282,0.0,0.16422930476686462,0.4652239161225802,0.3421777901601513,0.6194442342117131,-0.5576104062104382,0.374148016282481,-0.39319676806295245,0.6099669243802539,0.5016225487716504,0.29329372058014763,-0.06524230710151666,0.0,0.020888524695390775,0.14746884091849738,0.002684466381533173,0.0567567522510002,0.6973152472403327,-0.044572519163045346,0.2795222891399414,0.3319668431609683,0.34474412357604284,-0.45976835075869027,0.3112366532062874,0.3120752355064253,0.47621086187383244,-0.42135595129389264,0.2343160740491563,0.44372315255753,-0.03869518942447109,-0.7174157066492204,0.1610574592479821,-0.06449340206472347,0.11420091943561621,-0.23278102590098584,0.3320174241915499,0.2711624677861806,-0.18595805249682984,0.11820103827870848,-0.2965422032155687,0.7645490557992852,0.07327642919176697,0.32713941254921236,0.4418648892467642,0.744474483653936,-0.38002638276595535,0.28229673166378033,-0.0206485093223838,0.7885374977859442,-0.6463839027819888,-0.4867690430913823,0.602062728348392,0.3868600582852876,0.029820228161216634,0.2397126035333804,0.1412171983472791,0.43849506685328865,0.30431371345249697,0.12308781660921085,0.32619246868725804,0.36639165480962077,-0.49802812569379235,0.15619638151324586,-0.3423181465821969,-0.1412486790408169,-0.24341289846530745,0.5245356091037042,0.15764223066419467,-0.30749835989024965,0.53736187792388,-0.4628833370755581,-0.08620848529547899,0.44431614949639797,0.039061961437396486,0.44630884097178186,0.08766933559976622,-0.18371458164818277,0.09584921825645508,-0.12465257488608228,0.07010836285233933,0.41750464358596795,0.671911828830493,-0.10428508843195318,-0.19637370517012576,0.0009631282869817285,0.5676677573940738,-0.03451816846497562,0.7093126119315283,0.0437835121309766,0.686112462383704,0.0,0.13176881700828588,0.206592461823748,-0.3096563993471082,-0.18628608836810967,-0.3380627496398068,0.6944715960317949,0.17003287492935393,0.08048356595372745,-0.05198029645597949,0.29255000753054605,0.7163844936448328,0.3515243226311477,-0.3377478674074787,-0.32329157935566355,0.04698528105005528,-0.6566225699659795,0.2858847406870223,0.8306251402610954,0.29977425357873594,0.1251058060017344,0.03777360380777523,-0.39008837092006055,0.12811280172693487,-0.07987067306891407,0.5089371616661997,-0.13270543430530082,0.5291729564129108,0.18290914058173835,0.2581166777168263,0.23261686368553036,0.17888318024441008,-0.40572876921315526,0.6885852119873842,0.4783644275478899,0.0968301161729148,-0.23348367894507746
OFClat_R,-0.22417923664072842,0.079106486163137,-0.06027196537618321,1.0,0.1714117618104438,0.07983674928798343,-0.16224013691614844,-0.014367080423533525,0.0,-0.1758508859265777,-0.24061208246171398,-0.23164438998922257,-0.09850259398333414,0.25086129754523195,-0.014642760829923012,-0.22320583428156612,-0.03420039720641672,0.09840243299822182,-0.1523603323875071,0.020296204777407525,0.0,-0.019720766065152884,0.1565159332431394,0.07924937934323179,0.1406234151591527,0.16775421205949603,-0.18820102083440524,-0.09693762765870596,-0.05135247400866122,0.016235722196724638,-0.024809610754580855,0.12902700127977676,-0.3425136385805613,-0.10122220059882261,0.04382477975371793,0.00029694653810199306,-0.15872642967544517,0.04957022578422499,-0.12615371503605982,-0.1767368059206273,-0.02540285801700969,-0.13819528384549432,0.1352706718219965,-0.3506879518437496,-0.12205284193228318,0.018630482337808122,0.13129627128062688,-0.11823223890075774,-0.1147350370738994,0.0014309999554812064,-0.016315816826202048,-0.05148791237835237,-0.08686579478042268,-0.1909036421069434,0.05512229745732481,-0.017481890479234412,-0.018339900646497934,0.11040380934186599,-0.004410052412319102,-0.05569174145924619,-0.0914970074550674,0.029298033743797296,0.08763663817318405,0.07550585143137438,-0.14887262891091319,-0.02646948922614479,-0.09518143765664432,-0.20767738331285227,-0.15766208257636738,0.03962915333083708,0.10951362903991267,0.11417877260412729,-0.13407534439955776,-0.0019343395121408083,-0.143959537557552,-0.09082283989313904,0.06030859690860677,-0.08632020103442369,-0.10240348886084628,0.14336160456885924,-0.09209062697296133,0.015280908427214149,0.048619038458981585,-0.24556678066354165,-0.003638548174611921,0.03654462925171551,0.06932918017373091,0.1290613874506301,-0.2030205111295095,-0.08080844551013293,-0.0023383100585246445,0.06886462131135922,-0.04350640455823117,-0.06462210377393342,0.18939923434147007,-0.08838610091913295,-0.02070460415576644,-0.1550982765712465,0.0,-0.05443492319388197,0.1376885708512696,-0.038632804807981334,0.08611005761785895,0.022069246095144938,-0.12038644090027627,0.0369513768602896,0.013883641409321384,0.09248360647363917,0.07011889548783866,-0.10891924642299147,-0.437184230630375,-0.2697333289543442,-0.0547096332835318,-0.06158641524361401,0.03080118426456142,0.02879612190782721,-0.025024336535719265,-0.1043668201601592,-0.06622474808288849,-0.21337026762221384,0.2564404480583687,0.015104666698743682,0.08990196059572036,0.034967839170307886,-0.16161640180511064,-0.04874592131529471,-0.04015125091358491,0.06923574392172117,-0.1121933223345947,-0.034729819241701355,-0.16199236738297146,0.15939209801304585,0.024450808354771925,0.12465342289652191,0.052690837014890565
VTA_L,0.288099550991841,0.20637168610929713,0.4324222345921233,0.1714117618104438,1.0,0.1640223531724763,0.18088676930881373,0.38409911928504514,0.0,0.2601300276465344,-0.037075389184546635,0.38810188194544765,0.07254479988294303,-0.1619839009768293,0.19127711057278893,-0.011085891694427693,0.23614886854885653,0.5620557836913966,0.21414803062071103,0.2667701282714289,0.0,0.3909757635227259,0.037289865040362094,-0.21839418611640474,0.1710967159153365,0.051471287111181666,0.09050708484286288,0.24333370124507167,0.4543738486150697,0.2553113579834965,-0.3432403163805843,0.24719688606853576,0.2675665244155624,0.4927212952304776,-0.15236386288086046,0.39653016060132323,0.4352927915169341,-0.01913138641544199,-0.5454626595311352,0.26681318605039495,0.20903467496307393,0.23904503119899861,-0.13653873883341539,0.05439629540448226,-0.06938926842526338,-0.06828774007815913,0.1800972802716516,-0.18442290707949258,0.5071626834019825,0.2712587277216815,0.3949711028672975,0.2797072981280394,0.4198136831484955,-0.06804809957545266,0.2300434853301064,0.06952788430294742,0.35792967476753806,-0.1690156382228332,-0.2810330556964582,0.6681048184402374,0.11948032272373917,0.2969510172116282,0.28609864156091613,0.4686710573153143,0.16398356466546585,0.3761139980959834,0.18876354879023519,0.17890888676914873,0.1561432108846062,-0.11878627859918996,0.21819028132296606,-0.313915753217727,0.031209614675199466,-0.07174264485514908,0.30072102843424714,-0.13598766141874133,-0.28197061063284506,0.13767750622307953,-0.15347421683104379,0.16970589430974126,0.2486819579072866,0.26556926344267273,0.3993050386150473,0.12960636115990296,-0.10353357303744447,0.31229033776917126,0.15351744429293837,0.1976035992343225,0.4974237762677806,0.1772526117837207,0.2582365018564875,-0.2275836867187998,0.17089825515078577,0.3252128109599688,-0.167214587449257,0.3011386297465086,0.06806354814352056,0.40352926013002305,0.0,0.1846463808784566,0.12361981687340669,-0.04757501282068656,0.19722236203850754,-0.21428747471653525,0.29186951516062,0.30593130960962966,0.231845099649686,0.19523674984379494,0.5126517121448233,0.3744524590523181,0.3299038211371022,-0.3851080892417977,0.034372103201550076,0.20593582271618352,-0.3426201674810889,0.337081470184116,0.15353386556229287,0.2989370857995906,0.07777274958544837,0.15997386564840477,-0.23740324102221833,0.38334056684489676,0.06438275977205678,0.2515914179643831,0.18170347046402147,0.28856385329223966,-0.1090823652729124,0.22638603602040908,0.36506549351862305,0.4856784156696816,-0.02951043269549201,0.4018368450147321,0.3589314061080813,0.24783348335501018,0.08617663582923331
ACC_pre_R,0.051655631268985674,0.9373774864214603,0.16632025522703736,0.07983674928798343,0.1640223531724763,1.0,0.34425363239847995,-0.05902702292790249,0.0,-0.022890945413842508,0.1139911708195165,-0.007126040159676513,-0.06107553323551452,0.29028829366180453,0.8075614925722748,0.1802637708479975,-0.13590154202488577,0.4766362904738289,-0.10844967096593076,0.2644341350426804,0.0,0.47215424156651997,0.14682466990321236,0.39186664087139034,0.8438618042572975,0.250378630233176,0.28964137146379604,0.503484330985977,0.43559777896067714,0.884607066217566,0.1892104428915746,0.03876370057727757,0.22276967031103162,0.42168083582929367,0.01263541201485897,0.7951525508300724,-0.06722103652177823,0.6957736166754709,-0.10315012908969577,0.516046949482652,0.2251753912583153,0.6988068575718792,0.1472974883731116,0.20343566759781162,-0.14200998944752719,0.555056137845704,0.03271128829371614,0.4625400884175152,-0.014078581630593114,0.6809190072488179,0.7795825688725458,-0.1313844156765697,-0.07575751694193367,0.3596860627264871,0.9370252384464705,0.32993614103039065,-0.09057921080452942,0.25806398330154356,0.12268571200263467,0.06537493425481045,-0.13803523265482087,0.7757720334882247,0.8185803765738003,0.6112216458777525,-0.12471119686341292,0.49803039257547344,0.5593645577722055,-0.008694589859496383,-0.20038561102375996,0.5020414389793496,0.9263596316579903,0.151988103170247,0.2938089682439689,0.12938114458282346,0.3204782870855853,0.27826668071591565,-0.13226925331999376,0.580766270113841,0.4157831713747975,0.43006164608560093,0.5469590514191147,0.7873586186158296,0.02717166258042164,0.5229834957452864,0.7177075614728782,0.7150735340504893,0.5555853347929164,0.9309748752252622,0.1538684684043212,0.35064075600859435,0.5820157108222729,0.5513180296419856,0.4772560910177864,0.6796434558380128,0.4821452563427022,-0.14851717816143606,0.03526853917947586,-0.0075291604010994965,0.0,0.19424230897982045,0.04819771028005812,0.4147796427330854,0.35865840298683815,-0.015393011255650449,-0.13564273085018555,0.8617295207756318,0.8205131221720368,0.6940151703063488,0.3963398590783448,-0.07139748791519127,0.24691757287938018,0.2720795259012367,0.5844349622431531,-0.13090676868747297,0.11897212396683318,0.7128199099801306,0.1950711956847411,0.5087799825316168,-0.08610819544227202,0.42744884637304753,0.37328737648824245,0.4767346566105113,0.46717243393087754,-0.11380112026475653,0.3465096384670594,-0.03340710883342865,-0.016594814440561156,0.8919491121231162,0.4168544141324135,0.31121800693057355,0.4283037409575675,-0.19860198054968514,0.1435082521488797,0.930000361819983,0.19325728451052182
ParaHippocampal_R,0.1326905210894963,0.4015991282325987,0.6912727730181458,-0.16224013691614844,0.18088676930881373,0.34425363239847995,1.0,0.5008247372770978,0.0,0.35403723693321437,0.6302286160760666,0.44635878851254884,0.684266288619452,-0.2826079831484014,0.5428500207410621,-0.014389353857290734,0.34578403873927865,0.575541546731413,0.3514062712277313,0.08190452673545094,0.0,0.330461725280128,0.02567862779757346,0.024151458257593544,0.30331574715511195,0.4949969157205829,0.44643432226349006,0.5761514980279878,0.5267527366013531,0.5446946515342733,-0.20301536084466418,-0.012127389367472978,0.38504872117263284,0.6780751611336756,-0.4051118675519231,0.4192279226347216,0.3463094511166646,0.23620753803635516,-0.41891563942868904,0.3719492967573402,-0.14364135564021216,0.28119707880275774,-0.08973499945139947,0.14788415685958198,0.49663271567049677,0.13560188216868396,-0.008061804574316595,0.18922487752818726,0.4154449092057121,0.017450840544213166,0.5218604725836252,0.30997755512003466,0.43471378688956813,0.14488192599082458,0.452691350829473,0.28004179589959405,0.6334793251179253,-0.26842518988469455,-0.35658682000094405,0.5807094827083926,0.4019412115285173,0.23333545024258495,0.5217595434433285,0.22698052799937019,0.4974927259530201,0.4881609548585139,0.5017060499038062,0.513963795733514,0.3719833555364115,-0.2260019021428712,0.39220194273286996,-0.2888296678847788,0.3127544256279471,-0.0969413102694611,0.7659564131805291,0.40974682404033563,-0.041151760340002376,0.7437891849405757,0.040377797738005435,-0.022026299535915807,0.6983706439982581,0.1987218869604191,0.1117280527367639,0.13785769272700407,0.22593628008110475,0.4157432866049024,0.14068169058482194,0.22270363953545724,0.04320334432501686,0.747327241620835,-0.033821304320932874,0.10424097990136957,0.37348731809038677,0.6453963035902751,-0.02251043167226507,0.5563424969277833,0.10255406231231655,0.7246786993302675,0.0,0.36845575711564926,-0.03318972204962735,0.1804534496261945,-0.2460245263561009,-0.3854492634319853,0.607210710197066,0.4386506480300437,0.23698931685047298,0.2599981169097237,0.4144766447128667,0.6136379559497288,0.42770680168522607,0.07374192208750249,0.10632772439271017,0.21626922176391464,-0.34721176574448864,0.541480473758934,0.6327706838312603,0.46431797750978754,0.1889224467491719,0.13395164999786974,-0.22227627309434053,0.26920905630061365,0.1784259777998256,0.458668678419644,-0.00759106424237569,0.3273656618859676,0.15584207662266306,0.418139339223635,0.40197108042853386,0.2206086227212804,-0.013576619913463752,0.43993869604920005,0.5823953379193174,0.26352298523458095,-0.4987483387195611
Vermis_4_5,0.4381965440817004,-0.019116442539833117,0.7618613228793282,-0.014367080423533525,0.38409911928504514,-0.05902702292790249,0.5008247372770978,1.0,0.0,0.42956052980137427,0.32082292636673865,0.5620410268509234,0.7373637621770469,-0.7124784496047863,0.00029324173284121563,-0.35129075116006564,0.592829478321984,0.3975897869842312,0.39652480137240526,-0.3075993285022103,0.0,-0.16121946674752796,0.04153772449428957,-0.44109916218167833,-0.33658981096503093,0.4091614877786112,-0.11628722978043542,0.054239788874467,-0.024684173032143313,0.10347366118246164,-0.6480138629647694,0.19009911396128848,0.07646812081674861,0.4017041346547195,-0.5100551372705125,-0.09812684397785724,0.6451111461411483,-0.361546579314417,-0.7947276443026214,-0.17313637304744872,-0.01906455089839007,-0.2884953141659328,-0.2040508382075546,0.021258228147228355,0.11423619929148485,-0.4647722076712791,0.20473358792305177,-0.6288960024606077,0.8338134934860112,-0.28968954777728073,0.06688550262497556,0.5369815238308269,0.7612212936802957,-0.4926977394860367,0.008691813638694678,-0.09340584211499782,0.860424461735836,-0.7714619585832668,-0.5792615469296816,0.6301869336123808,0.5871730243157028,-0.3054382197681204,0.04406415133309994,-0.1375159348162438,0.5838500717133748,0.06032152434400439,-0.1405629803316225,0.5501847700375909,0.15786924639303013,-0.6577638011640191,-0.10545993265140742,-0.4721328414069652,-0.27322287236419923,-0.2202390271157422,0.5306343898971556,-0.07378303210372476,-0.392128300853261,0.14064505990776457,-0.46951387612498274,-0.39947678117032226,0.12397305691477196,-0.32606773872531974,0.5105324846613793,-0.32225984616114056,-0.4460072809076377,-0.19692207036110404,-0.4820160595991737,-0.22588627889170837,0.367737507336665,0.7302653026108918,-0.4817725689866269,-0.5674764015267675,-0.22394813583428885,0.5306895731856787,-0.3726056411114924,0.804938266607592,0.09580763046451105,0.8054585127410717,0.0,0.07748731887058698,0.21513122472689217,-0.4674590359603753,-0.44213803583990735,-0.533907012674052,0.8792562681586175,-0.09528842569131564,-0.32183976453961927,-0.401604886129727,0.1119098010404111,0.8747334767391128,0.35122666619987597,-0.43973603267098565,-0.6181630111919953,0.2712421461265062,-0.6857904568238264,0.06297797224276687,0.5549527401861147,-0.08877562223294562,0.2503949153882173,-0.13332042998858126,-0.7014486344079388,-0.13010742327283725,-0.21862354856094882,0.5534714202011219,-0.5255625292502439,0.6669653753609447,0.15156243777171435,-0.10546404304038418,-0.007496675756284356,0.3067188883814311,-0.5728429180222046,0.8163784795229188,0.5005437162541394,-0.1777828271237737,-0.4068167396220069
Cuneus_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Temporal_Inf_L,0.08291823793616306,-0.03335244892447395,0.16422930476686462,-0.1758508859265777,0.2601300276465344,-0.022890945413842508,0.35403723693321437,0.42956052980137427,0.0,1.0,0.25426645574816337,0.90854534738973,0.6340321147843664,-0.36496761619658885,-0.08390250832957083,0.3443385352862056,0.31987069884836855,0.4853197767649859,0.49366007107170895,-0.25085184707999025,0.0,0.179866335402023,-0.5123636772150658,-0.6673857844991845,-0.1610135081527252,-0.38675647902477744,0.4080977147784329,0.40889670872449996,0.027313006372416744,0.22671654094518895,-0.4840171315441784,0.010833294704887109,-0.12389310268700982,0.6057752984404547,-0.4365855244755348,0.06032580753155479,0.7849786178465855,-0.382546699189679,-0.48961595739496905,0.03835350710824682,0.04016613948630573,-0.12326071394599473,-0.1260353346913766,-0.07873003888826437,0.21944999424117734,-0.3625874237419184,0.2076574933856722,-0.1130009197635417,0.3377103538203952,-0.3089685875932356,0.18143609069725322,0.3854107576274371,0.38267515899686494,0.3039577560893207,0.03697273846878694,0.23647746782284454,0.3989543157517881,-0.08514889056594523,-0.3277624953476397,0.681242131900963,0.5139725346388856,-0.1056023279012018,0.1880173410937458,-0.09406386579935554,0.5142797242087401,0.24710972041645252,0.1832331718563415,0.8961259512691708,0.07003872638828158,-0.33163375849773186,-0.008252847104030578,-0.5014714532655357,0.149814551947187,0.09677276093438822,0.5029493684441916,-0.07868687779108802,0.20894179076685782,0.11500173515771268,0.3356277898778959,-0.40751246832706994,0.1587043072963766,-0.24683240735031856,-0.07645813063612682,-0.11213214443142909,-0.18546489916241096,0.055525210295202944,-0.1814914860881294,-0.12973114468469688,-0.12752421030801356,0.5740482472071073,-0.37276228213991025,-0.5439685041936553,-0.01150841610726741,0.5135580416014667,-0.7790299332432734,0.5654111895352777,0.3508519675390225,0.7177786402147658,0.0,0.5223205569920962,-0.27825014295355793,0.03553385195199825,-0.5393063299224267,-0.40168012638940126,0.6519842133815738,0.1859931981287966,-0.23866240737742647,-0.04585072232895554,0.1875942522146574,0.6678576242345422,0.2619219255915526,-0.07129972287595954,-0.034014892977699704,0.7482893913137926,-0.4306116384056615,0.34600270059475047,-0.24434804027586438,-0.07811333417771354,0.6239136435910437,-0.22916213133941576,-0.6620903087977896,-0.028026716739126916,-0.054895025214181215,0.2224640937556534,-0.37832349425552353,0.18299545452260546,0.012922965499023838,-0.13867995672907857,0.1006040805153694,0.5889865922534094,-0.06702549282361663,0.49940226478612765,0.5605502215766665,-0.08411903202637744,-0.6043518777788373
