,Temporal_Pole_Sup_R,Frontal_Med_Orb_L,Cerebellum_8_L,Temporal_Mid_R,Thal_PuI_L,Cerebellum_3_L,SN_pr_R,Thal_VPL_R,ParaHippocampal_R,Parietal_Inf_L,Cingulate_Mid_L,Frontal_Inf_Orb_2_L,Cuneus_L,Parietal_Sup_R,Supp_Motor_Area_R,Cerebellum_6_L,Thal_VL_R,Lingual_L,N_Acc_L,Cerebellum_9_R,Precentral_R,Thal_VPL_L,Thal_MDm_L,Thal_LP_L,Cerebellum_10_R,Postcentral_R,Amygdala_R,Precentral_L,Cerebellum_Crus2_R,Cingulate_Mid_R,ACC_pre_R,Hippocampus_L,Cerebellum_6_R,OFCmed_R,Temporal_Inf_R,Heschl_L,Cerebellum_7b_L,OFCpost_R,ACC_sub_L,Frontal_Sup_2_R,Thal_LGN_R,Thal_VA_L,Cerebellum_Crus2_L,LC_L,Cerebellum_9_L,Cerebellum_8_R,OFCant_R,Thal_AV_L,OFCant_L,Postcentral_L,Temporal_Pole_Mid_R,SN_pr_L,Thal_PuA_R,Frontal_Med_Orb_R,Hippocampus_R,Vermis_1_2,Frontal_Inf_Orb_2_R,OFCpost_L,Rolandic_Oper_L,Frontal_Inf_Oper_L,Thal_PuL_R,Parietal_Sup_L,Temporal_Sup_R,Occipital_Mid_L,ACC_sub_R,Cerebellum_4_5_L,Raphe_D,Lingual_R,ACC_sup_L,Thal_LP_R,Angular_R,Cerebellum_3_R,Vermis_10,Frontal_Sup_Medial_R,Caudate_R,Putamen_L,Red_N_R,Thal_VA_R,Calcarine_L,Frontal_Sup_Medial_L
Temporal_Pole_Sup_R,1.0,0.7266384267204644,-0.4802008912978986,0.15013509204499811,0.20961539631435946,-0.5727739847613866,0.25086921915557464,0.3352949039861587,0.10424097990136957,-0.4135118788020194,0.5006968046874258,0.24880770597488125,0.0,-0.48751934555914533,0.6394838108444361,0.2971780290653342,0.5112507961888284,-0.6297118499958868,0.4367505719155797,-0.42825696836038685,0.4331497492916074,0.4137389136438327,0.18701406656267353,0.4750080940547408,0.033990136225781356,0.02577067719462713,0.5810088762327672,0.5299043402223723,0.37292845968580873,0.5564724123615861,0.5513180296419856,-0.34525339582241416,-0.37776138690058186,0.6457521119879118,0.22342963802056012,-0.6925125328458014,0.05650561767658584,0.879812904340335,0.7594453978085127,0.7145590103557514,0.5680674799792944,0.349028795662055,0.29875196724681546,-0.4831484726491021,-0.27606562497913806,-0.27973321814646884,0.7249641360943474,-0.33628453243376977,0.35007326490720814,-0.14230659452949548,0.8161613478119658,0.3046399090828429,-0.2181856398193791,0.6748999687596432,0.5005627876029628,-0.6662960465998419,0.8003773454128021,0.5517641535002114,-0.3276151345902759,0.5324844065222162,0.02279681627015727,-0.27028126246462647,-0.19637370517012576,0.0,0.630810550357863,-0.6176882059294254,-0.06280316946437892,-0.5718917615092167,0.6037183392319656,0.33672752619846724,-0.44989994130185534,-0.41190407962707515,0.02599018638436565,0.6415373943125131,0.48980648507709545,0.510533389232888,0.6369726157840359,0.5880157735757555,-0.192678253151037,0.5884393596919039
Frontal_Med_Orb_L,0.7266384267204644,1.0,-0.41130272635040394,-0.25530196275875466,0.14330689960487591,-0.7694783151604132,-0.03573806330523571,0.23608943865586887,-0.29889228421143166,-0.3656453508094871,0.3334971316672238,0.44379387355492916,0.0,-0.4988809844450337,0.5150084205192605,0.3487942639858356,0.32279936280471067,-0.7664018715649703,0.21201795463992656,-0.2173201015539991,0.2963593430537888,0.255832492053087,0.06204749335090251,0.37469730472138807,0.24971365414465763,-0.14871865696106468,0.37400912436149764,0.44401331107266695,0.05312935587827286,0.331523070948864,0.33414662902756437,-0.42570121437323954,-0.6113595164121479,0.6859066019669355,-0.15057452528505946,-0.6966282641941526,0.07052794056370387,0.8635050645668996,0.5924485622025363,0.5276981539172455,0.5323878780676838,0.22492730512558723,0.3540447311125634,-0.6935059839025393,-0.5372883537692991,-0.41889166406998946,0.6141756875743317,-0.22094477150755865,0.07682556773772274,-0.16103125454281297,0.5626980876678858,0.17444412728272085,-0.48465703007510014,0.8700808945336245,0.28790123859481687,-0.6936809299376153,0.6625751598306099,0.8080869850653709,-0.31257962193398314,0.38181222772748036,-0.272343438649639,-0.42213293996022977,-0.5006960384269542,0.0,0.4945203174693469,-0.7760639287334187,-0.29814426374456826,-0.7254467149658416,0.4084417313202374,0.28876486044466804,-0.5390502560347288,-0.5918798067044707,-0.07773835540983386,0.4795777154478061,0.266183560390906,0.35268462461983235,0.637161309254037,0.5696997584764596,-0.26857331542059176,0.43497634085875164
Cerebellum_8_L,-0.4802008912978986,-0.41130272635040394,1.0,0.009748961993917471,0.26976973644689123,0.5774250166844646,0.04636707638687171,0.03935371943300577,0.32421487797887544,0.456467800224699,-0.40913951063183823,0.0512603767953406,0.0,0.43218953146684624,-0.4132331748100474,-0.5645461811043672,-0.06857817785483883,0.6141107918957263,-0.1759527768415245,0.5738447408044328,-0.2508775134227786,0.15425472182118505,0.2628696992501014,-0.03790841884298995,-0.03299209401358216,-0.10437205164527498,-0.19427163693997831,-0.5568896138540277,-0.29521967683495154,-0.3177860843874475,-0.13690393134305615,0.5342422659093438,0.3998976973886739,-0.3705367165407428,-0.14864632954212414,0.46035165662403194,-0.20188185927886032,-0.515103018497933,-0.29330611514740274,-0.27958080783288,-0.20917510601038097,0.2612948290073747,-0.09567298225783936,0.4982462813882502,0.2762548672655781,0.14286877909470364,-0.46620636796770604,0.06281342110324999,-0.07268277080931265,-0.27470643017235824,-0.5996458984538892,0.14281435031841086,0.4472834217046558,-0.4150044016128441,-0.01003638384278648,0.5601771160346604,-0.396452636568894,-0.2714948843848019,0.2595224990363313,-0.05277832550588008,0.14516689690899665,0.38919351417661896,0.2601711026061813,0.0,-0.12130282065605792,0.6190207417508437,0.4539648013198237,0.5821904188078444,-0.09923828853705084,-0.05556612818248035,0.5313644032017844,0.5454001533649024,-0.03530326672655316,-0.22027817478784148,-0.08396994970681278,-0.007166240069049802,-0.24008303723607932,-0.029624860818377622,-0.09653748106292409,-0.18923341106055644
Temporal_Mid_R,0.15013509204499811,-0.25530196275875466,0.009748961993917471,1.0,0.18373333055277571,0.514013415543558,0.40141857781188345,0.2964525833636116,0.6327706838312603,0.10000493692347609,0.0734851844502069,-0.41040651766033415,0.0,0.21501539750409668,0.017405855967840028,-0.24256862727670958,0.1967141899313432,0.3971197361037495,0.13945063735973853,-0.18692666983708897,0.025449263540855253,0.25130971007594005,0.27120117017728185,0.08283060533815119,-0.36883987585370537,0.19823487154679803,0.36308310920152653,-0.009282586965571837,0.40026734498026534,0.10839061356320454,0.1950711956847411,0.2809983164902826,0.4554736396148926,-0.3485714911310108,0.8763124487456899,0.017483477906217054,-0.3050442183353669,-0.04971117852575653,0.21664705273554058,0.16345897493594114,-0.3165137094269792,-0.06504705112143479,-0.10082012416794689,0.5555852186892468,0.4887864316966515,0.24771344021624264,0.30168355400498986,-0.09238115904000581,0.23382097198458365,-0.1962809420927322,0.3425468896790703,0.21072199985769066,0.4635046380788496,-0.3066373051220254,0.35856877459766373,0.38966365416097154,0.061165669206966984,-0.5499603606980777,-0.14472651030511027,0.050802200523667095,0.4364516243228985,0.4287190013066907,0.8306251402610954,0.0,0.06136632811487809,0.4133882591231894,0.38951899358726505,0.39980890882121817,0.19153416797866993,-0.035077205316612514,0.2781202388377578,0.3611539586982868,0.2873661637907508,0.10956426690439205,0.16691484116127797,0.10465426978182989,-0.2837214324804257,-0.19050777502532998,0.1399499900975509,0.12370522534580919
Thal_PuI_L,0.20961539631435946,0.14330689960487591,0.26976973644689123,0.18373333055277571,1.0,0.09101378698223667,0.2502435315368188,0.6080701958647903,0.384885156709541,0.07088468690188318,0.14288062138664442,0.38631304155775514,0.0,-0.0032596538670838946,0.2376270056173543,-0.17181252637184372,0.4819191992300451,0.18982079239398375,0.39812822863587605,0.14212392750394812,0.20978097117639635,0.7634680261003637,0.5792914875856162,0.2345961915688249,0.0530419293928802,-0.11073000677389434,0.4558749314002519,0.005268091710697633,-0.08578298774790476,0.26863016686460073,0.29816386992150296,0.5700892264783115,0.04418691373589531,0.008428668637108689,-0.045925056990559085,0.10992242139193016,-0.0007784253879126932,0.08505179019194156,0.21247327293054108,0.3704780555070304,0.3471711242988201,0.5666851397225278,-0.04803190987853215,0.10067520625927555,0.028105739538960773,0.043259231159298785,-0.03302879201276182,-0.09943879998811,0.053125154906112575,-0.18944902571195385,0.01142317083600016,0.6549132144729094,0.32085077597925676,0.07180381923300956,0.6627158073628993,0.02534440248192443,0.06559349852150946,0.1852979151453036,0.25974885386706537,0.55755035498517,0.2825339481937694,0.04419509088632335,0.2605019915762261,0.0,0.25049004764501115,0.13859735876648518,0.4150025207598386,0.17267687954608357,0.38652848224770453,0.11489614253762309,0.04778038224238287,0.25565743518775946,-0.1733975450924429,0.341623599704067,0.3102626718709476,0.5392030759449661,0.3043990874635982,0.3640734305008036,-0.13736639968711525,0.33749729080256574
Cerebellum_3_L,-0.5727739847613866,-0.7694783151604132,0.5774250166844646,0.514013415543558,0.09101378698223667,1.0,0.06451388209543261,-0.01589881998815838,0.5814938095628818,0.4884388564751663,-0.4197826740102574,-0.37835079628525464,0.0,0.5937736636984333,-0.5796194449963668,-0.5707945244428578,-0.12230944233094691,0.9272784316522745,-0.10592477153122487,0.26120551603026554,-0.4164859185286152,0.025169233182322746,0.20430049689194227,-0.208004263703314,-0.26553321285917947,-0.05624412046979151,-0.19972499162261328,-0.5532317094100714,0.04442847866217998,-0.35512978949585533,-0.1383913756257812,0.660119555062404,0.7812245387817033,-0.7261601189209085,0.4008548686895717,0.6840752880341284,-0.23234075862656153,-0.74704204302679,-0.4191643943774184,-0.4066579678355456,-0.5710590372446464,-0.03382489404569392,-0.21026221605680698,0.9409928497800243,0.7458081249359919,0.340031504593693,-0.4346988101383636,0.15918451207751724,0.10626280341121001,-0.07552329786197028,-0.5068426075639989,0.071706266082571,0.6892495709231627,-0.6880585829559354,-0.05638561526056382,0.8825733166452608,-0.5129392987445243,-0.8082059800159723,0.26694388547605824,-0.1989498561699475,0.4108498797391257,0.6748329412912163,0.7198017195336158,0.0,-0.43279329511008946,0.9689074501002127,0.5296637646111642,0.8508777491215074,-0.16625773161222654,-0.21863648570512484,0.6953700108217561,0.7086421423811878,0.18444629965846684,-0.30915766691721885,-0.13666901957460117,-0.11726340090668444,-0.5973330489060913,-0.43643097169414385,0.28628530771874067,-0.268641496628141
SN_pr_R,0.25086921915557464,-0.03573806330523571,0.04636707638687171,0.40141857781188345,0.2502435315368188,0.06451388209543261,1.0,0.5490369738182329,0.38504872117263284,0.05494011321469786,0.37761008709091376,0.0634289479734258,0.0,0.12435116561018693,0.6262745932433764,-0.03811021815610737,0.4790615688667825,0.027776593656682207,0.3708708755651344,-0.10560868817889248,0.49788008664961386,0.3603199912773212,0.3409277354630543,0.4493110959417018,-0.30004715804958765,0.41461350088796395,0.624222798994685,0.36156899018308086,0.1370945199589741,0.4863936261800532,0.22276967031103162,0.23537024084963737,0.12003010094192183,-0.02883521091253277,0.17558949921939596,-0.08817701042187598,-0.13988184097978842,0.08569175997203327,0.36817304458268946,0.48808438987158553,0.3851811608818407,0.3251416207193567,-0.1721773113435165,0.12902934843783115,0.16965039500469262,0.10611383223945654,0.19270244394719346,-0.2319180587964994,0.18411767748207072,0.03931906771799416,0.18100069309764602,0.35074529718662634,0.026370049644572503,-0.1633354830630746,0.6150672978809524,-0.10546934154311892,-0.007517806796233319,-0.10286062658745554,0.09354182891283151,0.49914484901636097,0.20414506885575223,0.175792640167962,0.3120752355064253,0.0,0.4762312126687449,0.015651785032062535,0.3321882149219895,0.05692185966085669,0.28039512667607597,0.27780143100642385,0.1237006704851486,0.10230432118153873,0.05659759912736772,0.2574619314094164,0.3542608781746729,0.28349037283507905,0.19527558154235758,0.3683226384572834,-0.15945722694505815,0.2938666500058325
Thal_VPL_R,0.3352949039861587,0.23608943865586887,0.03935371943300577,0.2964525833636116,0.6080701958647903,-0.01589881998815838,0.5490369738182329,1.0,0.3812161243679183,0.09889729784433633,0.3784281049921388,0.26634872601910836,0.0,0.04441393437202045,0.5746811437994416,-0.08800486293111803,0.743504783051496,0.062454750257794144,0.5978569530673762,-0.015725183722719364,0.3499511546058611,0.737018314455462,0.698440300469009,0.5294263189913256,-0.04237895484834347,0.04572833984362638,0.6937991854307914,0.3155506409350286,0.0692406654601666,0.5444086988080694,0.3701064838280347,0.5101326055062171,0.023704704431070145,0.024445421112455297,0.12109570585566896,0.057901051672509786,-0.12351188907345294,0.18238715379253573,0.4052813216232577,0.5722460891939388,0.3795782750499411,0.563036518121316,-0.012926255244549417,0.08162009804436922,0.09126773116267589,-0.09425064903956229,0.1458421183879846,-0.11873986575289305,0.15128301242572353,-0.036260031108631775,0.18775353534216124,0.7483291697362554,0.15282148193046774,0.15355018189257671,0.8399710717956463,0.00023962085526084697,0.16249087810311055,0.15153086432168592,0.2380939633769444,0.6931726412505685,0.2694861748449548,0.1927916974166211,0.33084442336664005,0.0,0.3611044213235569,0.008354677836032132,0.3933546852134469,0.023106460456596662,0.4678552213022952,0.319355186473454,0.07883849284330793,0.0056426571496660215,-0.079200144765102,0.43770613937708935,0.40859905083411097,0.5677953847534591,0.4017609910339377,0.44828366076245085,-0.04683620689641251,0.4654599223481615
ParaHippocampal_R,0.10424097990136957,-0.29889228421143166,0.32421487797887544,0.6327706838312603,0.384885156709541,0.5814938095628818,0.38504872117263284,0.3812161243679183,1.0,0.3514062712277313,0.017450840544213166,-0.014389353857290734,0.0,0.30997755512003466,-0.00759106424237569,-0.4051118675519231,0.4192279226347216,0.6136379559497288,0.3719492967573402,0.1889224467491719,0.13785769272700407,0.4881609548585139,0.6064316089350544,0.37348731809038677,-0.041151760340002376,0.14788415685958198,0.2924650404188747,-0.2460245263561009,0.02567862779757346,0.28119707880275774,0.34425363239847995,0.5807094827083926,0.42581037636369434,-0.34721176574448864,0.4949969157205829,0.3463094511166646,-0.0969413102694611,-0.22227627309434053,0.23620753803635516,0.23698931685047298,-0.013576619913463752,0.44643432226349006,-0.08973499945139947,0.5073997809091041,0.3273656618859676,0.004630581371587192,0.024151458257593544,-0.008061804574316595,0.40974682404033563,-0.14364135564021216,-0.02251043167226507,0.4144766447128667,0.747327241620835,-0.2826079831484014,0.5267527366013531,0.43993869604920005,-0.07893661783636965,-0.26842518988469455,0.2206086227212804,0.35882064425631854,0.6302286160760666,0.458668678419644,0.6912727730181458,0.0,0.10595269892021968,0.607210710197066,0.7659564131805291,0.5563424969277833,0.39220194273286996,0.1784259777998256,0.4974927259530201,0.6093861859090017,-0.03318972204962735,0.22270363953545724,0.44503416110249744,0.4386506480300437,0.10632772439271017,0.1804534496261945,-0.012127389367472978,0.26352298523458095
Parietal_Inf_L,-0.4135118788020194,-0.3656453508094871,0.456467800224699,0.10000493692347609,0.07088468690188318,0.4884388564751663,0.05494011321469786,0.09889729784433633,0.3514062712277313,1.0,-0.2998674344774436,0.006940753922925997,0.0,0.6027483898842081,-0.23478865393846196,-0.44160014780537266,0.05217068967262088,0.53893293147201,0.087001472164644,0.4982658785276653,-0.1342180623905011,0.14793052414610622,0.25472786567996997,0.0839455588269495,0.17590862070803323,0.02269421941736029,-0.09023699483809267,-0.40723826404928043,-0.3720113236656318,-0.13440352515849632,-0.10844967096593076,0.4415907094515225,0.3167192541776529,-0.43345112022310334,-0.007129537405614998,0.4002800073494442,-0.09810788502037492,-0.46447638259976903,-0.20400347833304455,-0.18438316496858131,-0.14405724826920563,0.22276765170415438,-0.08227862868792857,0.4100173835788394,0.20945952895856781,-0.09015902715356937,-0.28307353113375894,0.17079020272235693,0.11624743445993357,-0.09241197178234076,-0.48882467894250475,0.12553187839687538,0.3806341949517191,-0.3534817331105449,0.059071258819203505,0.4731931626807309,-0.49328439474083446,-0.29042238354195543,0.18314498068548007,0.052375837319924276,0.20576304971264023,0.5457355502846837,0.29329372058014763,0.0,-0.22974825552363748,0.5386575047462834,0.3926202311799009,0.4595661895867341,-0.04258429999407708,-0.021833138014816785,0.6313612804653848,0.48361590593929304,-0.10777151364673393,-0.16198708380130972,0.018140498243269156,0.046674256468127055,-0.10630191008982971,-0.00206300485964957,-0.09162742352651097,-0.13196887743268687
