,VTA_L,Thal_PuI_R,Paracentral_Lobule_R,OFCpost_L,Thal_MDl_R,Cingulate_Post_R,Cerebellum_3_R,Cuneus_L,Occipital_Mid_R,Cerebellum_Crus1_L,Cerebellum_3_L,Temporal_Sup_L,Thal_PuA_R,N_Acc_R,Cerebellum_10_R,SN_pr_L,ACC_sub_R,Paracentral_Lobule_L,ParaHippocampal_R,SN_pc_R,Occipital_Inf_R,Temporal_Mid_R,OFClat_R,Postcentral_L,Frontal_Inf_Orb_2_L,Vermis_9,Frontal_Inf_Tri_L,Thal_VA_R,Temporal_Sup_R,Cerebellum_7b_R,Thal_PuL_L,Thal_LP_R,Temporal_Pole_Sup_L,Supp_Motor_Area_L,ACC_sup_R,Putamen_R,Vermis_4_5,Thal_PuM_L,Frontal_Mid_2_L,Parietal_Sup_R,Amygdala_L,Caudate_R,Frontal_Inf_Orb_2_R,OFCpost_R,Temporal_Mid_L,Frontal_Mid_2_R,ACC_sup_L,Frontal_Sup_2_L,Pallidum_R,Occipital_Inf_L,Cerebellum_9_R,Red_N_R,Temporal_Pole_Sup_R,Cingulate_Mid_L,ACC_sub_L,SupraMarginal_R,Cerebellum_10_L,Supp_Motor_Area_R,SupraMarginal_L,Thal_VL_L,Cingulate_Mid_R,Frontal_Inf_Tri_R,Vermis_1_2,Olfactory_R,Putamen_L,Thal_PuM_R,Precuneus_L,Occipital_Mid_L,Thal_MGN_R,Cerebellum_Crus2_R,Thal_LGN_L,Thal_MGN_L,Thal_AV_L,Parietal_Inf_R,Vermis_8,Thal_MDm_R,Parietal_Sup_L,Raphe_D,Calcarine_L,Heschl_R,Lingual_R,Lingual_L,Cingulate_Post_L,ParaHippocampal_L,Thal_LGN_R,Cerebellum_8_L,Frontal_Inf_Oper_L,Thal_Re_L,Cerebellum_9_L,Olfactory_L,Cerebellum_Crus2_L,Thal_VPL_L,Amygdala_R,Cerebellum_6_L,OFCant_L,Vermis_6,Hippocampus_L,Frontal_Med_Orb_R,Cerebellum_4_5_R,Precuneus_R,Parietal_Inf_L,Thal_MDm_L,Postcentral_R,Rectus_R,Temporal_Inf_L
VTA_L,1.0,0.17648436813062524,0.15041682471405846,0.174585389197311,0.22351778426077942,0.12574313739454734,0.27930175323862577,0.4551693406346183,0.27236832226254243,0.09928166509279991,0.18769354587518722,0.2503883867323326,0.14311462882462417,-0.3697585087076937,0.2695536139638515,-0.300327497429513,-0.017444399541333755,0.3394334982523872,0.1601221318704317,0.3840537776516836,0.09278969850251817,0.13303758061080695,-0.18639408210828,0.18418721909297275,-0.14451702951637652,0.3103458339718374,0.23892320187900876,0.047412509631402026,0.2262821173493261,0.1715963471542351,0.3214670497911066,-0.23491771333929937,0.30252453911745547,0.4382964826717451,0.3422826586211473,0.07754827761302899,0.15392169740226094,0.17038660361242225,0.3308762909780299,0.1111353575420616,0.25169681400826266,0.052069057182126746,-0.16385526645653448,0.08236488452240365,0.32819300278109476,0.3963650638475806,0.32260455696573354,0.31991421807151843,0.1660859969588284,0.2876262491141498,0.2135587601980811,0.3664431930298915,0.0321660869496555,0.307998752467462,0.07493207322816335,0.36634879928087244,0.22267035507672558,0.421678888379773,0.32967641913421153,-0.0496157339603633,0.44544278865837095,0.23245194952190212,0.40639043005564257,-0.04892165103745117,0.05633458547490076,0.27549500262329546,0.03139498870657324,0.33717981768734706,-0.26914548503981495,0.08607505635391198,0.15424809419574328,0.08113203719052456,0.09704517041258762,0.39193659761761734,0.27312581423673377,0.04388641755463923,0.11019523027616962,0.352070947479396,0.16306518988353258,0.2793420485873493,0.2911229158081756,0.26981174114110307,0.2451147349686749,0.17590411073270806,-0.16756612462422835,0.3141554876296366,0.31777724691804493,-0.21160595893012682,0.2852948047025422,0.10653593694577045,0.0015346313226878878,0.15618897730629475,0.2651491802182753,0.19059472947103034,-0.01593223658276925,0.15633193638948698,0.05918084282538205,-0.065787897521977,0.32507216689682666,0.29586760933341416,0.27875841766913123,0.07043907699965322,0.33693050308863437,0.2542295145621555,0.3437031274881053
Thal_PuI_R,0.17648436813062524,1.0,0.08506434819505165,0.4515683785845616,-0.19938269741101894,0.3730858449578274,0.6654573982235437,0.6371939580941625,0.6784945515683031,0.7681543586181517,0.41783111230850795,0.5389356163609862,0.6550447689871477,0.336462744153075,0.7011908500433834,0.2701477368271721,-0.36382690400307577,0.3369048145903372,0.2146287426954264,0.4211472990549941,0.8087228091737977,0.7608929090197827,0.14487586369912728,0.1610194318299459,0.2106188936036724,0.858265214039425,0.2921347190132497,0.30480871301861107,0.7272220777739861,0.655118002926699,0.690545626746466,0.14958542250567008,0.6514125006674918,0.5278151443066597,0.5424588656417993,0.5147343996209389,0.7342599559177281,0.8425984258302771,0.5131927234945457,-0.3319802152262603,0.5634592005876164,0.4246899046362527,0.3257513104155494,0.45554898698734153,0.8123005676051557,0.616267671126064,0.47925686878556306,0.35962035924592,0.5377213560543638,0.7862168241484236,0.8664395725973434,0.4007830753697276,0.41823508164218903,0.48821860512500437,-0.3936541195867692,0.3912336391706442,0.7073321452751732,0.6642906673337834,0.5080803934120132,0.3078258482384605,0.36866099475558683,0.4864851729219977,0.4734459719331197,0.07980855386562616,0.2483471284349581,0.8285540387979666,0.5231017657562745,0.801848470433228,0.38318530923483624,0.6401303981811846,0.7015111990401965,0.5065485928806401,0.04975831347129298,0.3046777509432573,0.7848951908652427,0.36927644172653495,-0.061902811556317404,0.4157010801432548,0.7818106642896775,0.6897245007137088,0.9064022889136709,0.8978931560636418,0.4496544756338506,-0.010814558195893066,0.45028270660001724,0.796242684117112,0.4035293422253193,-0.43618655036301573,0.8572307234915585,0.24347220509407907,0.5462468635549759,0.35281079937175014,0.6069830950775927,0.8825258973663941,0.04332160352928354,0.8773229902923653,0.5967344082591283,-0.2478859882084524,0.7485343320873586,0.38371934198010893,0.32022014578123087,0.49227449468990014,0.01700859898958032,-0.06625666153274105,0.734877456486872
Paracentral_Lobule_R,0.15041682471405846,0.08506434819505165,1.0,0.4520485716647745,0.33705654050540385,0.40708270708284505,-0.056523011565728455,0.18632441816034892,0.22158673287277209,-0.14714065962216172,0.3616758442616043,0.524921490258288,0.31428455296002256,0.2891140344662067,0.1983615279092945,0.3680104808009775,0.21531372370309446,0.7119348975281423,0.5423157723415649,0.4518150657788219,-0.21163218920483443,0.11898494395030518,-0.1289266373446188,0.8187018203681661,0.6255024302974199,-0.13729181578824132,0.7631346738405261,0.24402418335584283,0.23674557667467358,-0.07666300519844534,0.44737067613092446,0.0994690265113955,0.203866961885944,0.6747085337938525,0.5015483652558431,0.5056943875614502,0.3735336928244271,0.2093518634438819,0.6948766289239998,0.7169138153063832,-0.06316069297260501,0.46585544829775755,0.34027984351061413,0.2906279707183999,0.19012786734890536,0.5083602647126703,0.44392715706276864,0.806052441038366,0.5626563968456368,-0.18046381036244127,-0.13529171369049137,0.253463151798934,-0.036348087100867045,0.5541265989724785,0.2805660866733963,0.5133943871627668,0.23249175508413536,0.5159992642142138,0.6525047572651231,0.31231523186755533,0.6018787673515096,0.44016892013712877,0.33304025903528056,0.232635398281175,0.5634735773260982,0.2918042428510403,0.6929003934251159,0.23697439573243517,0.14980527741566704,0.045239791822313725,0.2415095849734453,0.2880797835645705,0.3349302043766603,0.8142209491678793,-0.03255172679884859,0.3154487576759347,0.7839509136559782,0.3127550761603221,0.22494387074969135,0.4589494548319166,0.06659463010297699,-0.008061601188451251,0.44430098895173487,0.5555863493954863,0.14501338924906304,-0.15134872404788013,0.7099826983883504,0.08100129303356587,-0.08409732822522144,0.30044871617959257,0.02264675111105896,0.37165444752586413,-0.08362442714855244,-0.16163743694172475,0.42013217245988604,-0.23516967831373412,0.4027573470211181,0.27697584060184677,0.35350795184945144,0.8299016720468515,0.7651683128543649,0.449893492230186,0.8123366036510257,0.10782137128335463,0.008849826970906022
OFCpost_L,0.174585389197311,0.4515683785845616,0.4520485716647745,1.0,0.47245826127605134,0.6666960005909537,0.582348503904992,0.2674054704938235,0.3304792308360523,0.1732431473596015,0.7457968519510128,0.6062559643468969,0.5165998480803151,0.34213189092819923,0.6734828059914786,0.5030876431336879,0.37518079602350546,0.5926442350988393,0.7146276597604596,0.7236745060534863,0.31105083371892656,0.5538503887070308,0.15961462196518955,0.6511734412870566,0.620477623740503,0.3235687575059403,0.7341646549683923,0.46533424524685735,0.6419300522476649,0.3291261903445249,0.4034299743039577,0.5684022175256164,0.44352410512905,0.7055902396426117,0.7760711011142464,0.76512965797107,0.7087170922345849,0.6024588541954056,0.757055955634789,0.016130975596468006,0.43002425927105364,0.7594636067502818,0.6933397295016542,0.7126723650481823,0.3834101495889957,0.7059980666364267,0.6825648421470786,0.7598594933955598,0.7162315522679414,0.11525085467782689,0.49245593945245525,0.6709302234083209,0.5746645324310095,0.7103416048920916,0.4636561008394864,0.4127762420531176,0.5530488936930684,0.7870437192654649,0.6477472849622418,0.7625865953034925,0.5285754090326297,0.7694638338383609,0.5883453796747651,0.6069204865446324,0.744971958334066,0.6385404886799201,0.6823395161243908,0.340932411490344,0.1753782083065152,0.5564947794907363,0.49906092184741063,0.5451211063895164,0.5086514704497626,0.4614100128268952,0.3336657077253636,0.6230748953691203,0.366916735178385,0.5425686322388961,0.5463430114087696,0.6962100863000245,0.5276895644874924,0.4834469117559288,0.6912795816429127,0.5406975947152004,0.2955511434014201,0.16446848565567423,0.7242732142104457,0.0087716055591013,0.4935911136413434,0.6463024942846207,-0.02420149970367665,0.7524418240396945,0.2002396030194822,0.3308260149381036,0.7336929533164871,0.2704403854922168,0.7334659920226899,0.2192890871073598,0.7334863988263373,0.6364706598496322,0.6760850762217535,0.6748021201790493,0.2663284170603577,0.4979704183882475,0.35176895484995646
Thal_MDl_R,0.22351778426077942,-0.19938269741101894,0.33705654050540385,0.47245826127605134,1.0,0.442445093301719,0.30270414707980037,-0.12565031944179417,-0.16863920793224327,-0.3559511945879307,0.5723767220622761,0.2574619468750311,0.03631395834570334,-0.14891698613655516,0.3302299553729726,0.22150757318076764,0.581166666320761,0.38105944635366057,0.658343956443153,0.4186590530865704,-0.33911214893055946,0.015582469202606515,0.06847238481798064,0.4766924353087058,0.336306810551337,-0.2539230563417455,0.4785890587758598,0.4416159570128639,0.22125527077215562,-0.1338354721644999,-0.23401414081108096,0.39189565879182986,-0.1322843414378225,0.413863831719654,0.3620040253312891,0.47879873402074824,0.24805464490726226,-0.06430578624343686,0.37004207112212223,0.08718933164754836,-0.07434598014184962,0.544799619651453,0.36916878379407314,0.18764880085539878,-0.11366362380569212,0.4213953244290941,0.389392710197325,0.4640960862801401,0.43565531132134144,-0.3915025978042952,-0.043411447487314125,0.5796124837339225,0.1276586975017326,0.50010332231417,0.7240555591584774,0.22011979901859904,0.18819585636132002,0.3837905545848891,0.3131764871912643,0.6264620201480446,0.4568864359909659,0.5415977069959562,0.45832940882539247,0.39410064301514364,0.6204912025703964,0.15687758463591606,0.27164905238436615,-0.23444049920981896,-0.1560862923485039,-0.0768217199979504,0.05493621503616044,0.28113451026292174,0.7359437458606463,0.26228583011464995,-0.27016416268665316,0.4917996002406755,0.2904381256360903,0.44649719038207303,0.014708997900845218,0.26035838082426943,-0.036342783557676075,-0.07082393330905688,0.45878780870614844,0.5902778768140043,-0.15105816915102696,-0.3121124844954626,0.4529103854520444,0.48473411060678756,-4.1796458860730646e-05,0.39655710093835717,-0.47984680395860874,0.5043368971557961,-0.30741943872826133,-0.17803849183537965,0.643114253499922,-0.29109646368623887,0.2698783617676634,0.3383768501683049,0.31838343977089106,0.3567068054918152,0.4262629386034864,0.30888708902053735,0.2542782720571201,0.569330952606129,0.0029423670078208633
Cingulate_Post_R,0.12574313739454734,0.3730858449578274,0.40708270708284505,0.6666960005909537,0.442445093301719,1.0,0.43926150520743246,0.17802618754216112,0.33799524824703386,0.10134931928343431,0.6504963761903976,0.5410332787129242,0.33148681842982936,0.32488205115121993,0.5119531549511022,0.422152771579362,0.17358147824948342,0.5185012908450042,0.526013422077141,0.6651294414942976,0.2835169085150616,0.4827408829743286,0.2433235392592673,0.5703695054319199,0.4927023100538834,0.30103006043826447,0.514427339877207,0.3945758632297384,0.5316312634552753,0.3789333670058651,0.2329475194889567,0.4856517488351855,0.250840325561817,0.5573411957846487,0.5461310676345646,0.7122809215182155,0.5666063953536886,0.5278247632124001,0.5983450367817421,-0.11515219852389443,0.1212563564783678,0.6976158960465264,0.6860142016407874,0.4819138384339645,0.3275011784286537,0.5985490629128711,0.5637085610159343,0.5689654958032011,0.7410445590663092,0.05904362860222529,0.38746277683935654,0.4797568790850883,0.4063450867133448,0.8262639338975233,0.28142056761296447,0.22175286296125302,0.43207283779249456,0.5809125204970623,0.5504145177733645,0.6899717435770798,0.593203437230752,0.6624741021998564,0.4732916310910566,0.39752903183205274,0.6837992863944132,0.5528887545348988,0.6556412974375723,0.30157659066253845,0.30199423503585415,0.4375549047393655,0.6932107335611127,0.7012739331473662,0.509424761961682,0.34385766790688566,0.31576745407510715,0.4751751553089736,0.28850984579698896,0.4115475670333268,0.4269932225799839,0.5395772898520437,0.4603650090457219,0.4021183447625584,0.870254667214883,0.30862261577021893,0.38821398532825424,0.09949111626619372,0.6075490124665148,0.08142927175763762,0.409394096573038,0.4127524177858872,-0.01153513479138611,0.545703267707733,0.06875566265745459,0.2881554660537372,0.6174323322989312,0.22329078859802123,0.5872402380787546,0.112356645075833,0.5824694450149102,0.5182974333394472,0.6010278688593514,0.5091523209496407,0.11966418320254321,0.32647158442019325,0.21096455168862027
Cerebellum_3_R,0.27930175323862577,0.6654573982235437,-0.056523011565728455,0.582348503904992,0.30270414707980037,0.43926150520743246,1.0,0.3898681648800648,0.3986937175690036,0.49232173602603596,0.7198911095677989,0.4194972204416178,0.5399276160696559,0.08958071744962186,0.8813326053803943,0.19828561031253553,-0.016329533965269722,0.31662497879409013,0.5264153877929119,0.49121080923166766,0.5819509403764342,0.6889700418850595,0.2672112441107262,0.1643285759430647,0.16878783068708614,0.642502251099159,0.29773873157996306,0.5363572111342384,0.8039681730753798,0.45557630617102457,0.31680722429175057,0.4519387607686321,0.34929611900747387,0.5431384755047549,0.6384265920525164,0.5927734329851333,0.6884881688916685,0.6722015615702464,0.48258484789933687,-0.5194350060462928,0.4479003190164674,0.6164262046994341,0.4450622321163489,0.45822292776282963,0.532116333347943,0.7073163693965261,0.5848595682820327,0.3472220165117141,0.5720661543267009,0.5000602417811246,0.840717897352792,0.7559085391208927,0.5193209310661456,0.5886962104949799,0.05666600791926279,0.4496271679167963,0.731954134013606,0.7220200524726244,0.42603092246249186,0.5858892907736791,0.4476857059647156,0.7126830504783553,0.6766252455538987,0.22356478315484443,0.4462630050936398,0.7246539608434408,0.37681214573907684,0.44646538789001766,0.13368027283904657,0.5140130808180923,0.5267466314502058,0.4830282313486619,0.3894968852867623,0.19078451248509565,0.5052907305271503,0.5317202197220372,-0.16471667935092535,0.6555619890663481,0.6285090471593815,0.6808273321321275,0.7912758781289136,0.7838188769785472,0.5206632364451279,0.27304694040959937,0.2755551810781027,0.533525399318882,0.4369785689106723,-0.08879079591808477,0.8411182435520195,0.37922322259493274,0.022827451429781667,0.5733879438074435,0.3844109315803868,0.7120148097542418,0.30385633272110013,0.6974846045246211,0.605044399671157,-0.19256217826072072,0.8023852707223615,0.25661763745130434,0.30499244809283704,0.5023936317859188,-0.053250223073615245,0.25986684813957134,0.6659210171841793
Cuneus_L,0.4551693406346183,0.6371939580941625,0.18632441816034892,0.2674054704938235,-0.12565031944179417,0.17802618754216112,0.3898681648800648,1.0,0.7236537893297219,0.4076019600680142,0.19364011947021573,0.30723198045165484,0.39391688973525185,0.07041288402518373,0.4056914945691368,-0.0975559747651375,-0.30690409430342175,0.4645342744789162,0.08719954437684825,0.3682555622088733,0.53152603180965,0.5925476844280171,-0.22676099281235193,0.23670517005015113,-0.17882595929933703,0.6053257632938891,0.16576797397504975,0.09659286525834622,0.48770413715720284,0.527302159272238,0.6429883103573231,-0.2504243100585557,0.482411773378797,0.5168779776496922,0.43402501263147425,0.21277669224185988,0.45487335281690267,0.6225130418977295,0.4330650931202166,0.05200458087502905,0.35754251255712316,0.1713591197263162,-0.007369909989250492,0.3568976784847918,0.5521048029024302,0.4652322702346401,0.2900494317264951,0.38638869647764473,0.3344212482980027,0.5516261512946048,0.538500567812603,0.30076326465168773,0.35974030374383825,0.38007825047883353,-0.3051394638939993,0.4191979429118021,0.42746521442456586,0.5310064982813723,0.45102279200057127,-0.013056404571203344,0.3124882502753328,0.2252366107265537,0.37055909295142164,-0.05261959367217815,0.07286956139241865,0.5969896455425932,0.43295062236628845,0.7836828188810157,-0.08691584298148095,0.517794066431945,0.3674501454608194,0.1178855581636693,-0.11855054021160197,0.43147461110241225,0.6086277360868576,0.10411087968983793,0.2411328675313992,0.3615741873159203,0.5678442630414594,0.5240375887582647,0.620724568023272,0.5718517172774683,0.3233688984211935,-0.10113033835902646,0.043191706140397204,0.554094329692175,0.2917162447893496,-0.5407585110742998,0.50327218261518,0.008354526889986927,0.30353342714840587,0.0896065495580443,0.5098670894131525,0.5811940013996173,-0.0393981492611785,0.5721887352396521,0.1730453045502844,-0.2110161906922033,0.5338310394169804,0.4930792599682381,0.4363563275763469,0.31243215816049735,0.20639984542374976,-0.003855281867999275,0.4998002536308682
Occipital_Mid_R,0.27236832226254243,0.6784945515683031,0.22158673287277209,0.3304792308360523,-0.16863920793224327,0.33799524824703386,0.3986937175690036,0.7236537893297219,1.0,0.4467430984607821,0.14964379282819798,0.3060403767567775,0.5157950141601816,0.14062693952549468,0.4089452235376294,0.060451118902837275,-0.39125588926547805,0.36589275419271305,0.03935799135247587,0.3807473508447671,0.6757228508111388,0.8132214919379253,0.07673744637894613,0.2830729291277773,-0.06290919092046963,0.6751224519324577,0.12857777344033705,0.1784245651903079,0.6659750140766036,0.7410226135544491,0.6599107862681818,-0.12389731457461993,0.41092986222137956,0.46195236091792813,0.43698778101814906,0.31221218906208026,0.5042124412448985,0.6579721278416245,0.48099147782131857,-0.03796163519059424,0.28553126227670883,0.3403926243866784,0.17291556435406766,0.4400609938525613,0.5994893496205458,0.48460303592374715,0.21823440776423547,0.36348958379727875,0.4050942886114246,0.5695233084316628,0.5965786159999833,0.2430035537700961,0.4910036701225637,0.4569276599417694,-0.30874180359474995,0.5014411385926207,0.43952358085313287,0.4878287209415702,0.5237903200157985,0.03772059083394943,0.296158453750502,0.29159570927491607,0.3444543433735641,-0.07351731582391,0.17474814488114837,0.6790428319702335,0.5322322777790607,0.8784496936310852,0.2815279184379116,0.6434962595774033,0.5885662950071551,0.35983666593811714,-0.07041067664639711,0.38302622704762623,0.645461337868397,0.18264820586910036,0.31306621589654265,0.3378415354081923,0.6491530550251308,0.5643572164947015,0.6979873813451094,0.668843537429485,0.3888839399947643,-0.2496182803903256,0.1312391761411585,0.5578569026797541,0.28925223469045264,-0.522874714875384,0.5410989057536032,-0.018642042667001764,0.3343994465248179,0.008342380065184866,0.6356397618125174,0.6316176273091919,-0.086209269210085,0.6447123548079268,0.18346442476435879,-0.3478275332511261,0.5344070525281128,0.4972304730332486,0.5272779319700563,0.3388992455058004,0.09732393699059073,-0.11893144717278777,0.42458611528264645
Cerebellum_Crus1_L,0.09928166509279991,0.7681543586181517,-0.14714065962216172,0.1732431473596015,-0.3559511945879307,0.10134931928343431,0.49232173602603596,0.4076019600680142,0.4467430984607821,1.0,0.09550929610608165,0.44086719543752295,0.47480866475011063,0.16807748150046825,0.5216308298475649,0.018223677403106438,-0.5447064254098095,0.05268936571443038,-0.11319850760912654,0.06377175942441793,0.7599439074796641,0.4452618937286466,0.20299295576953713,-0.26021247855631596,0.11975044771176561,0.8264936052701695,0.08616865276111564,0.08805017876981255,0.4944824700984996,0.3585056168488514,0.5531096171502077,-0.04632353232166131,0.6889359804899333,0.25607228033190654,0.2239106250118587,0.1871610515188574,0.5018864490194631,0.5497060676201654,0.21211519060739376,-0.41193029243438717,0.5578815231236471,0.1525225004164744,0.00635944405370646,0.08495022377227893,0.8266364030729004,0.35607396719948403,0.25754972024708356,0.02437586353522554,0.2956648352004111,0.9327105577976619,0.7037768907283184,0.12476969415927841,0.05246384695959697,0.24403867682240954,-0.5408412243817369,0.2167800514991138,0.48681301634317975,0.36935245096255503,0.3028320957403488,0.09834488532124475,0.1791019276494046,0.23691255606357844,0.31353410795152864,-0.1392452178585824,-0.09534954853481456,0.5443684518177369,0.18962190194005868,0.6642492569604282,0.3649834880294712,0.35557592652802583,0.5125959074438955,0.3189556281949184,-0.03656980209624196,0.1150667664682645,0.7151733135754436,0.24091043776868537,-0.4231405255497673,0.24239281508592217,0.5850493931826601,0.42383852600389316,0.7595044539719763,0.8003036801530675,0.2308956662146149,-0.15428495412222523,0.3219341152935123,0.9341772505501841,0.08036342073966396,-0.3092863959797324,0.7611559922411795,0.10546287714906279,0.637758011942518,0.1520640913956894,0.5953930949928289,0.8618512122143095,-0.1584743772676688,0.8226135029500109,0.43576007195229555,-0.3842714477790381,0.4799787224307169,-0.009215411243314672,-0.09787207238363861,0.21935428807159316,-0.06121591779164705,-0.23430284495466477,0.772198097806734
