,Thal_PuM_R,Paracentral_Lobule_L,Frontal_Med_Orb_L,Occipital_Sup_L,LC_L,Parietal_Inf_L,Frontal_Mid_2_R,Frontal_Inf_Oper_L,Frontal_Inf_Orb_2_R,Frontal_Sup_2_L,Occipital_Mid_R,Occipital_Inf_R,Precuneus_L,Frontal_Mid_2_L,Thal_VPL_R,VTA_L,Frontal_Med_Orb_R,Putamen_L,Fusiform_R,Pallidum_L,OFCmed_R,Thal_VA_R,SN_pc_L,Cerebellum_Crus1_R,Postcentral_L,LC_R,Occipital_Sup_R,Olfactory_R,Temporal_Inf_L,Vermis_10,Precentral_R,Cerebellum_6_R,Lingual_L,ACC_pre_L,Paracentral_Lobule_R,Thal_LGN_L,Thal_MDl_R,Putamen_R,OFCpost_L,Vermis_6,Insula_L,Cerebellum_9_L,Temporal_Pole_Sup_R,Calcarine_L,Cerebellum_8_L,Vermis_3,Thal_MGN_R,Frontal_Sup_Medial_L,Raphe_D,Thal_PuL_L,Cerebellum_Crus2_L,SupraMarginal_R,Olfactory_L,ACC_sub_R,Calcarine_R,Cerebellum_10_L,Vermis_7,Occipital_Mid_L,SN_pr_R,Frontal_Inf_Oper_R,ParaHippocampal_L,Angular_R,ACC_sup_R,Thal_VL_R,ACC_sup_L,N_Acc_L,Temporal_Pole_Mid_L,Thal_IL_R,SN_pc_R,N_Acc_R,Temporal_Inf_R,Temporal_Pole_Mid_R,Occipital_Inf_L,Thal_AV_R,Rolandic_Oper_L,Thal_PuA_R,Supp_Motor_Area_L,Thal_PuA_L,ACC_sub_L,Precuneus_R,OFClat_R,Thal_LGN_R,Cerebellum_3_R,Cerebellum_9_R,Thal_PuI_L,Amygdala_R,Caudate_L,ParaHippocampal_R,Frontal_Inf_Orb_2_L,Fusiform_L,Thal_MDl_L,Supp_Motor_Area_R,Temporal_Pole_Sup_L,Parietal_Inf_R,Temporal_Sup_R,Thal_MGN_L,ACC_pre_R,Cerebellum_6_L,Amygdala_L,Cerebellum_8_R,Cerebellum_Crus1_L,Thal_PuI_R,Pallidum_R,Thal_VL_L,Cerebellum_4_5_R,Thal_LP_L,Cerebellum_7b_L,Precentral_L,Vermis_9,Cuneus_L,Thal_MDm_R,Red_N_R,Cingulate_Post_R,Cingulate_Mid_L,Cerebellum_Crus2_R,Thal_MDm_L,Thal_IL_L,Heschl_R,Parietal_Sup_L,Cuneus_R,OFClat_L,Heschl_L,Vermis_4_5,Insula_R,OFCpost_R
Thal_PuM_R,1.0,0.3627860027293655,0.2609827159567855,-0.04098990892526398,-0.14930028316074964,0.27523399618089095,0.714588021314913,0.6549386370394881,0.4228275232267068,0.7060765760980954,0.0016539549664605637,-0.04391314938220221,0.47813119801161313,0.6567863665378144,0.5391254953042388,0.05859695136222948,0.28146434540611626,0.6294044815854127,0.6628192842431156,0.45514882966860004,0.060772555611152586,0.29777103435400015,0.4668475457308192,0.21739388503352966,0.47274727169820097,-0.0906293337199731,0.08558060492599871,0.44130123837800317,0.49037566070945554,0.4818875995043295,0.6151000193078815,0.37454962619442655,0.4327786237074007,0.5016402980401987,0.26298107049219893,0.5666479985077018,0.0829162272440198,0.6517726976505415,0.5204964300642193,0.017075073221426824,0.6309980352977831,0.21950312733416946,0.5494677552338155,0.49008097541545703,0.16229904719944108,0.7181303596205281,0.5173553320800188,0.6741524381287336,0.01121076374700784,0.22987386597891646,0.13974924415249895,0.3093589336326354,0.5038373066176032,0.1666289805360789,0.3744941957357595,0.5881120966128776,-0.03893385824527962,-0.0037253116830606773,0.5649092502630356,0.6699836903082143,0.511827661586458,0.05017236454289927,0.4862608974110662,0.3716337321134247,0.6134351282169676,0.4594016775307955,0.14163677676727915,0.6341462929560766,0.48806320038213613,0.146409636044776,0.5140589828367685,0.30878627146647936,-0.1805788503289819,0.32441088502848686,0.6405736303266966,0.5044555347285761,0.6820535056365779,0.3750530847707791,0.15535371442490356,0.4545434261245797,0.4542404428512487,0.4020217528163785,0.6417161014410205,0.3002072421627447,0.23222484343264382,0.4170747637258575,0.6142404866594025,0.5953641716458347,0.47144276764294313,0.5850137510924548,0.11929013658013096,0.6792924298584271,0.33896249255549515,0.01721262731220853,0.6860807768814653,0.29887654122783075,0.43169492962505235,0.2182214592777947,0.33301769472848314,0.2257100308754641,0.017867792838140217,0.3417834498026957,0.6049907612899733,0.44303891110015853,0.6518836924325623,0.42974600031927757,0.0713900346762186,0.6088816365866007,0.2218438078044408,0.26050220344370467,0.3340343774982429,0.6355039786532016,0.7276235843142514,0.6671236225131579,0.14102348318183225,0.48485505204770174,0.41091005186594165,0.39121096006461825,0.021435829971234287,0.2892812975207331,0.33971438602209325,0.4790915053597532,0.5744588152891908,0.7029367273468017,0.3919812883318092
Paracentral_Lobule_L,0.3627860027293655,1.0,-0.14457722784085736,0.3537289650123747,0.06980547387121262,0.8176183760078242,0.2757911524182569,0.306844729427962,0.13613582745034206,0.24494452707862813,0.6451657781501278,-0.13249790401586234,0.8794590007873987,0.12968354108076838,0.03229386579608965,-0.15035163231048973,-0.020368582326035133,0.1228732617195226,0.33772169603671703,-0.19819800602004797,0.04674732643318086,0.3809207377370188,0.25090929696419106,0.11422503230723105,0.5716643871170725,-0.13563300149539026,0.4373651008627858,0.3541455402144746,0.19800959761408202,0.013602909697069038,0.6852728696929571,0.21240735127359006,0.214944051793682,-0.04149828841924303,0.8634418867117895,0.19580468915370539,-0.10525114971818347,0.018874664108666644,0.1343665073366357,0.24060282615800424,0.24722255253011025,0.0708213098877892,0.17576061740441787,0.5317846598620628,0.14205206245273067,0.18695261557331885,0.4101600733786427,0.3872687125622476,0.2354670913893224,-0.035774632939811306,-0.22912358189765256,0.869036372537579,0.3831186983597667,-0.17342419836541023,0.6176424015838055,0.5625087557593141,0.0016002310861059385,0.3209567454923509,0.028527438244688258,0.3424317643918477,0.13339163548217745,0.7005328388053461,-0.030344626696942458,0.23561691062231316,0.175540927628079,0.0400827962924297,0.01017816394525442,0.19865196136274313,0.2214791061105834,-0.16241787935951968,0.19607296912023117,-0.018494958139793682,0.3938187652271244,-0.00936837443546852,0.2050470110645347,0.010187538138271337,0.5235250159347298,-0.13375805302765986,0.03251701570158977,0.7834017566970136,0.04837711456034668,0.0008013248598317186,0.18829962646782145,-0.08197193179241445,0.3259256222121897,0.02847250863435223,0.03090615539727126,0.17980838817414188,0.21329111554184138,0.29097071556178,-0.17129591953844756,0.606506478338025,0.1271755355596903,0.737359068435617,0.4486884977276195,0.17521546514777672,-0.13102225347205598,0.3743156307091079,0.04152029278506082,0.00914066566100407,-0.04971745371666764,0.16381396067628007,0.09355559979489068,0.43316052115818465,0.0431109162890515,-0.17319447020937287,0.31229986901524803,0.4830137456363384,-0.11819589671069688,0.8310690005610533,0.08433183730411371,0.2856969118330227,0.49253098344468377,0.5819430552385015,-0.13161199520986233,0.07891917605432365,0.40365584333306304,-0.03256849296644638,0.6340459324916223,0.7870880442219016,0.2869789406522263,0.005142443919343634,0.4153340564131084,0.37526187867296595,0.0997860163639832
Frontal_Med_Orb_L,0.2609827159567855,-0.14457722784085736,1.0,-0.2389706981621208,0.09147043133043663,-0.2393669191965611,0.433184595878395,0.2646513090932315,0.25842707118684305,0.42791838875244576,-0.3288732697881414,-0.23847698369621836,-0.18663807662015275,0.3647592895071069,0.2683736146507887,0.2001411739178273,0.44173336950684033,0.4378370002001154,0.2306261617593318,0.4975756597033524,0.4013487029261246,-0.10170754595028468,0.26497161785923184,-0.09174410553284106,0.028182304639228196,-0.24013527297765147,-0.02763518631915627,0.3541364498793964,0.1783051457112032,0.239662098420538,0.15623129378919662,-0.024565059187746055,-0.08761961171184984,0.6300527934712834,-0.3699792175395964,0.38116704335644497,0.2573225850856267,0.5015073397478707,0.3203240226262333,-0.5143822352931579,0.18624219249291132,-0.1363991813746026,0.4347837916839232,-0.16631807098118592,-0.24194977853409363,0.3414787865870202,0.09793327607512854,0.3429652150318029,-0.10594908904438531,0.00874420307300636,0.12022064909185957,-0.2389392020549345,-0.02905582989777998,0.48555384692224063,-0.20902248798269085,0.03163306465472571,-0.46687675493819936,-0.022329910230283176,0.22172610018290873,0.160641429259024,0.4844078574184367,-0.36581066044151545,0.1945090588828589,0.04085390752926063,0.31004976519671373,0.3567594809395136,0.06949093401785221,0.17087193076855012,0.1739769535133602,0.25741627572315773,0.17990021311871124,0.5410401995710038,-0.22315648636853844,0.30951274755287805,0.21165804732656593,0.3980866716134656,0.23495597693460515,0.2758016235254186,0.37222435099415085,-0.17623137052070637,0.23344039947651177,0.23142708183723534,0.3249660790088789,0.07960947767318245,0.060752765404922145,0.4716480752480174,0.4201950652224856,0.4904384359151128,0.24264394494108507,0.14389114737169792,0.1665661533655345,0.2168552285418853,0.14500550681243776,-0.34608103608574997,0.059835777481699576,0.15362025065416565,0.4352063915171693,-0.2230178523525575,0.20363375547071186,-0.13224050716054192,-0.16694794879667207,-0.0023913087007688487,0.48794810256365256,0.009542361782150894,0.28518283314883425,0.36474675296947334,-0.14360448152497335,0.2020028509875876,-0.2147411113041198,-0.3759904946852112,0.20372712455473996,0.17239210835675048,0.17569390862379264,0.21632908536127785,0.05066804461346166,0.2787451823673957,0.16352736105739388,0.15972929108043818,-0.10947632807884237,-0.28610261005226295,0.2999486642594655,0.20581212645663347,-0.0052261234085821074,0.17123927305143588,0.6184558254300039
Occipital_Sup_L,-0.04098990892526398,0.3537289650123747,-0.2389706981621208,1.0,0.06857544798078738,0.36842011415364545,-0.09897207777274328,-0.07353529469315372,0.020577263118213323,-0.13217496216896732,0.3789512636891277,0.15022094795906807,0.39532005734716463,-0.1391730028954439,-0.22172098540814025,-0.07227322933077363,-0.3817964562622509,-0.21876745606331655,0.04723113491301937,-0.43319766982495006,-0.21371550954185492,0.32627539690284457,-0.00952047390657233,0.1693302523095202,0.15580481796245593,0.07139270046144071,0.1824408402728351,-0.07886708373466941,0.03828765143912642,-0.17422537913047934,0.13390830891387587,0.17327250924328103,0.21152706545540406,-0.3760443388098364,0.36532705215172445,-0.13752716752551372,-0.17434405215413384,-0.27182400066069956,-0.08763392070032375,0.39418154010022904,-0.02614229051854031,0.10322656216222849,-0.04255911824084893,0.25823511175646313,0.22540312347658756,-0.1180475530583714,-0.10270542166590026,-0.03912022423531269,0.11377806225797964,0.006567905578283614,-0.04338697738088216,0.38972688520771104,0.07090486732175642,-0.209322381514404,0.3834027114039061,0.07273678678366576,0.062453339531280835,0.09165530287020705,-0.10037892856049183,-0.059129229759581355,-0.12370819227185954,0.4614599580699182,-0.03513416620375431,0.12475750007121349,-0.06585438591841203,-0.3274102789185004,-0.1332223080246622,-0.10108344723057974,-0.003809289813747091,-0.07112633907729642,0.061711533319277416,-0.15844333795869348,0.3250887156702102,-0.022970517885522304,-0.13000511855465693,-0.17337477655513084,0.039960212106842856,-0.18385204815533399,-0.01935348993084389,0.3384862854320407,-0.005123272932021283,-0.18204042338263915,-0.12103676216749006,0.04400083469087164,-0.0008960476207964558,-0.11729284284697289,-0.2555991523331068,-0.12421092548900753,0.040490827854124285,0.07769494247074997,-0.3374854540544773,0.11892025301669551,-0.07804454772163562,0.3306030395735428,0.17341456582477233,0.028123828936517797,-0.21483758307116535,0.26313339207844855,0.014738126200102114,0.15964024003901678,0.09122191114907388,-0.043528669884860656,-0.2071770447090372,0.15154763051930592,-0.09842887699619247,-0.32471721672178233,0.29088228854644477,0.008499971618550234,0.030933490110339783,0.4000338957314788,-0.28604209068236613,-0.1368121972450749,0.07224657694588557,0.13353884118304574,0.0878759346210664,-0.07995072163607846,0.0902842141332551,-0.050662024305673584,0.3096250703614447,0.3562794498318107,0.12956732532135293,-0.11551221596074307,0.16494396833317515,0.013829663666971505,-0.11350030224702606
LC_L,-0.14930028316074964,0.06980547387121262,0.09147043133043663,0.06857544798078738,1.0,0.14781338749413095,0.07932797152085601,0.059961131715871446,0.06157771330026728,0.05347405994885707,0.0271043204117848,0.03319584806468205,0.1024255967882752,0.044774432291655834,0.015254735589224747,0.26309450529862544,-0.17256008907144,-0.054979025044589735,0.12492573009982727,-0.11791577434011903,-0.027614918287649403,0.29889982715237373,0.3231607454665536,0.19422757528725565,0.1635847711887045,0.4134564634079824,-0.00648489935158373,-0.03103024273836203,0.24168901767098727,0.03896021323820913,0.11747930568834293,0.26457901822780866,0.17386005624853557,-0.045644417022656286,0.007630656973541905,-0.01254454394488935,-0.03749783594578727,-0.039425246925250144,0.07300119026340013,0.1226782551655723,0.07168052509857209,0.01948594018509608,0.13042370190660896,0.13370639544355162,0.2318811916632659,0.03692188952131256,-0.16279993353023628,0.1586937763515869,0.23076953726243685,0.06999806178795556,0.004397880517011054,0.0411731977759439,0.06465371089126773,0.10884829001946669,0.17014631464272284,0.09183823703648264,-0.06722906629745522,-0.10620701517647464,0.1333223709031581,0.03440601606519322,0.2630101163133446,0.07451128675746728,0.08241645059694117,0.26195459710078794,0.16715028182419345,-0.017421013812303456,-0.044838478757927604,-0.03393685505261964,0.13175694431838997,0.3532386797439915,0.05095181212869334,-0.10967623822405066,0.10837518744765413,0.06766897634214004,-0.03509401542412644,0.02903871138968492,0.127809165332503,0.06236968536869769,0.3776951931940311,0.17861399282902163,0.046146367093302866,-0.0024420659649247293,-0.006283388328812041,0.05528384201366757,-0.16134216018332925,0.04006022062554228,0.09413697156291072,0.16638109455318378,0.20731213547091615,0.23485928345604346,0.04743008208672207,0.13616993289968984,0.14877822244608602,-0.06126266046538344,0.01731453219936551,-0.0868044906632189,0.14081667804838482,0.33321383518790776,0.012442753221308193,0.09434781048238391,0.26520837542100373,-0.10747737065089749,-0.05136536237911365,0.10827913855323072,0.09418633942938898,0.13662579441661785,0.25925234098159716,0.11670736393362591,0.0844027599880017,0.015387800758216594,-0.13076263329307383,-0.008158758949347242,0.07806485544719799,0.1326303715878075,0.28985343732319496,0.19802543064720662,0.008577963791454092,0.04052311945971232,0.09924040472315593,0.032052854974537914,0.2208617178885999,0.04313597346663368,0.09558799001733922,0.03947292353673152,0.1195872355743951
Parietal_Inf_L,0.27523399618089095,0.8176183760078242,-0.2393669191965611,0.36842011415364545,0.14781338749413095,1.0,0.330397795119932,0.3918690511292036,0.19338524127193032,0.34305597170310037,0.6539073521466241,0.1431904440326004,0.8157374531866414,0.30166260285441726,-0.038402781683711106,-0.0286396856706305,-0.2737630550533969,0.10008963838785984,0.43706383115129327,-0.23534623603357593,-0.1924605657889932,0.586865359677743,0.258324733699525,0.3904889687704899,0.8208595626341633,0.07657796040135452,0.3708194672530966,0.2876188562521234,0.22088630261994516,0.11753849440474372,0.6143644259263652,0.45955100711113267,0.4047748351856278,-0.10881000372007153,0.8250119069116272,0.27874629326421196,-0.12921569648015319,0.010317481901814212,0.24590383729341037,0.4035247216893258,0.40298768498206633,0.22019628060955956,0.2835351754623889,0.6362715616676161,0.29960069516811005,0.22626839422228742,0.23371599477670746,0.456885410356954,0.338455549616609,0.038615237478154055,-0.07676872900169128,0.7974991330253042,0.4961445956979342,-0.24122433696765183,0.7230341492527099,0.6775147423039138,0.1203601179604286,0.20499452020853973,0.09225697155996125,0.4119501024171765,0.23892813001971858,0.7231379141658738,0.20459961380738206,0.42857272353496745,0.39312808865271215,0.0666875189661381,-0.1526795815189958,0.1655609270102854,0.41959440972018414,-0.043298564311941144,0.34746460014162683,-0.10274879312136083,0.35869775624170813,0.07100688315374971,0.2754755291991449,-0.0821101942370846,0.6073119494094747,-0.15181937941301335,0.08537560189394591,0.8347440786625246,0.2007749510008105,-0.0784049237951451,0.2596199733519848,0.05548309558131103,0.2173592887096827,-0.05153279089465311,0.08854969539559021,0.24067484899354882,0.3625976773514811,0.4210748224452444,-0.18733550642401356,0.6695802561069486,0.03192913780219391,0.5439621818908541,0.5571219863476969,0.11864605768648878,-0.06171788697056308,0.5329351226367778,0.07673962045959365,0.26193252491216085,0.11819880187969267,0.09772223846973241,0.020439089442437764,0.588919671213906,0.15040261686172166,-0.13353232408722085,0.3616251950397495,0.6628856620626926,0.07360078803406712,0.8157816407829673,-0.04929018561446808,0.33875471586055117,0.5219675219370943,0.5950027292883251,0.056620439021899775,0.13082451516840227,0.38902641410405986,0.10489132062862477,0.5941442812506813,0.7190087040008938,0.37421675011451977,0.0691803092756361,0.5129937073320274,0.47435760876926664,0.07581279594895132
Frontal_Mid_2_R,0.714588021314913,0.2757911524182569,0.433184595878395,-0.09897207777274328,0.07932797152085601,0.330397795119932,1.0,0.896253423461168,0.5116265210621371,0.9316545790886511,-0.13768144944019095,-0.022051246096070842,0.35974467329285825,0.8860316168866332,0.6337217329927187,0.39441470543657053,0.25395341859181736,0.7901523562492246,0.790866871205267,0.5695910071681848,-0.033738117261863675,0.3627703396182115,0.5569120174535511,0.309298657921053,0.7243695409237105,0.10907635501425061,0.09534776204524134,0.4120524040400961,0.7031525133022838,0.6154061913652378,0.792026316898887,0.502239888549478,0.5361023934101383,0.708107095498607,0.20902716033831872,0.7556553820174463,0.1485560642232364,0.8453000231341267,0.5967877156267823,0.003906296622654667,0.8186296609541749,0.3259161901851492,0.6678501757664891,0.5524273593338492,0.2532624671845788,0.8182682756066321,0.3619061230785937,0.8793576463499664,0.19152873867972636,0.25621629730380635,0.19288229888549702,0.3001040435629453,0.46591508220463224,0.18101541319660094,0.4643186823156533,0.651025145100037,-0.20149618476467038,-0.018660297535565556,0.6628425060269982,0.8612382306822596,0.7177332767165467,-0.04222680855607465,0.7550929146687714,0.5946085719850394,0.84952574285876,0.6183969364496548,0.19580946771553273,0.5809304085130917,0.5510672902657908,0.47803477065836575,0.6404887012306496,0.4001738409389113,-0.12175790953592619,0.5275440820979561,0.8311093997051865,0.5469483026737881,0.8730537247568946,0.4795043765156474,0.3083130638813939,0.4530310918785563,0.4720249819594838,0.45293784638305,0.6992230527902347,0.3769464036257615,0.1310417480559008,0.4380016394476621,0.8170400725146625,0.814250193056044,0.6601653928263198,0.7704141882021617,0.29745111445803846,0.8507667305054549,0.41571575829495777,-0.1896353076109657,0.7788381769109233,0.19646370174180064,0.6521781003171975,0.2793592383224907,0.27648880229808637,0.2893098117979299,0.1741824088947569,0.1708743523388444,0.7656107342968231,0.5888292293574772,0.7942105656152121,0.5588049657860299,0.11867113525379606,0.8421782081571405,0.24301674502357531,0.10962565366276246,0.3012340086866656,0.6670616896043993,0.7743365552464188,0.8468918414478757,0.23137046779324105,0.5979168291575135,0.5316801030153391,0.643748895362577,-0.01622379084161226,0.16605534021625085,0.570437219618792,0.7393984599535564,0.49778152005104304,0.8091348414089118,0.44558425474273783
Frontal_Inf_Oper_L,0.6549386370394881,0.306844729427962,0.2646513090932315,-0.07353529469315372,0.059961131715871446,0.3918690511292036,0.896253423461168,1.0,0.4990166624559868,0.8552039022670944,-0.14598439407953626,0.02861698104383252,0.3940140678041085,0.8216782772324882,0.5702593914481403,0.2980565646079713,0.21947722558237123,0.6946336160443933,0.7530717992011194,0.5045044054565764,-0.16788654718365376,0.3271918539775988,0.5213587816082692,0.31567642166211796,0.763169112807344,0.1718841859012928,0.08074468172626212,0.292630678207369,0.6779041700198076,0.5419537730212609,0.7532055524140386,0.5083152184759279,0.5770657405677344,0.6098528976200076,0.30691340840783593,0.6958626716429397,-0.030486754605392883,0.7742611120108128,0.47251721166064686,0.11116822810696365,0.8522438281581578,0.39316379827609904,0.5497767063590825,0.6213978139769034,0.31064084919813845,0.8007523929688177,0.3554633804675968,0.8390227428810011,0.1617821835899651,0.21797564451624357,0.1758306819592307,0.28347765417775145,0.45921595839605556,0.06592645559613178,0.5134617834830033,0.6712920999620189,-0.053480803528507384,-0.02140302246802607,0.6643282859622681,0.915915637536898,0.5948206766528066,-0.0158137105225199,0.7546738856032017,0.5737545331548944,0.7711843355310787,0.5373482133844522,0.1756915470071614,0.5739942917395816,0.5090665908696551,0.45283884169913663,0.6391782314283692,0.2544827056284427,-0.11679169212141524,0.41278143997097816,0.8918353084236729,0.46929028979366133,0.8612470361138782,0.4203476027426744,0.12157362155804814,0.4996490193439204,0.424385112564181,0.41046171686680627,0.6714313516575418,0.38268273332283287,0.15133340727354982,0.28680569154229973,0.7509786740847025,0.7164213829104273,0.6304652311342184,0.7412032047616105,0.27249288355717977,0.8355759299373269,0.33780658873456876,-0.16215598385588714,0.7709343389108391,0.22355806057540406,0.6265703843159415,0.27880138558445233,0.22838149763345408,0.3190163127552969,0.15865453342907562,0.22244246563080552,0.6421726968919965,0.5203161020681943,0.7815626672331741,0.5473087214828154,0.1434489162242287,0.8339978208851505,0.39253072802842887,0.13843914296053456,0.17972642703598066,0.6012313667762249,0.7379609162901272,0.8597347382694829,0.21190210729221856,0.5184912220235123,0.4539067344686784,0.7609023948705448,0.05200387954491286,0.20266960822056262,0.4230427508898755,0.7404694302440009,0.4883721611096541,0.8714741634487586,0.2812726707600645
Frontal_Inf_Orb_2_R,0.4228275232267068,0.13613582745034206,0.25842707118684305,0.020577263118213323,0.06157771330026728,0.19338524127193032,0.5116265210621371,0.4990166624559868,1.0,0.4847160707289774,-0.007319423260055289,-0.015129097767170089,0.3608800518091776,0.5013837267026996,0.31705864765720704,-0.12203272777208178,0.3090752019517747,0.38096937478187615,0.4343815562435715,0.2905859531588245,0.18873489180687844,0.3209220764693963,0.3096447618291744,0.19054147511072783,0.3366597156745794,0.1397142954905871,0.08010709423648661,0.46968939945904925,0.396231222505889,0.21457215499957127,0.277034405530863,0.35113072485124197,0.5021301862408512,0.3675225712786949,0.05269132463598364,0.3735717476530964,-0.24234986165616737,0.45488210305658383,0.49441565625436995,0.0972584837065201,0.585993140106867,-0.06883350708170145,0.5965277623187625,0.2952483858408817,0.14335663264647971,0.6543175041679263,-0.004099292000470234,0.4132721900823246,-0.32268706196005653,0.13202790611196227,0.24612979091808365,0.12063483119275273,0.6660275443129942,0.5720394231842263,0.24907003887660314,0.30514113700058837,0.17427926836012383,0.0441899744049565,0.34023524202830313,0.49562708383894016,0.46085858283907627,0.07317670969764418,0.42216110741710156,0.3191074264479856,0.588346161510333,-0.00043719504856895683,0.04422197541601225,0.04992901744941658,0.5035904617784851,0.22061349544147144,0.3355604700398861,0.08984472552925683,-0.07636238036051524,0.1453310689929466,0.4524656960655619,0.2668312441637961,0.4963143056821769,0.2716304767708736,0.5244520161320798,0.3809311401065654,0.5934986863628471,0.07532098405115888,0.5374464512186989,0.15338560909099297,0.10252514568128393,0.5807783700780793,0.4065499416110707,0.4734689212156049,0.8802919736856544,0.4379168270106676,-0.033438553689005085,0.45534300006368955,0.33681361160231765,-0.13788925842850777,0.5375331105815135,0.6785397612365001,0.7542339777850088,0.1830851169383652,0.6928322931515947,0.13077043053349185,0.1258774711154811,0.5098627004154943,0.24991674205682698,0.31522397654953804,0.4662019723036231,0.2565737242965982,0.09458763186573187,0.34447286873383787,0.34177409184367075,-0.015754640588329916,-0.18832967829119404,0.36147192696146546,0.548633135567331,0.41459780389801804,0.15170134797369123,0.15522859534422712,0.23504603582371864,0.38768736105565316,0.056134317617505564,0.007086582291378077,0.49629479133284854,0.2783767417857016,0.5303155245764473,0.6767914445997031,0.5481047771920435
Frontal_Sup_2_L,0.7060765760980954,0.24494452707862813,0.42791838875244576,-0.13217496216896732,0.05347405994885707,0.34305597170310037,0.9316545790886511,0.8552039022670944,0.4847160707289774,1.0,-0.14812212876423436,0.0029046653905238466,0.35783940456142316,0.9136335812285313,0.6299025042739234,0.41098584733083215,0.29386674147222,0.8127783728668369,0.7893333256498378,0.6346892206230815,0.05639162055989905,0.37369273097369765,0.5971481729010389,0.35410904506331986,0.7330507279455686,0.07293279097014081,0.11069198769943579,0.4620844747112263,0.707013633825669,0.6520917393854596,0.7163857928537393,0.5018437075365076,0.5147774716742181,0.7720290082089943,0.19612540151724106,0.7795980635773484,0.1922774812901151,0.8539125840522832,0.6697070315791092,-0.019616650211260855,0.8077933758329267,0.3544829575595352,0.7119371685722148,0.5787089993430486,0.26347185517712385,0.8339582854738083,0.3694242546650087,0.8617046486682172,0.1321180191950555,0.2607035598242616,0.18145337764980055,0.22102396010502845,0.46383505780186507,0.1990864554419398,0.45519341295027477,0.6551156035733465,-0.1794429964976938,-0.0913257996175419,0.6025298482282299,0.7989356092370482,0.7252892485800085,-0.06231730996507818,0.7307699924773918,0.5941592260509159,0.7971078587783037,0.6348155509004487,0.21428327250460755,0.6067138416377329,0.5413765576136219,0.423322712879934,0.6952931954799326,0.45209371579013286,-0.21301121939864454,0.5705107689250299,0.8452516589288869,0.5109548556685279,0.8876888841114124,0.5107928753648352,0.2620825929740734,0.4866175231823447,0.5470298582316696,0.43646956436365747,0.7358427671024138,0.45712717480429965,0.17113709777802477,0.48533198608510336,0.8519228931514504,0.8035129387383072,0.6495802258856604,0.7640278033339301,0.32700505950008346,0.8395811558173674,0.4598329691398943,-0.23981663919941815,0.7337698337651845,0.20075131565900814,0.6453042578750808,0.25022245455296677,0.28535617616086245,0.3419254219118266,0.1874280643376907,0.19530182615586025,0.765098307343934,0.530812363948135,0.8055731698483455,0.6155191308998671,0.051037959237045745,0.8466883785870215,0.28110898323121525,0.12256256700477824,0.3813576830772064,0.732145180174398,0.8060663062008883,0.8378039460301411,0.3253616234741278,0.6256836902540968,0.5125936773646583,0.6601909820340663,-0.058401575126266356,0.15213351530642338,0.5605903853977041,0.7563313430370724,0.5329345377404785,0.7914657988373127,0.4818726341702842
