,Cerebellum_8_L,Frontal_Sup_Medial_R,Frontal_Inf_Oper_L,Supp_Motor_Area_R,Temporal_Sup_L,Thal_VPL_R,Pallidum_R,Cerebellum_7b_L,Cerebellum_6_L,ACC_sub_R,Thal_VL_R,N_Acc_L,Occipital_Mid_R,Thal_MDm_L,Temporal_Pole_Sup_L,Occipital_Sup_R,Amygdala_R,ACC_sup_L,Red_N_R,Temporal_Inf_R,Hippocampus_R,Cerebellum_4_5_R,Cingulate_Post_L,Angular_R,OFCpost_L,Frontal_Mid_2_L,Vermis_3,ParaHippocampal_L,Frontal_Mid_2_R,N_Acc_R,Frontal_Inf_Orb_2_R,SupraMarginal_L,Occipital_Mid_L,OFCpost_R,Heschl_L,Precentral_R,Cingulate_Mid_R,Cerebellum_9_L,Cerebellum_6_R,Supp_Motor_Area_L,Postcentral_L,Cerebellum_7b_R,OFCant_R,Rolandic_Oper_R,SN_pc_R,Pallidum_L,Temporal_Pole_Mid_R,OFCmed_R,Thal_MDm_R,ACC_sup_R,ACC_pre_L,Cerebellum_3_R,OFClat_R,Frontal_Med_Orb_L,OFCant_L
Cerebellum_8_L,1.0,0.26914366499314357,0.31064084919813845,0.44303244854790697,0.5945702633971489,0.16584599230331507,-0.0492580982608524,0.6237742478041507,0.8020216722842303,-0.1592051534447135,0.5981061150308294,0.08397267062647759,0.13940569742365044,0.3002247626258404,0.1947114590710633,0.07612348470075779,0.08015463775859662,0.37814402312326145,0.3965120991233171,0.631371871959252,0.3882352777061563,0.5311708112020628,0.3029441977824027,0.2812978554960622,0.38903781058597803,0.4032343101202674,0.29447215501804264,0.35009718803619927,0.2532624671845788,0.27815395573750745,0.14335663264647971,0.5029387975916902,-0.32028854096858034,-0.05402973121987094,0.4365971815718452,0.3266576687126856,0.4307367491770293,0.7953788706881862,0.7760358949181683,0.43161958081567425,0.40165880999032727,0.7042741521676563,-0.22667715828506269,0.2417075062531035,0.41755354502128916,-0.19595828480786795,-0.27380034668093417,-0.4207187472747658,-0.0992096619832762,0.4900469204835915,-0.14405469178249253,0.22783797172331632,0.3033088795726685,-0.24194977853409363,-0.22057146895032256
Frontal_Sup_Medial_R,0.26914366499314357,1.0,0.8124020318444797,0.8056127418999938,0.7321909111405286,0.5347789728769908,0.7015333947832504,0.17119253172646015,0.31308463741443815,0.1271839703908798,0.6132967531210575,0.5608983842294663,-0.027462313331876036,0.577500410212995,0.3809362370964342,0.14660309015648407,0.376839963744067,0.8231675090677135,0.6502478954417923,0.6620241736206313,0.8134706163958354,0.7199362585899245,0.4891511489361201,0.046227339344399834,0.5821039611700619,0.8327646010894356,0.7070344677112264,0.6817942889720074,0.9068382734612875,0.5123452642630837,0.42116913661568556,0.4521582285182512,0.0229114121604571,0.4371797238153114,0.650172774741497,0.7067685145805351,0.8495320196692763,0.3718654223375934,0.5475789292858197,0.8096575773725952,0.7449315839041222,0.3894822105124941,0.2899088879276553,0.7799709770317015,0.5948193683253924,0.4380891931338099,0.44222670549845133,-0.13284666618565744,0.23201402851002131,0.7444619956899848,0.6293016141016204,0.6187826365737383,0.4832600416352645,0.3730847375968667,0.06248613758798353
Frontal_Inf_Oper_L,0.31064084919813845,0.8124020318444797,1.0,0.8355759299373269,0.7986474755810384,0.5702593914481403,0.6421726968919965,0.1434489162242287,0.27880138558445233,0.06592645559613178,0.5737545331548944,0.5373482133844522,-0.14598439407953626,0.5184912220235123,0.33780658873456876,0.08074468172626212,0.28680569154229973,0.7711843355310787,0.6012313667762249,0.6391782314283692,0.7655067311404337,0.7815626672331741,0.4801410478467362,-0.0158137105225199,0.47251721166064686,0.8216782772324882,0.8007523929688177,0.5948206766528066,0.896253423461168,0.45283884169913663,0.4990166624559868,0.41502959430857883,-0.02140302246802607,0.2812726707600645,0.7404694302440009,0.7532055524140386,0.8009942340128855,0.39316379827609904,0.5083152184759279,0.8612470361138782,0.763169112807344,0.26838028345196013,0.25814223970357536,0.9120024724693443,0.5090665908696551,0.5045044054565764,0.2544827056284427,-0.16788654718365376,0.17972642703598066,0.7546738856032017,0.6098528976200076,0.6714313516575418,0.424385112564181,0.2646513090932315,0.11321813846280418
Supp_Motor_Area_R,0.44303244854790697,0.8056127418999938,0.8355759299373269,1.0,0.7766386101751376,0.4312039562068183,0.5631168402914528,0.3379653675551168,0.526140513977192,0.05429415005580362,0.6967687369319097,0.47771655153084414,0.18750650000568245,0.5820662050909631,0.33494421350586884,0.27618931696022075,0.3348588524007401,0.782821677897155,0.6818897636951893,0.7242995566706791,0.7957184061549686,0.7285183670526825,0.5840384607665413,0.29473540756202093,0.5730824960727388,0.7993116091570815,0.7465395724333932,0.7133729071040525,0.8507667305054549,0.3223059541680038,0.45534300006368955,0.666811358101825,0.018163908660801857,0.4005834995159117,0.626402768941239,0.8977463649356204,0.9004246138499962,0.4706171533274554,0.6517729422420778,0.9752754265308112,0.8857022619721721,0.4536984809515251,0.23911019664698827,0.7160567065055158,0.6275615217538787,0.2825066288774726,0.2328933995252737,-0.07798314220236485,0.18747483613676894,0.6399914143157288,0.4375082899253782,0.6859675829240596,0.4590220743530806,0.2168552285418853,-0.023827879731089192
Temporal_Sup_L,0.5945702633971489,0.7321909111405286,0.7986474755810384,0.7766386101751376,1.0,0.5041991754668474,0.4583237245313699,0.244536108820836,0.5608398052543593,-0.003235455118018998,0.7070881245900205,0.3848866327226015,0.010994118967974741,0.47381960588464006,0.37961808531753033,0.04305687208070818,0.28263127028637414,0.7969398093199701,0.673284199151404,0.754901214044383,0.790724060091797,0.8455008030757242,0.5086900654255133,0.12376589138429718,0.6031718383577882,0.8559083968880182,0.7702589005491738,0.6082665806463524,0.770439576327627,0.3679685813434522,0.5057248592041234,0.6497822652056304,-0.17772590304682875,0.23365741534050727,0.790490530033325,0.6142192547113597,0.7731602846134971,0.5455020214331827,0.7527433251577356,0.8215990415874759,0.7397685154513789,0.3942947809247576,0.09467083272472847,0.7953785853227371,0.5855508353994138,0.34089818397432153,0.13833817113910818,-0.296297646877638,0.13563912215179094,0.8016184793358007,0.40115952941569655,0.7055288722107216,0.5761043825981863,0.04677577735602733,-0.0013658668050428669
Thal_VPL_R,0.16584599230331507,0.5347789728769908,0.5702593914481403,0.4312039562068183,0.5041991754668474,1.0,0.5869063635714719,0.1127277096995406,0.07866821452143016,0.19329082799834796,0.4134471054068325,0.49101377043071404,-0.32698761746457655,0.5489386742297994,0.46136084809838007,-0.020532323369475098,0.3497400610224853,0.5073704157310109,0.5366354526406262,0.374587078114584,0.5543578376311559,0.6248755978739422,0.4891370938553382,-0.15109063736394732,0.3748772578239044,0.5342836992839762,0.6242973144591337,0.5102395169898286,0.6337217329927187,0.3434200715400327,0.31705864765720704,0.07546495658607756,-0.08973755443077946,0.3044262725318817,0.5736231033672846,0.47825427918162,0.49669801513241785,0.20430525666723173,0.23956639927706305,0.4646957014166951,0.28584395618117425,0.1196037612654729,0.27776094391890555,0.6044653163780715,0.3190860177470125,0.5349552056991492,0.23707050598617435,0.03544297030377019,0.32977023069992845,0.5210061821621925,0.5521943580836024,0.4685003977415977,0.3128746014780287,0.2683736146507887,0.27808646586317365
Pallidum_R,-0.0492580982608524,0.7015333947832504,0.6421726968919965,0.5631168402914528,0.4583237245313699,0.5869063635714719,1.0,-0.15215487518310605,-0.05989538626922473,0.22996207697055526,0.430756934252027,0.6136299795310891,-0.2750111291438348,0.6105831513307844,0.4276273076620889,0.046968958327058274,0.4966525940099916,0.5107393858007226,0.57588408838333,0.501892287586302,0.6465067741775884,0.6288201657010429,0.5822777602013539,-0.23444923023427303,0.3844596954043564,0.6559497448103366,0.6424932186305125,0.5731629398860508,0.7656107342968231,0.3350003909273205,0.24991674205682698,0.13501379753207374,0.041633939714556846,0.47152067947215426,0.6335174913469057,0.5366196492694157,0.6728146032883028,0.19233349884619572,0.16324780930728794,0.6023247201954622,0.3871066223896446,0.13530120320653216,0.4868502592049157,0.6846212197203154,0.21147260388613465,0.7386408439100142,0.6675324128675928,0.2564653392564759,0.5100794736976602,0.44953592581288804,0.7713606802143383,0.5820979314929592,0.2816678082163349,0.48794810256365256,0.4104242731576823
Cerebellum_7b_L,0.6237742478041507,0.17119253172646015,0.1434489162242287,0.3379653675551168,0.244536108820836,0.1127277096995406,-0.15215487518310605,1.0,0.545835176219888,-0.07382289655413701,0.3990091082387977,-0.05785906320490186,0.2625651294629826,0.1781945890085805,0.07391962737984094,0.23405151463798946,-0.10449727579821338,0.23840586396348468,0.17141916607849245,0.2775684308233542,0.23420834702066587,0.19592163081375552,0.04021419122789066,0.4692417907204805,0.007536967546040496,0.05270256975133496,0.10650517270088582,0.26778426307876446,0.11867113525379606,0.17483277238442574,0.09458763186573187,0.29942928258690193,0.0033156672736685596,0.016742784422480568,0.056475536332148336,0.3401123285953375,0.18243479272492458,0.48965371367194005,0.46000339953846947,0.23621967573879135,0.29632050196747073,0.5037143109806462,-0.26941135488466983,0.014892689660759949,0.3555216922302263,-0.3351541596413757,-0.295649560616905,-0.31073477585127596,-0.3471526071718701,0.23546120385236305,-0.31238625315367996,-0.006490626025994547,-0.007045174491809129,-0.14360448152497335,-0.4051663719599168
Cerebellum_6_L,0.8020216722842303,0.31308463741443815,0.27880138558445233,0.526140513977192,0.5608398052543593,0.07866821452143016,-0.05989538626922473,0.545835176219888,1.0,-0.14793488425457896,0.5943350369346343,0.01657478214755399,0.4511871319585967,0.30276557983396996,0.17351562047815136,0.14834595655001748,0.06050235366178214,0.46556206927812127,0.36037589280671856,0.5402134158718448,0.3988468977749843,0.43370263752521526,0.25506276993190624,0.5174541644773001,0.4682633506545227,0.3740113850458033,0.26777347586550937,0.3977917324409582,0.2793592383224907,0.16026918745589885,0.1830851169383652,0.6663068222385377,-0.2359277938019356,0.0725514565351887,0.3163831215237161,0.47454066410390805,0.44675114174496733,0.5027528519645443,0.899060867406451,0.476622159853316,0.5095311064140752,0.6069426022853912,-0.23187375041409,0.16412222381362396,0.5502046821460177,-0.32468124009523586,-0.3025772184868912,-0.36069419630303007,-0.1360134467135988,0.3579630256266753,-0.23242487822132277,0.2934068266246269,0.32562438518242026,-0.2230178523525575,-0.3670297926032349
ACC_sub_R,-0.1592051534447135,0.1271839703908798,0.06592645559613178,0.05429415005580362,-0.003235455118018998,0.19329082799834796,0.22996207697055526,-0.07382289655413701,-0.14793488425457896,1.0,0.0026561399216596233,0.06822116237062509,-0.29345279751978076,0.15067977051059847,0.223620213356432,-0.012697975718528343,0.6659333131450526,0.18048095972503506,0.08718573982066452,0.04602799331393473,0.3307158448400049,0.20680918989133085,0.31566941896900114,-0.2081009507720748,0.3337318366695407,0.1727559818652162,0.3409373632629852,0.4047343077337597,0.18101541319660094,0.17612232540548148,0.5720394231842263,-0.31685554131081906,-0.03507311683191233,0.744300324789597,0.004913404866514665,-0.06409256947810131,0.01633981629225231,-0.26066380296739594,0.0008592347722145852,0.09606347819199397,-0.12136953207687992,-0.2079213322145799,0.7430260575925788,-0.01150863602252478,0.295556538701398,0.31824488401584067,0.18522084486440765,0.5599991150146063,-0.08681101544273485,0.06387831013668735,0.3395587703221201,0.33182592068821526,0.44266770610148287,0.48555384692224063,0.4613583385709501
