,SN_pr_L,Thal_MDl_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Vermis_8,Thal_AV_L,Thal_MGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R
SN_pr_L,1.0,0.34533845303249144,0.24400594961310373,0.027965949985737593,0.3739944625544672,0.5196334082503745,0.06439881820990649,0.23275056664060081,-0.057575180072116074,-0.1926743917403848,0.06770738421077341,0.18473024493387002,0.13650386034565856,0.23366626584918196,0.4844147222389176
Thal_MDl_R,0.34533845303249144,1.0,-0.01530079257065313,0.1821013394479249,0.001719549243379195,0.2239318404245622,0.05233433192210423,0.060616360927466396,-0.036685231222151816,0.1550250544556297,-0.23755629911487633,0.14548882366263957,0.11293159120984016,0.21668261677202502,0.07984007405091369
OFCpost_R,0.24400594961310373,-0.01530079257065313,1.0,-0.07148898795076732,0.5483673920022745,-0.09772300147930266,0.18275635834994303,0.15244135339376128,0.02909991999668845,-0.03577708439407956,0.30468136076022245,-0.08666148959009862,-0.2589388144212532,-0.17578354608607918,0.363483896866502
Temporal_Sup_R,0.027965949985737593,0.1821013394479249,-0.07148898795076732,1.0,-0.4977279200980007,-0.14755783503297099,-0.09361687428480439,-0.33082025048851577,0.7225548530394649,0.08051939760100993,0.00837782995723962,-0.21723521630939777,0.09519638445813135,0.39806465345904873,0.2490693881021181
OFClat_L,0.3739944625544672,0.001719549243379195,0.5483673920022745,-0.4977279200980007,1.0,0.1859084161640864,0.05561245360585312,0.32412579853954177,-0.44765215676719655,-0.19866698079640993,0.17272377440928066,0.05787761468209643,0.003274557540277972,-0.2537547735837071,0.4309462688284376
Heschl_R,0.5196334082503745,0.2239318404245622,-0.09772300147930266,-0.14755783503297099,0.1859084161640864,1.0,0.05487448810820582,0.2781040613354082,-0.40701375305681525,-0.24412277278761668,-0.24066485412557828,0.5534431957274158,0.5393472523013187,-0.02045447316376283,0.2946160524717532
Cuneus_L,0.06439881820990649,0.05233433192210423,0.18275635834994303,-0.09361687428480439,0.05561245360585312,0.05487448810820582,1.0,0.18101951521551515,-0.18412308952155929,0.24693958214792058,0.3945456659782779,0.238749699669913,0.21841706904196123,-0.1323628857563334,-0.26280923597780353
Occipital_Inf_R,0.23275056664060081,0.060616360927466396,0.15244135339376128,-0.33082025048851577,0.32412579853954177,0.2781040613354082,0.18101951521551515,1.0,-0.28097252352195967,-0.10658198429653394,0.10946186983091093,0.2322262446162945,0.12186717116068296,-0.1197436547344861,0.06766144397254707
Temporal_Inf_R,-0.057575180072116074,-0.036685231222151816,0.02909991999668845,0.7225548530394649,-0.44765215676719655,-0.40701375305681525,-0.18412308952155929,-0.28097252352195967,1.0,0.18706845930243263,0.16074341519493035,-0.47791038779056966,-0.2585613072772269,0.39744628553094313,0.03752162911213884
Vermis_8,-0.1926743917403848,0.1550250544556297,-0.03577708439407956,0.08051939760100993,-0.19866698079640993,-0.24412277278761668,0.24693958214792058,-0.10658198429653394,0.18706845930243263,1.0,0.23950815905571515,-0.05263682959310875,0.028642508078565738,0.099875423975552,-0.47980348770578424
Thal_AV_L,0.06770738421077341,-0.23755629911487633,0.30468136076022245,0.00837782995723962,0.17272377440928066,-0.24066485412557828,0.3945456659782779,0.10946186983091093,0.16074341519493035,0.23950815905571515,1.0,-0.12105349135981755,-0.08552066738979436,0.16136961577707815,-0.19555667766663734
Thal_MGN_L,0.18473024493387002,0.14548882366263957,-0.08666148959009862,-0.21723521630939777,0.05787761468209643,0.5534431957274158,0.238749699669913,0.2322262446162945,-0.47791038779056966,-0.05263682959310875,-0.12105349135981755,1.0,0.5714879239889694,-0.18054966070148762,0.08368130682676636
Paracentral_Lobule_R,0.13650386034565856,0.11293159120984016,-0.2589388144212532,0.09519638445813135,0.003274557540277972,0.5393472523013187,0.21841706904196123,0.12186717116068296,-0.2585613072772269,0.028642508078565738,-0.08552066738979436,0.5714879239889694,1.0,-0.049553856800748614,0.0925839553759961
Vermis_9,0.23366626584918196,0.21668261677202502,-0.17578354608607918,0.39806465345904873,-0.2537547735837071,-0.02045447316376283,-0.1323628857563334,-0.1197436547344861,0.39744628553094313,0.099875423975552,0.16136961577707815,-0.18054966070148762,-0.049553856800748614,1.0,-0.02824273102760971
Amygdala_R,0.4844147222389176,0.07984007405091369,0.363483896866502,0.2490693881021181,0.4309462688284376,0.2946160524717532,-0.26280923597780353,0.06766144397254707,0.03752162911213884,-0.47980348770578424,-0.19555667766663734,0.08368130682676636,0.0925839553759961,-0.02824273102760971,1.0
