,Frontal_Med_Orb_R,Hippocampus_R,Cuneus_R,Angular_L,Olfactory_R,Thal_PuA_L,Cerebellum_Crus2_L,N_Acc_R,Temporal_Pole_Mid_L,Thal_LGN_L,Thal_VL_R,ACC_sub_R,Thal_PuL_L,Cerebellum_10_R,Occipital_Inf_R,Thal_PuI_R,Cerebellum_8_L,VTA_L,Red_N_R,Occipital_Mid_L,Cingulate_Post_R,Fusiform_L,Thal_LP_L,Cerebellum_6_L,ACC_sub_L,Cerebellum_9_R,Cerebellum_9_L,OFCmed_L,OFCpost_R,OFClat_R,ParaHippocampal_R,Thal_LP_R,Thal_MDl_L,Frontal_Sup_2_R,Precuneus_R,Frontal_Sup_2_L,ACC_sup_R,Angular_R,Caudate_L,Occipital_Sup_L,Calcarine_R,Caudate_R,Thal_PuL_R,Thal_VA_L,Parietal_Inf_L,Rectus_L,Temporal_Pole_Sup_R,Frontal_Inf_Tri_R,Precentral_L,ParaHippocampal_L
Frontal_Med_Orb_R,1.0,0.145257209066008,0.09511229275447501,-0.2851472685623202,0.2416286915668038,0.01925090179696078,-0.08713360319794085,0.2848812501717623,0.2057712905231846,0.3199306056989988,0.13451613200043788,0.16239198213145956,0.003891478614512578,0.14848685696282496,0.2430696260583554,0.32473878516485116,0.07194627544983236,0.20325358663984772,0.122722934351525,-0.21248489720080904,0.2527874312733643,0.2222969725459318,0.24685835246632745,-0.32021082528745837,0.1293195322206166,0.32415632364794755,0.23303317428953127,0.19253663922629358,-0.27616402427423115,-0.20752377041050746,-0.10878727830255389,-0.07285073340501672,0.37921312940339935,0.10549148752728245,0.11694282122618165,0.24544059777462343,0.06185192465793021,-0.2787256239561728,0.3766163463075817,-0.0547307535768785,-0.26432174715030965,0.5069446812024784,-0.13095368399569846,0.3032829314542334,-0.08456853469778976,-0.12917059709196854,-0.3386011114763206,0.20984763884373697,-0.023858255971079986,0.24214675812924985
Hippocampus_R,0.145257209066008,1.0,0.005405495779811387,0.006400286862976508,0.4114962361977002,0.33828469279454554,0.15320534771740607,0.6029791495930249,0.3349081298759913,0.5774260774849217,0.6030358486517537,0.21817716867717968,0.3578627025519346,0.33424187950720025,0.15647200512319104,0.5835827595034386,0.12669099607518006,0.32104415467083547,0.6519538292986836,-0.21206450071976032,0.7541380448813481,0.35651527298705527,0.32247699683926206,-0.07623136493524173,0.3292130512599188,0.45933689610978135,0.5739893987448105,0.29840341328727654,0.23537667918938315,0.2654478472263556,0.7949149644609648,0.4428547123303952,0.6604059438228739,0.7292777856448729,0.2986992439590093,0.7229987741201667,0.5978698199250098,-0.0756319414699051,0.6969384067572961,0.17332778298098217,-0.04766162383511588,0.6860360538455127,0.3019809873101944,0.5196808519611951,0.038719904412385535,0.2810541049030384,0.18247888332730033,0.6471410700068536,0.3381559629633643,0.6464711491169113
Cuneus_R,0.09511229275447501,0.005405495779811387,1.0,-0.05574024235307628,-0.0065187211754315876,-0.04180379886968667,0.010097628497054421,-0.004101662465760734,0.02312560923365912,-0.03558204674122706,-0.10976301155256221,0.11884890498725478,-0.055567987742917505,-0.1293780808960172,-0.043532113924675986,0.08471429340871364,-0.13215023337807252,-0.04782819045783736,0.002455109403581899,0.0012780458787707508,-0.057741431001418424,-0.1459441968323112,-0.0681955122696449,-0.05587158541609369,0.12260711116815334,-0.007668014589515973,-0.053269826884649624,-0.04059120119644216,0.015458275161056441,0.17699482333765804,0.005655500729990831,-0.031071303393388622,0.07250492356527911,0.1038946437322696,-0.1739367508236652,0.08041282455930877,0.01597193201587655,-0.24196088794389814,0.07112709780914889,0.13839773057665344,-0.2313331199034486,0.1135781981818183,-0.015574578274748369,-0.11298815426307882,-0.18816355777271404,0.03561419223698421,-0.003202498317069959,0.13180688876354732,0.1119645731915505,-0.11718650810011774
Angular_L,-0.2851472685623202,0.006400286862976508,-0.05574024235307628,1.0,-0.1755524785934532,-0.12231248394479043,0.09855697393160112,-0.14312705614479562,-0.020469414294674217,-0.14500820854518076,0.01696130969687661,-0.021973871426467877,-0.004653958646412393,-0.30126825575398414,-0.12717740676598024,-0.003549007428934466,-0.30409030010505317,-0.2515734832576168,0.017552098560566737,0.18760181356944514,0.009382701408129036,-0.2773712130975581,-0.15115410209342672,0.005125141633716169,0.04528215507675546,-0.07663683347253573,-0.00867478479375257,0.008576440566164733,0.020751069321151124,0.2733652287666089,0.14211843727104848,-0.0065179029027202405,-0.2040727936103661,-0.06239439692644775,-0.1282603531865942,-0.064499942518743,0.003049048184187406,0.0017568458104766354,-0.048193903117189525,0.15545084959190109,0.06134030803823032,-0.1356140884080812,0.07856948845591709,-0.13108604638705218,-0.17502739983966734,-0.0905205646666231,0.3052009427177435,0.033786719836874285,0.06680136562266756,-0.27109727176845544
Olfactory_R,0.2416286915668038,0.4114962361977002,-0.0065187211754315876,-0.1755524785934532,1.0,0.03883775001967399,0.2234041582902034,0.5980430290093632,0.048131477824551044,0.3601608676859916,0.03170121990393418,0.6509608585055231,-0.05516296011310372,0.2518268896877233,0.32759691426412985,0.41756753966418547,0.2672453558798493,0.33143278379727464,0.2823569832963849,-0.30755981331453797,0.29485980171868936,0.20728326077198017,-0.10021698943051802,0.14985243461605094,0.289193359263559,0.37027130861932733,0.38503968057236804,-0.23375477761383467,0.1939266732120128,0.07904083887842422,0.3105843200877801,0.10369722881619134,0.536460229367756,0.5671042470931189,0.012594699332960204,0.5982309588188366,0.32992955820049263,-0.2594065439454062,0.5342181952924637,0.07451643973263145,-0.45337571443582064,0.5485611038448416,-0.008585352923427374,0.03640072143316506,-0.052381641346579084,0.2558702767057241,-0.3731444419306278,0.30250308458463004,0.12569746057042475,0.4159833408750176
Thal_PuA_L,0.01925090179696078,0.33828469279454554,-0.04180379886968667,-0.12231248394479043,0.03883775001967399,1.0,-0.13445220206700378,0.303739411421139,0.12708191743799718,0.09517177302749348,0.4837997707665124,-0.1932176091909605,0.6165741239357898,0.22997989453031983,0.05843259265933969,0.43914514479194056,0.5322782391947325,0.5183803653875897,0.23170264714551975,-0.00022663669063499676,0.27198482857154693,0.28957967772359594,0.4710143513868734,-0.03519543174848092,-0.22024405193875224,0.10423403001832193,0.09516794405252392,0.08956432097134402,-0.031881245829900304,-0.2351781421003653,0.18920814533137106,0.37849930212749977,0.47972860685173274,0.10304405583454401,0.519744766485425,0.07501298375004577,0.16420505762038176,0.09550323741034282,0.16171266772701468,-0.15120971336975322,0.2588864752628803,0.2079645411069481,0.14850170423003886,0.6177296114979156,0.4738694358426714,0.269807059846379,-0.014807302394436651,0.03795792619423373,0.17590618301244404,0.33056500181799137
Cerebellum_Crus2_L,-0.08713360319794085,0.15320534771740607,0.010097628497054421,0.09855697393160112,0.2234041582902034,-0.13445220206700378,1.0,0.22660682192189482,0.01424788193062657,0.02729488523156019,-0.10347415044082506,0.3426721121095456,-0.1402014841030174,-0.15372648786845797,0.021653898833229667,0.09514499012987088,-0.1312554878099993,-0.007054082849014043,0.05057758379727278,-0.09860712015271735,0.16807604352920041,-0.11899880878748169,-0.23862158200109965,0.03323794218834928,0.2863766242364709,0.0396107891609199,0.05534977765573187,0.0347256611447642,0.06336804329287656,0.25069885827603544,0.2654191464915571,0.07237411155033077,0.09252142256490428,0.30958401861540735,-0.2374480671927445,0.279112343750473,0.044790507906543424,-0.1639556503750521,0.15781697078252013,0.1232772925397231,-0.29771536117292235,0.12605158413179385,0.1316828159459805,-0.16994318572104122,-0.21251825234318222,0.2343019169003123,-0.07836763324444387,0.29954682411626354,0.099158379692665,0.07786654157264898
N_Acc_R,0.2848812501717623,0.6029791495930249,-0.004101662465760734,-0.14312705614479562,0.5980430290093632,0.303739411421139,0.22660682192189482,1.0,0.250798942838169,0.4166943463863819,0.2573679408691415,0.38675973833604993,0.3328606210453918,0.3577163260402894,0.3182885550808553,0.49303989053215774,0.4163775724740638,0.49912490420123096,0.29218016137283165,-0.2093905257774947,0.5236957126643356,0.41407265095137097,0.1188931688039548,0.0028852435414097113,0.29585149474133343,0.43436244644417954,0.5267644487304893,0.1639387279096784,0.22481883439566563,0.034326782032754376,0.4295659790376853,0.35774697375127174,0.7105733744551536,0.6536770476260721,0.14702847062127616,0.6623171869157872,0.4479311289854548,-0.1549269472731621,0.5203698434368588,0.0224695476011899,-0.30412733464750574,0.593582972965513,0.2556282947227578,0.3306051249992624,-0.014510796485062986,0.4905346718381174,-0.20741699591289964,0.417471400257297,0.007287802836939069,0.6778078389489166
Temporal_Pole_Mid_L,0.2057712905231846,0.3349081298759913,0.02312560923365912,-0.020469414294674217,0.048131477824551044,0.12708191743799718,0.01424788193062657,0.250798942838169,1.0,0.32611298143921835,0.30412181859876064,-0.1035817959580287,0.23890007185052164,-0.015189814784484125,0.11637999523259542,0.22358086590800402,0.01023749706298189,0.16094102882701,0.22800312356783906,-0.12620833544065746,0.33866117891713393,0.24426959359665412,0.3462012599166802,-0.13722258460267076,0.07673383150945139,0.24890459043577934,0.2451460822593173,0.43701785624959427,-0.20339930381561652,0.05719984069600827,0.2644564043478925,0.2510766038726694,0.19410829376959,0.27113058651754957,0.1445601109694113,0.28454838826657136,0.09243367814357775,-0.04965012045522192,0.22079204306750772,-0.05894578763070491,-0.06559002317361015,0.25118843607026403,0.2637207350694715,0.22310353661502735,0.05030961941061015,0.28123730286045767,-0.08060822053067081,0.33540129064305607,0.3056014990042366,0.40276452851639893
Thal_LGN_L,0.3199306056989988,0.5774260774849217,-0.03558204674122706,-0.14500820854518076,0.3601608676859916,0.09517177302749348,0.02729488523156019,0.4166943463863819,0.32611298143921835,1.0,0.5373451831144043,0.05412130566430938,0.11453082959539314,0.26721300389930847,0.2177712264222278,0.48313630890587433,0.13253534464991534,0.20966097938028197,0.4767430499415727,-0.19778400967919907,0.5762197131195261,0.48383473138249633,0.3376453977671235,0.05232240861421364,0.023714659189444657,0.26769773852291096,0.35511747781129066,0.18713809784624916,-0.010351877371909117,-0.13922882940191186,0.42703282916524277,0.3094796811022374,0.45568683283551736,0.4253311717920059,0.3558675002417595,0.434434829460074,0.3954503514430617,0.015557725702311015,0.4526018149922022,0.06090791836536982,0.030333937795828245,0.5498730324754479,0.04949726264587592,0.4072082495613491,0.14312395039001566,0.09431062666782308,-0.07664671623562823,0.37819148572744776,0.36011487192288577,0.6610875485295384
Thal_VL_R,0.13451613200043788,0.6030358486517537,-0.10976301155256221,0.01696130969687661,0.03170121990393418,0.4837997707665124,-0.10347415044082506,0.2573679408691415,0.30412181859876064,0.5373451831144043,1.0,-0.3038493040914793,0.4350202281341096,0.14878384916446835,0.024534653534831207,0.47537939583762556,0.11390378098302718,0.13854849002834746,0.4961354002890557,-0.015424349201715419,0.5977352942084805,0.37441426166181635,0.6888512535984329,-0.03402689028143278,-0.21508810725371746,0.23230686398914904,0.2875613867295057,0.27803310653579,-0.21450938732704153,-0.20031452044815853,0.5086785645057462,0.6401824776295449,0.47840715915759424,0.2055206096011004,0.5896845900129499,0.19922348580735014,0.351591905212882,0.30653205813794676,0.42519094678623454,0.022867690375948806,0.3956767529862232,0.4418155461910405,0.19519509166232787,0.7167974983274539,0.459642022631149,0.021073457954825042,0.07438059701852427,0.28148742677686417,0.48871416001241386,0.4746345903255957
ACC_sub_R,0.16239198213145956,0.21817716867717968,0.11884890498725478,-0.021973871426467877,0.6509608585055231,-0.1932176091909605,0.3426721121095456,0.38675973833604993,-0.1035817959580287,0.05412130566430938,-0.3038493040914793,1.0,-0.29107702737392926,0.02458839224317836,0.10021998472093312,0.18179033651053725,0.05416949258279949,0.24962761272197373,0.13038392193258452,-0.18714575594733715,0.024127780949249594,-0.04562165667497301,-0.4152477442360807,0.0024011511900573976,0.6923610972181852,0.19368367288510885,0.13103925132518673,-0.27067113979649465,0.36294178874556365,0.42716693941881884,0.2382433778789112,-0.10909747268287977,0.3235937577841825,0.4795905694907124,-0.3866447545528952,0.5282049156283141,0.30241781385954514,-0.5627470426965325,0.44528827306599916,0.17534681980296873,-0.6918700606903796,0.43667379207777135,-0.1161940173923991,-0.2197476000276932,-0.5071631285099819,0.14575718077630107,-0.16889785776336497,0.31764399714013336,-0.19429767123458153,0.14698791623256488
Thal_PuL_L,0.003891478614512578,0.3578627025519346,-0.055567987742917505,-0.004653958646412393,-0.05516296011310372,0.6165741239357898,-0.1402014841030174,0.3328606210453918,0.23890007185052164,0.11453082959539314,0.4350202281341096,-0.29107702737392926,1.0,0.21026724143283318,0.06089689332334967,0.17474398653012574,0.2796396343380421,0.19278451780745143,0.33761202142618385,0.04379273763291164,0.47671595269005557,0.23201057743644438,0.3789452305143203,-0.03485748972842051,-0.21970342120744843,0.19553654274931218,0.24523299522125458,0.436134596334264,-0.13394549829375263,-0.1860718003767079,0.2395211514328412,0.47167823998472613,0.3359794498742762,0.1255427734330881,0.24944988008340932,0.09062593276438227,0.05497484330165625,0.16241013433275256,0.08647039970944248,0.025895386133724014,0.22728779674577657,0.09247481026173557,0.6140994715806463,0.5277913751008834,0.29706303408171153,0.37066670639420857,-0.022744084162064755,0.22601572976486953,0.14408113636820818,0.3266335156351006
Cerebellum_10_R,0.14848685696282496,0.33424187950720025,-0.1293780808960172,-0.30126825575398414,0.2518268896877233,0.22997989453031983,-0.15372648786845797,0.3577163260402894,-0.015189814784484125,0.26721300389930847,0.14878384916446835,0.02458839224317836,0.21026724143283318,1.0,0.23681645956484587,0.16029248579613306,0.3983456244855233,0.33574309890279164,0.212857622605693,-0.22715958040314205,0.20633163117377304,0.4726917831656401,0.14206693532112658,0.16605004834499257,0.03825563991296786,0.20927125751536518,0.3229311755818322,-0.02312980934143764,0.37918013918597254,-0.12013032861624122,0.1578395431379675,0.011490892069456747,0.39370727584742415,0.34389193994683825,0.3341678116247118,0.2241128812877961,0.33734125469635506,0.02212654450128153,0.19549733571539307,-0.11181314011972164,0.10435513006227709,0.2577523231320784,-0.09845644816538794,0.27380915537637485,0.27666692256123887,0.18940852366228814,0.025463721716743076,0.10810688539678819,-0.0760417301610753,0.476664028388406
Occipital_Inf_R,0.2430696260583554,0.15647200512319104,-0.043532113924675986,-0.12717740676598024,0.32759691426412985,0.05843259265933969,0.021653898833229667,0.3182885550808553,0.11637999523259542,0.2177712264222278,0.024534653534831207,0.10021998472093312,0.06089689332334967,0.23681645956484587,1.0,0.24534289579655463,0.32047201228378974,0.3239615416961729,0.07225617460645979,0.0589971932612533,0.20499719918908532,0.28944638472066186,-0.06662390541219977,-0.0030002835879574625,0.020886778949303186,0.2196739995152602,0.26355827308793384,-0.06330405023771567,0.15244135339376128,-0.14131406156799783,-0.042156729527607545,-0.1639386491351762,0.3420982354343778,0.23864826498756844,0.1178490280005801,0.2340579665198556,0.1988203374415714,-0.07446783482960473,0.2257980552077321,0.0006474823304322729,-0.12846066233656606,0.13825126869077975,0.016559066196408158,0.18520243773460146,-0.010269682319182434,0.01740261579641181,-0.13648486953188887,0.08527419803245481,-0.171552202590602,0.2744807376426604
