,Cerebellum_6_L,Temporal_Inf_L,Temporal_Mid_R,Caudate_R,Postcentral_R,Parietal_Inf_R,Thal_PuL_L,Cerebellum_3_L,Temporal_Sup_R,OFCmed_L,ACC_pre_R,Thal_IL_R,Fusiform_L,Cerebellum_4_5_L,Frontal_Inf_Oper_R,Vermis_4_5,Angular_R,Frontal_Sup_2_R,Lingual_R,Paracentral_Lobule_L,Amygdala_L,Frontal_Med_Orb_L,Thal_PuM_L,Thal_VA_L,Frontal_Mid_2_L,Thal_PuA_L,LC_R,Frontal_Inf_Oper_L,Cerebellum_8_R,Paracentral_Lobule_R,Thal_MDl_R,Supp_Motor_Area_L,Thal_VPL_L,OFCant_L,Occipital_Sup_R,Cuneus_L,Vermis_8,Rectus_R,Caudate_L,Cingulate_Post_L,Precuneus_L,Cerebellum_9_R,OFCpost_L,Frontal_Mid_2_R,OFCpost_R,Temporal_Inf_R,N_Acc_L,ACC_sup_L,Frontal_Sup_Medial_R,Vermis_3,ACC_sub_L,Precentral_L,Occipital_Inf_L,Rolandic_Oper_R,Thal_IL_L,ParaHippocampal_R,Parietal_Sup_R,ParaHippocampal_L,Hippocampus_L,Cerebellum_3_R,Vermis_1_2,Pallidum_R,OFClat_R,Thal_PuM_R,Frontal_Med_Orb_R,Putamen_R,OFCant_R,Thal_MDl_L,LC_L,Cerebellum_Crus1_L,Thal_LP_R,Insula_L,Calcarine_R,Olfactory_R,Raphe_D,Thal_VL_R,Hippocampus_R,Parietal_Sup_L,Frontal_Inf_Tri_R,Postcentral_L,Raphe_M,Cerebellum_9_L,Red_N_L,Red_N_R,Amygdala_R,Frontal_Inf_Orb_2_L,Temporal_Pole_Sup_R,Cerebellum_8_L,Cingulate_Post_R,Cerebellum_Crus1_R,Temporal_Sup_L,Occipital_Mid_R,ACC_sup_R,Thal_LP_L,Parietal_Inf_L,Thal_MGN_R,Lingual_L,Cuneus_R,VTA_L,Vermis_9,Temporal_Pole_Mid_L,Cingulate_Mid_R,Thal_PuI_R,ACC_sub_R,Temporal_Pole_Sup_L,Thal_VL_L,Olfactory_L,Putamen_L,Occipital_Sup_L,Frontal_Inf_Orb_2_R,Rectus_L,Thal_VA_R,SupraMarginal_R,Supp_Motor_Area_R,Frontal_Inf_Tri_L,Cerebellum_Crus2_L,Temporal_Mid_L,Cingulate_Mid_L,Vermis_7,Frontal_Sup_Medial_L,Thal_PuL_R,Temporal_Pole_Mid_R,SN_pr_R,Precentral_R,Cerebellum_6_R,Thal_MDm_L,Thal_LGN_R,Heschl_L,Precuneus_R,Vermis_6,Cerebellum_Crus2_R,Heschl_R,Thal_AV_R,ACC_pre_L,SN_pr_L
Cerebellum_6_L,1.0,-0.3829418122176679,0.3944699696649537,-0.01838905605648836,0.05226642751329781,0.20472468017135978,-0.07528844476709115,-0.012750993689677708,-0.002398519040660823,0.2104932587054735,-0.11475657580239486,0.05220964602181481,-0.41994412841415996,0.06551834907311253,0.0004704223485465102,0.4614087615950922,0.39124472360046103,-0.17320928707357672,0.24222629113926325,0.15510243438113128,-0.22781764870028717,-0.005977216492328428,-0.12240298885842323,0.009125540091984767,0.2396511114732246,-0.20070758464184668,-0.07861656541559199,-0.19862522749054856,-0.13086950036524034,-0.02622574848889242,-0.068317609966744,0.11771253052480277,-0.07838966144088827,-0.183434876923375,0.2616037388086117,0.2808746222555116,-0.007229923705198122,-0.25660177535364276,0.011148987005954921,0.14401069460135926,0.2612758698586099,0.0701966215937698,-0.16669024643618002,0.04714901845106875,0.17200165681230692,0.35064491935336284,0.14570094979912648,-0.06111566246592659,0.0396139846328106,-0.27383690500029917,-0.04491815571232151,0.14866043909715296,0.01593796103971749,-0.18333706927026266,0.007492416437505093,0.11293253979198364,0.23446936244174107,-0.1948804083474573,-0.24462977483704657,-0.2635977896576289,-0.235510239844272,-0.09525760398815597,0.21743825506049605,-0.23748669735777225,0.2216989298470165,-0.11515375641928746,0.0487059763696844,0.26125740556257226,0.40929073915505215,0.2977755979429491,-0.03439620297820146,-0.07835680837263974,0.05285106146076775,0.09671569435012758,-0.08273856120588759,-0.10483474834007532,-0.03356710660853286,0.17265138758232557,0.07572702526091653,0.0005587637950752156,-0.3271012847006187,0.379580673994572,0.12629338968960688,0.08704256157078703,-0.05354418568653902,-0.19853244191804953,0.13286590356292632,0.42659677066975965,0.3210215232587728,0.31234617576597895,-0.4081280910418149,-0.18316455977137933,-0.06996495470296275,-0.08902159764901917,0.1267177505835392,0.14021754660579447,0.6319345492947835,0.32066584957171207,0.0899727445020351,-0.2282611123412792,-0.2103523448905379,0.028027674973123102,-0.11096987422139636,0.06382251706663715,-0.05535418668789248,-0.09110273302248877,0.04775484136497645,-0.17004326655040103,0.18456696978641032,-0.2526249888292626,0.2951370815630295,-0.22451104872309166,0.10263460176674503,0.15207390905455603,0.01627383995388714,0.07220316845465076,-0.32815297853306785,0.12091031729840973,0.18232397606493064,0.07528482092725106,0.1931079054112891,-0.10470450387109566,0.49744474096988783,0.059882008783802905,0.3656001217955525,0.2268024897380355,0.3054364332735871,-0.1498203290843212,0.23683192336140552,0.5160931316603313,-0.5374312910669563,-0.19544282053756695,-0.032949483880286026,0.10787347343078899,0.19923548632254556
Temporal_Inf_L,-0.3829418122176679,1.0,-0.3097074499478606,0.3587561991221608,0.3545643632928917,-0.05077505384609922,0.3255379051812313,0.36775797467211174,0.08050367268220132,0.016331176543641312,0.12701614246748003,0.18002454252934044,0.6595119521137097,0.19173715713000855,0.183224091251169,-0.041267868513223414,-0.3983946288326407,0.4537877732743779,0.09784588935967832,0.2653029024742956,0.32324781693014354,-0.07228484120914992,0.42308043745349705,0.13123380730736459,0.09180626061530331,0.5169496250428232,0.02716934592658151,0.37143542747418784,0.1426671664463139,0.4209707339081129,0.31159404644495003,0.3328862431232922,0.40043425730224197,0.06515511829855818,-0.3169427648294315,-0.09521720410460312,0.12776987883041946,0.2750223725850754,0.22531678610808786,0.05664992450246259,-0.007886405626103758,0.03696677717304757,0.4054036510538523,0.2360093549835928,-0.1765452148226302,-0.005414348659984291,-0.18734710415378722,0.38859118732973263,0.31184048191839636,0.6300528384155275,-0.01994427332932497,0.19109989180185144,0.2040050354837413,0.36670748603375647,0.3185514095463328,0.08511405667554878,-0.14984201720707552,0.48583327250082653,0.5728884163874526,0.4820762536113715,0.47848059420704414,0.1349220760615184,-0.09116013557976756,0.43722463403280226,0.03600092267581167,0.13968871747268127,0.22020646012302936,0.0592538486897461,-0.42896104193607815,-0.041813721369640955,0.3356122982420955,0.4667229645325771,0.14860014931783666,0.12376693946600459,0.35117468833937443,0.3271529843721823,0.1853075387906111,0.010533299537929398,0.08497658373827924,0.3714996486318377,0.45970075488732853,0.011582698157461834,0.21152944260677223,0.11665886994441162,0.1447019831028905,0.30419267900915126,0.08059766713061858,-0.16936396292112169,0.02577003305122607,-0.1633412818052671,0.6548724737109541,0.10505283944089515,0.10816175741418428,0.44136407669308203,-0.0020778095211113974,0.18832053219692493,-0.26031181495250344,-0.393765922377227,0.15012812494692393,0.36276630734488574,0.04039418684377059,0.3284296360225592,0.3133831692227086,-0.06913330521056262,-0.016072248984079645,0.5437510549993582,-0.07397477036504052,0.30810048465005807,-0.02082783210069514,0.274580833705408,-0.12827049944187513,0.32927250768517186,0.08164655792816898,0.2081380929558833,0.3244420900070248,-0.14085991436295123,0.7227718861502812,0.268796603636403,0.08681061957765462,0.27655767696276184,0.02731239581333265,0.07597912802702649,-0.27842224283555184,0.3382604443256879,-0.018602629243972393,0.1881238661746959,-0.16623340404149947,0.3669386997345279,-0.014965988822055406,-0.3137513867799857,0.23297260160999836,0.25736870964657915,0.34119867263155895,-0.11608812066608798,0.12832796808351202
Temporal_Mid_R,0.3944699696649537,-0.3097074499478606,1.0,0.15347973682718272,0.16447793516399004,0.4677754369118693,0.15110558231377683,0.3233507839659301,0.3805629977182097,0.07682304123832528,-0.05475074827816879,0.22172038743630673,-0.03826021569256331,0.43652057517945025,0.3989619418274776,0.6043341495350356,0.545457473127643,-0.051745918167819926,0.45812114851121594,0.05506690643723017,-0.2569034410231477,-0.039091544570758245,-0.09335498566547346,0.03569563997328524,0.2801375134374022,-0.10519622284697461,-0.012459151779959399,-0.10908094916691528,0.08253119042284458,0.034643187648736584,0.01902451614024147,0.17723969619963023,0.11040199863982093,-0.11824941294438067,0.3007355122415158,0.5194420473264673,0.055954425198257204,-0.17999974175071576,0.14138473028005002,0.11461513964582416,0.45682428747085624,0.02957219453709906,-0.26394315397624396,0.1549290501276417,-0.1224945827261406,0.12138761109778545,0.03387612389457591,0.026650004185612145,0.2466295835067803,-0.0027996293474377688,-0.16715664233975133,0.1780197467289323,0.18153687028668522,0.04496040348705722,-0.02162841725761955,0.30668849026494577,0.2927285135193311,-0.003787036153253743,-0.07700002973205222,0.08804709763502723,0.037036012648606606,0.05839482819167379,-0.15955969482072893,0.02637244431897898,0.13623460816949018,0.09772839894798713,-0.15153603671888596,0.20393392163234186,0.11067712911703616,0.1594263147500652,0.023229737842339237,0.031173542021285933,0.4340814812337613,-0.11500220912225252,0.11572956509935288,0.06349910612583505,0.24687682396311353,0.3362693400461772,0.34059268082403205,0.14426042905228484,-0.02529893268195551,0.08869625518291804,0.12343476856119377,0.20838574800223927,-0.01843703618681977,-0.09307797748019689,0.07651467834949717,0.10015874343377128,0.3620008943521108,0.34445066282436604,-0.14031631454873406,0.023371368934900744,0.03274879193186609,0.09684494520529469,0.30088390903660156,0.1085291675824402,0.4914871893324011,0.5191674033449472,0.2626401315380569,-0.06413158011710948,-0.021700515057094038,0.1849316517582351,0.11167831226637857,-0.03627599327129574,0.04517904550311101,0.02026652557714739,0.06529036952255922,-0.015043424862825273,0.23882097483561598,0.008932680630657826,0.1448073197634309,-0.0029021662721971063,0.5168922646323053,0.20158904280216386,0.18124715876601258,0.122488918037183,-0.11822608712544544,0.21056080604679273,0.09903452190570433,0.18251204127915938,0.20545642591525168,0.07436748736351959,0.3896910262133817,0.1941623337851669,0.09272822865054813,0.24822744358730242,0.07483769611537501,-0.053466183271058676,0.41831504173257045,0.40862344401326,-0.06382911127212146,0.09013500324804104,0.10209404594626581,-0.09199796727338382,0.1481063339637215
Caudate_R,-0.01838905605648836,0.3587561991221608,0.15347973682718272,1.0,0.517942436139331,-0.11487393940588884,0.5272965371837826,0.6803165894521314,0.577367254197992,0.043199640296583706,-0.09719133023216055,0.5372068419438463,0.36634741445794017,0.6067800571719724,0.6176954268264101,0.18148348017118782,-0.40243652868254876,0.7215022530913126,0.09865966473706289,0.35150491240258336,-0.0038415764701546485,-0.17673813473908892,0.3845362176794661,0.45980732982260325,0.4553184638453874,0.3613564984053214,-0.014612228225543759,0.4135429927166945,0.34509786293202277,0.41902355095197186,0.6660006565552051,0.4294526946944321,0.6082123027539232,-0.06242414267055335,-0.4448739634261792,-0.21369389307249329,0.19093112148881047,0.17489132598367246,0.6938468052133407,-0.3150125513044241,-0.17820023422826126,-0.10686001425423076,0.06611815950207617,0.6426928887399744,-0.1924251600365611,0.03262108768186105,-0.19426627071976452,0.6733236408540287,0.6639751916873956,0.6148854584604186,0.0003848879796746807,0.2377892116628186,0.10186512956595344,0.7301252118512495,0.1551323326769411,0.5960400226844017,-0.37224143830959744,0.4479693220174373,0.639006903763646,0.6830160758379705,0.6658530342908171,0.6424159019891452,-0.30407230765286347,0.7035476195601171,-0.2715581798283163,0.7012946006793609,0.06593705032913699,-0.22483224270423172,-0.20064028009559848,-0.33685087126358687,0.5570124242668392,0.6533216796505439,0.08691838334735506,-6.623048649364471e-05,0.520848463618965,0.7602916777285306,0.6998124483977856,-0.1850614788491365,0.7809938632152513,0.42008264486919167,0.5691506988093444,0.22586136246695862,0.3223157538765626,0.5874994541139619,-0.2894418744352972,0.28356745434380953,-0.0866472512810803,0.13940296690244233,0.07429839167304335,-0.02713807833406989,0.23893808203467262,-0.157771214988352,0.4942400009364315,0.5818037950842194,-0.2669512828166821,0.4592019258652456,-0.12608020067954354,-0.3943800584058437,0.33252024750670617,0.4179815622790075,-0.2098084449166526,0.44182444364505585,0.6184426139374861,-0.16539378965091683,-0.3579927392559894,0.5235875561221452,-0.12879743569527066,0.6033331150145979,-0.25614829871034206,0.4981463288526612,-0.041952614281860236,0.6582750312452195,0.5449717394413622,0.2858327466982781,0.5411232750644684,0.1265161249762244,0.19814839302769827,0.29195208984283044,-0.061056947393340076,0.6920019162367073,0.2742113451926344,-0.08902658333751531,0.3108469217943084,0.5228926353165843,-0.15251325977008684,0.3017211818461582,-0.1268528151950838,0.1437981316948868,-0.1598698314647279,-0.2923677469820193,0.12910251712430657,0.6791117155222953,0.7076194815240651,-0.48245835229636774,0.12167101832512987
Postcentral_R,0.05226642751329781,0.3545643632928917,0.16447793516399004,0.517942436139331,1.0,0.2991230010001478,0.7245583930826756,0.7027418263682759,0.5083848810150688,0.2728270225239894,0.4296057293010049,0.6048019715564219,0.5062475774699464,0.5757824029704347,0.6942793551343703,0.24074962046816537,-0.17257510217941252,0.7218229402047808,0.4091709409512315,0.7495942230616197,0.0835713546212259,-0.020265923103485867,0.6831392729162951,0.6548194223125011,0.5809968931665012,0.6631298158978208,-0.10901193970400397,0.5100261215040205,0.31740996639217883,0.8725726551242461,0.6212623084555814,0.836621627043846,0.7668158498841555,-0.05973851309585563,-0.31349198332143424,0.22586535840096028,0.0899315506882789,0.2836340593463885,0.6630071316813212,0.3737472006029006,0.2760590693807247,-0.12098634058416582,0.2166652578641284,0.7700676195646072,-0.043105583415457775,0.1470995973191828,0.01856830581118224,0.5846521720215123,0.8206949614119189,0.7471663431219102,-0.1481853904351,0.7204725948112367,0.18389280438323327,0.5948750614326946,0.36517670860558116,0.5037095105110864,-0.010382017350851225,0.6910365252501723,0.6645305980921402,0.5855698780914611,0.5364998695196652,0.5057582704540432,-0.17720540314049887,0.7380071483739474,0.042098731710688106,0.5359616480274096,0.18239086549723485,0.05801242779982063,-0.12920326533953755,-0.04820595765397301,0.7205715271349712,0.6602079579215433,0.368141264966976,-0.06880990900839475,0.48829992419365525,0.704788562243038,0.5774140836366939,0.12084853099585588,0.6106233378765286,0.8699908325101207,0.3549571792018478,0.04495650679518156,0.27000999677869125,0.6062075889141261,0.10529627552629024,0.28268454896268597,0.16271459701210703,0.13150174680476867,0.5549473924394126,0.08265634663102421,0.42895242783782067,-0.01145416680177845,0.25233167652692773,0.5955935926091536,0.1287961813674803,0.5543961532368779,-0.01607880241317306,-0.26125912180458993,0.47280461236065036,0.21475574709337847,-0.15697430917937205,0.8414250852390772,0.6536816424579512,-0.027038803141080054,0.039061779564510284,0.7781282677701804,-0.12633038857231407,0.6048314469958869,-0.15623367856725492,0.36031513457621217,0.12721719518296398,0.5191594146366261,0.7008446784320579,0.735016159492663,0.42070437723935666,0.01565464855979851,0.3586103112683137,0.698198768392008,0.0269027286053716,0.7914944757728517,0.4867055147198408,0.0005588663144743794,0.40984964076688574,0.9213770036871236,0.08611301398007022,0.623055792580357,0.21658868558621336,0.41252857979266583,0.30406088217741306,-0.21943825778154422,0.11761629531508534,0.48869672690148724,0.6534848941562394,-0.04574292559479995,0.3998168286828406
Parietal_Inf_R,0.20472468017135978,-0.05077505384609922,0.4677754369118693,-0.11487393940588884,0.2991230010001478,1.0,0.05729166296154844,0.08353387110391879,-0.06165111486519226,0.18997317112417264,0.04355475195233779,0.00474524748951117,0.07273776843677933,0.10103988120959936,0.07724447938368993,0.43980596984074094,0.7429624169555306,-0.23602756379998374,0.38756566787252456,0.37331004614026947,0.08134855265318038,0.07200353312895186,0.1492320922134947,-0.051515541772181775,0.3707810962805802,0.09255196454323109,0.07996685136274372,-0.04328897848853954,0.004927560249600455,0.26683886477358076,-0.19887216486167222,0.4147336124586822,0.08447293057209705,-0.11392288460803951,0.5623665919559941,0.5797468346238764,0.061263678100677045,-0.01268060910435877,-0.036199913522444456,0.5282796320165171,0.8679293532168492,0.04422680921119314,0.056615080170624936,0.057415289773220565,0.019280004316784897,0.20224005994111818,-0.10431717148636803,-0.19048508389741137,0.19400879109937863,0.07444966944931469,-0.11903494955434771,0.45438307186780913,0.20297993749299645,-0.27746974380446243,0.3617607141471958,0.030003721017464267,0.8143099790683591,0.10374422616235134,-0.021484599087352257,-0.10576707033876415,-0.1963881813908067,-0.2977964054065626,0.20343666316126194,-0.125336683511219,0.20191587248424295,-0.30323980500785713,-0.17672777523872338,0.594074280900247,0.08995016603531909,0.3439384086579448,-0.015628612095010052,0.14143865973972988,0.3138341386253617,0.1628408651821782,0.20408737441700642,-0.18988829392138853,-0.04143871293694461,0.8480342746217892,-0.09882096590010242,0.3799254638429728,-0.22744430189401232,-0.09689597929469945,0.3557925237113289,0.16108117395440832,0.1802781887395942,0.12585019983869022,0.24734866516430212,-0.06662691712116603,0.6371599586547836,0.2777770255230079,0.09419446976570933,0.2304032831718361,-0.2710710569414613,0.07849838547416031,0.8378432620646321,-0.0188784957649763,0.46804947898328625,0.6724905542638427,0.21740450842410605,-0.38113210540435816,-0.06461117641598788,0.399458544714746,0.026186792741431358,0.14652678360392177,0.13759248394431045,0.15373928336360376,0.19156054911986814,-0.11591567171826347,0.474189297383938,-0.20431004677014203,0.15901961336813095,-0.330238241865998,0.36988527258562987,0.4869372865400731,0.1739910515466122,0.15058409671434586,-0.03007532981089735,0.486152334828445,0.21906252263292864,0.011950668320630081,0.21935881802926027,0.3958106991190726,0.14081781952299596,0.2184447138816447,0.35508355441090333,0.5204795919572943,0.3934500443734575,0.22651744140132507,0.8875355845362362,0.40318002177536766,-0.014782100046022472,-0.32394017552529863,-0.0303357083956023,0.35046914303566057,0.35709510999885513
Thal_PuL_L,-0.07528844476709115,0.3255379051812313,0.15110558231377683,0.5272965371837826,0.7245583930826756,0.05729166296154844,1.0,0.690800733089765,0.5096835271209537,0.2000791509741062,0.28905865863070823,0.6323615765197261,0.5566150965855653,0.6357944109216841,0.6385189816433274,0.18502766805067192,-0.2580675385718532,0.6550907042738114,0.3254492837134733,0.5132771028466551,0.04728475402795085,-0.1612171301724396,0.7318615809753736,0.6403322472605179,0.44841284261499376,0.6366978099952187,-0.09920713196103062,0.5338658183952278,0.35304127334769664,0.5998970540894437,0.6316638176719686,0.6651558153912875,0.800426554139027,-0.012878902168145679,-0.31342355605934685,0.07380969987851416,0.001684731080779974,0.24179079589303926,0.6356950973597125,0.2362142062061711,0.11159363662888049,-0.14948248496199298,0.17275948447953218,0.6925370973965286,0.02575751983787868,0.028941322837058515,0.09336022938610962,0.5135057582472483,0.66954599483141,0.7267765144834735,-0.18461805638578221,0.5943716375121877,0.1660042738118074,0.5513568920689413,0.27263056990173967,0.5497152250160185,-0.12023735475734139,0.6874490034943515,0.6703462381466313,0.5959061227710668,0.5322071797534912,0.5561610938941173,-0.18416259750834757,0.7379300362730081,-0.03181823877421807,0.6076059960945733,0.14355965113901445,-0.1145835247635775,-0.14690333073553818,-0.08999942298486421,0.6805664725195294,0.6422992586854416,0.3079755428767385,-0.15822489448802365,0.40389006080458567,0.7162546407692122,0.5820925073401714,0.03711364379196363,0.5527082800444304,0.7020773431664044,0.3536353501192396,-0.0036214477084754526,0.18928820751970088,0.5653673265868889,0.09066324771178304,0.25175631090162504,0.022593329979989776,0.0646207477738801,0.3910568023448408,0.04675558136693761,0.4728513342080782,-0.004310070452612044,0.3078990936757579,0.5790455031981743,-0.02570321435567985,0.5867815114043876,-0.11269147273082235,-0.318989283054293,0.41296486853392655,0.3000430229454656,-0.04828783694759833,0.6335111935535334,0.6245455611983765,-0.19196364678192784,-0.04122562499732193,0.7264855862958775,-0.12036343737328319,0.6583271443371594,-0.20014228753217614,0.30819661191258785,0.08990191271543829,0.5529485664975405,0.5171943827161283,0.5908985337738983,0.42470035482872215,0.06537403250735623,0.37566650833117043,0.5341013591722674,-0.04927139036493645,0.7289546802160777,0.5291502161787357,-0.1451544017955102,0.3045703147767781,0.7488557708762493,-0.05420841519792571,0.48310106982262185,0.12346786453982932,0.4647985818999894,0.13036968971571455,-0.26382079460989766,0.19475032854836122,0.5736952686653559,0.5592489841235283,-0.18035604498753044,0.30149358044440683
Cerebellum_3_L,-0.012750993689677708,0.36775797467211174,0.3233507839659301,0.6803165894521314,0.7027418263682759,0.08353387110391879,0.690800733089765,1.0,0.7474939443822374,0.17169536300453178,0.24645147050618468,0.6369008917209191,0.6399667993908251,0.8914730933232586,0.7463802824898016,0.41456090687324126,-0.2356440910861184,0.6909467807974686,0.4264882257025544,0.42350612889792616,-0.06202042670219282,-0.1830380224277303,0.4523029047290235,0.49324510846712877,0.41647985544935373,0.5661808147589878,-0.23130411643569815,0.47253850581320844,0.31383910256612163,0.6142814893877465,0.6341574551219092,0.5857427819414852,0.785922055363779,-0.10786223724401367,-0.43172945032514826,0.2783983360486674,0.08561663671460515,0.282203397787194,0.606641018562715,0.027319210704688162,0.11804895774914925,-0.21625636822600627,0.17587304997121542,0.6042424228277021,-0.2151255594325401,0.0015152214775022168,-0.09875544862302794,0.6645170872512765,0.729910137669719,0.733342197734451,-0.1327623736355263,0.3738310879491053,0.09420785131021134,0.7600784943796347,0.20022229278068404,0.6341226738014739,-0.2519032402252644,0.6400697994085288,0.6562195812477224,0.8399021385685949,0.7796591869741225,0.5959326721636266,-0.40360550550704904,0.7830842163885119,-0.06986511076320352,0.670449822595613,0.1248753702467453,-0.06246538917431902,-0.36191187315125545,-0.1899679146422419,0.6573013558079805,0.5542711736393953,0.5488822538903094,-0.13655744389326033,0.48396342792206964,0.7510862849985053,0.695549023541537,0.016737606862398384,0.7577231512498686,0.6405754550284148,0.6631983383640166,0.14689622118461065,0.2698288225248019,0.6150606160125583,0.047630846367140094,0.21395458589647964,0.15216762485429727,0.1380077180120808,0.2755240931389093,0.04669426775447581,0.4254100118783127,-0.030260971848712816,0.2708241260900809,0.6183326320664622,-0.03632114307457331,0.566053429077388,-0.06061477641321974,-0.2930517926035296,0.6344267069831171,0.48054916461590763,-0.01203701362138967,0.569167590949195,0.7032516641749568,-0.10623246402357271,0.009873960050867553,0.6748573893283858,-0.18302227158138512,0.5832868286494425,-0.11609899130170151,0.4283521502672401,0.10514373449861517,0.6566036146298875,0.7527761142165283,0.39868038012690504,0.467929912116334,0.09951842772687136,0.42334229289276565,0.42676093247827435,0.0016394068325899442,0.7504053176883638,0.31786817196927697,-0.06678755254682463,0.4060571442692027,0.6855536252827081,-0.17677486219295147,0.4156011395216908,-0.10701727440372362,0.17958767968647035,0.053482470630782854,-0.2700206525331796,0.2070212702902057,0.7004103089024281,0.6909250673114758,-0.35501098587958735,0.27180387290154656
Temporal_Sup_R,-0.002398519040660823,0.08050367268220132,0.3805629977182097,0.577367254197992,0.5083848810150688,-0.06165111486519226,0.5096835271209537,0.7474939443822374,1.0,0.13909115536592473,0.21887751453014734,0.5251276560271333,0.36572421054845455,0.7935941448536719,0.8055166126548642,0.23255730276625347,-0.26672188518973317,0.604450662919275,0.32893502020078846,0.12243489898635561,-0.12387894254195575,-0.1913879581070697,0.14098780988703655,0.4463601395963937,0.1992554757843747,0.32610106165368585,-0.23846215922793976,0.2580661640029256,0.3160732506053943,0.3777159147686065,0.6197060578514666,0.2555712378957745,0.5827058387225248,-0.08037106955897813,-0.5172107247957235,0.17068214831957412,0.09285506694846617,0.17931110530695918,0.5135809991305813,-0.1821764698489219,-0.12439749351673185,-0.30483282063328276,-0.07301311663969101,0.44918337502171835,-0.2490412959668214,-0.16645846483481924,-0.04584592967978738,0.5757441214079189,0.5332587177724039,0.44635414181637856,-0.07768751805570989,0.10283899479412273,0.051522889465782006,0.8168665525392992,-0.13498435832296393,0.622907023697231,-0.44592632014220956,0.46594476939106944,0.478295857184559,0.7330582817424675,0.7342339639332917,0.706032665731232,-0.5062195103655089,0.7312098233635512,-0.2322031351664854,0.7470096044466434,0.05121897998367977,-0.324516534730062,-0.17673387358452722,-0.3650780297568787,0.5101227147249648,0.26836523329106193,0.6093358199631193,-0.3262537234516504,0.26907514358999957,0.7258619898282267,0.6584824829128547,-0.21864409952102257,0.8420526662765089,0.35887350427803705,0.67265300342074,0.2237235705696232,-0.08762972643432634,0.5259034912517404,-0.07766583957534977,0.018816540294611175,0.02550111133424734,0.19663933410447162,0.07316151751685668,0.09229856272853547,0.16343821625547175,-0.05651838600918075,0.34333375465467597,0.4311173810546797,-0.2868918870509983,0.4347342242294645,-0.23976311914866433,-0.33753833004516715,0.4798828309229617,0.48151934557641035,0.05314118049406379,0.37780562694383113,0.6456375400058046,-0.13280539247239703,0.07610867891339648,0.39945042713100176,-0.1131516371962707,0.48614140702507286,-0.30727274054926795,0.5281714259054897,0.06695967074328193,0.6688114407080868,0.8103133242015484,0.086638517645131,0.13898599379446802,0.21169366714031038,0.15482018470982298,0.1850969998043477,-0.23001149211389968,0.5503201403213958,0.16903982824925315,-0.12002421309206543,0.5195197784574428,0.547607955479286,-0.30962374452781866,0.1335488999101608,-0.28677403807046414,-0.16815977598558582,-0.20546015090430914,-0.3312619818559882,0.23557672122410242,0.8114873289556308,0.6289884268510407,-0.4253852554199291,-0.05679571325272662
OFCmed_L,0.2104932587054735,0.016331176543641312,0.07682304123832528,0.043199640296583706,0.2728270225239894,0.18997317112417264,0.2000791509741062,0.17169536300453178,0.13909115536592473,1.0,0.1162098057475404,-0.03083055323939053,0.0292820859981468,0.09782379585812864,0.1508427529682775,0.051641430888541534,0.0015730659810929146,0.04194386210128084,0.15867712245143775,0.17210123580074632,0.06045017177107257,-0.015834686824287056,0.19186174811191717,0.12243966995834822,0.18276810034167812,0.10809078419936251,0.09335325675658765,-0.06274683311870348,-0.10684830087833744,0.24204737139106638,0.07568718570038768,0.16001809474195056,0.14450592607858428,-0.048847322313619816,-0.047142418281118835,0.15624496097641744,-0.044331666691328785,0.10606069035269791,0.06343725278590837,0.16364731851753328,0.16351796605522692,-0.013878733563864723,-7.896752232957744e-05,0.18783558695856312,0.005233357709785442,0.30273835177166664,0.023625485390353917,0.18130798985788177,0.13425186486000917,0.05154430654900651,-0.011126411861370039,0.21530638465860177,0.08693850232599916,0.13678236092615662,0.08207279682864378,0.04785683018229907,0.11770840460381533,0.11771575290297286,0.06230837621715102,0.09802955518339063,0.0589881173201257,0.06974487299336415,0.11735209811162563,0.10821203220224818,0.09154447251168664,0.027024446880926117,0.1816957803450285,0.08343842495516984,-0.032036923091029006,0.27580256403612713,0.165945679128683,0.043033700779373095,0.07631736673742692,-0.10891080558654728,-0.04958293119295531,0.04596187345217871,0.1180576906063503,0.17200342384836603,0.10100141372513208,0.17087800386537233,-0.02594718503532624,0.21143235018154502,0.0022887072168415114,0.16673884634142536,0.16188904959511488,-0.022895931835741137,0.08378189379002912,0.06121957295713045,0.18976761908622847,0.029874709028712327,-0.05031546524694947,-0.13348216734407686,0.11851476703389928,0.09225109677121188,0.12124396372063621,0.142237737068697,0.12781381245278378,-0.1213882371903708,0.16632208389688483,0.027613055238038458,0.060770993203289464,0.18981360810077136,0.02405219564791887,0.2052938298100995,0.13944225151777198,0.1405276950852534,0.1998124324033484,-0.04208651348490024,-0.06530616293090956,-0.12600770088575242,0.5826747045669535,-0.02305086839919771,0.2377288063413665,0.2394902668694256,-0.07608322209800693,0.08798104859301013,-0.007521665452371916,0.15409110269075946,0.01984203428554812,0.1266005246372176,0.1009356638378272,0.031096033004998608,0.27319535670619294,0.2753262417918929,-0.009958416453637186,0.15257073812913755,0.11823213032784953,0.026487099314066627,0.13224356326092657,-0.048031361647171804,-0.02737713370718935,0.05812371352559927,0.14333346371088715,0.03596946450667705,0.09298664023249453
