,Thal_PuM_R,Vermis_6,Vermis_7,Cerebellum_6_L,Frontal_Sup_2_R,OFCmed_L,Thal_LGN_L,Cerebellum_4_5_R,Insula_L,OFClat_R,Cingulate_Mid_R,Amygdala_R,Fusiform_R,Rolandic_Oper_R,Vermis_8,OFCant_L,Frontal_Inf_Oper_L,N_Acc_R,Cerebellum_Crus1_L,Frontal_Inf_Orb_2_R,Heschl_L,Supp_Motor_Area_L,Thal_MDm_R,Thal_PuI_L,Raphe_M,Temporal_Pole_Sup_R,Precuneus_L,Thal_VL_L,Frontal_Sup_2_L,Temporal_Mid_L,Thal_PuM_L,Temporal_Pole_Mid_L,Putamen_L,Cerebellum_Crus2_R,Thal_IL_L,Thal_MGN_R,Thal_IL_R,Lingual_L,Cerebellum_8_L,Occipital_Sup_R,Precuneus_R,Pallidum_L,Cerebellum_8_R,Vermis_1_2,Temporal_Pole_Mid_R,OFCant_R,Calcarine_R,Thal_MDm_L,Occipital_Inf_L,Olfactory_L
Thal_PuM_R,1.0,-0.5255857580125676,-0.12596828508968166,-0.23748669735777225,0.8362374245124614,0.10821203220224818,-0.0572141234097234,0.719573421075722,0.6419815598206118,-0.3614622637012243,0.6230107212161062,-0.0723418436871386,0.4343010569131146,0.8510545199472566,0.188339477429984,0.007122732302711871,0.566986186554859,-0.009994251021312841,-0.3735643823735707,0.5842734584562823,0.21910254788681627,0.5211058240135895,0.4566277268400641,0.7571898594363115,0.6783694009696026,-0.01594395899386237,-0.14651875834320943,0.7560880782966625,0.5612657821404604,0.41857035245410906,0.607234966684803,-0.03064271036894056,0.7565801339723423,0.3436830550449358,0.16095199264937313,0.5482867629820352,0.6512582525743956,-0.4146605266000127,0.05196800038360804,-0.6437979968298312,-0.15048357675053756,0.512301990766772,0.45008065935834457,0.8109819602364751,-0.1594285917552751,0.2237907153876627,0.3177280688319301,0.3475360894820619,0.020775208026788963,-0.149158358876549
Vermis_6,-0.5255857580125676,1.0,0.3397810646879265,0.5160931316603313,-0.4354471434652627,-0.048031361647171804,0.19193794599345507,-0.24949765937734228,-0.21087201686924362,0.36261953595649216,-0.1368259155665904,0.11248107767489013,0.10201567127497763,-0.5099316222959944,0.07112445919808848,-0.08259467325650019,-0.21574221145525388,0.03591987153914871,0.5465833525687741,-0.34090028991996035,0.045770956472486544,-0.027546195231569405,0.05894484831666947,-0.4729203688967975,-0.4730222933941838,0.03660161903558685,0.4374517988116997,-0.2509991861033037,-0.012254945610118204,-0.2868073713199646,-0.22865523556056858,-0.027245840666674515,-0.38946812247671264,-0.27145640439687085,0.04271336809921095,-0.2296007792715134,-0.16472904666371155,0.655265341128504,-0.11681279432251133,0.5337724684780926,0.47341914216332365,-0.3019465668636602,-0.14908387528141268,-0.5357414263456155,0.22307038011715385,-0.1952205185648622,0.10529522615955006,0.14201928499965152,0.0350582373626288,0.08955294879167079
Vermis_7,-0.12596828508968166,0.3397810646879265,1.0,0.18232397606493064,-0.14016457136008995,0.01984203428554812,0.13689539854852503,-0.10343287857706145,0.06075219649603851,0.08520202805298467,-0.009536906581697261,0.12606036665848647,-0.06924386519209415,-0.1496969581905902,0.01818098998416524,-0.036077985738445416,-0.013436316545975033,-0.017194715034507164,0.22466932407375387,-0.2006298591898135,0.11972905142559821,0.04156480086724358,-0.11218221600304834,0.03067780404024311,-0.13782412132358152,0.061190171714047344,0.23528444511512536,-0.09939660649750336,0.0031201701139037417,0.08575747445045771,-0.02640760880347761,-0.14209071366420375,-0.05028788352925044,0.0044553483555334296,0.042568794563860805,0.04588346326052722,0.06700316560804995,0.2490810288922336,-0.030563780796642525,0.2603498932073246,0.2267994905335238,-0.035152061552701314,0.11442181006165186,-0.11026824869790604,-0.0317803189138797,0.22748842586200355,-0.026849396810420728,0.022344182440969928,-0.09217770602995042,0.011419338946181024
Cerebellum_6_L,-0.23748669735777225,0.5160931316603313,0.18232397606493064,1.0,-0.17320928707357672,0.2104932587054735,0.13637700590075166,-0.09840631129593568,-0.07835680837263974,0.21743825506049605,0.028027674973123102,-0.05354418568653902,0.3288059105688257,-0.18333706927026266,-0.007229923705198122,-0.183434876923375,-0.19862522749054856,-0.034747051777581674,0.2977755979429491,-0.2526249888292626,-0.1498203290843212,0.11771253052480277,0.3807430175707514,-0.3411815255825569,-0.3271012847006187,0.13286590356292632,0.2612758698586099,-0.09110273302248877,0.17708061077186993,-0.32815297853306785,-0.12240298885842323,-0.2103523448905379,-0.17004326655040103,-0.5374312910669563,0.007492416437505093,0.14021754660579447,0.05220964602181481,0.6319345492947835,0.42659677066975965,0.2616037388086117,0.23683192336140552,-0.09712543235275455,-0.13086950036524034,-0.235510239844272,-0.10470450387109566,0.0487059763696844,0.05285106146076775,0.2268024897380355,0.01593796103971749,0.04775484136497645
Frontal_Sup_2_R,0.8362374245124614,-0.4354471434652627,-0.14016457136008995,-0.17320928707357672,1.0,0.04194386210128084,-0.06709369494755987,0.6306190424132767,0.6257515406079591,-0.402108214720888,0.5935793220746924,-0.08351722522012468,0.41112389901160923,0.8390110256697985,0.12766362661713748,-0.05596386399063516,0.6119602703640545,0.021704376114322688,-0.2781944388021679,0.6213624658021812,0.25907009863943276,0.5563873335928339,0.3855816145815678,0.6212582108777467,0.6382849814619838,-0.04669704743091886,-0.23519574419108044,0.6919360159586718,0.6397715015289548,0.3949618546061514,0.5077555747027648,-0.0488345725073353,0.6875673873928595,0.1969948772601053,0.11130295471840407,0.5057472697757941,0.5521169106725042,-0.3174076353683348,0.11255454861633632,-0.671817520849748,-0.2486235479682972,0.400038272244014,0.40569545249038064,0.7253773187325343,-0.14586407941096008,0.15325912324258137,0.21656103587259604,0.2418137998164352,0.08492969210182648,-0.2659527154891377
OFCmed_L,0.10821203220224818,-0.048031361647171804,0.01984203428554812,0.2104932587054735,0.04194386210128084,1.0,-0.014316416288916766,0.0716271990679033,0.043033700779373095,0.11735209811162563,0.18981360810077136,0.16188904959511488,0.1907462025140041,0.13678236092615662,-0.044331666691328785,-0.048847322313619816,-0.06274683311870348,0.18125380332644186,0.27580256403612713,-0.12600770088575242,0.026487099314066627,0.16001809474195056,0.2262890954673906,0.04139965665787276,-0.02594718503532624,0.08378189379002912,0.16351796605522692,0.1405276950852534,0.1623560444028575,-0.007521665452371916,0.19186174811191717,0.060770993203289464,-0.04208651348490024,-0.02737713370718935,0.08207279682864378,0.142237737068697,-0.03083055323939053,0.12781381245278378,0.06121957295713045,-0.047142418281118835,0.13224356326092657,-0.07370670988207544,-0.10684830087833744,0.0589881173201257,0.031096033004998608,0.1816957803450285,0.07631736673742692,0.15257073812913755,0.08693850232599916,0.1998124324033484
Thal_LGN_L,-0.0572141234097234,0.19193794599345507,0.13689539854852503,0.13637700590075166,-0.06709369494755987,-0.014316416288916766,1.0,-0.28541995542302095,0.1843730593685725,0.45359340334126064,0.22899116390051105,0.1547209193622055,-0.152345924491787,-0.32396376814738104,-0.057466805756978545,0.06164352529325756,-0.02421036511843059,-0.0020497039764590733,0.29312147206557476,-0.329542242531744,0.4823567820171042,0.38165641845590575,0.178853364955972,0.0726237471292038,-0.41832849046376064,0.10529682125808525,0.3685291915798415,0.27243694478648617,0.3416436146070535,0.03364620008263082,0.4292967232485794,-0.042156604329832044,-0.11729790565855083,-0.07074467436354487,0.48422702248590493,0.10597412979310034,0.02474411818089751,0.2897938776309896,-0.11975695790395818,0.2851080280279933,0.4535762559525134,-0.08407094860464243,-0.024347835486192244,-0.3225968954405785,0.12599956172306379,0.13968803167349642,-0.19638470727373813,0.47221108642615045,0.19184802844939725,-0.07076908204447713
Cerebellum_4_5_R,0.719573421075722,-0.24949765937734228,-0.10343287857706145,-0.09840631129593568,0.6306190424132767,0.0716271990679033,-0.28541995542302095,1.0,0.3585915124294529,-0.511669891644735,0.353439805666354,0.08134862033389888,0.7655070707783513,0.8076274689176753,-0.025117680824079038,-0.11587351284648431,0.32800798365699857,-0.09984022175344881,-0.24204893838537211,0.5716199478497984,-0.09212271883196177,0.3514269732172295,0.4037368969473734,0.3981159149505919,0.823990057351193,0.20887293429878473,-0.04316450880831244,0.5129860896882793,0.36347039560196626,0.3415258832886263,0.22446274890382603,0.1720756386959744,0.43519282836387263,0.2805281807395353,-0.040855106411373944,0.395647827379921,0.4966210108336132,-0.19341838746089146,0.16214439988861834,-0.5429118753508322,-0.12895617619050304,0.1895011644908804,0.2462552450682522,0.8273864427577854,0.021090817577571867,0.013670433073740273,0.6968324012138765,0.213964769021302,0.0858872637191478,-0.19238446983709057
Insula_L,0.6419815598206118,-0.21087201686924362,0.06075219649603851,-0.07835680837263974,0.6257515406079591,0.043033700779373095,0.1843730593685725,0.3585915124294529,1.0,-0.16463777097511342,0.7334822942312802,-0.06605062218089663,0.19288125502626793,0.42746215819619243,0.13639136683474112,0.08585097474288955,0.6795337239235463,-0.13532279797999994,-0.12218646640758064,0.38760974732081954,0.5316481786074071,0.6829364060270099,0.5711817486058278,0.5657188658675433,0.3171170783246549,-0.033088777342557864,0.18459389934777215,0.6908788497551095,0.7385966382514569,0.35737509432672326,0.6282115205097343,-0.30722748399864935,0.7788306338428684,0.018896885054392482,0.41853233411044194,0.42749434854962776,0.44547651140504957,-0.03239332024358389,0.07319381248661513,-0.22013051873466366,0.2442258213241823,0.6644068209897218,0.32587320710167655,0.4715830679273175,-0.051583994936612976,0.07536956743226442,-0.003917805449075419,0.547234829060961,0.08124380645082485,-0.010813212659345576
OFClat_R,-0.3614622637012243,0.36261953595649216,0.08520202805298467,0.21743825506049605,-0.402108214720888,0.11735209811162563,0.45359340334126064,-0.511669891644735,-0.16463777097511342,1.0,-0.0734240608997156,0.09474875620086666,-0.31029432368493987,-0.48923821486779184,0.1285074948515903,0.06818754000130038,-0.2634260487028425,0.055789848522914375,0.3227011859813359,-0.4535253917088003,0.23371841325012152,-0.019545100705865515,-0.020282934933790776,-0.16277407779217035,-0.5182201746647437,-0.10958271993594551,0.22054866827415923,-0.03690191698126187,-0.09905970530876484,-0.15989487172342523,0.12636385730589608,-0.11836892846363842,-0.354131485906519,-0.11602577066351596,0.2597182860726924,-0.1578072799262468,-0.246266863164716,0.18857945090726344,-0.18794115119865812,0.2959507851963501,0.3023134514026365,-0.23441445096489127,0.0033189369865622375,-0.5159371788884254,0.15884484308451008,0.08065118030061902,-0.3056624918401837,0.19039318830862037,-0.06650625972020877,0.21427249504762644
