,LC_L,Thal_MGN_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Red_N_R,Thal_AV_R,Thal_VA_L,Thal_PuM_L,Paracentral_Lobule_R,Thal_LP_L,Amygdala_R,Temporal_Sup_L,N_Acc_L,Thal_LGN_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Thal_AV_L,Hippocampus_R,Vermis_6,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_10,ACC_sub_L,Occipital_Sup_R,Vermis_9,Temporal_Mid_L,Thal_VL_L,Frontal_Med_Orb_L,Caudate_L,Frontal_Inf_Oper_R,Cerebellum_3_L,OFCant_R,Cerebellum_Crus1_R,Thal_VA_R,Amygdala_L,Frontal_Mid_2_R,Frontal_Sup_2_L,ACC_sup_R,Temporal_Inf_L,Vermis_7,Rolandic_Oper_R,Occipital_Sup_L,Thal_PuM_R,Thal_IL_L,Parietal_Inf_R,Thal_MDm_L,Vermis_8,Frontal_Sup_Medial_L,SN_pc_R,Frontal_Med_Orb_R,Pallidum_L,Rectus_L,SN_pr_L,Postcentral_R,Cerebellum_4_5_R,Lingual_L,Red_N_L,Thal_MDl_L,LC_R,Rectus_R,Thal_VPL_R,Fusiform_L,Vermis_4_5,Olfactory_L,Thal_PuI_L,Frontal_Sup_Medial_R,OFCmed_L,N_Acc_R,VTA_R,Cingulate_Post_L,Paracentral_Lobule_L,Temporal_Pole_Sup_R,Thal_MGN_L,Hippocampus_L,ParaHippocampal_L,Cerebellum_6_R
LC_L,1.0,-0.1369818681588133,0.39065480349767245,-0.17673387358452722,0.02687356242712922,-0.27326753791229696,-0.07708764639002744,-0.047648962380793865,0.056981032965355706,-0.067825837373988,-0.23881643523251117,0.10905471569342993,-0.12219637031621622,-0.22165375674326437,-0.2672901073323139,-0.13923163469280378,-0.402910062739531,0.3167565286368783,-0.051941211236040744,0.05315278669601297,-0.2547357010237146,-0.12839390557868874,-0.18023289540434287,-0.21376826246431835,0.05415379696908114,-0.24325932412633514,0.3850885348126885,0.028094005036509828,0.049799780774677546,-0.13979104740968618,-0.5175189818713927,-0.10031401776774404,0.19383239167867936,-0.34020836747025246,-0.4473444204999374,-0.16266884889927694,0.13071853405008124,-0.08109990767276953,-0.14616898581195797,-0.36191187315125545,-0.11346392396626992,0.21216673156417443,-0.26408515645274544,0.007531908818050748,-0.018483307610137518,-0.03758295603670473,0.036122855716076784,-0.42896104193607815,-0.04744241670477889,-0.27803639222854065,0.028766184317463646,-0.3022681232448963,-0.07800305032172444,0.08995016603531909,0.03307761466880563,0.15566618318748673,-0.12719220720142632,-0.034423088884947516,0.02474994871421495,-0.10825190614322869,0.1683543529043415,-0.04215927717323999,-0.12920326533953755,-0.35327148151113696,0.325723876125319,-0.1773988032675399,0.03254905418307045,0.13574493113521044,-0.21951000718733227,-0.1757841361028144,-0.5103946196930114,0.09936552772009352,0.016004494858804192,-0.33284383630939873,-0.10990161261538683,-0.032036923091029006,-0.01707423811372215,-0.08731950839111438,0.042043136403286746,-0.04960595064887931,-0.28027223167524845,0.17361053462715637,-0.22438529428405005,-0.19598988920190297,0.3549387128567805
Thal_MGN_R,-0.1369818681588133,1.0,0.0043300920818901195,0.4347342242294645,0.21999424901592587,0.496816353479734,0.014911214834046687,0.12865504482968756,0.2133299966693598,0.46814430558644987,0.4725023311502321,0.5271290182430098,0.4964271311779205,0.4741056298075315,0.4022163727757346,-0.00569389180382919,0.2215324804201239,0.14098683958236144,0.10597412979310034,0.3557636811663655,0.35470048196974996,0.17713361737165542,0.42749434854962776,0.4850213886204495,0.43491969239467015,0.5711973054792843,-0.2296007792715134,-0.022929509475594002,0.03275947561980586,0.4245836366102402,0.07663909128611629,-0.07066832663408015,-0.2692624959057404,0.21142122356569945,0.2251096001568312,0.441467866184598,-0.15743669003402339,0.48071099496719805,0.4310353406749221,0.566053429077388,0.24118159132035047,-0.12048977195748835,0.5078872034860632,0.06754830107992518,0.4954543301430061,0.49695684593171896,0.2114570504619599,0.18832053219692493,0.04588346326052722,0.4795260411442936,-0.10384659401191815,0.5482867629820352,0.186538679701976,-0.0188784957649763,0.2830252364439165,0.10401021657270475,0.5673102762668277,0.5488025090619211,-0.05701880708223782,0.4431217624425627,0.14365919839334135,0.20592443022868326,0.5543961532368779,0.395647827379921,0.0075991317036719986,0.12903782886659945,-0.1486813741010519,-0.23413528602352537,0.2549101263250064,0.5947021631887711,0.22074352939682598,0.1428410895771689,-0.18249989052874213,0.48707156577306066,0.5381233504864114,0.142237737068697,-0.0015026005490703133,0.4860347056877256,0.12305109843952525,0.4219241723843878,0.08895565269205856,0.3375473318833951,0.5254196543581332,0.4794888225812174,-0.0917160123468188
OFCpost_R,0.39065480349767245,0.0043300920818901195,1.0,-0.2490412959668214,-0.020451073744689782,-0.10828820315319562,-0.11017694511750317,-0.09052087321173424,0.021174383534622733,-0.22244476628821003,-0.2605331203715495,0.16108854953253265,0.0937461602624794,-0.011009235513112543,-0.16594940088119603,-0.05164185771822682,0.021191407064334197,0.34089175299546265,0.13006889248978293,0.233818038934042,-0.10758295394722629,-0.18939359089918645,-0.042663141538544426,0.07126775771862752,0.21154611927402694,-0.1420571935105064,0.18930242090073698,0.04974562471414203,0.04338781769088288,-0.21224733379475444,-0.3101688684538589,-0.09039204607924495,0.1383122614832355,-0.2637916518446382,-0.140308366391007,-0.017041364430375783,0.1397018888036544,0.03076873909008697,-0.11694405700034964,-0.2151255594325401,0.0244265429921688,0.06253729273368185,-0.19870174346633454,-0.09465203245401253,0.10938740380517922,0.022187832776132028,0.22954664921533485,-0.1765452148226302,-0.011503529945450645,-0.20417592525256636,-0.025187781492622786,-0.16552428239735598,0.011117734295599735,0.019280004316784897,0.0873403464271298,-0.03536602355232798,-0.036329881626404735,-0.07293042940184698,0.013636729530141379,0.05832530976356979,0.2180870831236534,-0.09767523524754117,-0.043105583415457775,-0.3573226844207177,0.06579024216945799,-0.010244843277503702,-0.0295026645862551,0.1397316697698253,-0.05398688523437681,-0.1584369839253337,-0.23367288828886998,-0.05589667679648822,0.17356025765993996,-0.0021247954595352316,-0.13930936693265109,0.005233357709785442,0.20007749902831634,-0.26248270433523,0.1242186058199529,0.05276446893369215,-0.2888348083510631,0.1843368384728082,-0.06549018825077914,-0.19892467815967707,0.10842210952166967
Temporal_Sup_R,-0.17673387358452722,0.4347342242294645,-0.2490412959668214,1.0,0.16183977213909329,0.8114873289556308,0.17068214831957412,0.027480237015037413,-0.16645846483481924,0.5259034912517404,0.6289884268510407,0.4463601395963937,0.14098780988703655,0.3777159147686065,0.4311173810546797,-0.07766583957534977,0.16343821625547175,-0.04584592967978738,-0.3665113423626066,0.10283899479412273,0.26907514358999957,0.5281714259054897,0.26836523329106193,0.35887350427803705,0.3836835207189918,0.6584824829128547,-0.3312619818559882,-0.21864409952102257,-0.12439749351673185,0.8103133242015484,0.5781454736299133,-0.07768751805570989,-0.5172107247957235,0.48151934557641035,0.15482018470982298,0.39945042713100176,-0.1913879581070697,0.5135809991305813,0.8055166126548642,0.7474939443822374,0.05121897998367977,0.09229856272853547,0.6688114407080868,-0.12387894254195575,0.44918337502171835,0.34983492781891085,0.34333375465467597,0.08050367268220132,-0.23001149211389968,0.8168665525392992,-0.30727274054926795,0.7312098233635512,-0.13498435832296393,-0.06165111486519226,0.1335488999101608,0.09285506694846617,0.5503201403213958,0.6632013498314627,-0.2322031351664854,0.2680006885642077,0.06695967074328193,-0.05679571325272662,0.5083848810150688,0.8314199741453274,-0.23976311914866433,-0.08762972643432634,-0.324516534730062,-0.23846215922793976,0.17931110530695918,0.7475252318149618,0.36572421054845455,0.23255730276625347,-0.1131516371962707,0.37217059886654347,0.5332587177724039,0.13909115536592473,0.02454529840769206,0.7728706018735484,-0.1821764698489219,0.12243489898635561,0.02550111133424734,-0.09048592359106253,0.478295857184559,0.46594476939106944,-0.30962374452781866
OFClat_L,0.02687356242712922,0.21999424901592587,-0.020451073744689782,0.16183977213909329,1.0,0.10605731479060836,0.08770697362672278,-0.1711091854150815,0.24937685386165037,0.36521352472374546,0.2943477082778576,0.20795497340254634,0.24401562273598718,0.2803311429651506,0.14059350989529085,0.18213921221240525,-0.020664291411300877,-0.06683734191304286,-0.004115049835248621,0.2057061113729388,0.10944373278824417,0.1160398043712388,0.2019535780486626,0.25811428047404916,0.04033965986432995,0.16764259128217876,-0.049734669665207135,0.12186209586860554,0.12076660013037395,0.2833101940464233,-0.04942484713560651,-0.008176378042594015,-0.08949802134996694,0.059635915726108345,0.03910614574632972,0.23206063761210685,-0.0532784785489168,0.10990996149961269,0.1478173872416847,0.1848902287948751,0.25835026713498666,-0.08230073118378006,0.11163026358764176,0.13053728217530428,0.11317955916559413,0.1994993935529896,-0.08504427534018037,0.12420373957493268,-0.06368628709856711,0.1673306671516692,-0.01297369276035001,0.17981410221470637,0.1704362733485974,0.20399350290185722,0.24406830113189812,0.05035274109034473,0.140150521364513,0.1786741470268422,0.0265279482163936,0.16406875758056383,0.18342310572068452,0.2882873914798949,0.30266191108105545,0.16145643767542026,-0.012912491241708292,0.17176661328474632,0.11005832576864936,-0.026801312483680905,0.30168512568134775,0.17806622599833669,0.15622601733183503,0.02277488647797223,-0.030154093735225096,0.19143263664209628,0.2471517824721256,0.36743678884372605,-0.006783204663945662,0.2615433185680523,0.16056505356472642,0.18304665652189483,0.34975879789193054,0.08701111080877487,0.2093655959099669,0.30937462987552483,0.12914877743449416
Heschl_R,-0.27326753791229696,0.496816353479734,-0.10828820315319562,0.8114873289556308,0.10605731479060836,1.0,-0.18888025573368233,-0.0025801929506100237,-0.21351894065967425,0.42922403734943493,0.5569749833840464,0.5785151874128371,0.31548926261827337,0.3885295442304122,0.4138344149410451,-0.18253828117177737,0.24878612556332266,0.10801642410937883,-0.25425606237230275,0.08792356104866543,0.3098784935306921,0.5561892933842917,0.3749221028657418,0.3426500511520673,0.543109371543357,0.7546658316508158,-0.5463852427988912,-0.42615565512508297,-0.38617957713526174,0.5504176989352437,0.5400752119920598,-0.1245302708112598,-0.6247114107914339,0.5748245268688603,0.2504261910133317,0.45829478939481466,-0.2793049286479417,0.5930443808562623,0.7148855608265325,0.7004103089024281,0.23275551986588044,-0.14812504720115427,0.8303752915177538,-0.07597360699267207,0.540143489699307,0.32265487580411484,0.47930185001177456,0.25736870964657915,-0.18374611939235957,0.8756137101400914,-0.4678062856530247,0.8343630825326617,-0.07836183795808274,-0.32394017552529863,0.062972644583732,0.12459766804395553,0.6101010073355665,0.7594422502139015,-0.25169304626851174,0.3951346823740112,0.05635715877356531,-0.07957164894112807,0.48869672690148724,0.6787674063575108,-0.4655438065511164,-0.0959707086490642,-0.5712203805627547,-0.1567889183916309,0.2503314332684899,0.792125191538533,0.4061734296038091,-0.039835656494523954,-0.15321635970756867,0.6182104312378355,0.5264659189850042,0.05812371352559927,-0.037595472699204706,0.7086802037186495,-0.29386270807808124,0.14718552476927402,-0.1365964193040011,0.05391714014733752,0.6228050802402547,0.5186543160038799,-0.4251493864162083
Cuneus_L,-0.07708764639002744,0.014911214834046687,-0.11017694511750317,0.17068214831957412,0.08770697362672278,-0.18888025573368233,1.0,0.22878489346845907,0.09836772839838741,0.11815182687179601,0.013430605893377395,-0.13217881759727168,-0.016695429233786713,0.23802684329254278,0.1509270380162211,0.293568367840641,0.029976732129409583,-0.11777432666497238,0.1316579422680748,0.20853758748291643,0.007861186143779795,-0.12351524179922677,-0.09467093035784124,0.25967203804974365,-0.03357484557512482,-0.07473144113532557,0.30329413310073355,0.4877275663919889,0.613130902795738,0.4388221632396546,0.15678550748908968,-0.1523816952876816,0.26730843099627777,-0.1850261559725519,0.12512721869237156,0.1667042771281824,0.11004248488579305,-0.12370540191249858,0.17625576523929654,0.2783983360486674,-0.08709172531202043,0.3154861489815441,-0.19889116949314678,-0.15790993680981683,-0.03990134781428782,0.17746710490399725,-0.33507566961307544,-0.09521720410460312,0.05756744741361355,-0.08303872581911072,0.4258711919113476,-0.03588907355035101,0.11698729744008633,0.5797468346238764,0.3109475821477976,-0.08694756701569178,0.032933565808162285,-0.15526373561515053,0.2576014665808671,-0.16091523899018967,0.07755165818118961,0.323488613759324,0.22586535840096028,0.27596226162190146,0.39694912390304854,0.19958165806432607,0.5627868784096881,-0.2227126182504478,-0.00764349479509525,0.03143167217247403,0.17972490230152707,0.5158545541364058,-0.01411083051421862,-0.17525449377951582,0.13809693113998922,0.15624496097641744,0.07198377114146681,-0.039055384763306035,0.3787533126772723,0.13767793944369727,0.4034617263010415,-0.04971801190715317,-0.14661332896686982,0.14939811634361339,0.182029373522187
Occipital_Inf_R,-0.047648962380793865,0.12865504482968756,-0.09052087321173424,0.027480237015037413,-0.1711091854150815,-0.0025801929506100237,0.22878489346845907,1.0,0.03618057174752126,-0.06139464698922253,0.019490965382223044,-0.024369155368843164,-0.14778885298738925,0.049017522024006194,-0.005773501793493946,-0.1515862677827434,-0.036227305991587355,-0.03488767938116531,-0.05964085705624712,-0.041793281702630976,0.05777356808599058,-0.12373107988318796,-0.007653641734056278,0.038262385451841595,0.038544198202790585,0.023311254646184335,0.02601297549226192,-0.023219364347606325,0.059846698544366896,0.06925943265178099,-0.027804402782850346,0.056392478079758224,0.12411056281739215,-0.011112922009079934,0.08058243390995291,-0.08622087362367127,-0.06109775395844228,0.07143600625134656,0.11149471756764195,0.08574441495635352,-0.09659356539105465,-0.0737000331984934,0.04614342144950909,-0.14489154796893747,-0.002745473142925557,0.06092819422717152,-0.09137644194785426,0.02555837500305095,-0.03215002304709443,-0.03713642521704252,0.12006081125916768,-0.06443209351870584,-0.013379691514283197,0.05577387434997501,-0.051513432706418325,0.0009772615420142502,0.13272810162956386,0.005780101617687791,-0.03716875059678046,-0.00947748560540556,-0.03342742512977188,-0.015508757343001767,0.0398219511157223,0.03284055311591006,0.224025584554727,0.14303005496131418,0.058405239463363595,-0.25204651986781734,-0.046069215151386116,-0.01301620371405221,-0.06290978411108787,0.15398798922329462,0.04215485961395849,-0.10624728904003143,0.1279375361900583,-0.07064573795287879,0.020468096286652356,0.008441261137306614,-0.01914299370726251,0.10704206568382409,0.06952781460308866,-0.04002237285159023,-0.04573910222507199,-0.03739389065087876,-0.12292664654773774
Temporal_Inf_R,0.056981032965355706,0.2133299966693598,0.021174383534622733,-0.16645846483481924,0.24937685386165037,-0.21351894065967425,0.09836772839838741,0.03618057174752126,1.0,0.12757678995375243,0.05097346917361686,0.01605696162145203,0.22124341758471192,0.09783631608133112,0.008676210838046481,-0.0348972311392046,-0.1338795155860253,0.037165358351812346,0.2972912961350381,0.20266721368119528,0.09226480893072073,-0.31235575559932954,0.13192692568769415,0.09493070506478259,8.70206218059923e-05,0.12058970506778761,0.05974630035043533,0.22367352200161406,0.24698938546194918,-0.01071633109053818,-0.30456491146559667,-0.06231448286035947,0.23745933719089538,-0.10044525639756198,-0.06996215945554987,0.021954905474102906,-0.0008096613048387644,0.0037581663863781836,-0.07237457008165181,0.0015152214775022168,0.1800366254025875,-0.05910630877139739,-0.21067603779504418,0.04042395354281246,0.10393891829365992,0.1741810906859981,-0.0023831299638253233,-0.005414348659984291,0.12421796135068132,-0.18281094797240577,0.17134728661333154,-0.07415407686242706,0.24867657707179575,0.20224005994111818,0.2851576804762473,0.01142888480904751,0.033479989383139605,0.04427017321124707,0.25340872841022516,0.06250874038140561,0.28522193268414037,0.2552932600597867,0.1470995973191828,-0.20084531836088423,0.37393109952765385,0.25229193760291385,0.30592397005938,-0.034578755962057735,0.013546634811964392,0.0013790888195701527,-0.26140141977752096,0.041936335210705375,0.0839846629019468,-0.11936800471278597,0.037521119458039126,0.30273835177166664,0.0042655191168610935,-0.013459522100111938,0.2348238480188644,0.2604107045956738,0.1534496280611052,0.28437935944659815,0.007635786869987255,-0.10770620364539629,0.06643168510250035
Red_N_R,-0.067825837373988,0.46814430558644987,-0.22244476628821003,0.5259034912517404,0.36521352472374546,0.42922403734943493,0.11815182687179601,-0.06139464698922253,0.12757678995375243,1.0,0.7664820071441503,0.5273932045949423,0.4358197109996751,0.5053231889313778,0.6215776284373392,-0.07752458165723257,0.16423775298856308,-0.09842857221453155,0.05294352995401297,0.4582057357759932,0.36984910664279014,0.39838616187196296,0.5975047032911214,0.569651563162422,0.21575975112961474,0.6155940133132831,-0.23190299504168552,0.1458173033469053,0.1455087188866771,0.6615729977150333,0.19035562597049824,-0.0338816168635746,-0.36410220100959784,0.2233459058793599,-0.00013226648393667009,0.6193773311548049,-0.062097888616847764,0.5543302626466255,0.46209914925369466,0.6150606160125583,0.01066530351740617,-0.0006062776569526944,0.524200487312486,0.03789093874750136,0.5181453465111442,0.607148228136908,0.06032887951524728,0.11665886994441162,-0.16487303433395528,0.5330946692940554,-0.22167347774440177,0.6208603456247866,0.18970275150198682,0.16108117395440832,0.5470178641877015,0.22581233444546595,0.6139339911874956,0.5593057749225359,-0.11275703556173312,0.5011705446020507,0.022113250310534682,0.44601377020797045,0.6062075889141261,0.558334706293358,-0.08945304388442941,0.26029151807877365,0.016365155639665844,-0.18611316938191275,0.14478927131439098,0.6956490405306298,0.3199005350076762,0.1566144337604759,-0.10044059503121082,0.40640873407933104,0.6618473477963053,0.16673884634142536,-0.33333601482086256,0.7483183668494132,0.11447339512888036,0.44556826510308056,0.21204341722887754,0.23644492700818256,0.6197542190774842,0.5643673504813511,0.049135121185560876
