,Angular_R,Thal_AV_R,Cerebellum_9_R,Parietal_Sup_R,Raphe_M,Occipital_Mid_R,Lingual_L,Thal_LP_L,Cuneus_L,Temporal_Pole_Sup_L,Thal_LGN_L,Thal_MDl_L,VTA_L,Parietal_Inf_R,Red_N_R,Heschl_L,Vermis_10,Precuneus_R,Frontal_Sup_2_L,Thal_VL_R,SupraMarginal_R,Frontal_Mid_2_R,OFCmed_R,SupraMarginal_L,Occipital_Inf_R,Occipital_Inf_L,Vermis_7,ACC_sub_R,Putamen_L,Insula_R,Cerebellum_9_L,ACC_sup_R,Thal_MDl_R,N_Acc_R,Frontal_Inf_Oper_R,Vermis_6,Temporal_Mid_L,Cerebellum_Crus1_R,Rolandic_Oper_R,Hippocampus_R,Temporal_Inf_R,Cingulate_Post_R,Thal_PuI_R,Supp_Motor_Area_R,SN_pc_L,ParaHippocampal_L,Fusiform_L,N_Acc_L,Frontal_Inf_Tri_L,Thal_LGN_R,Vermis_1_2,Thal_Re_R,Olfactory_L,Cerebellum_8_L,SN_pc_R,Thal_PuA_L,Raphe_D,Thal_VA_R,SN_pr_L,OFCmed_L,Amygdala_R,Cingulate_Post_L,Insula_L,Pallidum_R,Thal_IL_L,Rolandic_Oper_L,Cingulate_Mid_L,Vermis_9,Frontal_Inf_Tri_R,Thal_AV_L,OFCant_L,Frontal_Inf_Orb_2_L,Thal_VPL_R,Cerebellum_3_L,Precuneus_L,Vermis_4_5,Frontal_Med_Orb_L,Thal_VL_L,OFClat_L,Cerebellum_3_R,Thal_MGN_R,Thal_PuM_R,Olfactory_R,Thal_LP_R,Cerebellum_4_5_L,Temporal_Sup_R,Heschl_R,Vermis_8,Occipital_Mid_L,Paracentral_Lobule_R,Caudate_L,Putamen_R,LC_L,Temporal_Sup_L,Calcarine_L,Thal_Re_L,Frontal_Mid_2_L,Parietal_Inf_L,OFClat_R,Cerebellum_6_R,Cerebellum_10_L,Cerebellum_8_R,Temporal_Pole_Sup_R,Cuneus_R,Temporal_Pole_Mid_L,Thal_PuI_L,Frontal_Inf_Oper_L,LC_R,Postcentral_R,Cerebellum_7b_L,Thal_PuM_L,Precentral_R,VTA_R,Temporal_Pole_Mid_R,Caudate_R
Angular_R,1.0,0.251326512072654,-0.2498048014710707,0.5532393106575454,0.1944370909542537,0.6048033536826124,0.3192112314124269,-0.2454392698907511,0.5450916887954972,-0.4563588137419855,-0.4242359566993091,-0.1966254575873073,-0.1869366663391743,0.557319651025044,-0.5701526154974816,-0.3565435558298455,-0.2888713534787303,0.5493140004319015,0.19491219842464053,-0.2876225628296936,0.5060737475532268,0.017032073492316512,-0.33711756580462665,0.3654272843691887,0.46951656913068585,0.4473445362310904,0.11094178519251542,0.10682687733640524,-0.10807202809658102,-0.20871545485977167,-0.0636757267110949,0.16578470142462515,-0.06527809799307603,-0.3872481291162098,-0.1574277099287788,0.5604859336300329,0.044490869856311836,0.37977970781985865,-0.22343100470837168,-0.36914993630390225,0.30989795908063494,-0.1790146930238668,-0.48276440661826586,-0.2656202001111224,-0.13219691795023317,-0.38474915559744677,0.14857224383557036,-0.42375284192210844,-0.17685468636741386,-0.02172746589990123,0.20926679921780372,-0.24717075139374092,-0.16512037627119816,-0.06656328067573213,0.18180353263415305,-0.4396268451297359,-0.4377172314000778,0.04571087029981844,-0.06642808546288766,-0.4578594246928489,-0.28428917400485604,-0.2752629201960307,-0.48289779527345034,0.21360401245135127,-0.2892843524779239,-0.4598484483793377,0.13752756838308658,0.30625364079435885,-0.055690626558219346,0.04159002138102747,0.20818514310728012,0.33955369465864615,-0.22831859887019207,0.15910187981447654,0.5732186491071066,0.3088491780048488,-0.38230734589264703,-0.2792387481010966,0.38870035536693937,0.2576328804157141,-0.5229212936555782,-0.41168932153327625,-0.2523432782146773,-0.03149605459109355,0.3481664464495723,0.2848074028713244,-0.3867344539290118,-0.5528424938290479,0.4662815511876052,0.05486400606767254,-0.008005042158713479,-0.13952114170329666,0.3603709690507353,0.03860453895672292,0.5174089666995582,-0.09018900616723181,0.00025159207571790626,0.41965568781633816,0.2726828642556444,0.4146205428444465,-0.3690153815305323,-0.10270191230125783,0.02127221885644418,0.5611090294976436,-0.08732739943237235,-0.10698787206914562,-0.31408073136551645,0.3708061056339771,0.25295162082135625,0.12615260402891654,-0.48255218831648006,-0.22841402095992847,0.5192832220809749,0.2665120442861353,-0.27084059664121457
Thal_AV_R,0.251326512072654,1.0,-0.3338447870292123,0.332181118749327,0.23404081856649142,0.30872949941834527,0.5821685123426719,0.48855736401724875,0.33030278260472745,-0.4154056308706103,0.11420320782461246,0.34909241490960013,-0.21881129898229618,0.3571658301733054,-0.1775435653800486,0.19579732626025836,-0.39882974943090366,0.4443152473476583,0.3981122404035525,0.4163561014743174,0.5051269127701474,0.2851090351780505,-0.2320649100383465,0.3752456686712794,0.4273962150183958,0.217046077639517,-0.013289542392790038,-0.2472781087696993,0.35419483775882604,0.030499058996345994,-0.2929837536368313,0.231260017339706,0.5346717842381652,-0.17830651668544115,0.46684506564230704,0.40185093813213313,0.11483072158214566,0.10150219540574215,0.43778486497105246,-0.06575193336419195,0.26670078016066834,0.17153852548539408,-0.13865312356090745,0.415449032399545,-0.1387513780382985,-0.028915579358502468,0.4033660070104326,0.006528012335419582,0.43237373310505894,0.11121829343278643,0.44603977015322466,0.07283555602315159,0.24814062420566496,-0.11688497999207127,0.10684548107557497,0.19202430381760413,-0.25385439744761285,0.4340803073688193,0.14216492257591257,-0.17422017626361444,0.0614438032305667,0.3558463971935525,-0.054902312601504195,0.2834918952377551,0.04852672911389265,0.24949393257008406,0.3655208556976713,0.1568486855979418,0.3652662567128701,0.6083906650197396,0.44084172332483357,0.5163364492758411,0.44279906684457937,0.4731410373353243,0.4040684322000315,0.4851037496089892,-0.29636932265072086,0.4129644827079495,0.31465058241413285,0.1325234902027012,-0.35048532902727036,0.1932617964674748,-0.02967618019161338,0.2403776100992856,0.546257025128967,0.5734118523608391,0.26228102237993356,-0.4354980040743794,0.24800770703818714,0.41948081817792005,0.09401817850080604,0.15167088683850985,0.443732000808353,0.3281066877449325,0.4667233157532453,0.1176905113945174,0.46680888252729374,0.4625032949050129,0.1625790593473038,0.2833623085577583,-0.40325382835317064,-0.24964211946975617,0.27639606463350935,0.2582477419629246,-0.0317250257784252,0.2723237913494897,0.45017495682873665,0.36347591497482107,0.48974602134683215,-0.11584811362160469,0.14595925287734407,0.4076028160700709,0.3631102467445693,0.2778480106683947,0.21098329355625087
Cerebellum_9_R,-0.2498048014710707,-0.3338447870292123,1.0,-0.0676227560848335,-0.00987988907255148,-0.40495109301956367,-0.2435695880064593,-0.08328067960493542,-0.030150649360409013,0.5036368430831561,0.34166567982746227,0.10735920505288908,0.39541804455712704,0.038455377041888325,0.20151638506498343,0.261533742150883,0.5599570032507003,-0.05226278384356448,-0.08502059823948271,0.04099942122169012,-0.27140123681701267,0.11106632421496532,0.26110202421451445,-0.026277292820047295,-0.4957733342001302,-0.06033029403934382,0.013164417492661673,0.1347547117116137,-0.153206768598321,0.35430800178419974,0.7574846326057498,0.10265328371667586,-0.02715449684605064,0.45653653257369187,0.08667247451317542,-0.22152241576904597,0.29683314063149974,0.12735894825445132,-0.21477611751568895,0.627006519906136,-0.3943981619823181,0.20349288534884075,0.6083392146059655,-0.07715860387629078,0.3887691297528977,0.5569155900829558,0.16612838327586993,0.0710811789719281,-0.11197582241067976,0.3611867920395381,-0.2082045222584323,-0.1041947869632723,-0.10827842171857989,0.7976238824081748,0.06574075544935948,0.2396603988050451,0.4299600356503968,-0.0403325260970063,0.06049413805286504,0.154656744235169,0.33138807944654375,0.2018024047535331,0.40799630984515556,-0.0998736310606916,0.42247054370250814,0.15228745343361527,-0.1582227026475255,0.3383003207803568,0.11919094353998885,-0.15434563120375905,-0.6581005619818147,-0.18966608050614236,0.07162726536518421,-0.25633625924232034,0.016253640731083662,-0.2039374936335646,0.37736812305397216,-0.021889144585964065,-0.03881674090470949,0.30246424179719167,0.5660304422723772,0.289266701225874,0.258748199057346,-0.0864554784064871,-0.2135477573097177,-0.3550331743389442,-0.002707008727496324,0.6436147352823238,0.01999245938445058,0.1636604368854746,-0.006757695289119895,0.06057929586114451,-0.2526816403095851,0.17646787946733405,-0.21896321129707622,0.19768571050822764,-0.09806141574551551,-0.005305027751176136,0.2715426912086715,0.00432274800594255,0.6997018773324595,0.9221771565813637,-0.0779524838434472,-0.1214704353912905,0.19512498536798598,0.32299686126790794,-0.012223429350980312,0.0069269075590547135,0.026565196201838476,0.5282197054182888,0.3545584048712877,0.16093324184785507,-0.17610706585711755,-0.1455576813709501,0.3625918865106737
Parietal_Sup_R,0.5532393106575454,0.332181118749327,-0.0676227560848335,1.0,0.3439996188333474,0.4912470648448081,0.5999434968404664,-0.023769246065915583,0.7528750995457624,-0.590990553797903,-0.21631787283381085,2.696782448349687e-05,-0.12908358510091622,0.7683128118566734,-0.5663479001531896,-0.15193222815620286,-0.3181873940243702,0.7982960469840223,0.25130621241697426,-0.149256130009982,0.6633080476943679,0.05252474342614356,-0.4212553468207154,0.6577565794041823,0.4757888598363567,0.41512471223499153,0.0505201057292499,-0.03761949833543246,-0.033293096452469244,-0.24256418082465048,-0.10136364600146236,0.236515263093342,0.11932451044037036,-0.34532925862336983,0.18842779570650556,0.6554554059195273,0.1451562521424615,0.3409573087586989,-0.008515387682516052,-0.1373202632041302,0.12785138647457053,0.09771042113824387,-0.2695016261750025,-0.004510998059693503,-0.061916551094573696,-0.20804767169443955,0.4245363116453859,-0.4071715435499939,0.1010686234056064,0.167724025601674,0.40296750191971514,-0.16854271167102913,-0.0633325167797529,0.19286668534551704,0.322428313466919,-0.2195542610966058,-0.4278113833797856,0.24711952900865364,0.09983133981616746,-0.39543409531744694,-0.07202274847668327,0.14251137120250437,-0.4615633721229242,0.10806979010604911,0.001010120412526008,-0.1634740234351828,0.20401102727749795,0.5170059714117659,0.19771142751073956,0.2571408752875615,0.18028540859167858,0.5611885791349469,0.06708116107110004,0.4089141785856159,0.8174811303846069,0.46061847591358424,-0.4341063849852971,-0.07262600760111583,0.5070748819739447,0.34778864395998743,-0.4625025559043114,-0.11362701182588794,-0.17467457584436138,-0.08935812952176785,0.5714390950617234,0.3956943824641212,-0.1357093567733774,-0.50949015431166,0.5742122854949698,0.4494659726497112,-0.1632947042427888,-0.18066029748131582,0.5596441105738618,0.23965125764628326,0.6848711927658001,0.12553274803352887,0.1285064753649522,0.7298557398450702,0.34795984964055415,0.5608417752761802,-0.306776058522396,0.067210513021066,0.06936936373982633,0.6346877309695178,0.03605441452192981,0.20540636856099528,0.022450313365351807,0.5898876601053498,0.5977875820584648,0.24495778227513143,-0.21512435697249946,0.14454110744789983,0.615251472484671,0.4315204434682872,-0.13851871417494227
Raphe_M,0.1944370909542537,0.23404081856649142,-0.00987988907255148,0.3439996188333474,1.0,0.03387452662900866,0.4090507483732896,0.3066987117782472,0.37928252582908795,-0.13738070548904774,0.30521235780394473,0.45990034246247424,-0.11875632635075092,0.37404930198333475,-0.08457893285986451,0.049644587128299625,-0.017448815258030104,0.4800587467407024,0.5833193658544429,0.28193839544772187,0.22975845443609627,0.19100451113961936,-0.027057374918764282,0.317458828508297,0.040483624583233714,0.3637178993590228,-0.33618028535559996,-0.032261226915048694,0.42937811048745045,0.07104203534060315,-0.08732062424074405,0.7029563977645928,0.46499630264533276,0.12664117330025224,0.12444258211537645,0.32613171712063094,0.579863050097398,0.20061877374017453,-0.058030603939132806,0.15384328117364734,-0.10735297720186732,0.3812280793909264,-0.038483733848017704,0.3726263055485786,0.21507551855677567,0.2562681163864439,0.6538495226277682,0.15938691837503913,0.023970353540663177,0.3654406460300999,0.5825337702132047,0.4127083189775459,0.19343085715571814,0.25460158011175354,0.11287285618893832,0.057860684085762434,0.13456453010027963,0.29347988167849764,0.5682088564009528,-0.19760223488306786,0.32142064971615225,0.26852027685915514,0.17779485970888656,0.2968652291861106,0.3853147017686429,0.16437502146149113,0.48714638666897403,0.3040993482152982,0.0779683749030045,0.5979293396686375,0.23155364429020323,0.4367645279252499,0.4459182523166682,0.0698916379081406,0.36926930863810614,0.26105132098107936,-0.3213869231472909,0.3487434255946595,0.40855745807934213,0.49611368153091184,-0.16531528267128628,0.20005198222754417,0.17530981870348705,0.07638107156895248,0.4913211092977517,0.18838013377783966,-0.042928165237526565,-0.20174484064380926,0.16241403555948494,0.5289583462010697,0.2441424870862145,0.21258939599687546,0.4777528499374374,0.4487325279904675,0.3758047163751347,0.36930670088698314,0.4469189699077868,0.34094172998985073,0.38676694340035034,0.2050665600519997,-0.2166318717962993,0.042009738065626856,0.1763350263940603,0.3190708366135644,0.5047925087976778,0.46728430055982656,0.0979189782442288,0.4788389820161685,0.346821607255076,0.37349100234269034,0.09637171667828416,0.17552888939306951,0.2906641736478321,0.24074632490779077,0.31485190100894966
Occipital_Mid_R,0.6048033536826124,0.30872949941834527,-0.40495109301956367,0.4912470648448081,0.03387452662900866,1.0,0.44801535642215745,-0.13619544371777295,0.5824152331309852,-0.6419060476142373,-0.4570468994099822,-0.22585206792659798,-0.2960280172908304,0.5718629946665225,-0.5263343535674854,-0.28396694738397815,-0.42155807530253747,0.5465458921162246,0.02196066316600034,-0.31597516541386966,0.688374282094038,-0.07217418896455885,-0.338374223036841,0.5257190503870031,0.657814589456635,0.39993111966902334,0.10394685356469986,0.00806688392386944,-0.13818972280944333,-0.2583959905742603,-0.23269562722591267,-0.04088652007670973,-0.036820185046921514,-0.546887781655702,0.08652828002242915,0.6699680722697515,-0.24183312131847728,0.2693325918859106,0.026143399885159242,-0.4468632030781986,0.4585460118410237,-0.1571274462952559,-0.501253819620305,-0.26630586560347924,-0.24899761925678568,-0.4803273893387945,0.13151679699504296,-0.38837927489639956,0.06977909065268706,-0.04253344429607884,0.2806718052175103,-0.23983124373321726,-0.15808842976985665,-0.12488038084135178,0.20546004221581213,-0.37753875939020237,-0.5824099483769285,0.06765467322473688,-0.04182143453069807,-0.25760762909423635,-0.27131937951884405,-0.12179145663982476,-0.5621446862926727,0.03702612966738726,-0.3241211632925005,-0.2957766188080392,-0.07064133425461436,0.3141771482840688,0.10781619804732706,0.0726256839210314,0.3976237985723076,0.4075596155164545,-0.17166709628852542,0.5157739406819617,0.5814167432278544,0.3883242177342616,-0.3738786016714823,-0.24812824331576544,0.4013567431942215,0.13582646509639257,-0.6532355817244092,-0.35482397643538577,-0.2942346210087374,0.0017410148570337054,0.4598875738218218,0.4832043264200893,-0.20271439036019212,-0.6925470679129069,0.49055571694759154,0.04744077037766364,-0.27224461600946637,-0.27101894571600044,0.44967363092951457,-0.050827082198873844,0.5667767230907719,-0.05344179313855278,0.03258586001218464,0.49103841840011525,0.1808031052673811,0.44595423148141483,-0.4912491834554606,-0.21421437427054935,0.08009527667743457,0.5830175399625865,-0.24639368329326558,-0.06646847560116485,-0.051999854305613616,0.35073558343612454,0.3340254792037932,0.02502777194708063,-0.4327810268427357,-0.059303699949874444,0.49205899318337004,0.2402794689890624,-0.42122616732673324
Lingual_L,0.3192112314124269,0.5821685123426719,-0.2435695880064593,0.5999434968404664,0.4090507483732896,0.44801535642215745,1.0,0.3609035167613506,0.7239988159002733,-0.6758025564358441,0.07775835970131367,0.12895744892637437,-0.3464101004332734,0.7285003008138599,-0.343273097218184,0.1385143387360475,-0.4708364032530964,0.8199495728053489,0.332141347984697,0.07150335389448993,0.8220709821384908,0.19029156194094823,-0.3470084092044524,0.798055053348538,0.5315656606375301,0.4263508668254113,-0.2619468956667094,-0.10712728414368461,0.1321012679663971,-0.12867370691650792,-0.3745438975069919,0.22589774915773556,0.34350392350213815,-0.37789981739583206,0.5176333004801537,0.7412642432632998,0.21436855104295774,0.2412016057760365,0.4353585229418636,0.006182190677472795,0.1657952003075181,0.36705352921590956,-0.19621026519704232,0.3052459239641935,-0.13226230539555067,-0.09930487011844473,0.7193904545806665,-0.24447656770329168,0.4664485879829151,0.2535528715571487,0.7840729758211342,-0.03867123404954732,0.09381227466221732,0.17412672678826535,0.3346092571207974,-0.04897347462432693,-0.46285515813219114,0.3468588505168683,0.26677253814479207,-0.19132372571420644,0.11551963873197779,0.47273631762121593,-0.2522266031143866,0.11127540914964174,0.0029971165139748607,0.27143994266333954,0.32201494866382446,0.5345757914267183,0.4325754708130454,0.530868516574234,0.5045785103077934,0.828064696860183,0.38559153118326767,0.7994379762525877,0.7613714479537057,0.7532149546179655,-0.414858720416155,0.11649533090909038,0.6527534269478712,0.47829581417718536,-0.5681387884262978,0.1493687747018504,-0.13332901992829516,0.033309503018371774,0.8786661256165521,0.7284005387352225,0.20729514898233967,-0.5910380416424775,0.5118419358136462,0.6241244947536183,-0.21260492462352,-0.05550101353889737,0.8148444871228256,0.4660207556925316,0.8486791465280712,0.15842122859779736,0.38192843586212855,0.8072054069467824,0.39931621327499034,0.5114168321109893,-0.5512365180357357,-0.11303372920610048,0.3325374946980391,0.5781871793329787,0.03542284921231872,0.4000383115376734,0.45893086159569596,0.7526383147430354,0.7866771373749496,0.19139898882705816,0.03308794854896377,0.3918910801005991,0.5179270520414267,0.48061158146512767,-0.05550649477268438
Thal_LP_L,-0.2454392698907511,0.48855736401724875,-0.08328067960493542,-0.023769246065915583,0.3066987117782472,-0.13619544371777295,0.3609035167613506,1.0,-0.06816848742410488,0.012567797930473409,0.476607284904318,0.5447494139329249,0.08489867962569005,-0.04554222631243965,0.19611847646372352,0.5463734524767278,-0.08563267336390687,0.08604317830451265,0.5349078537782092,0.804186655730222,0.0460930333067025,0.4818868374314593,0.013916139357935127,0.017964412153522447,0.025894911824752728,0.1291272794529028,-0.10786155141917932,-0.33295635058685474,0.603358594962247,0.30713867387291194,-0.2003383031179667,0.21835846838397868,0.6193906211938454,0.1322876524681675,0.5856889727925707,-0.045182564580509885,0.2990895675731836,-0.02813912802015395,0.6654296725903808,0.2835674075985871,0.010236332066390425,0.3050067532225134,0.26605234058749666,0.7734235873668273,0.07413383706628306,0.3829168685247031,0.4821691315376831,0.23822907464935822,0.555878950500073,0.3315228955189388,0.3221195598671063,0.36725318896205633,0.3869423648099532,-0.053991967530599934,-0.054137205996422556,0.6771540778439863,0.24705538494481988,0.5396938336258759,0.3374064566147415,-0.011434120161896665,0.2983048344208533,0.6535720278107973,0.39883291767337486,0.4747605733215664,0.299645226514736,0.6413426842893681,0.5978056960131222,-0.08707122073305075,0.4887187137407991,0.5984782540685175,0.40091030830764246,0.27447948485803675,0.7564975602169647,0.2146908022659294,0.03323063470116303,0.23341498090773125,0.026991962568772114,0.7405903138855999,0.08705058363893176,0.07920438674226987,0.11849454228152825,0.592753498327813,0.11228948566686853,0.47096308649747587,0.3165880914289832,0.4242066118881986,0.578132271677157,-0.08181205494332365,-0.1636414052854813,0.48638352800465734,0.33696568503191254,0.5734084492749086,0.17261452393017493,0.5040130128738564,0.08991388869662957,0.2458786783713082,0.6723976962160965,0.08657114453753334,-0.002577664968636497,0.031511806659540696,-0.08564472377105459,-0.14236853381741824,0.28476432005106317,-0.11118980419386307,0.21116250028385167,0.4671254701151009,0.6576028942308108,0.2362916471178227,0.269477589308764,-0.09929741868225951,0.5883017253535223,0.5350404068704636,0.1557236328788488,0.1343599048059953,0.5424573412755174
Cuneus_L,0.5450916887954972,0.33030278260472745,-0.030150649360409013,0.7528750995457624,0.37928252582908795,0.5824152331309852,0.7239988159002733,-0.06816848742410488,1.0,-0.6948205621088749,-0.18578477819944147,-0.05754837691001113,-0.2580678216526266,0.9299460994251372,-0.5721117997353345,-0.14808983242217452,-0.29724464284029123,0.9089737766268272,0.2114004027878486,-0.2544618111573933,0.8683658789257868,0.07885166767408867,-0.33569638349793773,0.8839881881638689,0.5405887816293159,0.5400739473547297,-0.11244519161965452,0.0942587835658167,-0.12240910769562445,-0.15281314697718354,-0.06027347530184574,0.18699548824248077,0.15576464506778967,-0.4112096903343652,0.2845895949415952,0.8727991310281539,0.10561806291493435,0.39019624993986085,-0.02116412163883467,-0.13321414889936967,0.15700635736221014,0.12344325023261575,-0.2856964284954664,-0.12190557891561486,-0.02075095305328983,-0.266023387649682,0.5200823950913297,-0.4231960439690582,0.1838166760671062,0.215655239579376,0.5800500153546015,-0.2318380558035983,-0.1821615130757697,0.41549829683790523,0.35162125999234256,-0.28313332256331003,-0.5459872532694542,0.21247629997720263,0.2060554951834482,-0.2400217183296575,-0.03363007718585701,0.16785964004478035,-0.4411642361854494,-0.0033204080960991277,-0.00960771269733032,-0.14544378110529219,0.07135015161541783,0.7743563273246591,0.2992964334119895,0.27118698100131916,0.22020752080190412,0.7341580598486077,0.06163472046993936,0.638639626471066,0.9278883047217255,0.5386136351206278,-0.41571714143080724,-0.1514539810344213,0.7283880458369207,0.5738488417281532,-0.6193526966683407,-0.11557604548494561,-0.18895442643483876,-0.14018651505275428,0.7384905409029568,0.4929032629960089,-0.2311943627418891,-0.5896997141156888,0.7637508264659961,0.4214457623462645,-0.3839835774233055,-0.2789233305428422,0.7505244952121477,0.21455223651613492,0.8615831056790261,0.14601598245846767,0.1643861741059645,0.8621312599604619,0.5761503543155326,0.6096756448935053,-0.40670108636566776,0.20297580645036004,0.1676227428023358,0.8590767899712765,-0.07661368527154679,0.3165438125732557,0.06887693677991952,0.6365426275372545,0.6912934214492605,0.4468242997254597,-0.21047170112955413,0.13751077398832037,0.5289969793984919,0.3443344233671361,-0.261399757565806
Temporal_Pole_Sup_L,-0.4563588137419855,-0.4154056308706103,0.5036368430831561,-0.590990553797903,-0.13738070548904774,-0.6419060476142373,-0.6758025564358441,0.012567797930473409,-0.6948205621088749,1.0,0.39206947301073397,0.14307611470150586,0.3969241418954983,-0.659838019372515,0.5652856449581039,0.27404141831791423,0.5455897007063197,-0.6690337224206276,-0.04143137763813709,0.2447107080036752,-0.7905960391592982,0.09457875792415354,0.49809270472894496,-0.6790739817316742,-0.6297389901061518,-0.39024791369795053,0.07649282513747811,0.12938623620516262,0.07796898356864909,0.4666980051045947,0.47641857515124036,0.017755312426887836,-0.07631859259618214,0.6396246432820811,-0.16790253692722976,-0.7547297350831033,0.1689875878643581,-0.14092066571700113,-0.16596440296287931,0.524263879826395,-0.24655771856290482,0.05629453305409726,0.5752705406331461,0.03224229811193744,0.29153266768331115,0.6189514378923285,-0.22123161410257158,0.40180792849494107,-0.21087786103079728,0.11319338833950929,-0.54466219952316,0.19254726963588265,0.09674304617426953,0.07993554115710977,-0.29105041113620744,0.3718184304759106,0.7273970032596055,-0.12943733907850208,-0.05997189842919294,0.2831794318813431,0.3149543387863416,0.016112066445419675,0.6580631144986204,0.06499515459197752,0.29632966142559347,0.1782189638655905,-0.08552144525522931,-0.4107622336340309,-0.12286222233584017,-0.2713972572752687,-0.5715259934284261,-0.7080349687616798,0.053769995149476245,-0.6729277326083657,-0.6680946239316876,-0.54316401454029,0.5661592455117324,0.12198070461348247,-0.5713005991102801,-0.16329622855811565,0.7966168027889173,0.2900158725395524,0.39191237265858747,0.023889528985194988,-0.6844510549809932,-0.5542819288460296,0.08593591328721664,0.7482944353857648,-0.5587557188449596,-0.23141686474577433,0.36161883416440077,0.3479875576833633,-0.7383475467150805,-0.026702536998035986,-0.7655309217914216,-0.030737985310028068,-0.09440805456927326,-0.6577422107238003,-0.15741277358713598,-0.47959339552493213,0.6368207131982492,0.33335430851394415,-0.14404420243231636,-0.630885522760154,0.2183028899561304,-0.013398750884672574,-0.0842026114860569,-0.43952385776391995,-0.5158945509657985,-0.008119472458723328,0.36212131487439875,-0.038958009187364674,-0.5480328252121164,-0.4155148942331724,0.47153083786023525
