,SN_pc_L,Thal_MDm_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Red_N_R,Vermis_8,Thal_AV_L,Thal_LGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,N_Acc_L,Thal_Re_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,ACC_sub_L,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L,SN_pr_L,Temporal_Mid_R,Frontal_Inf_Orb_2_L,Frontal_Mid_2_R,Frontal_Sup_2_L,Temporal_Inf_L,Vermis_1_2,Thal_VL_L,Thal_LP_R,Rolandic_Oper_R,Occipital_Sup_L,Thal_VPL_R,Caudate_L,Parietal_Inf_R,Cerebellum_Crus1_R,Thal_VA_L,Frontal_Sup_Medial_L,SN_pc_R,Frontal_Med_Orb_R,Pallidum_L,Rectus_L,Cerebellum_6_R,Thal_MDm_L,Postcentral_R,Thal_PuI_R,Lingual_L,Red_N_L,Thal_VA_R,LC_R,Rectus_R,Frontal_Inf_Oper_R,Fusiform_L,Thal_AV_R,Olfactory_L,Thal_PuI_L,Frontal_Sup_Medial_R,OFCmed_L,Thal_PuM_L,Temporal_Mid_L,Thal_IL_L,Cingulate_Post_L,Temporal_Pole_Sup_R,Paracentral_Lobule_L,Cerebellum_Crus2_R,Thal_MGN_L,Hippocampus_L,Thal_MDl_L,Vermis_4_5,Cuneus_R,Thal_PuL_R,OFCmed_R,Thal_LP_L,VTA_R,Thal_MGN_R,Calcarine_L,Occipital_Mid_L,Cerebellum_8_L,ParaHippocampal_R,Thal_PuL_L,Supp_Motor_Area_R,Parietal_Sup_R,OFCant_R,Cerebellum_4_5_R,Thal_Re_R,Cerebellum_Crus1_L,Olfactory_R,Cerebellum_7b_L,Thal_VL_R,Cerebellum_Crus2_L,SN_pr_R,ACC_sup_L,Thal_IL_R,Thal_PuA_L,Cerebellum_3_R,Raphe_M,Cerebellum_10_L,ACC_pre_R,Cerebellum_4_5_L,VTA_L,Thal_LGN_R,Thal_MDl_R,Lingual_R,Rolandic_Oper_L,Cerebellum_9_L,Amygdala_L,OFCant_L,OFClat_R,Thal_PuA_R,Caudate_R,Frontal_Inf_Tri_L
SN_pc_L,1.0,0.34849220974413614,-0.2312821991736143,-0.10686495589224271,0.022269875985119012,0.09621696285408206,-0.02075095305328983,-0.28083729141385605,-0.25573455217203805,0.1140171487569189,0.20474524622120238,0.06516721249256353,0.41117581103144973,0.2631753192077389,0.029400632148134966,0.3897657120435254,0.22311283778803842,0.2148594706316857,0.2654020361782745,0.11914769285550814,0.42561786431330256,-0.02434241192814425,0.3530422298129555,0.05061419333134365,0.12787366120800858,0.4667904332973907,-0.2200643034721338,-0.0742554994484375,0.01636275577065073,-0.17105912700994697,-0.1747531809366697,-0.016823808545066654,-0.25541558447795387,0.5297787920622616,0.13937874380269522,0.44234105230761456,-0.09831623366308412,-0.1084982974942478,0.11652719066423918,0.08036132840396742,0.303307660651842,-0.06771918681354971,0.26650288406797407,-0.11733387182928669,0.010984211698340305,0.12617461605171837,0.29601452111386817,0.22135292981867105,0.023546022762828838,-0.041011437206592734,0.3048079674914294,0.0229953240849739,0.16340456515482227,0.1360946047798807,0.3691700407399366,0.28266806743780254,-0.06786365253825653,0.4281414198105828,0.06681363554267113,0.5324682764289115,-0.13226230539555067,0.24764998022066614,0.332767761855299,0.07673413493228996,0.2879889513715536,0.13395055874211811,0.20796730331999627,-0.1387513780382985,0.2250640969771904,0.401348964784131,0.06688323047782509,0.02966051953948774,0.39241155127595506,0.22207773073471512,0.544384888025312,0.226687001891392,-0.1336774641818994,0.17579097456489146,0.06749207848214259,0.31654866652332453,0.4026561704555001,0.31100759102445763,-0.18488698309447793,-0.0693601786290886,0.27635022511472046,0.15280830588127,0.07413383706628306,0.007635628989238935,0.4276789750723332,-0.16322627760225222,-0.07836417973357271,0.2788691027157631,0.4755327030674404,0.12895165291936642,0.12778249571672162,-0.061916551094573696,0.30087859411979645,-0.17960900253982054,0.14714382242841953,0.18223930987509981,0.2571171104111094,0.3708275443243416,0.2744394120828063,0.1180366389584197,0.24443664159757045,0.11725631062768269,0.326873481180916,0.31071720591012447,0.21509460073134118,0.21507551855677567,0.415868606156872,0.03212595193322605,-0.0815986935580225,0.4241355816529753,0.5041913194478149,0.22836857397872506,-0.16839750609441723,0.17078291122275605,0.30087325283868216,0.08613086436895549,-0.1200940040853764,0.14215013880770655,0.24962135331283497,0.40092880656612023,-0.04114749888936917
Thal_MDm_R,0.34849220974413614,1.0,-0.1508746939229187,0.11412451671312555,-0.21975484670414921,0.43786099642168047,-0.385458399626663,-0.24889234043440844,0.07793498774459644,0.5060423325540205,0.25092919390485413,0.3060478456380107,0.6504814721331837,0.2521420998965808,-0.3965485999587918,0.40934612883631816,0.2206535553827819,0.6452836008982568,0.3466374493627305,0.3903541366278446,0.5493253414221881,-0.17194003954839418,0.6189513099123967,-0.049944074357253926,0.09306414152416488,0.380696580817542,-0.162004314239577,-0.28711794008105834,-0.310092634731884,-0.28594292384224496,-0.43622716178146526,-0.2510726352766123,-0.35192128644550225,0.553059073783234,0.5328558849234665,0.19097920048414263,0.16119904093067436,-0.19539198992099974,0.23525337859796885,0.2941060232912771,0.10129648723380408,-0.16410017063406276,0.7979053477253554,0.26567180474184476,0.3289114690331943,-0.24624246100622263,0.6564968342748364,0.5266973399974244,-0.33282534374420336,-0.13989649287398423,0.7033617400608123,-0.04594109495211977,0.053284803086568064,0.012176304873112786,0.6900782161908516,0.20343343180070256,-0.21766433824087325,0.8196288158963937,-0.011907494334991562,0.49530846381002575,-0.16147814333192428,0.5780369939135822,0.48101882844182475,-0.13597379014024585,0.31488413719542047,0.30068364762897415,0.12395159358957406,0.23987067546613516,0.5165881579951468,0.4000025223819214,0.2606810586415361,0.028923263639869766,0.7000191352047617,0.1427698678516023,0.5826162723719758,0.3875843064544793,0.13933707668377468,0.2710468825983141,-0.2482832458817378,0.43170706334435216,0.5777306432268726,0.6452918608044512,-0.13072829074656178,-0.3808916705368458,0.4954462561924647,0.30245267322310626,0.518668548576575,-0.060523852622149835,0.525540493653887,-0.3564061998589298,-0.38685491927685745,-0.14128102362949335,0.23766631733248428,0.5770203724938366,0.5673889692461407,-0.3085124566765355,0.2690525176348791,-0.31348527250565333,0.4851765718364355,-0.12795102639949238,0.2948791651965792,-0.099376341305717,0.7916228196944862,0.006186245198123791,0.37483740384804803,0.17910542265853968,0.6917477239854928,0.7231630063040648,-0.10160588928835104,0.10079125979955153,0.30744197331153955,-0.05312911334020431,-0.10369245752146702,0.33659474453817473,0.3697348392494296,0.6292524226401137,-0.09585673832499633,0.4646962461009815,0.1203686693072794,0.30841281931193293,0.14252616188013578,-0.2534918688052377,0.5159486017705857,0.7275934257836798,0.190663347977393
OFCpost_R,-0.2312821991736143,-0.1508746939229187,1.0,0.6656220572909655,0.5750172718500534,0.047222332138183234,0.6437168187169111,0.5664948623574132,0.26206011887370656,-0.43853210969593687,-0.5903596694591748,0.45913428088046515,-0.1552806188827063,0.3845458941827216,0.44163899801007744,-0.08846036812820886,0.4424985491773179,-0.3176685831305834,0.03319859745067225,0.3124404136071912,-0.4521814539851858,0.5978178729258055,-0.2858836270674183,0.5573437121548458,-0.15162503820481835,-0.22857982163740526,0.7416837504581617,0.634439120241207,0.6810905047380627,0.738300016024905,0.6839329305014149,0.14650648737010707,0.6024456101057851,-0.29421156539144405,0.12776388147164322,0.13287621851536757,0.6050244244554356,0.7632753585057959,0.29267559913079194,0.4004787628680098,0.09105407937967343,0.6522591035116455,0.09633552276241958,0.17045485826010334,0.28950910027899796,0.3287863948400733,0.18773045539594152,-0.04048982915091855,0.6366767158073889,0.4770784932195271,-0.05275543590263164,0.11848874688194097,0.2665803193262873,-0.5017033533791033,0.08922819857216074,-0.5309894325120348,0.6021053038580998,-0.12553579497467846,0.5947150337909217,-0.37324604134348927,0.771234041322615,-0.3118044490202663,0.305270811916746,0.6433722129364831,-0.4311370227006207,0.3749742246245844,0.5563408359916128,0.6096044396166448,0.04070129402560519,0.20579329165726176,0.1839956869321933,-0.45805042630176024,-0.14826270630928692,0.2775811707813824,-0.13759156668142283,0.17843107106482317,0.4609002673083502,0.4354324212483684,0.3064369077380413,0.25622865261167255,-0.078419084338273,0.0542175677950371,0.7501223129815876,0.5006568801638074,-0.21062652064220083,-0.3980993690136106,0.2667698387032563,0.6180774618475322,-0.5699952962003544,0.7456343727559731,0.46707719694652816,0.06882731446616387,-0.30087441883775345,-0.20017757725419166,0.14983712665832957,0.5974510039155858,-0.5714127433633901,0.8114214685427443,-0.1259688929712369,0.319017457901846,-0.3650495131142171,0.061329598714318284,0.04948408818134388,-0.29603060590346447,-0.25602327092419574,0.20168623909006106,0.20961082199664038,-0.14075342195765483,0.4241582369860977,0.3509149260373128,-0.5657293097304191,0.09373952855034953,0.750253993982652,-0.3703299628200698,0.10942638886024678,0.24718150046244158,0.7582991154174477,0.0881970798860634,-0.36099584367939613,0.12046220581689772,0.4875310030472538,0.38419887020168714,0.08824779362885134,-0.07819661362449777,0.4259704179460999
Temporal_Sup_R,-0.10686495589224271,0.11412451671312555,0.6656220572909655,1.0,0.4205754548960098,0.42657869838128987,0.4929032629960089,0.5860130381844854,0.5353257256563662,-0.18010921107228686,-0.6000855799552919,0.35969145912637074,0.12344253711014712,0.545178078368846,0.20770948250058213,0.13633250671470679,0.4423452094261186,-0.18726605541271202,0.0611118521609436,0.5902532053810977,-0.2942295402155217,0.32548152915034506,-0.09941097620607206,0.6235681281226632,-0.042007391475632684,0.03349350921506817,0.6247187737565976,0.479196522560047,0.5847092282454962,0.728444305283872,0.5091691243485286,-0.037816939647438284,0.5554167114044717,-0.031098421887906003,0.2385457878342424,0.14875934200434984,0.8838113865556746,0.560387826742833,0.3205260041669098,0.37081164674636574,-0.042438772567705424,0.4862098334198846,0.2671802065120701,0.09799027904814854,0.6540818729449489,0.22625642530963763,0.49224519054598503,-0.026589102953872453,0.5408779940334061,0.1172048174950922,0.020068880317568597,-0.16241389145585028,0.33670383569268036,-0.21409298160498144,0.16220963683073453,-0.3333743909229696,0.38200339756003265,-0.0030660096262262143,0.6954293628422294,-0.09693863623845052,0.7284005387352225,-0.17914727901184235,0.4775147915974581,0.5199132445124449,-0.2450885609111817,0.6028289730553829,0.5551673210098058,0.5734118523608391,0.15706523238631914,0.35658529073376743,0.3203542783637987,-0.17610114984190706,0.17628627020579313,0.03158792037070017,-0.04654551468354893,0.4816565691944772,0.5065082072687415,0.5857513175067283,0.2772276774633991,0.3593680492758194,0.29297150126992266,0.05739714381049061,0.5618722919857784,0.4227879371445798,-0.07631860295796057,-0.18820161507939004,0.4242066118881986,0.4649989182876956,-0.36703774774122083,0.616440860059374,0.32310657134160775,-0.0640205386037943,-0.1840801329531866,0.10258077836002875,0.3496430475871635,0.3956943824641212,-0.306428856111672,0.6635388600718156,-0.0902435553658593,0.0763547886709811,-0.21227471085565616,-0.05045468440286105,0.24959156531824983,-0.24107155572129202,-0.10775852478050908,-0.002606887402179189,0.41658785672037396,0.17521202752996345,0.3190304343629933,0.18838013377783966,-0.4556852584940577,-0.003123027069221259,0.7144291633063626,-0.2272313400583968,0.3703593519894531,0.39625937792490096,0.759594955793641,0.3889258634542188,-0.32919334854450544,0.33620863450384275,0.6251190642150779,0.12204234727707439,0.21413543911248997,0.07849177176805613,0.5469314386320365
OFClat_L,0.022269875985119012,-0.21975484670414921,0.5750172718500534,0.4205754548960098,1.0,-0.12244143207613883,0.7283880458369207,0.32129631854795476,-0.02272761403062793,-0.4238969086664596,-0.4680811634134852,0.3699483992424069,-0.03299148831088419,0.35284071510951565,0.6307873965376316,-0.00683488651006789,0.34791689865957187,-0.30004780242898327,0.17551028429222237,0.2840806602942926,-0.33254434042733344,0.47804004804433675,-0.20945199877603657,0.6277536650428759,-0.2497091677310881,0.022654433036092818,0.5189710002184214,0.6084470242689042,0.6890104870949302,0.6837723027759354,0.6787958813929056,0.10603504449869948,0.546326574633852,-0.12646579099837127,-0.013593363710025985,0.3271907130635847,0.35208940501814595,0.7794808412305968,0.22908662224018864,0.24862211151410224,0.2617531228888107,0.5984281320355099,-0.05339053579174118,-0.0645321790908237,0.12950994566923274,0.4263776912633841,0.11726634746325568,-0.2742533250131623,0.7080491087590384,0.3158738886146023,-0.1304944722797274,-0.014117780910077184,0.1429579806885596,-0.3151924629163443,-0.03326709649900975,-0.3308289468958389,0.5232019092498852,-0.15313996072331815,0.5850348089452616,-0.14412744603017694,0.6527534269478712,-0.32528990276781006,0.2277154486848128,0.5242997396713642,-0.35371492168072505,0.3023725962933636,0.5151425825230731,0.31465058241413285,-0.1402327155579641,0.39068871174604,0.15684969445738503,-0.15295585347905744,-0.07558380451340592,0.22669456937775323,0.01853754382208958,0.21229781471109868,0.17094036327154682,0.3636715701010258,0.40119827657277995,0.3935256426739314,-0.013777023157014998,0.041433626862719404,0.4980852006526947,0.6274687937835597,-0.2621274265226817,-0.3178643837959287,0.08705058363893176,0.3456632534894349,-0.4911769613311233,0.7176546604554457,0.5936773428281434,0.359933719255372,-0.027140122625702312,-0.2809868409740278,0.0405917602643005,0.5070748819739447,-0.3343896200874285,0.6757158348388681,-0.12285018942660987,0.34969792404828876,-0.2221939119261045,0.3821474974684146,-0.10867710904603513,-0.12249451145790738,-0.14900005873032954,0.10414976876655131,0.18596050276060028,-0.19586743126817804,0.5982224266620817,0.40855745807934213,-0.3391510399630211,0.009351190086852012,0.700535095626918,-0.34920580219712083,0.2893222177802833,0.1748817560609317,0.572213366700257,0.05600859208234987,-0.09339999342725122,-0.07001998141766973,0.39120476212319893,0.6573765846006258,0.12523448854850827,-0.17107115248366048,0.33108972335564524
Heschl_R,0.09621696285408206,0.43786099642168047,0.047222332138183234,0.42657869838128987,-0.12244143207613883,1.0,-0.2311943627418891,-0.06666700005162832,-0.06122721491389289,0.2853350206704434,0.08412016837389882,0.24932794823009322,0.4249766397055457,0.47730791052823046,-0.19386076745862604,0.33609572073830046,0.44197660575266073,0.22192120316880382,0.13214878059099222,0.6194954205504282,0.22115403814348053,-0.14716352054481738,0.40617187791225984,0.2532556301122358,0.005573619149423903,0.41181033361254044,-0.10575038113110898,0.0058055811252724085,-0.10746043882371246,-0.023446428629507975,-0.22964151454517556,-0.34047266352884265,-0.1919929535249472,0.4214700036495313,0.38855535724368234,0.1031733570534584,0.25063145506524864,0.07670170826305944,0.2573243862456202,0.14419244533591152,0.21423451428212856,0.17055335756425238,0.4695146605386959,0.17142698704655243,0.7524662558177325,-0.23187490067970845,0.5979242365956764,0.21481840250988796,-0.11953807640396243,-0.22233350810827202,0.23724166889429552,-0.3330598106863098,0.13753943988131048,0.08918532555449217,0.28199237907566316,-0.011307383849264701,-0.035001284248613124,0.3665237693174696,0.34318006065798773,0.4207712381950048,0.20729514898233967,0.259644242396314,0.3386796423569189,0.13472760406691708,0.04980892755370882,0.5091425643820224,0.30905415414835447,0.26228102237993356,0.3768447824787472,0.2946635531612083,0.4078279147606476,0.16641032427029948,0.5649697526715052,0.16885915385395125,0.29503468475766476,0.6046063079355165,0.20865367623143508,0.47179267291605365,-0.3320260867807262,0.30548109619982067,0.6293892038869522,0.30795728286521523,0.15253366365022458,-0.2835759865639125,0.3559619957906838,0.01866368124062268,0.578132271677157,0.030629261074210393,0.2884715086989893,-0.10060132542703386,-0.27931510739824694,-0.09256923575026534,0.02265016427878791,0.48532421569464496,0.5771900337179047,-0.1357093567733774,0.21253241929351294,-0.13669627606031973,0.1344923098756767,-0.09054147311805603,0.07586449923347276,-0.14875771904844967,0.5330622670611243,0.1337974093004925,0.14408639930130537,-0.12460126073436548,0.3696796697946452,0.5614422468896119,-0.08413448386438817,-0.042928165237526565,0.10629841200125803,-0.17162230276121693,0.11603186667403863,0.2100717398310458,0.3378865714765746,0.3403366590493933,0.19738013523050588,0.7899765758687258,-0.2709312670734592,0.5103854832639074,0.2831634884278144,-0.2079593172990717,0.46546522386123307,0.4091887595287648,0.4704404622666013
Cuneus_L,-0.02075095305328983,-0.385458399626663,0.6437168187169111,0.4929032629960089,0.7283880458369207,-0.2311943627418891,1.0,0.5405887816293159,0.15700635736221014,-0.5721117997353345,-0.5896997141156888,0.27118698100131916,-0.18578477819944147,0.4214457623462645,0.7743563273246591,-0.03363007718585701,0.21455223651613492,-0.4231960439690582,0.14601598245846767,0.23835428140525494,-0.5459872532694542,0.4480922880707547,-0.4411642361854494,0.7105850460972626,-0.11244519161965452,-0.13321414889936967,0.6535818842261616,0.7454538144213941,0.9278883047217255,0.8683658789257868,0.8727991310281539,0.17368232313512505,0.7643037145556637,-0.266023387649682,-0.09813629851592756,0.2060554951834482,0.4176043125745631,0.7341580598486077,0.07885166767408867,0.2114004027878486,0.17960698923906873,0.5800500153546015,-0.1514539810344213,-0.14018651505275428,-0.02116412163883467,0.6980925361118652,0.06163472046993936,-0.3839835774233055,0.9299460994251372,0.39019624993986085,-0.16290590837018937,0.10739179088256898,0.35162125999234256,-0.34150111001582617,-0.07090520069001381,-0.32155689721273595,0.6096756448935053,-0.22916318801493085,0.6912934214492605,-0.2856964284954664,0.7239988159002733,-0.4451488799514478,0.21247629997720263,0.6365426275372545,-0.33744304533451625,0.2845895949415952,0.5200823950913297,0.33030278260472745,-0.1821615130757697,0.3165438125732557,0.016348412893235367,-0.2400217183296575,-0.21047170112955413,0.10561806291493435,-0.00960771269733032,0.16785964004478035,0.1676227428023358,0.4429827189080565,0.6083035255067962,0.2593945088626709,-0.1553950910376138,-0.05754837691001113,0.5386136351206278,0.8590767899712765,-0.19185661561496356,-0.33569638349793773,-0.06816848742410488,0.5289969793984919,-0.6193526966683407,0.8615831056790261,0.7637508264659961,0.41549829683790523,-0.06989453567936638,-0.4811358865803539,-0.12190557891561486,0.7528750995457624,-0.37871124172410525,0.8403189203617843,-0.2318380558035983,0.47339336718569847,-0.18895442643483876,0.4468242997254597,-0.2544618111573933,-0.12884087811994221,-0.19192247102430188,0.08534638133850429,0.17195995118871177,-0.28313332256331003,0.5738488417281532,0.37928252582908795,-0.40670108636566776,0.1880106136883847,0.7384905409029568,-0.2580678216526266,0.215655239579376,0.15576464506778967,0.5974620264766024,-0.14544378110529219,-0.06027347530184574,-0.07932167537290943,0.22020752080190412,0.5761503543155326,-0.0221981988512525,-0.261399757565806,0.1838166760671062
Occipital_Inf_R,-0.28083729141385605,-0.24889234043440844,0.5664948623574132,0.5860130381844854,0.32129631854795476,-0.06666700005162832,0.5405887816293159,1.0,0.4541645709935644,-0.41143334272972365,-0.7142417777078214,0.12168664169236357,-0.3462787026178256,0.12252963921163491,0.23354972636530977,-0.1864033198096483,-0.01616684642522519,-0.3749661750452481,-0.10878579517589985,0.1801724949399211,-0.5487120394303757,0.30757796703299783,-0.5186092477576908,0.3884455754519319,0.10172434605677451,-0.3930245659776369,0.5611473682526621,0.44431940930815417,0.528070943822536,0.6893098540119497,0.625276082740546,0.17577671698043573,0.6165004532607649,-0.4287319715018372,-0.06468146432392761,-0.06282100133890235,0.5148574381954268,0.4119223734177495,0.07708245944752096,0.11589527997291865,-0.3364449255006066,0.30903361888188224,-0.10691903303449814,-0.00475440385561788,0.18430840503126927,0.319842928739541,-0.016096362848066276,-0.26577342466048326,0.5017518299258725,0.16920801497971855,-0.21061356233127274,-0.0598784482341048,0.1929027560134192,-0.32758770591651937,-0.06822593414314548,-0.40808097502428436,0.37818699988511584,-0.3263578471377757,0.4020449514258275,-0.49467862557775205,0.5315656606375301,-0.41638573124831857,0.18488706936749924,0.3222931289912515,-0.3850276142088438,0.24348262269467003,0.1487027162616396,0.4273962150183958,-0.08995986388576742,-0.06418777031572523,-0.015194689509390178,-0.2243682189144692,-0.3056631511499371,-0.24186056254507535,-0.3476723027034885,0.0172991005168187,0.1720349824566556,0.21890452909086908,0.3465180948432027,-0.07337210546313014,-0.26614617685038405,-0.19960070139457822,0.40073339626849236,0.4869769657893744,-0.347804793666855,-0.3324808851495822,0.025894911824752728,0.41393573558195496,-0.612588072715304,0.5569302061978806,0.4009705896087252,-0.2233195120546425,-0.3821906332778344,-0.22906084941521054,-0.07649151409097805,0.4757888598363567,-0.5379551745876846,0.6320010099697662,-0.21143621209057198,-0.03209635667444811,-0.28562972166116113,-0.13638721726613234,-0.15877244912584848,-0.34886653324145356,-0.2586631322655277,-0.12001854477909615,0.047775236325089766,-0.21876569674974425,0.11495096119510578,0.040483624583233714,-0.574857809983045,0.06208080177270591,0.46684869357539327,-0.37612747805128144,-0.08527664239830601,0.06276866288153364,0.49726761161551486,-0.12846409371651363,-0.35061192481086406,0.10567750665707197,0.4354289590451971,0.1559906567272957,-0.18014114102328926,-0.32069673041571983,0.25493692105814875
Temporal_Inf_R,-0.25573455217203805,0.07793498774459644,0.26206011887370656,0.5353257256563662,-0.02272761403062793,-0.06122721491389289,0.15700635736221014,0.4541645709935644,1.0,0.06174200274106225,-0.36533389460583154,-0.012494829917119145,-0.06180417117001791,-0.023668293849379605,-0.18866632038237677,0.06506377912812987,-0.184079032551839,-0.03831523977731839,-0.06192498843148815,0.07987914291235892,-0.1952328817422614,0.05679170852186503,-0.18137323735461847,0.0897395855284295,0.10688084851405012,-0.2195266237586163,0.4109109276822247,0.00231516715189421,0.21064437161336041,0.3398100818029843,0.20426502085934423,0.05514149183964659,0.3665553387671444,-0.1839200265027569,-0.01951235353686197,-0.14360588559820087,0.6437393255556343,0.0377620971349832,-0.015587605161626543,0.14250242834772375,-0.48972463396787524,-0.1214795092834409,0.03724950929601633,-0.041836363747465494,0.11683006917492077,0.10096890720759034,0.07527840063995551,-0.01576305157198274,0.15398290708719586,0.009273686805229645,-0.0020301896841911173,0.08593106619648527,0.11393654624566797,-0.002256555887706956,-0.012545737724398981,-0.11660084387513044,0.049489526070348844,-0.10005376444905092,0.09009151407985853,-0.2473564291518285,0.1657952003075181,-0.07168650040102259,0.0928522648808825,-0.005867672121179368,-0.030827226684271607,0.07039138955605112,0.01357138036070629,0.26670078016066834,0.058217156198856,-0.012556800392269524,0.012946112056002062,-0.03993818104613184,-0.06529326071312769,-0.39691502839566767,-0.24207754709539156,0.008492743245345248,0.4284646809434019,0.04558957154861064,0.3507089368625947,-0.028056489646322277,-0.021941230455977203,-0.17480933756706032,0.03772294379288507,0.21184764928541772,-0.175822177405437,0.1675645943321778,0.010236332066390425,0.13319539250216111,-0.26507174045861975,0.18809017592056115,0.09258648071516098,-0.30872105409946654,-0.14566285213584787,0.03269468775960099,-0.05836418410778707,0.12785138647457053,-0.1787201200095963,0.34333287184172806,-0.05455491719850062,-0.19993220599817285,-0.014722015584165948,-0.196946440084906,-0.0015854833520193563,-0.27641471357455194,-0.07248236783952804,0.04346957880799997,0.151440820159843,-0.01764439678517663,-0.04585373950188777,-0.10735297720186732,-0.2606795181582118,0.15114727651849644,0.20862270508305475,-0.19648127222274378,0.028128821661602906,0.16061052855054841,0.32188705452484523,-0.12729811829560925,-0.03370115119853435,0.07847713635768197,0.28897713739889624,-0.24698801405508217,-0.17298109285639474,-0.09321371976466122,0.04625447089716206
Red_N_R,0.1140171487569189,0.5060423325540205,-0.43853210969593687,-0.18010921107228686,-0.4238969086664596,0.2853350206704434,-0.5721117997353345,-0.41143334272972365,0.06174200274106225,1.0,0.5280394523506654,-0.01889348798962392,0.5810197470181471,-0.1031493607431994,-0.386440240726902,0.5667868067470175,-0.1477041829957699,0.5856291546823489,0.2060869560440387,0.19407333161044105,0.533031796258886,-0.39841238254706735,0.631791132572002,-0.24077464898303647,-0.1626858532080558,0.44823772266939416,-0.39703706382876325,-0.462298131887529,-0.5885613514989978,-0.48230729211365925,-0.6174862503273938,-0.4567062801253231,-0.5257333009116251,0.4856782959819174,0.192558607556964,0.08769106489089765,-0.15819368281729795,-0.3637721769405743,-0.058091975448056825,-0.03810617017839798,0.11175264075637535,-0.264095690698689,0.33603062575106435,0.039628404697141593,0.13073595051864945,-0.27723709550327713,0.27119184833827475,0.058346415156281625,-0.5618853231393476,-0.42866577967136843,0.35793408177957803,-0.0751203674692022,-0.16054915199072015,0.3857743748955258,0.14541113610939183,0.29654310008936513,-0.5658074293645527,0.4177455384141325,-0.24381884340861631,0.4401351026014623,-0.343273097218184,0.8037614427302453,-0.13561682676668124,-0.35109160267056627,0.28767098197514906,0.06273972398828868,-0.11481987368512551,-0.1775435653800486,0.26273254744990027,0.1427567632128878,0.29043733398841387,0.5250494863489702,0.5304046455709459,-0.13592622143831698,0.32872372244941,0.21075338150921788,0.19829495353936566,-0.1249100117571424,-0.38458472003788696,0.3128052971978027,0.5135374694997872,0.2339958563283944,-0.4241927238880385,-0.563555731866067,0.2805886003590716,0.5198959543344114,0.19611847646372352,-0.5936330943883698,0.49310895592680093,-0.542687508121277,-0.500062506151989,-0.030079404909804083,0.3059185819584032,0.580109439291706,0.2670154616253202,-0.5663479001531896,0.5016744900180626,-0.544123373055201,0.3851237464475365,-0.2874802271102586,0.47821625803917606,-0.12136738029826766,0.325764075868008,0.2263007005949478,0.3005557863614877,-0.028755381765609808,0.2284021395080546,0.42336768664844715,-0.20614274154160897,-0.08457893285986451,0.3182946066779594,0.013008639829148233,-0.37091091710971785,0.1375175764738093,0.06894557928296274,0.18618474572402294,-0.29623773999839775,0.39793584331598847,0.19718782444354002,0.17511218461910547,-0.1556998009253324,-0.3502984213933255,0.39132935624464654,0.3310098228745885,0.03591694283362246
