,Thal_LP_R,OFCant_R,Thal_VA_R,Heschl_R,OFClat_L,Frontal_Med_Orb_R,Frontal_Inf_Orb_2_L,Thal_PuL_R,Supp_Motor_Area_R,Caudate_R,OFClat_R,Insula_L,Temporal_Mid_L,OFCpost_L,Parietal_Sup_L,Precuneus_R,Occipital_Sup_L,Rectus_R,Cerebellum_Crus2_R,Cerebellum_4_5_L,Hippocampus_R,Cerebellum_3_L,Cerebellum_9_R,Frontal_Sup_Medial_R,Temporal_Pole_Mid_L,Olfactory_R,Postcentral_L,OFCmed_R,Vermis_8,Frontal_Inf_Tri_R,Red_N_L,Thal_Re_R,Vermis_3,Lingual_R,Frontal_Inf_Tri_L,Cuneus_L,Temporal_Sup_R,Putamen_R,Frontal_Mid_2_L,N_Acc_R,LC_L,ParaHippocampal_L,Temporal_Sup_L,Frontal_Med_Orb_L,Rectus_L,Temporal_Inf_R,Thal_AV_R,Occipital_Mid_L,Precentral_L,Rolandic_Oper_L,Thal_PuM_R,Angular_R,Vermis_10,Thal_MDm_L,Amygdala_R,SupraMarginal_R,Thal_PuI_L,Heschl_L,VTA_R,Lingual_L,Thal_VA_L,OFCmed_L,Thal_PuL_L,Cingulate_Post_R,Thal_AV_L,Thal_VL_R,Calcarine_L,Frontal_Inf_Orb_2_R,Cerebellum_7b_L,Supp_Motor_Area_L,Thal_VL_L,LC_R,Vermis_7,Temporal_Pole_Mid_R,Olfactory_L,Frontal_Sup_Medial_L,Red_N_R,Cerebellum_9_L,Vermis_6,ACC_sub_L,SN_pc_R,Fusiform_L,Cerebellum_6_R,Paracentral_Lobule_R,Occipital_Sup_R,OFCpost_R,SN_pr_L,Insula_R,Cerebellum_7b_R,Cerebellum_Crus1_L,Cerebellum_Crus2_L,Thal_LP_L,Frontal_Inf_Oper_R,ACC_pre_R,Parietal_Sup_R,Temporal_Pole_Sup_R,Parietal_Inf_L,Thal_VPL_L,Thal_MGN_L,Frontal_Sup_2_L,OFCant_L,Thal_LGN_L,Pallidum_L,Cingulate_Mid_R,Thal_MGN_R,N_Acc_L,Fusiform_R,Calcarine_R,Occipital_Inf_R,Putamen_L,Occipital_Inf_L,Temporal_Mid_R,SN_pr_R,ParaHippocampal_R,Cerebellum_6_L,ACC_sub_R,Thal_LGN_R,Thal_MDm_R,Cerebellum_10_L,Thal_PuI_R,ACC_sup_L,Thal_MDl_L,Raphe_M,Amygdala_L,Thal_MDl_R,SupraMarginal_L,Cerebellum_10_R,Thal_PuA_L,SN_pc_L,VTA_L
Thal_LP_R,1.0,-0.055368090156545674,0.11697705076642208,0.17142698704655243,-0.0645321790908237,-0.05826257142087231,0.09638585736798547,0.041043148995256865,0.2900622588835138,0.30375610256796287,-0.028439416834951547,0.19779975684166887,0.1579115669843179,0.11369950692166393,-0.0631864432938938,-0.08954975025079155,-0.2077738738584767,0.04124719349295598,-0.10570490944593462,0.0809214081348822,-0.061994136353862375,-0.04451292817274325,-0.0864554784064871,0.15271841448521162,-0.0033972405790092548,-0.043334981775820285,-0.08559569763651256,-0.0036102470506890216,-0.013413347117828036,0.12301011647890518,0.061093334243201465,0.2448954223274099,-0.029899592512297506,0.013133336673109808,0.1533689188870316,-0.14018651505275428,0.09799027904814854,0.4152332463509571,0.3574153012225233,0.09793224199902979,0.0439128523032747,0.009315308288615251,0.24334346022445583,0.02808127045454124,-0.033033767299645,-0.041836363747465494,0.2403776100992856,-0.22595679969735855,0.11169222860781722,0.22977481761519516,0.10645220489098921,-0.03149605459109355,-0.06561908466423955,0.22185395679839207,-0.03411263314642977,-0.08811065452127462,0.10213813163138778,0.22151534618567018,0.19149600649337023,0.033309503018371774,0.18605339424472056,-0.11420198186770587,0.18909005639476162,0.037688989846837224,0.35401068343285,0.403386365017216,-0.0466156105346058,0.25660318936847665,-0.12456292278938343,0.23324601676779702,0.3148404151663694,0.05760615576676804,-0.007252920886531261,0.030774260663474027,0.17659980031875813,0.050712032598150714,0.039628404697141593,-0.07473197686534519,-0.05652499610605243,0.09537468558519996,-0.023506374552838903,0.06422682746597426,0.09493115407496032,0.03763182702978932,-0.016050172713093572,0.17045485826010334,0.09872941429485405,0.12656587013215917,-0.16438539035168456,-0.026215623147378006,-0.07838013947416554,0.47096308649747587,0.1185883642686236,-0.13570894028601246,-0.08935812952176785,0.08221043343165571,-0.085991912455659,0.2338300046920424,0.156183091984564,0.28002277053150176,0.25018997596038434,0.10174243487699239,0.2838956877912915,0.4103744747276938,0.05697940785117596,0.08698765361466985,-0.0521447448680842,-0.058201029469173424,-0.00475440385561788,0.3604202431710587,0.06728188021740189,0.07825948757143893,-0.004544160240498438,-0.06945071545112042,0.0021969800479950553,-0.13233243970227845,0.04263698464566528,0.26567180474184476,-0.08434448895283991,0.030430067843974472,0.2235557694345743,0.3194835807542549,0.07638107156895248,0.039000801811983565,0.24281903235510324,-0.12036181425907473,0.003225228708031854,0.2201792113898193,-0.11733387182928669,0.028537558570782
OFCant_R,-0.055368090156545674,1.0,-0.10882187067803825,0.21253241929351294,-0.3343896200874285,0.7570460077084319,-0.41913595939647885,0.3882272212128324,0.08461041733923902,0.42047737129637597,-0.13995053315320347,0.6511831997967272,0.1550994320479066,-0.3400866547100558,-0.38026253210889704,-0.4052347842334994,-0.1521739138820882,0.7162852174856843,-0.17929134302387154,-0.37578658882931615,0.5442786726612687,-0.38269491203937817,0.5774545478150491,0.37224385957486467,0.17179627239768108,0.190002457676961,-0.18968256854893936,0.6693741499363716,0.6595343242562061,0.07403178490229896,0.429716550172899,0.0002381249637605976,-0.48528193447737517,-0.4392062953886745,0.0031849806821683756,-0.37871124172410525,-0.306428856111672,0.22650436612262112,-0.06362015863827901,0.3981812442970438,-0.45091531369784904,0.5128522669699592,0.09091692014170993,0.7920835489664441,0.7170421199027397,-0.1787201200095963,-0.38737402267640136,-0.31932780414100864,-0.0012151285447581533,0.27617815430690035,0.4033374215465261,-0.5114782284174267,0.5215257897845261,0.2529549363250221,0.3149627886534713,-0.5324610037741256,0.21285942840157168,0.37256874186151406,-0.45322689231794044,-0.4416618933323763,0.11679661710846984,0.46100731485225027,0.39493359584563165,0.14397390384090478,-0.20785974378814523,0.20148266683356444,-0.4588822105774497,-0.1788159647693645,0.2713014557309801,0.01187782773335199,0.11594090548280059,-0.287346927342575,0.03265457113788667,-0.2536461070207399,-0.14692913901758678,0.10959177866033831,0.5016744900180626,0.4490193732910298,-0.48338471322903703,-0.2507217212463038,-0.11303590079896786,-0.05898143427492653,-0.2806856260785787,-0.005257964389671205,-0.5463731481270492,-0.5714127433633901,-0.020626041659466642,0.49674751344446255,0.22631716964554552,0.0901153562141493,0.42029712116248374,0.014310089334696892,0.0818025974707512,0.09168159756156985,-0.4300388386176173,0.07940041491484987,-0.3593540698927204,0.24575324692034525,0.17590571917071557,-0.0494235675758871,-0.44636809051380816,0.4437333838177126,0.0069922880530436365,0.0823725168605554,0.660019706524211,0.23416089758574862,-0.06926867933190592,-0.5473705386931361,-0.5379551745876846,-0.04717693214540679,-0.2620447055118671,-0.2864780989826247,0.29818997130660957,0.5472312848621508,-0.2566468375707891,0.015249329909380212,0.2719183809873553,0.2690525176348791,0.572313581991801,0.6319206351221919,-0.04303346765157049,0.0983711065344416,-0.13607489025946912,-0.19884205919516487,-0.030007884423003877,-0.3668278852479752,-0.5487006155044418,0.3951781410304057,0.30087859411979645,0.35126838520233356
Thal_VA_R,0.11697705076642208,-0.10882187067803825,1.0,0.3386796423569189,0.2277154486848128,-0.23818577110443123,0.18720912875523174,0.18957556732076808,0.4465312054170426,0.4839242836439362,0.1375025968262539,0.13798674558422552,0.2731294666878649,0.09860381808175984,0.2706987730690448,0.3231708171596421,0.15949742007822143,0.0644833381471819,0.10935004695715975,0.33094544606997406,0.23789103675597637,0.18086013521139532,-0.0403325260970063,0.20310305592677105,0.15157573765803925,-0.0754034787287369,0.3248391456816986,-0.18414188026155076,-0.24207912697940792,0.5521688153474782,0.007969151263635989,0.12053452328222626,0.24960307633573112,0.3548803417832122,0.42599286025049393,0.21247629997720263,0.4775147915974581,0.5032510565267861,0.4954877926481799,0.02170806251181491,0.18478951814362762,0.31285671070909604,0.4688251345649587,-0.09548814946678047,-0.04924737041355673,0.0928522648808825,0.4340803073688193,0.06251472123541123,0.3687373427835077,0.2966240916373825,0.481011133592966,0.04571087029981844,-0.04028438636275421,0.40304483347061115,0.1739831828394933,0.2800340779541762,0.45391518852038487,0.296337768835891,0.3810423700380194,0.3468588505168683,0.35717038375982796,-0.30439609240624466,0.26628414085536034,0.028018757243599125,0.34813120865349256,0.6008710122123697,0.23205075491669314,0.20046139750099695,0.028904699176538064,0.4246790060988321,0.6056839605302256,0.3388687985884116,0.11312727921143842,0.26171784740699666,0.23275947402073027,-0.08404848301478825,-0.13561682676668124,-0.0535546622964415,0.15523592756618787,0.01994333943091327,0.29482870406013195,0.44726233078778427,0.30755979302089065,0.5235458759263313,0.1878561981612191,0.305270811916746,0.2372472542430973,0.2768200785965706,0.08924706082196633,0.187926671122845,-0.09018937714536851,0.5396938336258759,0.5763655067019667,-0.09691612587843007,0.24711952900865364,0.10705013556324608,0.2564580624733317,0.5941974496861882,0.35907711519111696,0.3525046858777011,0.29519114044979144,0.29385172472044363,0.5855532335115162,0.3923099738952667,0.10549859044969141,0.028703340605422234,0.28674444292965134,0.2578295696936134,0.18488706936749924,0.5272179030691365,0.32350906532651696,0.4850524769315229,0.1584487914987014,0.12258818476312205,0.24629159914823262,-0.3295171760943921,0.49869940446526734,0.48101882844182475,-0.007731752870121257,0.24030551319091012,-0.008377545210441754,0.35991891090090666,0.29347988167849764,0.20983675072417027,0.5415024229191181,0.17410382835278881,0.2721810984962938,0.4925421244529521,0.332767761855299,0.15433383773986606
Heschl_R,0.17142698704655243,0.21253241929351294,0.3386796423569189,1.0,-0.12244143207613883,0.08918532555449217,0.07670170826305944,0.3559619957906838,0.5771900337179047,0.4091887595287648,-0.2079593172990717,0.40617187791225984,0.16885915385395125,0.13736860552762503,0.0058055811252724085,-0.06322692814122614,-0.23187490067970845,0.04980892755370882,-0.3320260867807262,0.11603186667403863,0.41181033361254044,0.21181050968207543,-0.002707008727496324,0.4078279147606476,0.21989848214836408,0.07586449923347276,0.2532556301122358,0.01866368124062268,0.08412016837389882,0.3639544725859491,0.259644242396314,0.1344923098756767,-0.16516306895891925,0.19738013523050588,0.4704404622666013,-0.2311943627418891,0.42657869838128987,0.40141678546540205,0.35070978546735815,0.07874962422334215,-0.005576639491167178,0.4214700036495313,0.44197660575266073,0.20761457143317785,-0.011307383849264701,-0.06122721491389289,0.26228102237993356,-0.27931510739824694,0.6194954205504282,0.7899765758687258,0.5979514203267394,-0.3867344539290118,-0.00413266332784474,0.3665237693174696,0.33609572073830046,-0.023446428629507975,0.2946635531612083,0.7340786717385043,0.030629261074210393,0.20729514898233967,0.23724166889429552,0.16641032427029948,0.48532421569464496,0.3399778578461852,0.24932794823009322,0.5330622670611243,-0.10060132542703386,-0.14716352054481738,-0.14875771904844967,0.38855535724368234,0.4695146605386959,0.13472760406691708,0.005573619149423903,0.24597008004530732,0.3768447824787472,-0.3330598106863098,0.2853350206704434,-0.2709312670734592,-0.22964151454517556,-0.34047266352884265,0.13753943988131048,0.30905415414835447,-0.035001284248613124,0.47730791052823046,-0.1919929535249472,0.047222332138183234,0.1031733570534584,0.2392626166853901,-0.2224280175189927,-0.09054147311805603,0.1337974093004925,0.578132271677157,0.5091425643820224,-0.17162230276121693,-0.1357093567733774,0.20865367623143508,0.0036716552929176647,0.5722478499475308,0.30548109619982067,0.14419244533591152,0.2831634884278144,0.4249766397055457,0.28199237907566316,0.38108137049726964,0.2884715086989893,0.22192120316880382,-0.15682236655266005,-0.17235670983286075,-0.06666700005162832,0.38254570080635647,-0.1503994398880409,0.25063145506524864,0.14408639930130537,0.02265016427878791,-0.20592674583334308,-0.3255826711053614,0.3378865714765746,0.43786099642168047,0.10629841200125803,0.4207712381950048,-0.12460126073436548,0.30795728286521523,-0.042928165237526565,0.5103854832639074,0.3403366590493933,-0.03552129366630755,-0.10575038113110898,0.5614422468896119,0.09621696285408206,0.2100717398310458
OFClat_L,-0.0645321790908237,-0.3343896200874285,0.2277154486848128,-0.12244143207613883,1.0,-0.3151924629163443,0.7794808412305968,-0.2621274265226817,0.0405917602643005,-0.17107115248366048,0.6573765846006258,-0.20945199877603657,0.22669456937775323,0.5221398893698547,0.6084470242689042,0.6809210174085092,0.4263776912633841,-0.35371492168072505,0.40119827657277995,0.700535095626918,0.022654433036092818,0.553257145574101,-0.03881674090470949,0.15684969445738503,-0.08248188274176145,-0.2221939119261045,0.6277536650428759,-0.3178643837959287,-0.4680811634134852,0.34783406465403366,-0.32528990276781006,-0.12285018942660987,0.6636245955325664,0.572213366700257,0.33108972335564524,0.7283880458369207,0.4205754548960098,-0.0810522521624053,0.29789119729637686,-0.35844435412769143,0.7098180950881614,-0.12646579099837127,0.34791689865957187,-0.35542561243379667,-0.3308289468958389,-0.02272761403062793,0.31465058241413285,0.5936773428281434,0.2840806602942926,0.05600859208234987,-0.07279593938299697,0.38870035536693937,-0.2044677285590589,-0.15313996072331815,-0.00683488651006789,0.6837723027759354,0.39068871174604,-0.019485808665248027,0.3456632534894349,0.6527534269478712,-0.1304944722797274,-0.15295585347905744,-0.2809868409740278,0.11262269128449767,0.3699483992424069,-0.10867710904603513,0.7176546604554457,0.47804004804433675,0.3821474974684146,-0.013593363710025985,-0.05339053579174118,0.5242997396713642,-0.2497091677310881,0.14438906335099394,-0.1402327155579641,-0.014117780910077184,-0.4238969086664596,-0.09339999342725122,0.6787958813929056,0.10603504449869948,0.1429579806885596,0.5151425825230731,0.5232019092498852,0.35284071510951565,0.546326574633852,0.5750172718500534,0.3271907130635847,-0.045395150277229915,0.11654563458865978,0.34969792404828876,-0.12249451145790738,0.08705058363893176,0.3023725962933636,0.009351190086852012,0.5070748819739447,0.17094036327154682,0.7189824928136395,0.05911033076619674,0.3935256426739314,0.24862211151410224,0.39120476212319893,-0.03299148831088419,-0.03326709649900975,0.017822350106938868,-0.4911769613311233,-0.30004780242898327,0.375040651628932,0.7197295695554212,0.32129631854795476,-0.024558231938400794,0.4245350619179619,0.35208940501814595,-0.14900005873032954,-0.027140122625702312,0.7296068169876883,0.044203176212697454,0.2893222177802833,-0.21975484670414921,-0.3391510399630211,-0.14412744603017694,0.10414976876655131,0.041433626862719404,0.40855745807934213,-0.07001998141766973,0.1748817560609317,0.7613566954822405,0.5189710002184214,-0.19586743126817804,0.022269875985119012,-0.34920580219712083
Frontal_Med_Orb_R,-0.05826257142087231,0.7570460077084319,-0.23818577110443123,0.08918532555449217,-0.3151924629163443,1.0,-0.4317776648478685,0.05910242153579815,-0.14598116802595001,0.1242150224798943,-0.0820833213425032,0.46452506787213527,-0.0811516152785173,-0.31795457493475277,-0.38697048991367866,-0.44958844155436534,-0.11672046029603031,0.5841104058075913,-0.06591294775517265,-0.33175074944845584,0.35296954917001716,-0.25292948802815896,0.3735045186463096,0.34702664442402337,0.0012423324418177361,0.05142137349261056,-0.311134314035712,0.5456435256688,0.455932767355823,0.16913420336914456,0.20210510615176705,-0.23272280150432947,-0.470213344920192,-0.38478199053651974,0.09140564693234435,-0.34150111001582617,-0.21409298160498144,0.19391438874988545,-0.030674937886526595,0.05738191514313722,-0.4336224761534644,0.319050974357258,-0.008216346994128952,0.8740762092119058,0.6225228848405346,-0.002256555887706956,-0.3676724790756458,-0.2869752084216314,-0.16247896501756026,0.16939921745123013,0.18540391161221187,-0.3627726618448448,0.4064166592896354,-0.11780393478045989,0.18922264154202667,-0.4573557725843511,0.020184895698167515,0.27033966290806116,-0.5289659419595472,-0.42656355130962637,-0.24980214768711403,0.5764714728550941,0.43034344339639796,-0.0007300051900856797,-0.32359470975112375,-0.06324503415141114,-0.37677747489973284,0.02467182100728296,0.04376492701528497,-0.2238806401451847,-0.18235963994163645,-0.36817998273660196,0.0069686210142365776,-0.4039487183048366,-0.3046830608961236,0.09763885289291115,0.3857743748955258,0.3525602769431903,-0.35364858895260926,0.0012542870163089774,-0.2537857547998426,-0.17398678283302682,-0.26906175722709025,-0.24996398468005535,-0.41810286248882167,-0.5017033533791033,-0.09501311159645248,0.5438534832741336,0.2395218393770823,-0.1617633939710163,0.3580363380094452,-0.07013154151838992,0.06221384344964151,0.11006127858966419,-0.4370338063582385,0.1063702964771357,-0.4287766289018902,0.034984544692026553,0.055717956359704335,-0.06758185082132669,-0.33849309115361853,0.18449620524239008,-0.29354736948542365,0.028387113523928708,0.470046528445171,-0.07946244288657005,0.08167436407270637,-0.44146667066752737,-0.32758770591651937,-0.3052489947804823,-0.2023379490566681,-0.21026447846425578,0.1545932632883589,0.3918819262020531,-0.21662420131085178,0.3685826686952166,0.18470189533885023,0.012176304873112786,0.3642527488425146,0.40938642585302587,-0.16065001788653785,-0.257088517723304,-0.27285589196090637,-0.2540484722191471,-0.3068409458364461,-0.3593134750425432,-0.47826739014497544,0.1960619618106546,0.1360946047798807,0.14962007872199823
Frontal_Inf_Orb_2_L,0.09638585736798547,-0.41913595939647885,0.18720912875523174,0.07670170826305944,0.7794808412305968,-0.4317776648478685,1.0,-0.16564456920817086,0.251214439944551,-0.1585262329883661,0.4685577847189688,-0.2066106745594414,0.23421471997954296,0.7773488515268202,0.682903609207747,0.7603490061061047,0.35895477857247915,-0.5546542228146271,0.2384609478011575,0.8279668473056243,-0.09107341003779942,0.7088176379658526,-0.18966608050614236,0.187886570169863,-0.027227545827593673,-0.13124837565154995,0.6901520047135551,-0.3023396900115847,-0.539887998654887,0.3305483137798159,-0.2170581464475204,0.015294857724106324,0.7250420444937422,0.7362779833619642,0.45361893105002316,0.7341580598486077,0.560387826742833,-0.08254479272831548,0.40657899693374006,-0.3715843220708571,0.8329796355818846,-0.1906439511316529,0.38826276755426287,-0.45369714758543694,-0.5678033274810589,0.0377620971349832,0.5163364492758411,0.5539942371760576,0.4452816127217739,0.21032971374144296,0.000692012528074542,0.33955369465864615,-0.39156319319057753,-0.06085500978417649,0.06359321796006795,0.7534752815123806,0.39543876460983185,0.0815234906260913,0.46232693709522094,0.828064696860183,-0.0067231765935461315,-0.12015621853056029,-0.2658094051107122,0.26305722688626587,0.5778558047232448,0.00039356177046979675,0.8164677418064965,0.445003666754904,0.2809681072608851,0.18311859589681048,0.0910201642376229,0.6067164252218532,-0.27738919219316976,0.3855767999616187,0.09369425996680988,-0.040832649944983104,-0.3637721769405743,-0.31640191897472125,0.7214420604445599,-0.025260729313172338,0.22420942202280617,0.6246845966837733,0.49700951457951775,0.48744780878784416,0.5955819257558853,0.7632753585057959,0.3631711513173426,-0.17740629595935675,-0.12049477290195222,0.29026367911182827,-0.1926430830197474,0.27447948485803675,0.37625652188401504,-0.06433490707343202,0.5611885791349469,0.34449081104527757,0.7890090329781705,0.15581041452331526,0.4452546592196962,0.3724969739262723,0.5498845458976648,0.010467668154018056,0.029102307010315936,0.150735430627417,-0.6187747339852396,-0.19066430315679306,0.24813725123897765,0.7765157574062438,0.4119223734177495,0.15389285218075213,0.41588053013813386,0.4264671628242092,-0.22364812989247215,-0.2665980726254426,0.6562675951387653,-0.051623067806758474,0.15902753297738834,-0.19539198992099974,-0.485477122754983,-0.2653475844007605,0.24115532630146963,0.1520757128709331,0.4367645279252499,0.22128265852254952,0.3072641265913802,0.8063790415602329,0.6603257000041871,-0.1448789066875504,-0.1084982974942478,-0.37836339758182064
Thal_PuL_R,0.041043148995256865,0.3882272212128324,0.18957556732076808,0.3559619957906838,-0.2621274265226817,0.05910242153579815,-0.16564456920817086,1.0,0.3663398063041074,0.6252157524364952,-0.1415659595167385,0.43266798951608887,0.297211072787027,-0.1456128491115369,-0.09744886316496491,-0.028670592063123817,-0.10096277171346718,0.33949908515330773,-0.125841621955313,-0.12665818147484023,0.4802612412569128,-0.23869263080406763,0.41330407563830446,0.11918761815841122,0.31526645422172184,0.39471288504715785,0.05411601588275043,0.24696392366744682,0.4092215217860752,0.0041107052853581435,0.382038587201305,0.23085058891599305,-0.13173914321173538,-0.13187116112814454,-0.0875774007982048,-0.19185661561496356,-0.07631860295796057,0.23129498511238242,0.1141887941527977,0.4969608202308388,-0.21652212003691176,0.5615404374505192,0.23551740825004003,0.14852102829781239,0.24870630946988181,-0.175822177405437,0.024621468816603816,-0.17533957006285864,0.28906283903053037,0.3385274989403189,0.6129003025997082,-0.2912673560848432,0.24575789074413845,0.6159206461779669,0.37178685800835193,-0.25932144154185666,0.3934138488422988,0.43797786736317834,0.019221611438589564,-0.11939499495976254,0.5218861197067179,-0.0026879639428347333,0.2215779442017001,0.39939095896685856,0.15374691057776857,0.5017618026698504,-0.22767303051410653,-0.2526556453199358,0.20502491462627181,0.34702996991263824,0.47982433079206727,0.03096034677673762,0.07703794101997233,0.14709431713435153,0.38664912592086675,0.1277745670820599,0.2805886003590716,0.2665179503261556,-0.26691663039979485,-0.15017573871297998,0.20472032347611277,0.23038844352044374,-0.08720942321021315,0.37749611029165314,-0.3617040375660693,-0.21062652064220083,0.07552233528777416,0.23100738158919382,0.10926647349410076,0.21639778954208705,0.22208370042168948,0.26605291923375757,0.1692652264437377,0.17523798079603378,-0.10606895377536957,-0.002643111750750029,-0.056926907588276475,0.4670833570491213,0.24675182327837533,0.1557619328805777,-0.28039397396368365,0.5130474061394471,0.3968146208525726,0.3186654325196176,0.5195276871934574,0.43168678051628945,-0.13591691926806157,-0.28198549220396524,-0.347804793666855,0.36057970329753225,-0.057789300785888134,-0.055326405989326116,0.31651385842286817,0.388147341315981,-0.17870736654577757,-0.1951868539365026,0.3206351612541564,0.4954462561924647,0.453066718763317,0.5233641735198127,0.23765387139457744,0.48862529547319167,0.10959588704383008,0.23708424920402288,0.3744701398348937,-0.18530728230143007,-0.23400862816600118,0.5015079147203249,0.27635022511472046,0.4934737606950623
Supp_Motor_Area_R,0.2900622588835138,0.08461041733923902,0.4465312054170426,0.5771900337179047,0.0405917602643005,-0.14598116802595001,0.251214439944551,0.3663398063041074,1.0,0.5690937504376161,-0.144860546325982,0.40636542412277454,0.3251722580975783,0.3217898208118504,0.09684425423307688,0.11026371087901454,-0.1748024090872925,-0.08731797845569468,-0.30713176276404003,0.2535672731905413,0.30018779775623566,0.07308640077295228,-0.07715860387629078,0.4037086053217341,0.3599755527701785,0.2293646259812573,0.23039167498002264,0.10065941030295668,0.014484280046028083,0.2947976053919981,0.45378511148892536,0.46676119472063815,0.056531362132411396,0.32465289518214585,0.391784805456258,-0.12190557891561486,0.3496430475871635,0.45266416731843484,0.6469594615247539,0.21623811199639223,0.14177193294385199,0.43311674291081925,0.4322127057123778,-0.04740546218921201,-0.23682346631491688,-0.05836418410778707,0.415449032399545,-0.16058652559112838,0.5970658765165308,0.5921206160247645,0.5795255271414232,-0.2656202001111224,-0.02207672094068399,0.6107612738530246,0.33054754762492744,-0.013230345848623032,0.5248735419259081,0.5350925029891574,0.11728175713033524,0.3052459239641935,0.5552601126605932,-0.004349569227645926,0.4148300901566676,0.4181177683129106,0.5916058060720648,0.7594312754329307,0.026702590348455593,0.02380639520338121,-0.013328603792235815,0.9149618278382747,0.7665588810182621,0.2023300285552698,-0.09484813536812092,0.22658864745773144,0.49210400435469837,0.003630308023213993,0.2670154616253202,-0.24264763484499816,-0.13984941110521829,-0.2659877142437184,0.01658332897469603,0.4430607595585016,-0.15077278922627413,0.5928716425033479,-0.13471411456835503,0.14983712665832957,0.3501902512757583,0.19911573017840378,-0.30829983572338404,-0.036231779357444746,-0.11838700396244807,0.7734235873668273,0.4796544014870922,-0.25791300115096094,-0.004510998059693503,0.2794932777541352,0.09318585744890437,0.7032439728611805,0.47598659028953405,0.6325614491647709,0.40521167851151985,0.577102264655538,0.5077127631268543,0.7046667854171533,0.15040493316463743,0.4024937135285772,-0.08851041206244531,-0.044228422717728366,-0.07649151409097805,0.645923616157871,0.047115901165250475,0.27500091031635937,0.07837504531192041,-0.01757433281617692,-0.1188855013756538,-0.4586927175820158,0.2920004611660991,0.5673889692461407,-0.0032312746341756587,0.275889397224508,0.3409759217232206,0.6279152767728513,0.3726263055485786,0.4562842621420085,0.6457005253639573,-0.04862572031926224,0.13374426596075012,0.6457404664137051,0.12778249571672162,0.1776503282697267
Caudate_R,0.30375610256796287,0.42047737129637597,0.4839242836439362,0.4091887595287648,-0.17107115248366048,0.1242150224798943,-0.1585262329883661,0.6252157524364952,0.5690937504376161,1.0,-0.01190682415783379,0.7228833081817226,0.5563302231032983,-0.05358011539615483,-0.12034568440228006,-0.07334665688708972,-0.12472502107645736,0.5319839205837761,-0.13587239601111817,0.023736603689167673,0.5790720668552173,-0.2865037281019991,0.3625918865106737,0.4015279255229358,0.338528006381972,0.2827628784271924,0.04007005643706838,0.3221892951497263,0.372284484952568,0.27351957076236383,0.48688824914881806,0.34032977167860984,-0.09926129201997355,-0.01628540825484578,0.13967419004296652,-0.261399757565806,0.07849177176805613,0.6639472138980612,0.42199335550774497,0.5934317561254239,-0.20522637345373307,0.7367894445810781,0.5793009699462702,0.29639322316572125,0.3903850277783076,-0.09321371976466122,0.21098329355625087,-0.32370062006638983,0.33444583716787785,0.49471089810286967,0.6947658802764486,-0.27084059664121457,0.311031574659028,0.7491899026434007,0.42091166806951985,-0.2941219691663092,0.5008593536367423,0.5552915388851489,0.08904612007248451,-0.05550649477268438,0.635875481022994,-0.07501920697072582,0.4561813847687176,0.349289300031366,0.3769561081861427,0.795850383837546,-0.23702663150207506,0.07008555946135797,0.13098296517578875,0.5255976091997538,0.704015068079348,0.11719142475219155,0.08731763097596232,0.08339090584319596,0.39758157153090046,0.20551713843030178,0.3310098228745885,0.2627146454448914,-0.33287524539695035,-0.05005956581421478,0.1613939334089151,0.41325529971130714,-0.011919108214338605,0.46576625365066504,-0.38423181137845663,-0.07819661362449777,0.2211431329173779,0.5335820840885579,0.08377453225529011,0.21567908026835955,0.16193766826019598,0.5424573412755174,0.3595627524272565,0.16871509157789114,-0.13851871417494227,0.18467500377155724,-0.11936608383383998,0.6602658907575054,0.42892057010565515,0.4316565297126492,-0.10582914054702114,0.6626840666380123,0.6519691484371498,0.5913884663363064,0.629789051843952,0.47575977694499266,0.08433201531536273,-0.29538187467926114,-0.32069673041571983,0.644589382609132,0.022558620757526186,0.1772579906275254,0.35525435628382884,0.5442858937819017,-0.1220103831003118,-0.28961635964993876,0.5633923454172979,0.7275934257836798,0.40346241627658663,0.6003213413537687,0.3680091855072603,0.6687951158068876,0.31485190100894966,0.08430714569842745,0.5975094391621694,-0.26290570178554334,-0.1621145419640459,0.693697719572405,0.40092880656612023,0.4031325283776363
