,Frontal_Sup_2_L,Vermis_8,Thal_VL_L,Frontal_Inf_Oper_R,Frontal_Med_Orb_R,OFCpost_R,OFClat_L,OFClat_R,Thal_PuM_L,Temporal_Inf_L,Putamen_L,Thal_PuI_R,Cerebellum_9_L,Cerebellum_7b_R,OFCpost_L
Frontal_Sup_2_L,1.0,-0.20126600107356057,0.49521295154042894,0.3057451831803437,-0.06758185082132669,0.4004787628680098,0.24862211151410224,0.2084214297308286,0.2783117496770998,0.393949433942697,0.5575414283548771,0.0013737566356102058,-0.09263206314861831,-0.003547720669222068,0.4511859403964762
Vermis_8,-0.20126600107356057,1.0,0.0750953930950868,-0.16855399000233393,0.455932767355823,-0.5903596694591748,-0.4680811634134852,-0.16340679302119385,0.3673532721706171,0.28355341624618735,-0.054405463496508,0.5553433047770316,0.4615898996526279,0.058219018448930175,-0.3602352104183583
Thal_VL_L,0.49521295154042894,0.0750953930950868,1.0,0.43384457560946743,-0.18235963994163645,0.09633552276241958,-0.05339053579174118,-0.16854337506689343,0.6743432486255491,0.27683595139125244,0.8253891799669537,0.3478136087981257,-0.06848964539872313,-0.12163451533501807,0.1962066784316155
Frontal_Inf_Oper_R,0.3057451831803437,-0.16855399000233393,0.43384457560946743,1.0,0.06221384344964151,0.3749742246245844,0.3023725962933636,0.287483673790283,0.5448292611120951,0.25072533624608984,0.2772179269053383,0.3148746857638421,-0.045463706103806005,0.11611063695580422,0.2882859398594012
Frontal_Med_Orb_R,-0.06758185082132669,0.455932767355823,-0.18235963994163645,0.06221384344964151,1.0,-0.5017033533791033,-0.3151924629163443,-0.0820833213425032,0.2410422712030233,0.04268145131479916,-0.3052489947804823,0.40938642585302587,0.3525602769431903,0.2395218393770823,-0.31795457493475277
OFCpost_R,0.4004787628680098,-0.5903596694591748,0.09633552276241958,0.3749742246245844,-0.5017033533791033,1.0,0.5750172718500534,0.38419887020168714,-0.14826270630928692,0.09105407937967343,0.19743571587750064,-0.37324604134348927,-0.36099584367939613,-0.024534127540513134,0.6608392665086403
OFClat_L,0.24862211151410224,-0.4680811634134852,-0.05339053579174118,0.3023725962933636,-0.3151924629163443,0.5750172718500534,1.0,0.6573765846006258,-0.07558380451340592,0.2617531228888107,-0.024558231938400794,-0.14412744603017694,-0.09339999342725122,0.11654563458865978,0.5221398893698547
OFClat_R,0.2084214297308286,-0.16340679302119385,-0.16854337506689343,0.287483673790283,-0.0820833213425032,0.38419887020168714,0.6573765846006258,1.0,-0.07217446191569188,0.43511101644851496,-0.11644352014842942,0.02436864471812098,0.16768602327911272,0.24862954656620928,0.23621865336502426
Thal_PuM_L,0.2783117496770998,0.3673532721706171,0.6743432486255491,0.5448292611120951,0.2410422712030233,-0.14826270630928692,-0.07558380451340592,-0.07217446191569188,1.0,0.36530385648479313,0.4756970103242534,0.6715721006759751,0.23301948830960456,0.0948728098804853,0.05005441246378674
Temporal_Inf_L,0.393949433942697,0.28355341624618735,0.27683595139125244,0.25072533624608984,0.04268145131479916,0.09105407937967343,0.2617531228888107,0.43511101644851496,0.36530385648479313,1.0,0.26160846172285745,0.40912585219916464,0.15554097669986752,0.01808343575142524,0.23419099513880368
Putamen_L,0.5575414283548771,-0.054405463496508,0.8253891799669537,0.2772179269053383,-0.3052489947804823,0.19743571587750064,-0.024558231938400794,-0.11644352014842942,0.4756970103242534,0.26160846172285745,1.0,0.20434118230980503,-0.14905580214414754,-0.15861913482995488,0.22033702332917163
Thal_PuI_R,0.0013737566356102058,0.5553433047770316,0.3478136087981257,0.3148746857638421,0.40938642585302587,-0.37324604134348927,-0.14412744603017694,0.02436864471812098,0.6715721006759751,0.40912585219916464,0.20434118230980503,1.0,0.4431932187241677,0.24903164296338645,-0.26258136345766886
Cerebellum_9_L,-0.09263206314861831,0.4615898996526279,-0.06848964539872313,-0.045463706103806005,0.3525602769431903,-0.36099584367939613,-0.09339999342725122,0.16768602327911272,0.23301948830960456,0.15554097669986752,-0.14905580214414754,0.4431932187241677,1.0,0.5639261198114167,-0.3483761839108516
Cerebellum_7b_R,-0.003547720669222068,0.058219018448930175,-0.12163451533501807,0.11611063695580422,0.2395218393770823,-0.024534127540513134,0.11654563458865978,0.24862954656620928,0.0948728098804853,0.01808343575142524,-0.15861913482995488,0.24903164296338645,0.5639261198114167,1.0,-0.20482607893112068
OFCpost_L,0.4511859403964762,-0.3602352104183583,0.1962066784316155,0.2882859398594012,-0.31795457493475277,0.6608392665086403,0.5221398893698547,0.23621865336502426,0.05005441246378674,0.23419099513880368,0.22033702332917163,-0.26258136345766886,-0.3483761839108516,-0.20482607893112068,1.0
