,Supp_Motor_Area_L,Putamen_R,Fusiform_L,Paracentral_Lobule_R,Occipital_Inf_R,Occipital_Inf_L,Frontal_Inf_Orb_2_L,Cerebellum_Crus1_L,N_Acc_R,Parietal_Sup_L,Rectus_L,Occipital_Mid_L,Fusiform_R,N_Acc_L,Vermis_10,Occipital_Mid_R,Cerebellum_Crus2_R,Thal_VA_L,Thal_PuL_L,Thal_LP_L,Parietal_Sup_R,LC_L,Cuneus_L,Cuneus_R,Thal_MGN_R,Paracentral_Lobule_L,Temporal_Pole_Mid_L,Angular_L,Thal_MGN_L,Frontal_Med_Orb_L,ParaHippocampal_R,Cingulate_Post_L,Frontal_Inf_Orb_2_R,OFClat_L,Cerebellum_4_5_R,Red_N_R,SN_pc_L,Frontal_Mid_2_L,Lingual_L,Pallidum_R,SN_pr_L,Temporal_Mid_L,Thal_MDm_L,Thal_LP_R,OFCmed_L,VTA_L,Pallidum_L,Cingulate_Post_R,Thal_IL_L,Postcentral_L,Cerebellum_9_L,Frontal_Sup_2_R,Frontal_Sup_Medial_R,Cerebellum_3_L,Heschl_R,Thal_LGN_L,Thal_AV_L,SupraMarginal_R,Amygdala_L,Frontal_Med_Orb_R,Frontal_Inf_Oper_R,Cerebellum_8_R,ACC_sup_R,Rolandic_Oper_R,Hippocampus_R
Supp_Motor_Area_L,1.0,0.40465336286216586,0.37130296896354875,0.48958067049492743,-0.06468146432392761,0.09088099880754603,0.18311859589681048,-0.011428238968436047,0.273060267663514,0.0799437238547121,-0.2628187065261247,-0.14061625708131434,-0.07523611715700518,0.4211491007874152,-0.018255489648949737,-0.221739056940854,-0.23522565790010908,0.6017384357759785,0.25816132172848,0.6652085097292255,0.08089221784054407,0.09673927260114039,-0.09813629851592756,-0.1028435354285657,0.10353846446841283,0.5794517009256135,0.419757627446371,-0.0978186808218519,0.36287745381758607,-0.1555827786904328,-0.06601161381393135,0.4401740293977955,0.02876614703650839,-0.013593363710025985,0.026806786546483125,0.192558607556964,0.13937874380269522,0.6220272895858916,0.21065662279553035,0.3208702202437623,0.3221937597839117,0.30362461804732427,0.6163371393331997,0.23324601676779702,-0.1435904853587933,0.22270326325712622,0.5802304444228844,0.31208886514850426,0.3933659947048281,0.11760369761815288,-0.20798608938020324,0.6629762921465276,0.18729037119089556,-0.08830749680916293,0.38855535724368234,0.48015985496472974,0.5431627702079588,-0.056702194651266975,0.3823538080378123,-0.2238806401451847,0.32133386232992045,-0.16700472966684404,0.40124057505118127,0.39324800988618713,0.13971572261570284
Putamen_R,0.40465336286216586,1.0,0.3100821023302638,0.21196877438154876,-0.15868745458907615,0.20746128940320138,-0.08254479272831548,0.056820670602418445,0.25213471374927937,-0.14748013928550296,0.28678430176230124,-0.34979520946078857,0.07860508399613285,0.12717585319308922,0.2148900809453615,-0.27101894571600044,-0.13730945109505796,0.2523625188438358,0.5043991962478135,0.5734084492749086,-0.18066029748131582,-0.10914776997536664,-0.2789233305428422,-0.27482786461105607,0.4709344992204291,0.18331216430075437,0.1475002969441135,-0.16258469371190887,0.3529213604308123,0.3791404991006277,0.26822610729232654,0.2900557762642498,0.4124023015285643,-0.0810522521624053,-0.12558581995074009,0.1333500665944018,0.2947519572577822,0.6061704851386929,-0.05550101353889737,0.8059651200558653,0.16287113962418173,0.5395071633386164,0.38028775765945877,0.4152332463509571,-0.1857031347634868,0.22471462051851437,0.5557269868362574,-0.0502615747655168,0.2594155033995633,-0.14583803143106724,0.02602238886926545,0.33340617977870984,0.35612597023613285,-0.21900900396744497,0.40141678546540205,0.40763020713715825,0.22480375740166167,-0.26669939916644314,-0.016542105708318478,0.19391438874988545,0.34563920778011853,-0.00010242574848508527,0.24331717829504904,0.3678301212059298,0.30330071643496737
Fusiform_L,0.37130296896354875,0.3100821023302638,1.0,0.7568275567491457,0.1487027162616396,0.4349776762727513,0.6246845966837733,0.5205429109066186,0.010874035810932737,0.5541294378698849,-0.11213987041947819,0.28732128333722445,0.4075228846299387,-0.01096653516835694,-0.09835747487007213,0.13151679699504296,0.22564975769499937,0.25376491762330033,0.04512954881045768,0.4821691315376831,0.4245363116453859,0.6260818505419731,0.5200823950913297,0.3706267393158311,-0.0982778865992669,0.6910736107266992,0.35746759901211195,-0.07009145558034344,0.6268325210006319,-0.1129957100965031,0.28765929040213006,0.5863382580084788,0.4437529817663575,0.5151425825230731,0.5911159011254452,-0.11481987368512551,0.20796730331999627,0.5252572204344684,0.7193904545806665,0.35038969589564045,0.41744682276450396,0.6487913056648801,0.26681786382999695,0.06422682746597426,-0.2014414891728638,-0.007627792260310371,0.3341887197615744,0.4697614200299235,0.3782276399278706,0.6002057983632479,-0.06277719872591918,0.431935917588699,0.4011139682709681,0.44981160240857043,0.30905415414835447,0.41150381341674125,0.554854667388892,0.46970948604214746,0.1758442620832384,-0.17398678283302682,0.5278613251322151,0.22787339705650883,0.5479339797523963,0.33262642512658874,0.39047408972192993
Paracentral_Lobule_R,0.48958067049492743,0.21196877438154876,0.7568275567491457,1.0,0.12252963921163491,0.2907101589326029,0.48744780878784416,0.3536012071162418,0.06153755039829484,0.4820292311097009,-0.17432004966555534,0.24158974767164157,0.2049749507684228,0.11146038669505318,-0.00972131584987717,0.04744077037766364,0.0632525563902457,0.39632903462443375,0.024602172022558887,0.48638352800465734,0.4494659726497112,0.4212724255500408,0.4214457623462645,0.32410515672370566,0.014284347655029903,0.9466993417925675,0.43028139369063356,-0.1408891969890753,0.5403919403198537,-0.19992560361880524,0.22758523467914962,0.7306617508209733,0.1375791472479197,0.35284071510951565,0.37916564326013585,-0.1031493607431994,0.2631753192077389,0.4310932721416111,0.6241244947536183,0.23842581596204318,0.3652690668236928,0.43021447091247816,0.44325436033506677,0.03763182702978932,-0.13893786872363437,0.16159060798941788,0.4089029592964728,0.6177651914466856,0.5254401944956268,0.7014627780147984,-0.08016887769154891,0.44696317959095466,0.3713383332730154,0.3549724457835988,0.47730791052823046,0.5142588047735086,0.5727988120137507,0.4167374651295216,0.3433699869102537,-0.24996398468005535,0.4981271759295243,0.17785999287933393,0.480995698913057,0.41522429077657497,0.468970058510094
Occipital_Inf_R,-0.06468146432392761,-0.15868745458907615,0.1487027162616396,0.12252963921163491,1.0,0.27585702329846296,0.4119223734177495,-0.03209635667444811,-0.5319925714111631,0.44431940930815417,-0.40808097502428436,0.4009705896087252,0.4176972029653376,-0.3749661750452481,-0.4544256864436063,0.657814589456635,0.3465180948432027,-0.21061356233127274,-0.22906084941521054,0.025894911824752728,0.4757888598363567,0.4414347956944095,0.5405887816293159,0.4869769657893744,-0.612588072715304,0.21890452909086908,-0.2115401334800562,0.19286125847602598,-0.07337210546313014,-0.3511092503828124,-0.3821906332778344,0.0172991005168187,0.30757796703299783,0.32129631854795476,0.6320010099697662,-0.41143334272972365,-0.28083729141385605,0.18364787094330662,0.5315656606375301,0.05665914693237459,-0.06282100133890235,-0.24186056254507535,-0.3263578471377757,-0.00475440385561788,-0.2243682189144692,-0.37612747805128144,-0.06822593414314548,-0.11649578784048771,-0.3476723027034885,0.3884455754519319,-0.35061192481086406,-0.04590252682393707,-0.015194689509390178,0.5678244991568864,-0.06666700005162832,-0.3462787026178256,0.12168664169236357,0.6893098540119497,0.10567750665707197,-0.32758770591651937,0.24348262269467003,-0.3252385994618212,-0.0867872190140207,0.18430840503126927,-0.3930245659776369
Occipital_Inf_L,0.09088099880754603,0.20746128940320138,0.4349776762727513,0.2907101589326029,0.27585702329846296,1.0,0.41588053013813386,0.39062390030921906,-0.24450591581223372,0.4165313927465704,-0.15867671429588465,0.38531270055040623,0.4117332780319889,-0.3326655642969884,-0.14201015950798915,0.39993111966902334,0.4223423428397655,-0.09908919791018984,-0.2825363951858459,0.1291272794529028,0.41512471223499153,0.4811942441657284,0.5400739473547297,0.5290391584173362,-0.31826656619293303,0.29155334643431147,0.02845593006405447,0.09374437080845019,0.15702079300528266,-0.1658761657520533,-0.032679479004099406,0.09863792100292641,0.5234491640890528,0.4245350619179619,0.5691858742708961,-0.5240272144786007,0.025125529288102293,0.31066465546075905,0.4263508668254113,0.3983938833101636,0.126851245294755,0.3419500843616081,-0.1374319096503101,0.06728188021740189,-0.45366091350507926,-0.07513929420077771,0.1445899692059109,-0.10904637748636563,-0.07565830647103976,0.290123261901837,-0.012941011791827038,0.13650992936022707,-0.01526953975736233,0.2307611634638198,-0.1503994398880409,-0.13277487285885667,0.19258419880624542,0.4448442752740229,-0.13396192861859066,-0.2023379490566681,0.1590805359754369,0.06744457145830939,0.18304603190135624,0.023000136125909836,-0.1352890405618438
Frontal_Inf_Orb_2_L,0.18311859589681048,-0.08254479272831548,0.6246845966837733,0.48744780878784416,0.4119223734177495,0.41588053013813386,1.0,0.29026367911182827,-0.3715843220708571,0.682903609207747,-0.5678033274810589,0.5539942371760576,0.24813725123897765,-0.19066430315679306,-0.39156319319057753,0.4075596155164545,0.2384609478011575,-0.0067231765935461315,-0.2658094051107122,0.27447948485803675,0.5611885791349469,0.8329796355818846,0.7341580598486077,0.6094503168177476,-0.6187747339852396,0.5246581885194115,-0.027227545827593673,0.08805331107760746,0.4452546592196962,-0.45369714758543694,-0.2665980726254426,0.30476558893757827,0.445003666754904,0.7794808412305968,0.7522958886682545,-0.3637721769405743,-0.1084982974942478,0.40657899693374006,0.828064696860183,0.10665920760387643,0.3631711513173426,0.23421471997954296,-0.06085500978417649,0.09638585736798547,-0.12015621853056029,-0.37836339758182064,0.029102307010315936,0.26305722688626587,0.030590621400218038,0.6901520047135551,-0.31640191897472125,0.20372288525269358,0.187886570169863,0.7088176379658526,0.07670170826305944,0.010467668154018056,0.5778558047232448,0.7534752815123806,0.22128265852254952,-0.4317776648478685,0.37625652188401504,-0.048500271894710435,0.2917162185032719,0.29034992361636064,-0.09107341003779942
Cerebellum_Crus1_L,-0.011428238968436047,0.056820670602418445,0.5205429109066186,0.3536012071162418,-0.03209635667444811,0.39062390030921906,0.29026367911182827,1.0,0.14975699096848366,0.4126074732840876,0.1838922629439832,0.3260994549440623,0.22628871667713177,-0.16401416175772646,0.06208820077004438,0.040037809216094775,0.3376816989726857,0.0615703204941668,-0.272458601059709,0.010239194731441931,0.35747171667066735,0.3965581123376122,0.47339336718569847,0.3217752288507032,0.03020252474062007,0.2894122334091565,0.1385070203405927,-0.03130828837854432,0.20952624353277557,-0.032958864973669684,0.3654879077471441,0.12140575152947994,0.3647410875201126,0.34969792404828876,0.35318084647027376,-0.2874802271102586,0.18223930987509981,0.10156989739312389,0.3073099068680136,0.14821350790217402,0.10744664050910409,0.5643887423594283,0.03106283846628924,-0.026215623147378006,-0.3796325253058087,0.07399455239807375,0.11622591508613993,0.08259684852888555,0.25923583913160975,0.3569700991449949,0.26722316885736264,0.1397496955288683,0.17816509732849523,0.11371798386816215,-0.09054147311805603,0.09321975495876421,0.08650835302936354,0.27303876869740934,-0.2667568773693981,-0.1617633939710163,0.17027656355869986,0.5789703688649651,0.26261309261376137,-0.16283981920079607,0.20066116314837398
N_Acc_R,0.273060267663514,0.25213471374927937,0.010874035810932737,0.06153755039829484,-0.5319925714111631,-0.24450591581223372,-0.3715843220708571,0.14975699096848366,1.0,-0.34345635508748046,0.409270899350074,-0.32152811671113585,-0.2305393646275269,0.7207940032193725,0.38136095696315403,-0.546887781655702,-0.19351132168189725,0.5612803220250878,0.2150427460348441,0.1322876524681675,-0.34532925862336983,-0.40930331839871414,-0.4112096903343652,-0.42503237284896905,0.593508875186228,0.027166167092170207,0.2573693535487086,-0.08270139029623408,0.1544627148274768,0.10120875172579712,0.5236635341919164,0.0925675843085756,-0.2441789243385523,-0.35844435412769143,-0.4955792724400685,0.4542929185257606,0.3734409891784265,0.04590051331117589,-0.37789981739583206,0.14129823966924993,0.11985771240801985,0.23595620273840348,0.5731755371789115,0.09793224199902979,0.10730516482533474,0.3995677010435155,0.47223279582636507,0.21739999809146626,0.5617021836921982,-0.19144653706994405,0.3791851250628202,0.1454101108182474,0.04161756445500772,-0.46705969332346237,0.07874962422334215,0.494620198131403,0.012613358745190538,-0.5084993347526041,0.019205422806518508,0.05738191514313722,-0.08565893803519384,0.34389087006989877,0.22765616680556897,-0.19080386873899777,0.43111087050685487
Parietal_Sup_L,0.0799437238547121,-0.14748013928550296,0.5541294378698849,0.4820292311097009,0.44431940930815417,0.4165313927465704,0.682903609207747,0.4126074732840876,-0.34345635508748046,1.0,-0.3687657259470411,0.5498298856750491,0.24110073205599078,-0.398035955509718,-0.37070262335036297,0.3826588051092699,0.29865962393802,-0.09371547525998328,-0.3165596862547158,0.11864384114263198,0.7694528319935809,0.7117738457152883,0.7454538144213941,0.5703454266170347,-0.4754650143942517,0.5468088786031704,0.0148025386591988,0.07990339245951567,0.2124713836156622,-0.38657120292556063,-0.12972274162931058,0.293955015916801,0.34986311693933286,0.6084470242689042,0.6877474289278948,-0.462298131887529,-0.0742554994484375,0.21429868897982393,0.7404724960711938,0.06655722094905155,0.14528981696470378,0.2168755903064138,-0.15744878769733675,-0.0631864432938938,-0.2708595375758912,-0.1943684943898424,0.022785033863257444,0.16345675911922883,-0.001979919956118851,0.7176580024875978,-0.14410705084067207,0.19496314265028,0.13597107187113916,0.6121334233412933,0.0058055811252724085,-0.11398154272794622,0.30625640322939535,0.7406131521519744,0.06101556254058018,-0.38697048991367866,0.382830246790493,0.11926279803861095,0.1672160966618862,0.17043851426799306,-0.052023817566662085
