,Thal_PuA_R,Frontal_Sup_Medial_L,Insula_L,Red_N_L,Lingual_L,ParaHippocampal_R,OFCant_L,SN_pc_R,Frontal_Med_Orb_R,VTA_L,Lingual_R,Precuneus_R,Rectus_L,Cerebellum_6_L,Cerebellum_Crus1_R,Cerebellum_9_L,Temporal_Sup_R,Vermis_6,Thal_MDl_L,Thal_MDl_R,Thal_VPL_L,Rolandic_Oper_L,Cerebellum_Crus1_L,Precentral_L,Cerebellum_Crus2_L,SN_pc_L,OFCpost_R,Frontal_Inf_Tri_L,Cerebellum_3_L,Heschl_R,Vermis_9,VTA_R,Cuneus_R,ParaHippocampal_L,Raphe_D,Supp_Motor_Area_R,Angular_R,Temporal_Sup_L,SupraMarginal_R,Thal_PuL_R,OFClat_L,Cerebellum_8_L,Thal_PuI_L,Cerebellum_8_R,Caudate_R,Thal_VA_L,Thal_PuM_R,SN_pr_R,Temporal_Pole_Mid_R,Occipital_Mid_R,SN_pr_L,LC_R,Precentral_R,Temporal_Inf_L,OFCmed_L,Paracentral_Lobule_R,Cerebellum_4_5_L,Cerebellum_10_L,Cingulate_Post_R,ACC_pre_L,OFCmed_R,Cuneus_L,Caudate_L,Temporal_Pole_Mid_L,Temporal_Inf_R,OFCpost_L,Cerebellum_6_R,Rectus_R,Occipital_Sup_R,Frontal_Med_Orb_L,Pallidum_R,Vermis_1_2,ACC_sub_L,Frontal_Inf_Oper_L,Vermis_8,Postcentral_L,Thal_VPL_R,Cerebellum_7b_R,Thal_LP_L,Thal_MGN_R,Paracentral_Lobule_L,Red_N_R,Temporal_Mid_R,Thal_PuM_L,Rolandic_Oper_R,Thal_IL_R,N_Acc_L,Thal_MDm_R,Frontal_Mid_2_R,Thal_LGN_L,Fusiform_R,Temporal_Pole_Sup_R,OFClat_R,Cerebellum_3_R,Occipital_Inf_L,Olfactory_L,Cingulate_Post_L,ACC_sup_L,ACC_pre_R,Thal_PuA_L
Thal_PuA_R,1.0,0.2626749682278513,0.4797021434308102,0.23111430215497328,0.5478643839842114,0.44343476851374125,-0.13624321465738193,0.2360046809052577,0.010632225746239414,0.03562198942519561,0.58935886693847,0.32122709961035356,-0.1366720622004828,0.46217507459548224,-0.04966142663283886,0.30603241463948183,0.471251571151862,-0.29249456035717386,0.4493490021572726,0.08419900661021795,0.5107742127475298,0.5863592150154944,-0.2602997797748736,0.26886166347969076,0.05616663027082342,0.2867071106666863,0.27282450900438965,0.2413667728438227,0.6555932678449555,0.23936822158856513,0.11513924958930608,0.23818604116745834,0.3730124451250755,0.3043959875295692,0.49739968462429374,0.2727248785036147,0.33519599454156207,0.4651303445858594,0.3672440564519563,0.13281115766132973,0.453522384082339,0.07699022779666595,0.42820409599892767,0.24200320616373802,0.14304252219010108,0.4808520897707275,0.7714216806081363,0.5075778788692699,-0.04196204855568862,0.22054842588571447,0.4375538960299958,-0.03030584073826671,0.2785594066600096,0.5570282807290018,0.34315074199384643,0.35563705674530915,0.7111002131863599,0.045695197525964876,0.44971103451949984,0.24180603168301065,0.03424715387603026,0.5791396125835198,0.45671812613715657,0.0513190366104819,0.10961053138484682,0.44764579043272856,0.11293839805744656,-0.00018328351547353084,0.42350961273984494,-0.20510029218954043,0.22206512464639966,0.3245114802631726,-0.14120941894866154,0.4131530208065939,-0.09922142229972696,0.38006632039843724,0.43651975261213727,0.16861282793381185,0.10609444522804513,0.49727227415691316,0.32691777029331265,0.2680079259504038,0.3719148174447718,0.6201861523308324,0.5871915867844201,0.42149594662201645,0.23382211947889187,0.214549480324545,0.23682918657957538,0.5430786721092011,0.43013244612417306,0.33756104954313476,0.27242819888316816,0.6986755301689339,-0.27254503205140385,0.3875133852250039,0.40651857954962417,0.6001587076350121,0.13080072092651518,0.786293335839657
Frontal_Sup_Medial_L,0.2626749682278513,1.0,0.5655892310270126,0.15947314569038068,0.24595087520810296,0.05797108347655107,0.45834544458278353,0.1410352048746794,0.1066397134417396,-0.10014881773855108,0.16596625153920347,0.4080425847935968,-0.22107270462404474,0.2401232044640684,0.06486491373795937,0.16521827232682892,0.4084772540742244,-0.10257620663213832,0.4779976977639226,0.045942087003091846,0.3915891242526766,0.3999602153417576,-0.14381967030814305,0.7154415878625466,0.06840018140439665,0.20048591895947346,0.70528312716432,0.7726823405576244,0.22870776333132067,0.41894425927552437,0.07488432954805677,0.2812112715958277,0.2768357832462672,0.13946773686036176,0.16483083050366829,0.5251100017642637,0.20336249466169926,0.42336488440385805,0.36315859104333165,0.3291331513460463,0.1410212010003762,-0.019252154594121808,-0.00631823213951838,-0.12645765060601,0.41426003126359184,0.04086925142150501,0.3384943570789482,0.17889516284499538,0.10774447379255622,0.19688835481618713,0.10488904239707125,0.07820108091427272,0.6666160501328,-0.026221828861891335,0.318591144860118,0.5566559613056542,0.21738584031598657,0.20593537992848432,0.4801354085009332,0.6667579178872093,0.03251216866193072,-0.023439061959077422,0.6404690425211824,0.2634477052245043,0.003888848148884792,0.518986346905246,0.014585425108154347,-0.05796535279071192,0.22212119097773536,0.3551495584483816,0.37909689569266625,-0.15308117484513123,0.21828784903370105,0.6573655477764745,-0.11205652391195715,0.6323509941720216,0.4023051568034843,-0.23490525285535005,0.3801101792091469,0.07001160894913154,0.6506606445298323,0.23386004225030496,0.3217880825326937,0.2324799839245616,0.3357734256071492,0.4104264486086518,0.4297805378667985,0.3927238298289919,0.686691656030066,0.22173443472086815,0.021078587843178724,0.3772638173183093,-0.3973749520813219,0.17936963496341407,0.35996028133901964,0.43461313561036513,0.24897719919060454,0.5950609497315228,0.7904568166142742,0.24695963712502825
Insula_L,0.4797021434308102,0.5655892310270126,1.0,0.2882779526335993,0.4164319394331687,0.16568332280037193,0.3004864463319811,0.07595957111003428,-0.12051225113656007,-0.011824539253457863,0.4223814283567363,0.5477021346736721,0.21575233824991055,0.3324925991868097,0.021820853668527134,0.32799161732626164,0.6159340017344909,-0.18002546930191937,0.7256285220463814,0.23252936614460218,0.5263981703561583,0.8057584231592069,-0.1531159825878902,0.6874112839412381,0.34185543469494145,0.2868798753857067,0.5864988236624205,0.646161245932627,0.6008104832925161,0.5146582771531845,0.044539391353585714,0.25028686578169995,0.4147004515421072,0.1344239913395879,0.3047314623044344,0.5386035631508355,0.5655131174532504,0.5935250979123057,0.6609715109892974,0.4232690175222671,0.45253788223050084,0.10233086855033505,-0.022656232462618903,0.22673384193568388,0.3369219847431095,0.2846365204112924,0.6026069005980373,0.23867914506004878,0.1398424859969076,0.26716893320941504,0.2707810358499643,-0.07520484099186235,0.6797811124192895,0.48683883113999543,0.47657473088252394,0.7143711886645527,0.4937503373010261,0.007079460632612964,0.3523902182703875,0.4096627749017611,-0.10505721792485039,0.39933845160950837,0.3017623573435122,0.16310497552686473,0.3444889748613531,0.7950426918073509,0.056448274618471614,0.0814548936014237,0.5090813803063982,0.055205527953333895,0.47419914582809286,0.42055624358796917,0.022584440067463844,0.7641885180016531,-0.12091564326593086,0.6557936362199581,0.3952476385252372,0.0851826557018783,-0.07617825043190661,0.5168418932343631,0.7148645359928351,0.18471554427912848,0.6889573617116997,0.2984789463454032,0.7346532939769242,0.27371458066265736,0.49445205029081246,0.14573976830839044,0.49818062469790314,0.3968928283336368,0.3058507218269453,0.7015037119128443,-0.17091292943846798,0.6421635495961238,0.184229806340386,0.3618167413014959,0.26601432761848237,0.4712835991385476,0.37497528539637603,0.620900056233756
Red_N_L,0.23111430215497328,0.15947314569038068,0.2882779526335993,1.0,0.06267161600024589,0.5921066512819562,-0.0919215320947952,0.6458316116536744,0.044667929271668946,0.591115847535518,0.08292450285529705,0.4087185591788619,0.07729865485771162,-0.17933124394122021,0.009190967351546918,0.4638542162156585,0.46220304260470096,0.29424180537524924,0.19535602133136937,0.30444704675779827,0.5462135976817485,0.43135323324824454,0.33167137958974924,0.4456315747361083,-0.053853702173423106,0.6964834508899385,0.14762331601085235,0.36553989513883356,0.1863620521249372,0.6361570346194008,0.49189672925578976,0.4457601713911228,-0.17749345493440483,0.6505946439010896,-0.15096959706637889,0.5865718761169759,0.13269944801452405,0.6228072272573405,0.37210223446108887,0.19423383316584206,0.4085178905744061,0.49225417718244974,0.28385037809575536,0.4141593705324534,0.32490590539749914,0.4014814776260309,0.5340656445009547,0.5293099553324293,-0.005621859528686598,-0.2930677122030291,0.28105376252330727,-0.18820964455591557,0.4919452396485462,0.2681510368428988,-0.023502484404522832,0.40320491697685756,0.24870579217856478,0.24105276828664277,0.3289243656446666,0.21294152263345867,0.34705983490256287,0.004219695142093918,0.2650367879155023,-0.08739777528518067,-0.3123103749573901,0.12464048105027183,0.03310980102152292,0.07696369268310917,-0.09791831311596783,0.11408030772122715,0.490884178895759,0.06432557443567062,-0.07169060049788498,0.2777853544610176,0.5557172634224891,0.5024123454814641,0.4945957729200654,0.28757099765244665,0.39273021750621884,0.17510135330504525,0.4584182825627039,0.3113089267628128,-0.05314722643963964,0.22214351358457327,0.4693041116976409,0.08292892413251107,0.28067244350219606,0.5425600451318731,0.5775433690744189,0.47239849457161165,0.058151746605782456,0.15310112527903308,0.13705759121312408,0.35343820836610923,-0.17882654685890406,0.45099764491503286,0.4036610512833959,0.4062749730687901,0.13614188581521564,0.2219797018477109
Lingual_L,0.5478643839842114,0.24595087520810296,0.4164319394331687,0.06267161600024589,1.0,0.3002586790088787,-0.380031625302709,0.09943828106801843,-0.04355281425982327,-0.1717120316546552,0.8932786844747763,0.5988034167098357,-0.1390439639085421,0.8282517889084242,0.18339508231911197,0.41253686724809585,0.6495229135411599,-0.47930236780303154,0.42199123298630403,-0.16077527657105709,0.4700040325318857,0.5406153825349417,-0.25763075618043546,0.33101651793066944,0.2770568105490356,0.1381503450438811,-0.08336734974081399,0.38453678549405235,0.5332671811521266,0.1938148801983883,0.10314058271848646,0.2753220545411255,0.8155745639616476,0.19078128183954104,0.6090893361209122,0.32564108538692693,0.6442929907687689,0.3763809576392341,0.5632331402041166,0.24753497748328682,0.306048517192647,-0.07341782519323305,0.29424655980467745,0.25725229858586474,0.3314616040246606,0.48672880654868605,0.4668547222677945,0.3106669445651414,0.22611427073933435,0.6721521685566754,0.5884697571348805,0.13199676172242417,0.27965502992303914,0.6401178402171606,0.23046769971802647,0.5387719550054375,0.8592658218272904,0.04917187469790911,0.6145842728919301,0.03076096397632787,0.1408542238710137,0.7724585929318543,0.43410870648547506,0.11953632268607124,0.25203116109821405,0.3724780810171201,0.45759934411890785,-0.13549930419842166,0.7776078313016402,-0.09639269453387866,0.21282196189597094,0.14612569220580585,0.020164383299131245,0.6591684484065911,-0.1970420952381797,0.48379359943828065,0.4424984858873674,0.22629703280093078,0.1525303868897376,0.6065691991292227,0.42360429081477957,0.13732560619258488,0.7056064140737219,0.5688609172820221,0.2633049101675095,0.5074329469015518,0.21755048424860238,0.04636766091910589,0.09960283865374599,0.29577798698503793,0.5811997730803624,0.23104456446091842,0.4289854177172885,0.44106272645598205,-0.20727983063417504,0.17558599446486864,0.6405993544260966,0.5605078517859532,0.010177685718504362,0.5102619142758366
ParaHippocampal_R,0.44343476851374125,0.05797108347655107,0.16568332280037193,0.5921066512819562,0.3002586790088787,1.0,-0.31886106728117897,0.8061554342789035,0.06626157997351045,0.652555790820977,0.45035370182815865,0.48734504778005866,0.07596816640861326,-0.035936102484441824,0.2267996564511995,0.7171093572528193,0.558776180786029,0.09134269059652286,0.31149765547724817,0.48173719117064157,0.7073014170146191,0.44807353935287336,0.11460414083948366,0.3506891953405957,-0.292179833300151,0.583526620880786,-0.08796053041239105,0.32942343075985636,0.40828245313844774,0.5600933228459528,0.372890534463533,0.6854027429475016,-0.03168789205021819,0.7977793842765334,-0.09871333181451213,0.5993884059623719,0.18242108320407774,0.6703365381964987,0.3130565648657842,0.30734099684438043,0.473822307043867,0.5266831023608152,0.5029435480901301,0.6414567222259274,0.5490642333069093,0.7003681357964181,0.6965736947685487,0.8192667447869271,0.05374972344451684,-0.1809815957809597,0.6247242448187637,-0.2069365561924448,0.42873382042340513,0.48308307424703106,-0.0026346571872714014,0.40543516661957935,0.5823763639097755,0.13170670791231867,0.5463898605662689,-0.05053766078554342,0.5793945535640246,0.31677079592925683,0.424232639675538,-0.14236142723621162,-0.3093412918270263,-0.07631139145074445,0.34081428142667075,-0.07365315359439653,0.06072030792690867,0.04182317347694336,0.6364981383500077,-0.006193565711865735,-0.16061617903440417,0.26568775906577025,0.6050766550606873,0.511470764180766,0.7150607659010126,0.5672471105604551,0.29700614623945465,0.15130405333024316,0.4229382635234163,0.47717845877364834,0.06027788330458108,0.5939436000028931,0.4180301639481455,0.40478943632185466,0.05100869249479282,0.38146522081887985,0.4393978066576845,0.5504639024203384,0.46808152634654726,0.13288997676095668,0.2923954761536969,0.3798802505362491,-0.53056115699199,0.3677031801299147,0.6348439367079405,0.5725598547776831,-0.012339254570722468,0.3961749388163271
OFCant_L,-0.13624321465738193,0.45834544458278353,0.3004864463319811,-0.0919215320947952,-0.380031625302709,-0.31886106728117897,1.0,-0.14114898511191676,0.008850092128855189,-0.13054706296388469,-0.4150315071248376,-0.17603560599289897,0.03655988051542915,-0.23293821448106716,-0.2962786515857726,-0.2506833101496104,-0.14874043500011946,0.08718842058185933,0.13184375587605357,0.06802999049279057,-0.0664682010624801,0.14375636795812358,-0.1054269140899694,0.2350079487952898,-0.1421135916378495,-0.12177300634412894,0.6796738019886762,0.2936486849433723,0.05138694507482518,0.12623515202887597,-0.19312944265497825,-0.0456300379526972,-0.2029367893951923,-0.22787471164573977,-0.22545477852260382,-0.003595714034518522,-0.20891303940384226,0.10479831885339055,-0.1003319359496593,0.10559100705540929,0.05636646809878893,-0.20248371464104917,-0.22942802713085056,-0.3607669560273568,-0.032942503297444865,-0.3429300691851972,-0.05499690527592557,-0.18604571632082462,-0.15838285617205378,-0.2301379874957109,-0.32189266908581,-0.09660328109997503,0.23539607878433014,-0.3126253787195425,0.3759978918671186,0.08014343738306803,-0.319960168104005,0.06238806346767245,-0.1262255931210188,0.5081444722003566,-0.06245560288444652,-0.38106874711558875,0.0825760538258486,0.11162442517734351,0.025187497903727197,0.42077722510006016,-0.4856219233168426,0.02925270426532683,-0.21226126763751071,0.25658144213503975,0.10093622036099324,-0.13747411684442934,0.04410700777456148,0.13497347383207128,-0.14870038700165197,0.05577920166607884,-0.05093957403726372,-0.459135356312626,-0.06862275718483725,-0.35417545020527047,0.1719708636299375,0.11091424282158042,-0.06348741048565193,-0.22078191139148373,0.24300529037633362,-0.004982876803864264,0.2571244455304373,0.04179335660739829,0.30359423356195686,0.09716846294292433,-0.38512319703330994,0.3578796471162364,-0.6254918067744001,0.07898224353709145,0.4111431171790102,0.32392038297359005,-0.37932441098102604,-0.08119789521527174,0.5990982657682674,0.007369604871064734
SN_pc_R,0.2360046809052577,0.1410352048746794,0.07595957111003428,0.6458316116536744,0.09943828106801843,0.8061554342789035,-0.14114898511191676,1.0,0.0584786847222879,0.7321568159405708,0.21741752512773996,0.3621362269269027,0.06457344741751905,-0.2360733135885833,0.12468132476745927,0.6257649470954577,0.42082843164874034,0.24348683942724056,0.12156807448941107,0.4886422978595054,0.6201089493312388,0.31704057735361585,0.10577587946440227,0.33122127692319775,-0.44108632968333344,0.5872933497864204,0.02950952112800788,0.3302842468017183,0.16757662910527768,0.5800542536392486,0.46107988215266726,0.6199882615012928,-0.16189146176467836,0.7393188769376855,-0.3576496117045233,0.5583191441843851,-0.010896741045658657,0.5489667882559749,0.16084668717867362,0.29076224932649813,0.43846990756271165,0.43903861028977914,0.4296564452551242,0.4785889288125098,0.4781359649117202,0.5158412217140538,0.5468881362354024,0.8150521400272307,0.0007378282179650417,-0.2949492126169412,0.5440642344952393,-0.26196568778425106,0.4063439813435444,0.21112496168159975,-0.07639412263850097,0.3070402183306979,0.3586010937117124,0.2873824399425577,0.4640155104668757,0.04493962263084001,0.5945973798640652,0.10082770913687554,0.40281868738793253,-0.14697042446013675,-0.37411748015557145,-0.11988744223725879,0.21470803693319312,-0.11175109109990335,-0.1272834164202234,0.23351943292995658,0.5877637390117,-0.19934683643392892,-0.07768069906451154,0.15788612649252093,0.5793072296696874,0.4390485962124972,0.6871754645409573,0.34837906915987416,0.37153600458331626,-0.039807289375084653,0.3767353065723122,0.5745166674201648,-0.12829567608352083,0.4961202637808831,0.32544800508852473,0.3998439416878501,0.046301884385297525,0.46309846460026205,0.5165264600326864,0.5267943249846909,0.21419232828711432,0.06838916943624615,0.1406987520079867,0.24604148008041307,-0.4642022499960671,0.3865828333371779,0.512729028573128,0.4722839943874635,0.10380191511206993,0.22472306609393047
Frontal_Med_Orb_R,0.010632225746239414,0.1066397134417396,-0.12051225113656007,0.044667929271668946,-0.04355281425982327,0.06626157997351045,0.008850092128855189,0.0584786847222879,1.0,-0.0241716899410911,-0.08710840003161385,-0.14967938176827023,-0.2586064192934812,0.0455721566468173,-0.16578086743417075,-0.05540275137222019,-0.12847798160683427,-0.03767546035474601,-0.18853882232848315,-0.1852171353999115,0.05874786257125288,-0.07004388419891493,0.08702506765943589,0.006701848543743383,-0.050292293435798795,0.0720046471345738,0.17510039602060992,-0.023944987093905214,-0.07996840737589155,-0.0050122739379041,0.13492296501848466,-0.009779589996286737,-0.18820034264521185,0.062246560223781916,-0.08898094467628524,-0.018749623368289538,-0.2398376823945358,0.06194728788452341,-0.1794638189863456,-0.38170550650816953,-0.13841557073392535,-0.012590063070315093,0.18488666184463304,-0.23257973788074388,-0.05230731074951502,-0.1333208018219154,0.0390758053368671,0.09680847709198152,-0.2823043218458383,-0.13446211341196612,-0.017582769908924104,0.14465057995781808,-0.006909208293686975,-0.13872716118208747,0.29219851884781245,-0.05603385993955066,-0.047557744676382095,0.17511456098449812,-0.0007943188018115753,0.24108993935633233,-0.04999433378791696,-0.08688526514666306,0.08900085808779626,-0.015285813163326613,-0.04515154107130574,0.06914141356029539,-0.20761237076966452,0.08462154100614029,-0.22898672981423873,0.3474325049957362,0.02225503841674037,-0.1874409338687744,0.1421856766843847,-0.14134184318031726,0.065775523827193,0.01622355140609638,0.06624981968330844,-0.21487526783586663,0.2719360021428994,-0.17162182964531766,-0.012331559090152207,0.031171911388560482,-0.25341244309997446,0.06401020139430458,0.025301211567172154,0.0005181722261983244,0.08108079431404516,0.13507286445014363,0.15789214276603658,0.08808823118517867,-0.17039056327852103,-0.15334302766261695,-0.012590480803104808,-0.0032565399181244347,0.03838356225322031,0.22122778103221924,0.027484771077840753,0.13129591953993316,0.15631233349854132,0.09394774106810898
VTA_L,0.03562198942519561,-0.10014881773855108,-0.011824539253457863,0.591115847535518,-0.1717120316546552,0.652555790820977,-0.13054706296388469,0.7321568159405708,-0.0241716899410911,1.0,-0.03568508359873175,0.15668643772144858,0.18150354404552663,-0.4991409777556139,0.0868478036263931,0.4161232616013339,0.24013659465996134,0.3003824584056521,0.07741396672928626,0.6289632344538085,0.37942662097386437,0.19671677811236737,0.26479102600295884,0.1890389928907505,-0.33591942279283976,0.49105331021935894,-0.04804101471362472,0.15579171257505203,0.024722486351435077,0.49584797555161375,0.5047075788605344,0.48455205284606273,-0.41996060291171633,0.6125423226741616,-0.5312639048514098,0.39923978011000444,-0.1367173812612315,0.42131483669445124,0.06657495487759743,0.30210638036638565,0.32279891420423085,0.4657563216324971,0.18135412482329752,0.46857373320736867,0.3669384754050928,0.33756834494919374,0.3881165871702395,0.614316421593486,0.009423835484913512,-0.5039352377178256,0.3211525006074446,-0.3670588204970001,0.3042089815966157,0.12570600584245728,-0.22133848592888494,0.14063885034643592,0.1016241287241638,0.21827016142917122,0.16433771079944645,-0.11850597984591908,0.5010768534118828,-0.13813387388089016,0.1401421637001532,-0.1809493597023651,-0.4446673299913219,-0.262370098618044,0.0873408160942429,-0.1451214137435668,-0.3240660697880087,0.17553578447189078,0.5310602708314471,-0.11497362135620554,-0.14503370617489622,-0.0380211805676511,0.628183322511657,0.2511585838175037,0.46349152197144056,0.3614522133586712,0.1727285390701386,-0.10138188674161848,0.21296876415464439,0.5645025671406664,-0.2917534314263869,0.212348735399703,0.26749182637878627,0.22749184498016195,-0.06217107609144989,0.3729249962006481,0.391770717135825,0.36725311990952947,0.07257860665601772,0.035015222745908375,0.05337725633287705,0.18651639001823317,-0.42298248364929786,0.20701989902548895,0.23016738450576021,0.1576977939423832,-0.003904457210954247,0.03852371463538475
