,Rectus_L,Angular_L,Cerebellum_3_R,Caudate_R,Hippocampus_R,Occipital_Sup_R,Cerebellum_Crus2_L,Cerebellum_6_L,Precentral_L,Thal_PuI_R,SN_pr_L,Postcentral_R,Fusiform_R,Supp_Motor_Area_L,Temporal_Mid_L,Postcentral_L,Frontal_Inf_Orb_2_L,Amygdala_R,SupraMarginal_R,Olfactory_L,Thal_VA_L,Putamen_L,Thal_LGN_R,Vermis_4_5,OFCpost_L,SupraMarginal_L,ACC_sup_L,Frontal_Inf_Tri_L,Parietal_Inf_L,Occipital_Sup_L,Supp_Motor_Area_R,Thal_PuA_R,Cerebellum_Crus2_R,Frontal_Sup_Medial_L,Cuneus_R,Occipital_Inf_R,Vermis_7,Paracentral_Lobule_L,Raphe_M,Cerebellum_7b_R,Lingual_R,Parietal_Sup_L,Frontal_Med_Orb_R,Cerebellum_9_L,Vermis_6,Thal_PuL_R,Cerebellum_Crus1_L,Temporal_Sup_R,OFClat_L,Cerebellum_8_L,Caudate_L,Thal_LP_R,Temporal_Pole_Sup_R,Thal_MDm_L,Frontal_Inf_Tri_R,ParaHippocampal_L,Thal_LGN_L,Vermis_3,Calcarine_R,Red_N_L,Cingulate_Post_R,N_Acc_R,ACC_pre_L,Rolandic_Oper_L,LC_L,N_Acc_L,Thal_VL_L,Thal_MGN_R,Cerebellum_10_L,Frontal_Inf_Orb_2_R,Cerebellum_3_L,Fusiform_L,Paracentral_Lobule_R,LC_R,Precentral_R,Olfactory_R,OFCant_R,Frontal_Med_Orb_L,Hippocampus_L,Precuneus_R,Cingulate_Mid_L,Frontal_Sup_Medial_R,VTA_L,Thal_PuM_L,Putamen_R,Amygdala_L,Pallidum_L,Rectus_R,ACC_pre_R,Cerebellum_8_R,Cuneus_L,Vermis_8,OFCpost_R,Frontal_Sup_2_L,Thal_IL_R,Thal_PuL_L,Occipital_Mid_L,Cingulate_Post_L,Cerebellum_6_R,Pallidum_R,Thal_VA_R,Frontal_Sup_2_R,Thal_LP_L,OFClat_R,Thal_IL_L,ParaHippocampal_R,Frontal_Inf_Oper_L,Frontal_Mid_2_L,Rolandic_Oper_R,Thal_AV_L,Frontal_Inf_Oper_R,Thal_MDl_R,Vermis_1_2,Heschl_L,Thal_PuA_L,Red_N_R,ACC_sup_R,Thal_MGN_L,Thal_VPL_R,Thal_VPL_L
Rectus_L,1.0,0.014102730605115098,0.060968635945410146,0.10799151409393795,-0.10146403684663309,0.047540244905531194,0.02549686419694897,-0.22863052156306599,0.045554121829550286,0.11485785354845908,0.016760553250314524,0.09287034907625534,0.10860825022535373,-0.007954289494385215,0.16488837516824179,0.06475243957511957,-0.04211737000702868,0.21441924066123008,0.13344983792384477,-0.2010414975106127,0.2410259215081558,-0.09608582481031229,-0.1333471186439907,-0.08024185326074183,-0.04663093062598234,0.005206681217641551,-0.14548367824470376,-0.06631312781024452,0.03456026025296467,0.043349602555932405,0.11446956749385545,-0.1366720622004828,-0.033605455634403605,-0.22107270462404474,-0.032054149442835016,-0.15982821744336234,0.1074745685217741,0.08420844047138872,0.14820318492334608,0.2736421588280793,0.021290467011510782,0.0602010856500159,-0.2586064192934812,0.09765576184692625,0.04881548959224806,0.17389909103213635,0.05574329985891204,0.03389664567210158,0.15441381072640065,0.1111775682661569,-0.41743206580427267,0.2510666897899893,0.1376974214252743,0.0061027922005074085,-0.06283132834327615,0.08264377849150173,0.0758830243811129,-0.06961681704167891,0.12631584092154005,0.07729865485771162,-0.1512768581183934,0.27769682746752933,-0.34726537226739024,0.12069547479486584,-0.16781363175440359,0.1076461429556251,0.06813413960750178,0.025231956503106372,-0.1091609612395571,-0.0025677351983524957,-0.024858198281531046,-0.04258513403611384,0.09380575006449149,-0.09750986129335641,0.04646404433497668,-0.023272455047608363,-0.09236168941397292,-0.15891276452911035,0.049749615731672046,0.09452538710335351,-0.020621566276045413,-0.18801380130161524,0.18150354404552663,-0.007446073327463791,-0.024941163491632563,0.2424347137742759,0.2355712001383685,0.45204152054398355,-0.3055353056205031,0.2237498857960138,0.08678632800051826,0.10571791106318473,-0.1260861148833914,-0.21341192110899693,-0.29373572580826357,-0.22605392272049277,0.05517242804104318,-0.00572698194710296,0.10387736257754551,0.12994853884503021,-0.21412235735087407,-0.14330781541539717,-0.4299289518456327,-0.06869972517322331,0.15983902955321982,0.07596816640861326,-0.0002155069320951681,-0.06792104675382661,0.08975419683534018,0.08531116160213627,-0.15958466196151644,0.4208431179223028,0.42244536261567034,0.07291899903853476,0.06805345802985459,-0.12012387093950484,-0.10265214478483031,-0.07191419850160831,-0.01571774330869671,0.035979678981581574
Angular_L,0.014102730605115098,1.0,0.09965034820317527,0.2776564778458982,0.03042194790033359,0.660201653956443,0.6431909302127712,0.5378410586355695,0.6176103281262155,0.19676768168972378,0.21248475203471262,0.606737524106185,0.21000238945880748,0.5772243143570354,0.5849352822855687,0.629769459316794,0.27201191968377525,-0.10245322066981462,0.7329261524452565,0.03960858645008991,0.18286792371565394,0.39706006769359403,0.2191764063630187,0.3975244451037505,0.2652871537697925,0.8037688460898528,0.45796571722704826,0.4663255929812564,0.6853178204019458,0.7089281470780028,0.5683726183048752,0.13122454958493748,0.3557500431154997,0.3663301115524404,0.6276247166039487,0.30032740841413735,-0.1053007071437249,0.5900247103984405,0.3697288684535303,0.2141349881725316,0.4031950478407973,0.8269566525530848,-0.0949093082612572,0.31901078479670847,-0.14774263384329395,0.2125070170923364,0.26988900157232387,0.5280537953749249,0.08542801922123235,0.20909241138944598,0.19416193647031293,0.2467478623309443,0.3520191202024155,0.2120141039404416,0.4383092553486445,0.10463874066071059,-0.006527565584037162,0.3359481126339365,0.35583239718455584,0.13035183943028208,0.5050910383136517,-0.028405235103380676,0.0674003602966463,0.33353708206104965,0.19186228310312284,0.20492546704588463,0.04212386962430902,0.3998238518857227,-0.023608176046350928,0.16001181171367668,0.2217591222625629,0.29930364609739923,0.6255131910314956,0.2134744644838273,0.5531654559217963,-0.1072923936963606,-0.188587835119571,0.05099038450614121,-0.08886838048211751,0.7858820021834447,0.4018243567782344,0.27029668617895314,-0.19107514967299297,0.0557960701101981,0.3881886071386301,0.09550179633319357,0.071622992584342,0.038150425851696555,-0.006293871693048299,0.21847814300077034,0.41082921812570444,0.13003969469912857,0.0379155536212391,0.11930472682229087,0.16161723204474712,0.4101532303916252,0.6477559681092699,0.5660459969001367,0.25255747959960306,0.03707403184135221,-0.03155529357658967,0.19899684613305366,0.10193901169944168,0.17123348392626345,0.21098691454425367,0.043760576832640466,0.6782220076942707,0.4784215291358013,0.23412747807839,0.016052665673393016,0.46874349671427373,-0.12032205662420008,0.15729532767490997,0.2916803202561147,0.13465585332964788,-0.14931461385056427,0.3714349083019357,0.06765037111404468,0.163068203200038,0.27898166104655475
Cerebellum_3_R,0.060968635945410146,0.09965034820317527,1.0,0.07878248890207254,0.48726162418577174,0.3407773488841647,0.055438271841716014,0.2566554367256204,0.35548690931764176,0.6739738308007779,0.4331372226907553,0.4540632392440625,0.28338617058199433,0.371505857259967,0.6208454757312947,0.4263397511074913,0.5077116153787399,-0.16440815578519025,0.42213045308788827,0.41958526808553465,0.44045233255414984,0.6160116072563371,0.6375108506173742,0.5623438401278414,0.6245824275755466,0.3838886321608683,0.4611061348013371,0.28610023180386385,0.43950812071880935,0.33910181922532345,0.3268538575593959,0.6986755301689339,-0.0377873541263499,0.17936963496341407,0.21912034787120896,0.2918372797533973,-0.29494538227168166,0.43341637644410774,0.4811327268267752,0.10157479985933157,0.4476125063651495,-0.025983431327692107,-0.0032565399181244347,0.31161769505849507,-0.19939704658698684,0.19248191589295918,-0.2226970532540049,0.4965482711787101,0.5503277624634048,0.05353738068819881,0.2824415309983579,0.16235772396942375,0.5301720625435311,0.41032469513536984,0.29093081567752466,0.2830425524113496,0.6194733296171693,0.6911808613662939,0.6338217222751881,0.35343820836610923,0.317463792429156,0.459426259749135,0.27787221224110914,0.7347323716631363,-0.20436376561784866,0.2935157582177618,0.39253973184475666,0.5064207637595457,0.09569245770468274,0.3379275891407412,0.7561780071226961,0.29685569320769645,0.4569999912364572,-0.2166239340932064,0.38535595092618236,0.31643163247904627,-0.10870275458032194,-0.11307032246375637,0.5152154586687187,0.3170375790772958,0.4312359798198772,0.24539550265593013,0.18651639001823317,0.46498062219633085,0.5704473066480477,-0.027807874910318504,0.52557109811769,0.02618268055566936,0.14253106113968803,0.2512076892844616,0.5025854821967067,-0.038947513493533356,0.3724703544605524,0.17996608293399743,0.34752751921334835,-0.1246233371355136,0.3776610921064514,0.273864502358929,-0.11387725584094995,0.31301346464846685,0.00024016431331864985,0.3139124084850326,-0.004836819556438449,0.13640238283850822,0.532782829033834,0.3798802505362491,0.43142561325085993,0.4393946148660136,0.8207651105742215,0.20561039429108455,0.34381641712044875,0.18168458129652598,0.45401052516999313,0.18824151097801392,0.7829453595620499,0.2904885644055047,0.3557050607084947,0.4677099756371625,0.38156760552894287,0.5284562271341128
Caudate_R,0.10799151409393795,0.2776564778458982,0.07878248890207254,1.0,0.46669446242615625,0.20489449818000616,-0.02844445714979491,0.13706741173696674,0.5647078395697654,0.2526064950933925,0.44930120093709364,0.5752260737736518,0.2849042213860224,0.5999364519761726,0.31502860374922415,0.6122151615565423,0.21955675033416314,0.15445112303110714,0.41683167157876444,0.19851260834459544,0.47426656819918156,0.3084248596250164,0.2827324314030804,0.2121827113533452,-0.006382697922130167,0.45090321584571663,0.5030079222138593,0.7197433390476903,0.5070153455262986,0.18927000088611642,0.5763431912159139,0.14304252219010108,0.2777484791083103,0.41426003126359184,0.19019007968551102,0.2609912958619196,0.09638154003136366,0.5488056774208738,0.2141967315729136,0.2942247807227672,0.3460405653669284,0.4646745811739869,-0.05230731074951502,0.4913524534350682,0.005721978660553279,0.657075049757942,0.10015374912767383,0.5308700143862174,0.16307053214326103,0.2981338337770041,0.6425737635843699,0.5055491076520083,0.03835535839469558,0.6811644973317843,0.5295662911699206,0.4452311206707031,0.3058837733097982,0.34997366970243515,0.31049136911660474,0.32490590539749914,0.5711163088674257,0.25714085446638235,-0.06258471064283218,0.3732027137966138,-0.2633955242437402,0.19901108569822396,0.6391685622701956,0.05140601937852192,0.02037560217732667,0.05201780709715817,0.2367919160873261,0.20570900063121939,0.5473285134917082,-0.0021225028615392194,0.5417832490404868,0.24472936726723168,0.025183942593766703,0.07269792545913809,0.42004387922883607,0.5187928886760211,0.5496692270620454,0.2157712209423581,0.3669384754050928,0.4563264542747692,0.2786770221181551,-0.17837387961139956,0.264906214439569,-0.17573968793058448,0.3409466979925831,0.3044626858840623,0.14847878490727698,0.28978747010458467,-0.026656310325057817,0.1696426994405733,0.4812075507923698,0.2942988968266552,0.10383057071004183,0.47195173379965794,0.3709524992573791,0.6658475243295995,0.574005702398969,0.0830251837666441,0.1766187218532338,0.005403691843461087,0.3297454888354451,0.5490642333069093,0.5497378673091663,0.6327775536381057,0.11658718359948837,0.3208200687107186,0.3175703828576775,0.4493688879094341,-0.10086362681357723,0.43279383013573985,0.13165430783989293,0.42022334629399727,0.5029770293951241,0.09094824646681954,0.6611736893567333,0.5533727434722663
Hippocampus_R,-0.10146403684663309,0.03042194790033359,0.48726162418577174,0.46669446242615625,1.0,0.056863265745457525,-0.35391033659571913,0.06957218137780971,0.3469401793015658,0.7484705313347825,0.6737539593624253,0.5426021585443535,0.33753440262005835,0.5904238341500048,0.27027754579176205,0.5146673090163707,0.10111078913974919,0.16471182990319594,0.2913133661754378,0.486057473895196,0.6708450577665818,0.3063569112927803,0.701982483782084,0.21817713954309903,0.07372535390411279,0.3788182736691873,0.6539941647598188,0.3705387558456126,0.6291992346249855,0.078538290883808,0.5714238803806374,0.5384247879289205,-0.09840354974042094,0.1733964335769544,0.0008447511310107895,0.40466977579255575,0.23576398814941182,0.4182859149317637,0.11360389833017016,0.34825505879691426,0.44297624904241023,0.2978669187368821,0.12447560831240231,0.7002632754450439,0.035311326348443695,0.2625859558818029,0.018431451885461927,0.5545199511946279,0.5926208207137011,0.40492832770504816,0.5464768785569748,0.07949659070891901,0.22731828928047912,0.6913738224950489,0.3878183124179458,0.7962340736583376,0.6900102118548199,0.5360848736864159,0.5732245004981553,0.5522769783320283,0.6543287490388605,0.2011169466246546,0.1428786052524901,0.4873239943512666,-0.5418451909801913,0.06859518926284615,0.6791020834671913,0.09902960793624421,0.2088286154652784,0.1285004089112614,0.4821308618144427,0.5586432575958611,0.39575818251128597,-0.20447658393551005,0.4236933005746779,0.35297644423209007,-0.2514766665521036,0.08154858534631904,0.860309138843356,0.4524913163868945,0.7868574484747859,0.062424455692435925,0.5685322795883826,0.6995918889897014,0.4091842456145159,-0.15806520352797543,0.20471182075874134,-0.18091348766784424,0.1273840615606008,0.492486529327213,0.3427658478905791,0.5129775171577915,0.07322746983697345,-0.03912721635946227,0.5506042305733969,0.028854160243605317,0.056703130816944655,0.6602503413816573,0.1578828411202496,0.6344222891292353,0.637724252699045,0.0550422517285125,0.369566755605877,0.3159404940162816,0.5940987049413456,0.8974752294356965,0.308030145138882,0.6351245986243115,0.526591655904686,0.36304190068623,0.26778351070358275,0.3571629679356941,-0.1281757158746593,0.5162562183546974,0.4854512208822065,0.5764434235308146,0.7352363583876228,0.38392286761210015,0.7981940671980854,0.7732398653897923
Occipital_Sup_R,0.047540244905531194,0.660201653956443,0.3407773488841647,0.20489449818000616,0.056863265745457525,1.0,0.43851463082179226,0.7268027823106955,0.3481881828354369,0.12282407033682198,0.3077005566424844,0.4623527042470331,0.6894130726530177,0.38753431513051945,0.7103747919040776,0.4265478106799754,0.17672651513487145,-0.26852880913238897,0.6543038230844899,0.03489382728873888,0.2712995879776919,0.4337494762258822,0.17586687212188293,0.8624176480938456,0.4016694634799314,0.5589720365158107,0.33593139001745387,0.269532857106802,0.6042447902417184,0.9439721378742287,0.291228463150163,0.42350961273984494,0.7064014818043858,0.22212119097773536,0.9403815992958995,0.3308846838515993,-0.6452995760129503,0.42825761591639966,0.6005496105360421,0.39432015392467396,0.8069230737638279,0.534895167841234,-0.22898672981423873,0.3408788962859143,-0.5319847449403275,0.18460791940465412,-0.3756953954699585,0.599645177628239,0.23190257372794956,-0.016305056311470813,0.15009501319557766,0.23556855557263867,0.39462759925672075,0.19194536517251326,0.11965908529702661,-0.054687301086673,0.1156677201385291,0.6247122710431893,0.689271751781487,-0.09791831311596783,0.3712291424654926,0.013851728496758194,-0.08798939074028234,0.5201316491811084,-0.0004817391215313283,0.17165331871987685,0.14128266517200946,0.6741553130323191,-0.1879392127924343,-0.1163429646863532,0.5726654505157791,0.04077036154344114,0.5637070213286551,0.08412449605237611,0.3233812961961863,-0.09452767880315187,-0.23328655732342973,-0.1268092809246498,-0.17039988168678066,0.6381039156025546,0.34017173872770556,0.10870651412104691,-0.3240660697880087,0.23181569369358773,0.2298125111495555,0.03177825550858678,0.1346828548358989,-0.016934967005206924,-0.1110993577396291,0.3718452597017565,0.7891837939787488,-0.2881478726976548,-0.05528056933329044,0.023542193260867962,0.26956824068313884,0.17965478127618523,0.9092505801614437,0.41802082340669,0.5447912948372688,0.09682412796871735,-0.15596515435295294,-0.057696493820711035,-0.10793551934748023,0.19544941489810197,0.12848920112990406,0.06072030792690867,0.6677129523033237,0.33982469360914586,0.22279047017930345,0.15850655920359347,0.08571320729685233,-0.17878344004211394,0.37359698959412235,-0.16358850650232276,0.46963405976505135,-0.06139187734185857,0.1857748475376143,0.15081449523393237,0.17193205162167366,0.2791484057012876
Cerebellum_Crus2_L,0.02549686419694897,0.6431909302127712,0.055438271841716014,-0.02844445714979491,-0.35391033659571913,0.43851463082179226,1.0,0.4453940610251244,0.3188060788853922,-0.05825142349326571,-0.13233287399774896,0.2605908230565687,0.09433758802879404,0.18433783822724395,0.48196688337630167,0.2724831528336135,0.18133223282176594,-0.1334764934134378,0.518352950597018,-0.12738336079615933,-0.1583228403113894,0.2983839132214367,0.0026241311081633026,0.29554996363882374,0.2962337545204715,0.4250949852217892,0.0529260092920094,0.15929005244280478,0.2768636962690632,0.4581334195936221,0.18121469750424227,0.05616663027082342,0.36731782799614604,0.06840018140439665,0.35508524230466637,0.17619583601073735,-0.29687505846782253,0.2679815224381508,0.33681384450960883,0.10197722367169028,0.14896267061942228,0.406059127022661,-0.050292293435798795,0.015270205864344799,-0.11024933730864575,0.010389252065906324,0.3664221015411852,0.2305544084032634,-0.09135160312682551,0.2154276824415828,-0.12286111897935117,0.15579653846212083,0.21534545542300412,-0.19529214181507673,0.15475380324217344,-0.23197686234467468,-0.21886105138077136,0.11715592789641206,0.13911128654210547,-0.053853702173423106,0.01948671479505093,-0.12735980101562952,0.042243735830014645,0.18901978703505543,0.410273772251279,0.18253519452712597,-0.2754385917857694,0.4912629865141809,-0.10191311816819341,0.08030166621972902,0.13087736392354585,0.244128970120665,0.3307273192332585,0.19503117565799463,0.2715904773213326,-0.25506030051328676,-0.18726776730970815,-0.0782573946293896,-0.3334954957063653,0.3556074865940812,0.023753241233358688,0.05923373659177226,-0.33591942279283976,-0.28358543159902566,0.2045541149830244,0.1940137974543303,0.164803232206901,0.21574086234841752,-0.0971390541765611,0.05326925298696431,0.22060348698793353,-0.0621112929506565,0.008651802884357077,0.025168741750697294,-0.19277646409108692,0.12275155684138746,0.5089424095565273,0.055728349845845356,0.1144874466030838,-0.18448357422700856,-0.4236588373948336,0.09915709564530502,-0.0779305770697751,0.12717511139632756,-0.013883962418939244,-0.292179833300151,0.36429098086925327,0.04857764532208357,0.12261768065721045,-0.16584259526683767,0.25453943468998835,-0.27357192598786645,0.44626794755625404,-0.05860000565012936,0.06643428215224824,-0.3639593392110604,-0.09916117818367688,-0.0413859606676118,-0.27383159094149895,-0.08973375509908348
Cerebellum_6_L,-0.22863052156306599,0.5378410586355695,0.2566554367256204,0.13706741173696674,0.06957218137780971,0.7268027823106955,0.4453940610251244,1.0,0.220214923006712,0.05840082781862661,0.3301316829223624,0.26287979709521464,0.3644169530957754,0.23373439097532703,0.45931364350254295,0.31304386005875107,0.2547851882094091,-0.36824071478693987,0.4481655135234031,0.07670341077527527,0.2294585449866875,0.31766522285119203,0.26642053146754,0.7609553799297122,0.37293191327099123,0.43130390141889274,0.38785534745110456,0.27297754525457457,0.5374924912098017,0.8075042855233324,0.12002448596473184,0.46217507459548224,0.4796964198728174,0.2401232044640684,0.7978458162027905,0.4048313632438295,-0.5632176063118903,0.2765506973831611,0.4274779622393436,-0.011762641873349746,0.674158133503727,0.37891348542928055,0.0455721566468173,0.12638998803284202,-0.49345272260272627,0.08678943200346724,-0.20225806316129427,0.41221701763843466,0.07621375375329102,-0.18806703771053593,0.3246096899669167,0.1398818767343035,0.16204784161089453,0.12427005271571205,0.057954124828033395,-0.12550731402823478,0.1478276820476419,0.6422824390686569,0.40365840455460944,-0.17933124394122021,0.44744355077376613,-0.08027736418029388,0.06621853200018274,0.32191672796298076,0.18326430759578682,0.27974462896494173,0.14404400155331643,0.542336659260899,0.015857036689767106,-0.15807783591065397,0.398501040208129,0.15303597071548702,0.3943730848504412,0.3765587228789568,0.12470495520302585,-0.17213877292900925,-0.28664274340779244,-0.16065843835119575,-0.16069370829827867,0.4137001316087875,0.36027062976168317,0.16424999165197615,-0.4991409777556139,0.4021972549225141,0.07234618373703708,0.1107391988435989,0.043127192657924876,-0.09218726022577399,-0.009809347331276029,-0.041543571778699696,0.6803387776758811,-0.38286486416112964,-0.040215825273827846,0.1715817583868603,0.30601395398157083,0.4223154084060819,0.7732503501649488,0.4281151210373152,0.26212171474856005,-0.0676485264851832,-0.07326093985671803,0.1533190584909452,0.016475574753811846,0.3898317900753417,0.1167122206739703,-0.035936102484441824,0.5530456187999164,0.3002934644276581,0.10434223981804105,-0.12161475416711871,0.05658791402035755,-0.3634708183990395,0.13043987354859354,-0.1473237010461994,0.3843090747868982,-0.10890948757293731,0.18724044159664788,0.3449912598198384,0.17734078557845176,0.20811463536005848
Precentral_L,0.045554121829550286,0.6176103281262155,0.35548690931764176,0.5647078395697654,0.3469401793015658,0.3481881828354369,0.3188060788853922,0.220214923006712,1.0,0.4752169429539948,0.27180294544510003,0.9077083004385074,0.2005547638316196,0.9068779913492485,0.562516358800355,0.95536914169362,0.584634863193624,0.09549462373054296,0.7502544248265082,0.4351857856936929,0.25689762307825337,0.670522092209873,0.4463892924155239,0.3112623548744999,0.4699972247353684,0.8450308827724383,0.6661218950487061,0.8549467734996667,0.6462016763914462,0.3241081729600563,0.8908552455139612,0.26886166347969076,0.2651327388958853,0.7154415878625466,0.27006865253494866,0.29826263294934036,0.07053444456298996,0.9606706531534798,0.27990584838151933,0.19478559609931523,0.30190233590934135,0.6045302727247518,0.006701848543743383,0.5515400929263304,-0.010814322108279286,0.4847200708483338,0.15597143684343784,0.7102876224132805,0.3476987044589495,0.3778852733088999,0.4813202724716381,0.4243712462313333,0.530815895512026,0.5846274294582863,0.8670790465545172,0.4324798695028102,0.3174225250880999,0.4031373323014642,0.39325333058879625,0.4456315747361083,0.6009195491594901,0.31679508444547644,0.4164847133426632,0.6741694624458766,-0.10330659285836073,0.3600491780713913,0.36182521043179633,0.30349039553617413,0.11278418666559488,0.48582827094509945,0.41281369444745786,0.22174120475957143,0.902587384849208,-0.030907763764507563,0.9613962784728896,0.3505715794371527,0.16135479411468537,0.27463586754140096,0.3646082514604142,0.7805996231763304,0.5742877388006135,0.593419386100178,0.1890389928907505,0.22423772448116097,0.6720049089515275,-0.10608737904678829,0.399431032930573,0.01778074645637374,0.4502613774033733,0.3289478743337698,0.21193597354002133,0.2934854725562104,0.4536861069032696,0.48831294673076814,0.3236571113216176,0.24022753902013122,0.24446668209338185,0.502438071774888,0.17465674769238232,0.5066444359485759,0.30191270784047175,0.5103174643262507,0.2843985560417521,-0.14983930365689094,0.49240370942705547,0.3506891953405957,0.84137542702694,0.8516833477464787,0.5581726782649925,0.16748778325510388,0.7987321569853871,0.2759997297338611,0.11830324036141793,0.5581131025520567,0.35545605402329317,0.2596181770735332,0.5703034664103415,0.1355298271605762,0.49531994842391963,0.5768716238634618
Thal_PuI_R,0.11485785354845908,0.19676768168972378,0.6739738308007779,0.2526064950933925,0.7484705313347825,0.12282407033682198,-0.05825142349326571,0.05840082781862661,0.4752169429539948,1.0,0.521905125555993,0.6219034329983709,0.2100956550692753,0.6018526707459766,0.45935802588158975,0.5930751205099105,0.33314355591509787,0.08258050974487328,0.49579151159516244,0.4530462505451727,0.5599390788678865,0.4554073410733117,0.7540147715940496,0.23181670256044354,0.3342971982577298,0.5072244353379813,0.6113861868003247,0.34207069609350577,0.6359325912786945,0.15637395487241967,0.6316255798171994,0.5886346055800564,-0.19535465971720933,0.16425101445333368,0.005737489715897129,0.37191747538353664,0.18242123230780363,0.5311350235649809,0.293094336689431,0.3113159358556639,0.3433737537558301,0.2947663582400717,0.08077161280534122,0.5910923326876318,0.0685401065104503,0.25058903563237134,0.07993730309229302,0.6075541254013075,0.6400117316655941,0.3939826681547625,0.31552039574218094,0.16190140395831285,0.4512156623353308,0.573484813234887,0.45454403757603073,0.6385620079409314,0.6651744981478471,0.5574024567060281,0.597974361487218,0.6427653586747482,0.5034368267027687,0.30925388837516443,0.21478929739118013,0.6470118274272123,-0.37236909791297085,0.19603964246314998,0.4323880379700548,0.3217179958100301,0.1767320483927613,0.3468029328147629,0.5199596077597705,0.5210264459219102,0.5105812217467922,-0.22661884756554235,0.5277875068922392,0.2711375772178049,-0.22500515540819124,-0.039304577366225196,0.7752516745073624,0.5107224597081639,0.7159906185475011,0.1491665665290924,0.4870513988757001,0.5452015761229835,0.5947704213195786,0.009624959355106625,0.38057082572388096,-0.008612927605440737,0.055407996381763365,0.49625585899329394,0.34060694690497684,0.4470401496297683,0.218388982924559,0.02392313226387633,0.3270815963975648,0.0031368325397817644,0.17981753240073362,0.5625516309221426,-0.014835231203055686,0.4388458526568397,0.3048595755778149,0.23823784932018796,0.18829956128416153,0.2964455972022689,0.6761925591578143,0.6901112328408633,0.39593587561901866,0.6083133345606894,0.768029387313461,0.22894930041701927,0.4295704483305716,0.36637356086183626,0.20242391305563756,0.581938320797317,0.6028644724384894,0.40175085165311775,0.6274933286448016,0.45152409102433716,0.6134308173720838,0.7166257219461698
