,SN_pr_L,Thal_MDl_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Red_N_R,Vermis_8,Thal_AV_L,Thal_MGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,N_Acc_L,Thal_MDm_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,ACC_sub_L,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L,Raphe_M,Temporal_Mid_R,Frontal_Mid_2_R,Frontal_Sup_2_L,Thal_VPL_R,Temporal_Inf_L,Vermis_1_2,Thal_LP_R,Rolandic_Oper_R,Occipital_Sup_L,Thal_VL_R,Caudate_L,Parietal_Inf_R,Cerebellum_Crus1_R,Thal_VA_R,Frontal_Sup_Medial_L,SN_pc_R,Frontal_Med_Orb_R,Pallidum_L,Rectus_L,Cerebellum_6_R,ACC_sub_R,Postcentral_R,Cerebellum_10_L,Lingual_L,Red_N_L,Thal_VA_L,LC_R,Rectus_R,Frontal_Inf_Oper_R,Fusiform_L,VTA_L,Olfactory_L,Thal_PuI_L,Frontal_Sup_Medial_R,OFCmed_L,Thal_PuM_L,Temporal_Mid_L,Thal_VPL_L,Cingulate_Post_L,Temporal_Pole_Sup_R,Paracentral_Lobule_L,Cerebellum_Crus2_L,N_Acc_R,Hippocampus_L,Thal_MDl_L,Vermis_3,Cuneus_R,Thal_MDm_R,OFCmed_R,Thal_AV_R,Temporal_Pole_Sup_L,Thal_MGN_R,Calcarine_L,Occipital_Mid_L,Cerebellum_7b_R,ParaHippocampal_R,Thal_PuL_L,Supp_Motor_Area_R,Parietal_Sup_R,OFCant_R,Cerebellum_4_5_L,Vermis_10,Thal_PuM_R,Olfactory_R,Thal_VL_L,Putamen_R,Precuneus_R,Putamen_L,Cingulate_Mid_R,Temporal_Pole_Mid_L,SN_pc_L,Thal_LP_L,SN_pr_R,ACC_sup_L,Thal_IL_L,Cerebellum_3_L,Fusiform_R,Occipital_Mid_R,Cerebellum_8_R,Occipital_Inf_L,Cerebellum_Crus1_L,Parietal_Inf_L,Thal_PuI_R,Rolandic_Oper_L,ACC_pre_L,Amygdala_L,OFCant_L,OFClat_R,Thal_PuA_R
SN_pr_L,1.0,0.30044832288623735,-0.09673621946654731,0.5201817694975541,0.37576356687216417,0.42359698878584734,0.45520823095899265,0.3910470571233836,-0.006133316770409962,0.45471833513229376,0.19839419985902587,0.13828051219219198,0.35879166368862575,0.38232856171380963,0.32719466305327743,0.005250392782981387,0.4910608527671006,0.0816593977689756,0.5449887122484337,0.27180294544510003,0.18122889782144808,-0.031216420740962533,0.2707810358499643,0.4340259353268488,-0.028876760597178704,0.6737539593624253,0.03643738672504092,0.3760352905481623,0.5481658663855197,0.3241443079092729,-0.15001873973510818,-0.026012882491965508,0.3077005566424844,0.44440768586809565,0.43387307556093635,0.41327851917931463,0.3030841687202258,0.29499443070000764,-0.07812937171737311,0.6299682363220506,0.4248118841475675,0.015633840411288527,0.30030379116694444,0.33241752782072215,0.3488239103589494,0.37008087988074134,0.4784795981054269,0.5754679147887664,0.027932859006172078,0.33160497771476993,0.10488904239707125,0.5440642344952393,-0.017582769908924104,0.06807230773484206,0.016760553250314524,0.24729782772923586,0.06450516442252277,0.42957819493022864,0.14578705855530893,0.5884697571348805,0.28105376252330727,0.6725594937663946,-0.062018196017515084,-0.24090622524732375,0.11283988844382867,0.36826348408193194,0.3211525006074446,0.13331935707135745,0.5111908040888485,-0.03848747038543221,0.0749628741590093,0.7239889378236543,0.33440799658204934,0.6010513565896318,0.6535930486200775,0.17520352666832453,0.3540111392888884,-0.13233287399774896,0.2004502308054977,0.4996387965046756,0.34744804919474537,0.6742232971106025,0.31849512060811774,0.08434401369048085,0.39313924608792633,0.5586395080371523,0.08168722405978555,0.2642963659016777,0.5648089324656483,0.297064429481366,0.26013393481829283,0.6247242448187637,0.22202237395292693,0.40890171081586957,0.23801606793475275,-0.4127985470561456,0.6347225720608994,0.11061579827740974,0.5740401686019659,0.11477844573017636,0.6336123255296885,0.22758096858608415,0.4900383940250881,0.20306166577725507,0.7055263411127932,-0.26051461383201613,0.4810160823918968,0.12141506560628597,0.6710436828327879,0.5901105019989251,0.4275143019450243,0.3934028926003329,0.3545827942291454,0.16684675310770278,0.3213766539763523,-0.3110537880640988,-0.04895491617502087,0.6526908875140564,0.521905125555993,0.38643675127643967,-0.08172084916960924,-0.04952957651081482,-0.32189266908581,0.39241655904605127,0.4375538960299958
Thal_MDl_R,0.30044832288623735,1.0,0.11716144698154399,0.16124331670292133,0.1840857086803682,0.43681090236099696,-0.04065336834036871,-0.04229120231792534,-0.15944040166600884,0.45624687872054176,0.3050938195999757,0.25402697769442195,-0.04304610463899102,0.20809996432114714,0.2188880903517465,0.1866381066762574,0.28357152969131383,-0.00019689420428712056,0.5156692072865996,0.2759997297338611,-0.35332238828810786,0.23661463195077162,0.23252936614460218,0.29001314041858794,0.2516422897963239,0.3571629679356941,0.11541306169839233,0.019998291517274173,0.14405867126437452,0.06529292809902781,0.24146340348873063,-0.060526235794890554,-0.17878344004211394,0.3772540080112943,0.29338737015494937,0.18459006303549383,-0.03877703492703608,0.29446576958717285,-0.021001270012143476,0.3826035089301611,0.07722166542376967,0.041138496783578365,0.6129174391285693,0.2996013519462155,-0.2258054581964173,0.10041917659571636,0.1302365830988519,0.09263933651124265,0.07773038544125867,0.2238198290826511,0.045942087003091846,0.4886422978595054,-0.1852171353999115,0.28883666406407854,0.4208431179223028,0.07521294038346192,-0.009295743720049663,0.28704443135901275,-0.010267890889590337,-0.16077527657105709,0.30444704675779827,0.37084057357897743,-0.33843410292664533,-0.09907424006630851,0.151458356594072,0.010204109175707186,0.6289632344538085,-0.012118475052304426,0.13937390983607473,-0.005851314690730473,-0.038504255673336034,0.362146543462739,0.10229596731082069,0.3252490000402529,0.12371460678318719,0.17235662591089262,0.29050979077785866,-0.27357192598786645,0.45903913463520385,0.5159994108321938,0.368746783812951,0.1295126459290946,-0.2504602256099764,0.025271009497672626,0.25848717580893293,0.4088264012993719,0.083929147336926,-0.06756594676678619,0.13043418895695788,-0.2652133235751043,0.27256399473566606,0.48173719117064157,-0.23529653887107774,0.3582326354447437,-0.07043303386826873,0.06086214431255292,0.0912250439604171,-0.056700095656317645,0.40771639851246116,0.38081798189689386,0.5040384113710888,0.2453388939876367,0.15532404134820868,0.053080212309821725,0.32866853691055786,-0.20022991042989213,0.34511887116683077,-0.2843934784495126,0.4037717542200487,0.16785314414167068,0.3553866033251532,0.08880622830687449,0.09668646849697869,-0.3742577196360107,0.3088487236718663,-0.292937053223071,0.057902441849982896,0.11886761322621722,0.36637356086183626,0.27867187394469206,-0.173856683056825,-0.07479139904769505,0.06802999049279057,-0.16090343064325016,0.08419900661021795
OFCpost_R,-0.09673621946654731,0.11716144698154399,1.0,0.06780332748952278,0.2276736976228956,0.2488998633287689,-0.15345022697899316,-0.04560106156985403,0.0607050361681865,0.2114137489925807,-0.16573636417082963,-0.07629272374839378,0.039891840035872636,0.269583151612776,0.07941375870976773,-0.061098283826958345,0.3273167096715402,0.38631046790080537,0.29860987825996754,0.4536861069032696,-0.04071508344112809,0.8511675155011161,0.5864988236624205,0.3242355803507317,-0.013391309702613074,0.07322746983697345,0.06324708158863479,-0.12979415241311512,-0.06604926088242973,0.0817040051928236,0.04350998347541167,0.13986526750267808,-0.05528056933329044,-0.0037893874421507682,0.3140356486040482,0.007586359115770571,0.06484010472416449,0.5905213964812438,0.8101290578329007,0.15792177051086986,-0.07437116147446575,0.0013724328464855692,0.1635595338338849,0.5703844632501917,-0.12319992782219817,0.32275007778135845,0.2793337890886804,-0.23591794966294913,-0.23974434703842082,-0.021507962004619553,0.70528312716432,0.02950952112800788,0.17510039602060992,0.5613301173917514,-0.1260861148833914,-0.34954230044405327,0.24881647003280546,0.2642115812937585,0.1711933377100314,-0.08336734974081399,0.14762331601085235,-0.14235592120137852,-0.11493124729261263,0.06361207508971149,0.6830200907765516,-0.20799926048810866,-0.04804101471362472,0.44943060751785047,-0.1414607590649614,0.8375684968877316,0.5200406574197665,0.044786715288415324,0.12246232742585086,0.24319106050825434,-0.11844730375087535,0.5384722118594725,0.4125805340780268,0.008651802884357077,0.5678089644210671,0.1944860594940648,0.3325063980408463,0.0761188657931105,-0.06371266045218256,0.2644077785309635,-0.19433141425612868,-0.09005997809238261,0.25122799836989423,-0.011629889806035652,-0.11463714428657004,-0.1736861911904071,-0.3864682346156629,-0.08796053041239105,-0.030503922905679014,0.24171652024824403,-0.2559363805145595,0.6414117635076637,-0.015284037221512534,-0.09153828151099946,0.3493576452428279,0.5254341921455441,0.16675394210934824,0.6849707003207787,0.034392553793397056,0.6664046198297309,0.005444962406818298,0.13780016678119186,0.12865920018590896,0.08945299324989604,0.10979724660230551,0.29123397555479663,0.293084952805075,0.23233335155004192,-0.17001079281794462,-0.1509983136275366,-0.23774293818592573,0.3916490865612356,-0.13926735576528582,-0.016290297736410313,0.218388982924559,0.4031295490717167,0.7344754058927179,-0.18992764072858248,0.6796738019886762,-0.4995014143305788,0.27282450900438965
Temporal_Sup_R,0.5201817694975541,0.16124331670292133,0.06780332748952278,1.0,0.5862885572212643,0.7150086211245492,0.5648409917000319,0.5569769065376114,0.1124070616141514,0.3031900215703684,0.2651673202845131,0.3343205354258851,0.28717256909205374,0.8621233897864848,0.27878929754575826,0.06989451587787193,0.7361344079567207,0.30647789823569227,0.5669085422710253,0.7102876224132805,0.2938837253270491,0.06840569152667672,0.6159340017344909,0.8225164557282263,-0.13184896186691034,0.5545199511946279,0.36580940712047627,0.6504418992905597,0.861613496816674,0.8513023043285934,-0.186294350936778,-0.024720228368255107,0.599645177628239,0.5312205754395185,0.8182753856876563,0.5645885261117889,0.6781381929605074,0.5015084881119831,0.12166498502143447,0.6273798838999651,0.6637736703997763,0.1945199886671549,0.31514079995105354,0.5281900622662876,0.5856836969369162,0.6241877308332063,0.4617984534773181,0.8056441424480784,0.3243255197420772,0.3459707815292329,0.4084772540742244,0.42082843164874034,-0.12847798160683427,0.27834066811833114,0.03389664567210158,0.46521143566423434,-0.018265310712418333,0.8753573942874012,0.16471838558871904,0.6495229135411599,0.46220304260470096,0.5473477082505787,-0.06568454772362575,-0.05261351495329379,0.4543615709172012,0.3782495880460955,0.24013659465996134,0.4397527842587673,0.2615954960099992,0.22946485130248837,0.1834819820105415,0.4653324962727534,0.6733715996497308,0.6884893078938797,0.7004170960272319,0.46618782011516585,0.7799326169140347,0.2305544084032634,0.15169540865913236,0.4422327018202676,0.5212410251837108,0.6900119408475721,0.521193845970067,0.32009958756431633,0.3820002331733601,0.612636175068778,0.5263949386333725,0.5917983261762833,0.7272269893457759,0.5598028652434588,0.48531286189510153,0.558776180786029,0.2218818545000013,0.7755123431025498,0.5660699968168148,-0.22109455024806765,0.7546351805903572,0.2205678977027074,0.6228730590602026,0.18203521371416032,0.47623192587341373,0.48992315849479756,0.8542602839766612,0.570496790346507,0.7432090981380917,0.22161629937472635,0.3968012664328665,0.33861434101563703,0.5170257845522228,0.6581824720124109,0.4513891649568302,0.5832994339341084,0.5565946649888498,0.33855583653160126,0.6424983060129752,-0.17565197090657134,-0.08904060966466851,0.8195378946748371,0.6075541254013075,0.7771210986518479,0.19313828469845473,-0.03890627433893373,-0.14874043500011946,0.2303268202632968,0.471251571151862
OFClat_L,0.37576356687216417,0.1840857086803682,0.2276736976228956,0.5862885572212643,1.0,0.4626308379469508,0.36517353985370704,0.3099762384911592,-0.0738946362011184,0.33245266689994807,0.3165681175752436,0.34901246433542144,0.24536777343541502,0.4537709303410702,0.13219661759878415,0.0001917375947573857,0.6237242776157662,0.19214360657513424,0.45452750802022013,0.3476987044589495,0.018302744871092187,0.2818075229274928,0.45253788223050084,0.4504740051636574,0.12936856081433756,0.5926208207137011,0.4158855800641249,0.2646505861709173,0.4794333946645395,0.49369443309332467,-0.0869085046683344,-0.11994764573854538,0.23190257372794956,0.4980885860606603,0.4835669111152662,0.3101267747229138,0.30211063573976243,0.39455197177431944,0.03034673517806153,0.508014079559479,0.48692466994053973,0.18368564403014312,0.07030785393314698,0.6211349525416918,0.25008764751886076,0.3651863818047376,0.1933736148306471,0.4894311732607271,-0.033394044279607425,0.2346609290796476,0.1410212010003762,0.43846990756271165,-0.13841557073392535,0.39000262321597123,0.15441381072640065,0.08046907370309694,-0.020554692616831963,0.556683115424872,0.07951006259949296,0.306048517192647,0.4085178905744061,0.5153226217835297,-0.16659624449797883,0.03071062963493319,0.3369725386076857,0.34650142153338087,0.32279891420423085,0.49397808226473583,0.30282451846201736,0.16943700193935538,0.19227472056358733,0.3802349312720658,0.43199119633558863,0.6061891493387155,0.442360436524811,0.5079549402425052,0.44029900510587555,-0.09135160312682551,0.32722341520212384,0.5490853250025475,0.3486293367595778,0.44036878212845476,0.1226550449621832,0.3549237348287219,0.31499088546344034,0.5513547730322643,0.46643470618253835,0.30082113307932234,0.45272006921561625,0.25157639221186096,0.3012645983097958,0.473822307043867,-0.09898633565238917,0.5002094899169667,0.2155682988263491,-0.18876950237200094,0.4811733295562506,0.35888394891979547,0.6451093506921727,0.2797453576680318,0.3637233046507622,0.48658627963793455,0.4533821725319641,0.46928139046221856,0.48462833545834466,0.07234600778567092,0.3698944437634242,0.15136376083074854,0.511709080239596,0.4233632330240961,0.4864234713833183,0.5230361959832273,0.30327929452652835,-0.040926367127219226,0.5134266542233454,-0.21669317253780587,-0.07967637196399299,0.5449073064003622,0.6400117316655941,0.6310160233893644,0.226803724897631,0.0774448618237338,0.05636646809878893,0.1595575445808843,0.453522384082339
Heschl_R,0.42359698878584734,0.43681090236099696,0.2488998633287689,0.7150086211245492,0.4626308379469508,1.0,0.12921664715899767,0.33754221026767856,-0.07709482879581304,0.4399348274714341,0.436460945277353,0.23993025623278758,0.2305238421650718,0.7383459494416525,0.4396015669544713,0.2354241726967457,0.7446793504219107,0.2738302891076046,0.6022062750705922,0.7343400609675996,-0.11845843740600316,0.3136095571648875,0.5146582771531845,0.7746021942053418,0.2439283121479356,0.5669898203581526,0.3214685132294451,0.37327880338419656,0.6065365406768097,0.5774668842210866,0.14531353681012646,-0.0726358498667899,0.06767319587161581,0.608545824216972,0.7450234096868846,0.2409870719794966,0.25337764455993816,0.7320761082737178,0.2288502772648274,0.6397246051843319,0.3284236221904065,0.014313703712994903,0.367389148737858,0.5401103184125128,0.07186241096678171,0.590669986820108,0.44588612043189974,0.44831985485922665,0.059707497155535146,0.492631560277938,0.41894425927552437,0.5800542536392486,-0.0050122739379041,0.3414942433592991,0.09379647495665999,0.12897736213242866,0.1366950407770319,0.7969404797992014,0.2523630684943792,0.1938148801983883,0.6361570346194008,0.4263498464955533,-0.12293385381838726,-0.04147648918032524,0.5939302104887139,0.2904064300681566,0.49584797555161375,0.498345106973561,0.2794719116938476,0.3056628580071274,0.1495539546125952,0.3589122732985982,0.3723694749318923,0.6046563067963439,0.4936744105655077,0.3784741589431761,0.7417406274599496,-0.04029213179516328,0.3092148585212918,0.623641090358338,0.3968330984430145,0.4035507255117508,0.0018155411576047738,0.40706915542544186,0.4384196532178946,0.5562567443268811,0.3861038493219577,0.17492333841228694,0.37441650584122177,0.03754061348497346,0.2624363814539804,0.5600933228459528,0.17446541983876196,0.7675066804397663,0.2786962887341717,0.018950972310237506,0.39876714123482526,0.11529651041010021,0.5640056494591227,0.3519150953522577,0.48911594303481465,0.5195219537234959,0.6158240683925548,0.4329661404452928,0.6551127672885293,0.024973419370605827,0.5883356611817226,0.32498690080754017,0.5582054502674706,0.5434319812685497,0.4782905050735522,0.33753690753373267,0.13909073341187705,-0.18703723501219166,0.4468711252830352,-0.16511183613963598,0.129649279608841,0.5338206154857384,0.6388301011791497,0.6309236528738653,0.30319067922776866,-0.12847335661527076,0.12623515202887597,0.041572612536880806,0.23936822158856513
Cuneus_L,0.45520823095899265,-0.04065336834036871,-0.15345022697899316,0.5648409917000319,0.36517353985370704,0.12921664715899767,1.0,0.40468411532635606,0.4542387587058591,0.04076083421704816,-0.1475502616113784,0.18078494867643652,0.32296662180063157,0.4700650913031545,-0.06939793483775006,-0.17411495297327306,0.3007006547575186,0.09358716347950626,0.2284426155897228,0.21193597354002133,0.5073653330928496,-0.2068193464039017,0.39933845160950837,0.37021607651736405,-0.5036680160800889,0.3427658478905791,0.06408907409516078,0.3904175749112469,0.5647424098233841,0.5105215518608719,-0.40333662813935806,-0.08967668209884377,0.7891837939787488,0.18714282923664907,0.33492610541355916,0.4964561111351142,0.686632779321003,-0.05733363101782031,-0.1475251816794788,0.2892950877327924,0.7083259163282265,0.3628693866181613,0.11423556882170152,0.32540913360859114,0.7939343546144204,0.1817571837737777,0.14205980892293482,0.6608724633324008,0.2071684544875307,-0.08623149399510953,-0.023439061959077422,0.10082770913687554,-0.08688526514666306,0.10457600154919568,0.08678632800051826,0.4384149652874118,-0.06608406830134264,0.40842616932738135,-0.05094224548583018,0.7724585929318543,0.004219695142093918,0.4449418178832934,0.040405189618132734,0.022672651228877197,-0.06664152096909097,0.22158771864166352,-0.13813387388089016,0.0971252318333948,0.259148755167544,-0.11078657199112453,0.2740235728124605,0.48433269263421436,0.6466400949468463,0.39213406838021775,0.573938637137502,0.30906875996961464,0.33676378029671494,0.22060348698793353,-0.005502451607103934,0.1327685382228547,0.37921106613388256,0.7256151856968409,0.7290945673918706,-0.12040134308458629,0.08765395225420783,0.30714503268518856,0.21909640469357683,0.6362715843591619,0.7597944025836123,0.7907019376135765,0.4103892248627223,0.31677079592925683,0.05920307141882296,0.27120570888657897,0.33514478463483527,-0.46910327622283016,0.7965252343159682,0.14992500883321608,0.4669985759443488,0.012574541215930334,0.2556302963760353,0.14004559079930015,0.5473761784219263,0.2977875296852597,0.4749009318949703,0.16538171717542186,0.02643084170016919,-0.13002114719807897,0.3192090270394607,0.37769193877598234,0.2644664832796683,0.6044196190082759,0.6720703035832664,0.5728757659111209,0.42335531446768143,-0.3057857884368538,-0.3460935793122382,0.6410938627175604,0.34060694690497684,0.530778021396934,-0.1652321525888759,0.07345232417255504,-0.38106874711558875,0.41331994695276136,0.5791396125835198
Occipital_Inf_R,0.3910470571233836,-0.04229120231792534,-0.04560106156985403,0.5569769065376114,0.3099762384911592,0.33754221026767856,0.40468411532635606,1.0,0.09388785120176159,0.23510486934554348,0.15163840926290675,0.13158201037762457,0.2368007390263684,0.4287298809324795,0.09291628976598051,-0.024698709753501406,0.3890859166989236,0.27502501126902495,0.3169396714478384,0.29826263294934036,0.21925081472314817,-0.054584143870738754,0.253755341800373,0.41801140025866246,-0.06162654387726614,0.40466977579255575,0.2161466398677828,0.38967026110353237,0.507554288228815,0.45146812032285843,-0.155600124434642,-0.04327013625986524,0.3308846838515993,0.32554540929850584,0.4227630801322798,0.30266932113014083,0.3540073073745626,0.27863360435787055,0.029064893860468895,0.38500577011071196,0.46339553929099453,-0.016276873038767296,0.10107066400575418,0.26354009923441496,0.3641356308975878,0.3694444187436058,0.3461680660145951,0.5701882377156718,0.12376383946170123,0.1889742087900483,0.17578821482935114,0.25821917842542547,0.09062378948584078,0.10661033735339646,-0.15982821744336234,0.2545920631855286,-0.05271924787364968,0.45319558708360197,0.17986741519449687,0.5033434117841987,0.2437296860166461,0.2983432933969427,0.011734626987852518,-0.16282101812296704,0.21521331486370993,0.39531775076691433,0.11764992840105397,0.3584637337296342,0.33269922102971916,0.08059145532064489,0.18853971582184742,0.3844565300201749,0.32896839538986794,0.4360958971610123,0.46715209683746556,0.10097361010838891,0.34413825666110287,0.17619583601073735,-0.0050977334791659605,0.2712664901126656,0.2689250796723233,0.48710474146792637,0.32085383532342204,0.21071972052090643,0.3676478183024828,0.3321949722949716,0.26813705508917113,0.35562697649136904,0.47038410169393813,0.3792936866078762,0.22723971539555526,0.3627961800947572,0.17774655771468484,0.3795384100043921,0.3692490547151329,-0.3353828010758007,0.4983386598423422,0.075144638721268,0.3896525214274113,0.056479894922401956,0.29421898487827053,0.16908182907482014,0.4768098274506967,0.27646185389311406,0.48920116032642874,0.001979667178505616,0.24163819100205308,0.2861643753634438,0.37030872930659564,0.40318379724657494,0.27189780755861587,0.3382341328166867,0.29100962411354914,0.26680807859410227,0.3092386970723367,-0.11123140119727612,0.028250429327684196,0.5433889594104225,0.37191747538353664,0.3907851323377508,0.0957858011225031,0.011247324754014305,-0.201869230853833,0.3906888641568217,0.37300518192865856
Temporal_Inf_R,-0.006133316770409962,-0.15944040166600884,0.0607050361681865,0.1124070616141514,-0.0738946362011184,-0.07709482879581304,0.4542387587058591,0.09388785120176159,1.0,-0.2347516357013073,-0.4483452291944151,-0.24348647168832085,-0.009727532851810333,0.19024823946200559,-0.2662349666746434,-0.22595168115609146,-0.17589137008580022,0.28880404603688725,-0.17815002575928215,0.03767041426593097,0.336881550090647,-0.03239647758903246,0.3444889748613531,0.02036060295111184,-0.41693260137778765,-0.3144495330907193,-0.028124663992872723,0.028459899191035594,0.06036824729039013,0.18025625300389825,-0.2483789470289817,0.13167209140712147,0.41764301236892537,-0.4145869099157404,-0.07355176953785955,0.3111732398564477,0.5355502655102987,-0.1963342908626193,0.14087942953276458,-0.16474189627923885,0.3072319374676924,0.29944902324963263,0.2106095435610437,0.060041025069216034,0.4244945848690116,-0.13954665403673525,-0.2000424930305245,0.09997061767829137,0.03655745189129348,-0.5155708966904657,0.003888848148884792,-0.37411748015557145,-0.04515154107130574,0.17745194184595922,0.09447327364008143,0.08424638664277782,-0.06451352351888312,0.0181872685213988,0.016431437540342632,0.25203116109821405,-0.3123103749573901,-0.10999752147865091,0.23527544764951744,0.027565895932054354,-0.0451676011434319,-0.22256424515683265,-0.4446673299913219,-0.056218541838610074,-0.15585714308405266,0.06134749852110676,0.4199779631869617,-0.0014741946507652538,0.30594772017782423,-0.11307905702347519,-0.07344766541573663,0.3050828092537918,0.10787224722276721,0.38140527202062063,0.06822007844437132,-0.3702585500952514,0.1893391289430043,0.30134046472989384,0.41787828227914203,-0.3863122785102202,-0.22830258106336704,-0.2396366027783402,0.18271503492218305,0.37977111926737955,0.17603742167624098,0.4316792711342589,-0.10121553673087663,-0.3093412918270263,0.042575211949305025,-0.09981943609138953,0.051361269054494216,-0.11229533352928427,0.16673807139297592,0.0613397493395763,-0.08748307853060788,0.07407094828123514,-0.1308787504338414,-0.0673068427848656,0.07825340495735793,0.13084575405755783,-0.07744345618504624,0.1854927988672535,-0.22510656771001347,-0.37395937887132463,-0.20656268089742877,-0.12977040876007342,-0.05359889133337398,0.15872097794625933,0.1872726776964631,0.3959613189407846,-0.08105514609747451,0.17392504404443976,-0.24552696572681937,0.05937283371421209,-0.14558609844111964,0.16975009546175165,-0.06104156786608217,0.20586989546697526,0.025187497903727197,0.06338955043644115,0.10961053138484682
Red_N_R,0.45471833513229376,0.45624687872054176,0.2114137489925807,0.3031900215703684,0.33245266689994807,0.4399348274714341,0.04076083421704816,0.23510486934554348,-0.2347516357013073,1.0,0.22186565046144832,0.16962885573017927,0.07391435099883932,0.23490602734916968,0.2660848259631645,0.013311826262462865,0.46648699562066054,0.029988158990649768,0.6149097150602847,0.2596181770735332,-0.32067224664031735,0.21415085766717357,0.18471554427912848,0.29978181917042096,0.1289883570619161,0.5764434235308146,0.10000113816504962,-0.00029336309750986974,0.14731136657798694,0.07864937705278031,0.08823620294899942,0.038624983534857285,-0.06139187734185857,0.31918945731471926,0.3611662796176644,0.1315998187104311,0.02749163591699654,0.4203624973751174,0.12920776363967987,0.6098566641187753,0.20279365043654268,-0.3367671607818083,0.3303060558149246,0.35132278257424354,-0.0916125869075014,0.38134483523618184,0.4625110375469405,0.10321472159101658,-0.005927581135411984,0.4444841033782017,0.23386004225030496,0.5745166674201648,0.031171911388560482,0.2457563402414211,-0.12012387093950484,0.007347864972223404,0.17366981249331606,0.3219520163889087,0.15429051434761845,0.13732560619258488,0.3113089267628128,0.18211525829280106,-0.35666488783408273,-0.5399373674770254,0.315743317645913,0.09452969329284325,0.5645025671406664,0.35316529549283343,0.22583450606257763,0.1651615470316231,0.11896851700162829,0.4371413139786664,0.09898182445822747,0.5053372266849105,0.21231819306324354,0.2293315106859448,0.2966614839785409,-0.3639593392110604,0.4488658487963521,0.5614147868122693,0.2652149652335454,0.26900504317321994,-0.07241942201813814,0.0980029671518379,0.4679230549151298,0.4219535147818105,-0.10097978562211307,-0.08707187057785683,0.2862952214229431,-0.12523472818810039,0.08780577306366479,0.47717845877364834,-0.00968815992067681,0.3192507105788009,-0.10511328488811134,0.08874906350821174,0.31045288304755375,0.07195018577199844,0.45775685303465286,0.3603492671898759,0.5117796155089884,0.29423239526357925,0.17072637322724063,0.25384995797808485,0.35675042825440245,-0.27693082516991957,0.22867470091917644,0.10611025838485626,0.5686500113452078,0.26965198381878647,0.3181626003029948,0.3022468655728123,0.15395194717226385,-0.21813723074845198,0.231776776706649,-0.36452249811585924,-0.15563836843598491,0.22789686535069845,0.40175085165311775,0.38985642730655984,0.08816078701252258,-0.2655930399029228,0.11091424282158042,-0.01120125658830205,0.2680079259504038
