,Thal_MDl_R,OFClat_L,Thal_PuL_R,Thal_VPL_R,Calcarine_R,Thal_AV_L,Frontal_Sup_Medial_R,Lingual_R,Insula_R,Vermis_9,Olfactory_L,Precuneus_L,Cerebellum_6_R,Cingulate_Mid_L,OFCmed_L,OFCpost_R,Cerebellum_Crus1_L,Heschl_L,Thal_PuM_L,Frontal_Mid_2_R,Cerebellum_4_5_L,Frontal_Med_Orb_L,Red_N_R,Frontal_Inf_Tri_R,Occipital_Sup_R,OFCmed_R,Thal_LP_L,Thal_VA_L,Cingulate_Post_L,Cerebellum_Crus2_L,SN_pr_L,Precuneus_R,Cuneus_L,LC_L,OFCant_L,OFCant_R,Rolandic_Oper_L,Postcentral_L,Raphe_M,Vermis_3,Cerebellum_8_R,Cerebellum_9_R,Thal_MGN_L,Temporal_Sup_L,SN_pc_R,Frontal_Med_Orb_R,Cerebellum_7b_R,Frontal_Inf_Tri_L,Vermis_1_2,Caudate_L,Thal_PuL_L,Cingulate_Mid_R,Lingual_L,Paracentral_Lobule_R,Temporal_Pole_Mid_L,Parietal_Sup_R,Temporal_Pole_Mid_R,Cerebellum_9_L,Parietal_Inf_L,Cerebellum_7b_L,SupraMarginal_R,Cerebellum_3_R,Caudate_R,Cerebellum_8_L,Vermis_7,Postcentral_R,Thal_IL_L,Hippocampus_R,ParaHippocampal_L,Putamen_R,Thal_VPL_L,Thal_LGN_L,ACC_pre_L,Rolandic_Oper_R,Temporal_Mid_R,Thal_PuA_R,LC_R,Frontal_Sup_2_R,Pallidum_R,Temporal_Sup_R,Amygdala_L,Thal_MGN_R,Vermis_6,Thal_VA_R,Thal_VL_R,Temporal_Pole_Sup_L,SN_pc_L,VTA_L,Precentral_R,Thal_PuI_L,Cerebellum_4_5_R,Insula_L,Thal_MDm_L,Thal_LP_R,VTA_R,Occipital_Inf_L,Angular_R,Cerebellum_Crus1_R,Raphe_D,Frontal_Mid_2_L,Occipital_Mid_R,Frontal_Inf_Orb_2_R,Fusiform_L,Hippocampus_L,Cerebellum_10_R,ACC_sup_R,Supp_Motor_Area_L,N_Acc_R,Temporal_Mid_L,Calcarine_L,Heschl_R,Cerebellum_Crus2_R,Frontal_Sup_2_L,Rectus_L,Paracentral_Lobule_L,Parietal_Inf_R,ACC_sub_L,Olfactory_R,Fusiform_R,Thal_AV_R,OFClat_R,Thal_LGN_R,Cuneus_R,Thal_MDm_R,Thal_MDl_L,Temporal_Pole_Sup_R,Putamen_L,Parietal_Sup_L,SupraMarginal_L,OFCpost_L,Frontal_Inf_Oper_R,Supp_Motor_Area_R,ACC_pre_R,Rectus_R,Vermis_10
Thal_MDl_R,1.0,0.1840857086803682,0.6076330034161332,0.3826035089301611,0.19580643414939894,0.25402697769442195,-0.005851314690730473,0.04465893199658292,0.24329675265896117,0.2188880903517465,-0.012118475052304426,0.14405867126437452,0.07521294038346192,0.29767323778233706,-0.038504255673336034,0.11716144698154399,0.057902441849982896,0.4479375819705617,0.362146543462739,0.29446576958717285,0.0912250439604171,0.006060863429628867,0.45624687872054176,0.2917832479051706,-0.17878344004211394,0.25848717580893293,-0.2843934784495126,0.37084057357897743,0.12371460678318719,-0.27357192598786645,0.30044832288623735,0.15532404134820868,-0.04065336834036871,-0.28861529892132026,0.06802999049279057,0.06086214431255292,0.27867187394469206,0.29001314041858794,0.18459006303549383,0.1295126459290946,0.3088487236718663,0.31372586943298614,-0.04304610463899102,0.28357152969131383,0.4886422978595054,-0.1852171353999115,0.27256399473566606,0.2834000514879884,0.041138496783578365,0.1302365830988519,-0.23529653887107774,0.32866853691055786,-0.16077527657105709,0.20809996432114714,-0.20022991042989213,-0.07043303386826873,0.016522963415065203,0.26178763570294905,0.11886761322621722,0.21870371558871132,0.06529292809902781,0.18168458129652598,0.4493688879094341,0.14097230842974864,0.2516422897963239,0.28704443135901275,0.3553866033251532,0.3571629679356941,0.3772540080112943,0.2453388939876367,0.3252490000402529,0.23658760496794293,-0.173856683056825,0.2996013519462155,-0.03877703492703608,0.08419900661021795,-0.33843410292664533,-0.01648460006233454,0.480270217712553,0.16124331670292133,-0.07479139904769505,-0.06756594676678619,0.24146340348873063,0.2238198290826511,0.10041917659571636,0.083929147336926,0.34511887116683077,0.6289632344538085,0.33430871974541304,0.13937390983607473,0.1599823702696131,0.23252936614460218,0.5156692072865996,0.6129174391285693,0.38122596725283975,-0.292937053223071,-0.1033608490843885,0.07773038544125867,-0.35332238828810786,0.2913048581095464,-0.3742577196360107,0.23661463195077162,0.010204109175707186,0.5159994108321938,0.11541306169839233,0.198545778312797,0.29338737015494937,0.45903913463520385,0.10229596731082069,0.13043418895695788,0.43681090236099696,-0.13086771662899338,-0.021001270012143476,0.4208431179223028,0.29050979077785866,0.09263933651124265,-0.060526235794890554,0.38081798189689386,0.09668646849697869,0.4088264012993719,-0.16090343064325016,0.1633758164131342,-0.2504602256099764,0.025271009497672626,0.368746783812951,0.17235662591089262,0.053080212309821725,0.019998291517274173,0.12153367781990478,-0.10966384354552185,0.151458356594072,0.3582326354447437,0.01653291720534859,-0.09907424006630851,-0.056700095656317645
OFClat_L,0.1840857086803682,1.0,0.19194218449971545,0.508014079559479,0.5200592502789327,0.34901246433542144,0.16943700193935538,0.3591260851532881,0.5566388091146344,0.13219661759878415,0.49397808226473583,0.4794333946645395,0.08046907370309694,0.5373902171099927,0.19227472056358733,0.2276736976228956,-0.07967637196399299,0.3127842779866703,0.3802349312720658,0.39455197177431944,0.4811733295562506,-0.03419388684191968,0.33245266689994807,0.37636966817997675,0.23190257372794956,0.31499088546344034,0.15136376083074854,0.5153226217835297,0.442360436524811,-0.09135160312682551,0.37576356687216417,0.4533821725319641,0.36517353985370704,-0.39496989809116223,0.05636646809878893,-0.18876950237200094,0.6310160233893644,0.4504740051636574,0.3101267747229138,0.44036878212845476,0.5134266542233454,0.5104404674946048,0.24536777343541502,0.6237242776157662,0.43846990756271165,-0.13841557073392535,0.3012645983097958,0.26390815136084794,0.18368564403014312,0.1933736148306471,-0.09898633565238917,0.48462833545834466,0.306048517192647,0.4537709303410702,0.07234600778567092,0.2155682988263491,-0.05138300910400307,0.5920847872851797,0.5449073064003622,0.40604970002338947,0.49369443309332467,0.5503277624634048,0.16307053214326103,0.3605030698606748,0.12936856081433756,0.556683115424872,0.4864234713833183,0.5926208207137011,0.4980885860606603,0.48658627963793455,0.6061891493387155,0.584492021504768,0.226803724897631,0.6211349525416918,0.30211063573976243,0.453522384082339,-0.16659624449797883,0.10718230760427679,0.45858786394299006,0.5862885572212643,0.0774448618237338,0.30082113307932234,-0.0869085046683344,0.2346609290796476,0.3651863818047376,0.46643470618253835,0.3698944437634242,0.32279891420423085,0.4216826440253527,0.30282451846201736,0.32597435359385624,0.45253788223050084,0.45452750802022013,0.07030785393314698,0.3960827546192444,-0.21669317253780587,0.36287295124271157,-0.033394044279607425,0.018302744871092187,0.5037707952199018,-0.040926367127219226,0.2818075229274928,0.34650142153338087,0.5490853250025475,0.4158855800641249,0.480623861258343,0.4835669111152662,0.32722341520212384,0.43199119633558863,0.45272006921561625,0.4626308379469508,-0.059050303120583285,0.03034673517806153,0.15441381072640065,0.44029900510587555,0.4894311732607271,-0.11994764573854538,0.2797453576680318,0.30327929452652835,0.5513547730322643,0.1595575445808843,0.6051984614285368,0.1226550449621832,0.3549237348287219,0.3486293367595778,0.5079549402425052,0.46928139046221856,0.2646505861709173,0.37315952893023824,0.4192416045987465,0.3369725386076857,0.5002094899169667,0.05884428551639971,0.03071062963493319,0.35888394891979547
Thal_PuL_R,0.6076330034161332,0.19194218449971545,1.0,0.5279320207155929,0.2811542981383519,0.14338323684008267,0.22236950440823153,0.2562136213958624,0.352107586275854,0.16705258401685152,0.05986727760193455,0.3867043814862114,0.17301668044821147,0.36790502180224577,0.030442724423242546,0.08080674039107495,-0.02214855717253465,0.42266419205491046,0.43963289764676033,0.3630815623088296,0.32215971637360785,-0.03226646336547812,0.46888360146899494,0.5281250239291737,0.18460791940465412,0.2567677856131221,-0.11409121592224332,0.3547178531200441,0.22272242795421573,0.010389252065906324,0.396048308546234,0.4110286699913453,0.06140023854045014,-0.10000595353343558,0.10559100705540929,0.004965842456365611,0.4420259578048521,0.49141818845137614,0.42987761112129685,0.3666977771480827,0.22659932099989596,0.2576571703684236,0.12776534874479628,0.39159887229927076,0.29076224932649813,-0.38170550650816953,0.14927404870995095,0.6731120926164793,-0.01318231033026187,0.4414017915448063,0.22021915080135032,0.39010966432697053,0.24753497748328682,0.4842833699034136,-0.1616139755500669,0.17619263873519855,0.16557854085435583,0.32548396156062587,0.3478797849782991,0.08025203084811466,0.38749889938116566,0.19248191589295918,0.657075049757942,0.04474518325332939,0.023183045903001843,0.4790395808580222,0.3274398102099481,0.2625859558818029,0.17628102406162313,0.2871922063882952,0.45124101356017676,0.24213789458965393,-0.031175670720916843,0.2699607876729308,0.3786389415759597,0.13281115766132973,-0.1315028397157427,0.11386488117425689,0.4539877638874529,0.45771665506928555,-0.09959137053655238,0.12698908125899003,-0.000731498393547293,0.30472650389335315,0.3601670170784437,0.08071769397758866,0.2677206832034495,0.30210638036638565,0.4566592895747248,0.1466724399926458,0.20653876557529607,0.4232690175222671,0.6123138685258203,0.8379705184198005,0.4521259353401631,-0.1156814738484368,0.244075126827025,0.12682891622727657,0.03968854736197653,0.5090570728886424,0.06110832920013664,0.17264523730009165,-0.009432563675666228,0.2967352905951423,0.16729801264950453,0.26236336183606607,0.4626687819919604,0.4330495374429248,0.3274663774206705,0.3302527755353719,0.5139701257877427,0.13302237080710233,0.19787326029224997,0.17389909103213635,0.4722966993609368,0.2846017893759878,-0.035224596063949995,0.18084831779435168,0.14803702237977948,0.36286258155546597,-0.04579189496322715,0.23244543353205746,0.1770027906781176,-0.03358747815117948,0.6258495521361905,0.2373024832737902,0.2998544438750637,0.25654044141855714,0.40934003073884256,0.11716580252406454,0.37264265014060194,0.437960715294786,0.31799882341241753,-0.3292896571164952,0.030925627200520157
Thal_VPL_R,0.3826035089301611,0.508014079559479,0.5279320207155929,1.0,0.4787322345404514,0.270378122978508,0.2736164574017956,0.459959695482566,0.5724026918863779,0.32492703379427706,0.44003671050236554,0.5876620795749876,0.1905323883785298,0.7095740441905282,0.1130946301388149,0.15792177051086986,-0.04920376456806944,0.5078116722957833,0.744406778693939,0.6055839143342778,0.5878748802604254,0.11377106030615732,0.6098566641187753,0.5510366336696969,0.17193205162167366,0.5441198416299345,0.3515303417827392,0.6226425436096704,0.6248973662369822,-0.27383159094149895,0.6299682363220506,0.5299466727428628,0.2892950877327924,-0.3617716355783942,-0.05093957403726372,-0.09651750125411258,0.5190960703344025,0.6091695169215521,0.2389646933293818,0.5348876283377831,0.3571343157654068,0.3206504023528313,0.3224638530376488,0.6724198561028776,0.6871754645409573,0.06624981968330844,0.20700841758303049,0.6231249650360127,-0.2247692271025584,0.620962653092609,0.2897714184864917,0.7441617441375011,0.4424984858873674,0.5302383945760228,-0.1244331214680105,0.223074307439874,-0.025918660563491645,0.6435447054509109,0.6076810929216737,0.1460702687317566,0.36630618316828567,0.38156760552894287,0.6611736893567333,0.2791395582095319,0.1436918793291736,0.6145344121783626,0.5598269779003667,0.7981940671980854,0.6229374257457859,0.431815043481602,0.8444466912021247,0.632061455972005,0.16159960624700026,0.42702499159423457,0.230704924694531,0.43651975261213727,-0.05462445161222026,0.19159174965324854,0.6795774512760795,0.6273798838999651,-0.1492701842468503,0.11605995540786125,-0.019653144582055766,0.6462700621643092,0.7016458711924076,0.14412020997157363,0.5526461258755077,0.46349152197144056,0.5286024271053097,0.5220558076765243,0.34830245013244876,0.3952476385252372,0.8074682935072295,0.35724696233900005,0.639407349485672,-0.3354471832392479,0.23094398389258472,0.042845825884323535,-0.01658851164626615,0.7494735990656048,-0.008346527974330593,0.16579130962680197,0.3427479858121181,0.7040358137143553,0.05354816201340751,0.6391763557034748,0.6629857123767177,0.2958906795529324,0.2578408995944468,0.4768846360944349,0.6397246051843319,0.026722355049867308,0.20549742130460968,-0.01571774330869671,0.5497544538574198,0.472658118234911,0.0063328834847150095,0.34972337976185625,0.279808436425574,0.7337496240479087,0.20232634052777657,0.5960055671210308,0.17842158798975705,0.35811625485622,0.4738851017732306,0.2634351587707579,0.4032280736670543,0.3700502475041986,0.45877852673849345,0.1356907109472699,0.3846453422936022,0.6153291790016769,0.31248855989706037,-0.2777783041733796,0.13969214977609892
Calcarine_R,0.19580643414939894,0.5200592502789327,0.2811542981383519,0.4787322345404514,1.0,0.3866834059440413,-0.13201200958601778,0.8420244898821131,0.36338361846593925,0.16303584326680884,0.21897398499935003,0.6750365859034062,0.521543784666162,0.6645632897292192,0.13301927573118227,-0.12079739340499646,-0.2765787740955365,0.19067600115805483,0.47556412239092855,0.1343993900034531,0.873107322937321,-0.12759537427590648,0.2848909305469457,0.20141782596223878,0.689271751781487,0.25140000844688415,0.03192300040299376,0.5788048398455151,0.5868113961278622,0.13911128654210547,0.5559416032803035,0.6745059014962442,0.7710244572722249,-0.37130591644014327,-0.3730694828609582,-0.4059794636168017,0.7275767023459275,0.5533249331083843,0.6068060949671159,0.7397164712929475,0.7355667430492967,0.5468246425798046,0.3095334920192297,0.6086809267713493,0.3638181443214249,-0.167818089770469,0.6798014825528603,0.2704545610603853,0.40781363975729124,0.21022226382050777,-0.08742574778846512,0.6021370487508905,0.6962890746872964,0.6251545719787805,0.1331953951111464,0.32971813971351127,0.3860009125204545,0.669298933388551,0.7162349516632217,0.3841820095108389,0.6314929646910225,0.6338217222751881,0.31049136911660474,0.2800262756366372,-0.4016487264269025,0.6205606373423906,0.39234211382549533,0.5732245004981553,0.44152478410647594,0.3599384424880328,0.5859364430439683,0.4458805498228451,-0.10935092021093992,0.5399037243356801,0.6318022900245565,0.6101857105154256,-0.23278987250046934,-0.21360840742948198,0.40603309060721476,0.762896823180201,-0.03247110757924702,0.6769964050194952,-0.32039000347230195,0.12440888226579251,0.35162354862608963,0.3417665486024772,0.20656575007626848,0.22950899956883386,0.4510167658379878,0.24573259626369476,0.8215648562005976,0.4665998901406897,0.45139463758133297,0.23879586682246787,0.3811810692915985,-0.4740117085171685,0.686219291321177,0.3442335383700869,0.3160570394800859,0.4739534882830869,0.32331789854477017,-0.10881891074279841,0.38278669445337293,0.4205592334893393,0.2636872502424611,0.40192435511877506,0.5519976449244081,0.10852306976227905,0.7540442820372797,0.9309284457141364,0.41101815741919223,0.44086414814295977,-0.23994700242556768,0.12631584092154005,0.5211220610074028,0.7226108055727726,-0.16140156103180467,0.0723140520186237,0.796609805539723,0.5576260498898504,0.3290613847998945,0.512198166849672,0.556190926165371,0.07127435651131579,0.42757677034672786,0.41436475190448335,0.4097852545900361,0.4172257491825177,0.577760696222618,0.2797319709215182,0.09046053100004539,0.5139092983190112,-0.18646803015545405,-0.03857173675887778,0.17825556829446684
Thal_AV_L,0.25402697769442195,0.34901246433542144,0.14338323684008267,0.270378122978508,0.3866834059440413,1.0,-0.058495607955843326,0.27697681972978694,0.11703403064455305,0.022399015925689873,0.1984398879207051,0.28109830681953435,0.3348046804198829,0.2557634957510437,-0.15380940003810548,-0.07629272374839378,-0.10162103806016459,0.19108688511118732,0.12221950873046686,0.1068821386047476,0.31537426298745874,0.005677901988155157,0.16962885573017927,0.1159241226922151,0.15850655920359347,0.265587579102089,0.14063603832863364,0.4007377231582163,0.26677445849600157,-0.16584259526683767,0.13828051219219198,0.25194858780112567,0.18078494867643652,-0.28735080463473667,-0.08421415821336772,-0.004246140325425522,0.26594606574668506,0.2503535779481109,0.1131141125425023,0.13432097696899054,0.4396180290244973,0.2983333513985062,0.003987471412146006,0.31203191395733626,0.29822061787672227,-0.1370117960069502,0.38996781520976853,0.12994081339705468,0.1552570505927893,0.12443755539240259,-0.16258505805816853,0.2856112382423759,0.13590201770704927,0.22990631194244554,0.28968808293718684,0.14470705719295401,0.16650307861337751,0.3242678028492665,0.23573156600362505,0.3543977190021297,0.21744505512734694,0.20561039429108455,0.3208200687107186,0.21487110373765725,-0.021931082432921602,0.3027165766057246,0.11503081156874037,0.36304190068623,0.40052304857079546,0.1885155049048717,0.257824721013234,0.24448295548551705,-0.07926419972760634,0.17351140246906108,0.09710222575475819,0.1936118463450021,-0.1475270249490645,-0.1667671582538206,0.4070191123816929,0.3343205354258851,-0.13122221956614533,0.16359525848537126,-0.0893757397704095,0.3264604649233518,0.29525934647270574,0.21968569561190227,0.09826266015797258,0.3184779187330633,0.22227936625995232,0.0583838247689854,0.4319416381365435,0.12447469367033213,0.2857989647179846,0.004291217065491899,0.20217957946353368,-0.29975203696571096,0.22156664674700707,0.30748071207526523,-0.05396914051748847,0.2040691339048273,-0.006855417884238571,-0.04773552730386466,0.16266163838325096,0.33353756450980837,0.10515832829995794,0.2908500421355689,0.2645916331869401,0.0855991662865501,0.25994951301930214,0.29697025002559413,0.23993025623278758,0.19787350828777123,-0.1533962750771521,0.08531116160213627,0.20641395853261651,0.2528776974780393,-0.13209227609178417,0.13837835479905988,0.39841143111906085,0.44136141170825294,0.00879255697581743,0.1790727642207757,0.08382348578175165,0.3423053110189498,0.27459536411065527,0.08026704326152218,0.1642384005916061,0.16575669302977514,0.15996182972329917,-0.05527806592817477,0.04936451675749874,0.2525885407141036,0.014837291343485154,0.10700533481466436,0.05829519786834051
Frontal_Sup_Medial_R,-0.005851314690730473,0.16943700193935538,0.22236950440823153,0.2736164574017956,-0.13201200958601778,-0.058495607955843326,1.0,-0.02980713977515614,0.6425361908720439,-0.012668576944977923,0.45931284077273044,0.13480645438311356,-0.2654269765443387,0.06384534722650022,0.43779759130259066,0.8375684968877316,-0.11883608605289613,0.18429626777911484,0.14643328674637507,0.648145188942399,0.05124463494896477,0.33262612717709844,0.1651615470316231,0.6635600967873807,0.10870651412104691,-0.10987739804858988,0.23874294683663655,-0.06976340122645266,0.05051704567813097,0.05923373659177226,-0.03848747038543221,0.2212936363133419,-0.11078657199112453,0.12202196445776065,0.6443429330446473,0.591763887174476,0.36788614747937076,0.47693435816010804,0.007004489829000867,0.15969754528916924,-0.2977260432676371,-0.06650975102117375,0.12835495858243684,0.3662623901944992,-0.005238785714677048,0.14550090668860247,-0.4224272148408037,0.6459928842926814,-0.10076825999460957,0.49714890720845933,0.27983125522160407,0.11516440670849103,0.08920244913623396,0.4088442138839726,0.18068261633470298,0.002066777705911592,-0.11103992169408007,-0.01768787514084134,0.1446753194652842,-0.29221681966115953,0.2637178631481687,0.24539550265593013,0.2157712209423581,-0.10043105420419818,-0.0037884971993833757,0.39307295903029765,0.3212512348252415,0.062424455692435925,-0.014279029227087387,0.6187097806999777,0.2951115357588881,0.2562786433643931,0.7203387546921056,0.41877945262271987,0.23049767003424704,0.2289051697193273,0.08302367062250673,0.8653974799929373,0.28847205546263577,0.22946485130248837,-0.19096584958866802,-0.005133678116259677,-0.05079594502161071,0.1667932906794573,0.5256866818069331,0.18878867656291012,0.15828182289898357,-0.17319092103410805,0.5429919293586895,-0.04104892450296183,-0.17443357097145618,0.5990311132595986,0.38237195881295516,0.1977613015716201,0.13561971998951156,0.48145827222736637,0.0905955176990104,-0.18132825122414598,0.13742862414834184,0.5863230389912831,0.08352411773003908,0.7168291621070318,-0.17598197497299173,0.12347220881158028,0.05076055602570436,0.37134411667510103,0.45249872218851883,0.44943108690369904,0.16528811077625233,-0.10292632880087867,0.3056628580071274,0.018275078577505502,0.9352334591028032,-0.18801380130161524,0.5157211052834303,-0.06357610554438263,0.16952078418941952,0.40073071681953376,-0.19075349724080046,0.009613722995283692,-0.4327189870965893,0.27699449789108216,0.14726118623517684,0.32429892201523786,0.44414299640847893,0.43175504097189854,0.6879360000508062,0.11100486668052816,0.3463868604670505,0.6595316372666021,0.750563920673751,0.370243108595482,0.8003202505222624,-0.012780229337027564,-0.07162373558287835
Lingual_R,0.04465893199658292,0.3591260851532881,0.2562136213958624,0.459959695482566,0.8420244898821131,0.27697681972978694,-0.02980713977515614,1.0,0.27948266620490836,0.06100957067666186,0.1156757010906286,0.6208715889790314,0.651540387347307,0.5887209626129197,0.17496833837031972,-0.09767903708690961,-0.4054916677514568,-0.0011703290842764742,0.561459665895543,0.023903197522878426,0.9025327661431757,-0.11162101811424274,0.2028363224246572,0.08753026651926923,0.8069230737638279,0.16133774360500913,0.01689059035439158,0.545366324189014,0.5998669341494884,0.14896267061942228,0.6133214812059211,0.5939054404530354,0.815863247490676,-0.19371137657417883,-0.4150315071248376,-0.3383161608724824,0.5832360907676813,0.46642363707392603,0.6553008838473972,0.7630356342701676,0.4867064542698944,0.24997774964704855,0.2453773788270966,0.37625052447861634,0.21741752512773996,-0.08710840003161385,0.47882974576253706,0.29458368210287494,0.25527332959913895,0.31409194593205403,0.11722022727299995,0.5674824051304214,0.8932786844747763,0.5394705726908007,0.20263959865093462,0.3316524495106692,0.3675844044813831,0.5028623559296639,0.7009404205488429,0.04573498910181879,0.5026337993615627,0.4476125063651495,0.3460405653669284,-0.002847875569661157,-0.592730705687618,0.47333971284768067,0.24558144974314347,0.44297624904241023,0.24176404543832336,0.21764382811565258,0.4997480831948842,0.27830757476001255,-0.103224545269202,0.30641386642434715,0.7194442883476843,0.58935886693847,-0.021913909878086314,-0.15751322048522182,0.3320528844311683,0.6590067669220765,-0.05975599272570629,0.640136722410616,-0.5093367092765917,0.09571245040137485,0.3673713848240706,0.23048687127403553,0.07794052452720987,-0.03568508359873175,0.3124796675054661,0.2208448739858223,0.8327509890637674,0.4223814283567363,0.37863700751320667,0.27516929173900684,0.27966668746767154,-0.37639319539425015,0.6436513204521342,0.41562087639965795,0.48381685157471443,0.44341036479936674,0.587584726942403,-0.18746039300508077,0.19930276160163488,0.18209611820334,-0.08367362489394899,0.33905985320066967,0.4606723111515466,0.07598013661522457,0.611950711751948,0.8311200587890819,0.20683286159668687,0.657470349017407,-0.08295349032317173,0.021290467011510782,0.43651228936799447,0.6740011956915997,0.05456951884984159,0.01796184772414046,0.8255973250521957,0.45145793357417613,0.32191093224316103,0.364705917069356,0.7894480281816976,-0.002191601888653741,0.42835506126606754,0.3164628113026449,0.35699036910496,0.4506456860421186,0.5158516599124073,0.2870864155155591,-0.03199561816022783,0.3456490668689409,-0.10435555602831392,-0.09629664302870163,0.08111559118731196
Insula_R,0.24329675265896117,0.5566388091146344,0.352107586275854,0.5724026918863779,0.36338361846593925,0.11703403064455305,0.6425361908720439,0.27948266620490836,1.0,0.2980698996613624,0.5167516401972978,0.508534176276268,-0.15410161891482807,0.5429937163994654,0.43228730304531005,0.6308771984300223,0.07620297432168174,0.49090193590727804,0.4323404764540885,0.7807939656854584,0.42906509745105803,0.16659836318368074,0.34570018237802314,0.7324202501397793,0.24575235335062706,0.1096183497710132,0.18045328594593837,0.37365231824324957,0.44438544844589667,0.18479688088571367,0.38539500495041223,0.5361650264166944,0.2775856729190956,-0.11291994712880299,0.2544889058855497,0.06239312225279744,0.6928954104365459,0.6973745441055366,0.29647068739045884,0.4990978275152762,0.1784654053711851,0.3741786818684508,0.3484406038060263,0.7534020246031855,0.3523284294628843,0.03649877199350419,-0.02182066909297282,0.6668929095431944,0.16287270297825782,0.47214329936949834,0.17347768709670142,0.5641430680526388,0.3382476637392179,0.6212762604618695,-0.040785516544413786,0.20317900364428151,-0.09877380909505323,0.4406044654045615,0.6000005133368955,0.16166882456485993,0.5644874009742733,0.6369193424757048,0.33286131885863396,0.258715238935706,0.06919813180849153,0.6914233592858742,0.6485013944688925,0.5226102438482092,0.3935580997838033,0.8591841996061543,0.6991509932338001,0.5524351206470212,0.49968822116921174,0.825133388602072,0.35770159407554214,0.5166456216725437,-0.06914367325150393,0.652829947108115,0.563568119321751,0.5603226313371928,-0.04933229933844694,0.32432059454781326,0.046011332506744496,0.1833951322929763,0.6039452142335451,0.3920708007779199,0.5419367263191748,0.20056871037278096,0.7126642784693163,0.24539401015334897,0.13210955453902865,0.7972481825192034,0.6623406524921707,0.33986178270063894,0.4366214888675273,0.19130868367084566,0.33546530304599054,-0.2070759378517602,0.15342010990262248,0.7373749301191695,0.0178170354649332,0.7028334083279305,0.33665228630121574,0.531941802470134,0.34742949304355897,0.5845679881253761,0.6805325449880048,0.5217510003689283,0.5480362958342575,0.3694875644553022,0.5903847464485195,-0.057575588333484834,0.5150407152948472,0.007223560892859201,0.696391387129373,0.4057925878665925,-0.10960359677680649,0.4121455699958581,0.08358640794469681,0.3365894241846536,0.02132952883313467,0.6922955883665097,0.16753667943916362,0.3481301763406223,0.6645621016834485,0.6383197363320772,0.8225150910317378,0.35303294731979945,0.619440043765687,0.656690001129579,0.7770799857163132,0.6555246753640755,0.4396888470113266,0.0010219978139875327,0.09454007686093825
Vermis_9,0.2188880903517465,0.13219661759878415,0.16705258401685152,0.32492703379427706,0.16303584326680884,0.022399015925689873,-0.012668576944977923,0.06100957067666186,0.2980698996613624,1.0,0.21453296001520825,0.2662194996270477,0.001159610484549295,0.41832622833126476,-0.06080348467246471,0.07941375870976773,0.3852142598840268,0.5509777564681487,0.17170483892082497,0.4682111839036898,0.15001210388641517,0.1897899430772916,0.2660848259631645,0.33216255907435577,-0.15511786071275566,0.2248416789744659,0.41432299211530116,0.2730385198243399,0.3354159679587052,0.09677193836125994,0.32719466305327743,0.23258762750865236,-0.06939793483775006,0.12982709308806675,-0.19312944265497825,-0.133784064606724,0.18715450689888702,0.3644186609970652,0.23067805325788765,0.0981130792360814,0.15412168657007397,0.342372321859346,0.11110523001804475,0.4011478704752902,0.46107988215266726,0.13492296501848466,0.030518646802666683,0.2528411712076127,-0.04982271548798494,0.282485186991007,0.11901976360473666,0.43883800618839697,0.10314058271848646,0.22893372199085799,-0.1770122213346913,0.10200176118075924,0.0032163674326925345,0.2561924710905633,0.3144625278674539,0.23099505732444942,0.16920450349711896,0.22549227712767733,0.23316557235734378,0.23671441573333415,0.1845902682729045,0.3382887867171139,0.19860055143137864,0.3786706084531632,0.4349309916057217,0.2816054103968151,0.3044920260072407,0.15804369672570556,0.15493297287050542,0.30647456011320634,-0.1928714992543221,0.11513924958930608,-0.2166606885030077,0.06914614794820605,0.2612218589858604,0.27878929754575826,-0.19599212808506344,0.04827237315080483,0.20335125109151708,0.36633523073023705,0.3078606883683297,0.18181096977083497,0.5322354163205243,0.5047075788605344,0.3515269412524678,0.15469627676108355,0.01473608299097269,0.044539391353585714,0.24391108863827463,0.07756465307451094,0.28444210216553195,-0.06712575245531217,-0.06705337544550119,-0.11937117414043022,-0.14933984139096854,0.31239073830935826,-0.251512456739273,0.1250621121730373,0.40270892718752516,0.4457768446318778,-0.011934753098382026,0.33394178483384873,0.37275515676470145,0.11135378302564262,0.006551835093005297,0.10972617024305825,0.4396015669544713,-0.15123331406509227,-0.057040240027763076,-0.09584854869746372,0.3168823700637247,0.2138390406220845,-0.08510145905644599,0.1370636151993164,-0.0897967568056211,0.21880760944186375,0.20049825882198813,0.2661193388099158,-0.17896013144525239,0.3625099947201272,0.011683165231414569,0.086731810307902,0.08312056800842137,0.20524636291732176,0.32347014391685375,-0.06233101601963539,0.3220668442838148,0.3705658518223633,0.11906222516653595,-0.007254443888165006,-0.08745032204702326
