,Frontal_Inf_Orb_2_L,Lingual_L,Cerebellum_7b_L,Vermis_9,Precentral_R,Vermis_4_5,Thal_MDm_L,Caudate_R,Frontal_Med_Orb_R,Frontal_Sup_2_L,Cerebellum_6_R,Putamen_R,Vermis_10,ACC_sup_R,Angular_R,Lingual_R,ACC_sup_L,Vermis_7,Thal_LGN_R,Frontal_Inf_Oper_L,Cerebellum_Crus1_R,Postcentral_R,Thal_PuL_R,Red_N_R,Occipital_Inf_R
Frontal_Inf_Orb_2_L,1.0,0.21901949179683844,-0.2154075122800945,0.08741052678360711,0.5216289988094001,0.3085754046053294,0.37791251888983796,0.21955675033416314,0.10676841676947245,0.782285853053293,-0.33609871713511436,0.6469121167720606,-0.02293211582523074,0.29165300434566843,0.19363582553937037,0.07432964939660255,0.43949078237238337,-0.09997935396268087,0.37227851175437965,0.6079039963276059,-0.3372185087443077,0.4284834685234365,0.32479298590399225,0.2034916719836839,0.15866353708910674
Lingual_L,0.21901949179683844,1.0,-0.05951593303678059,0.10314058271848646,0.27965502992303914,0.8651850982459846,0.33307641808101196,0.3314616040246606,-0.04355281425982327,0.04002107467384316,0.45759934411890785,0.19711227884191843,0.12078016771790366,0.3877867274349964,0.6442929907687689,0.8932786844747763,0.5605078517859532,-0.5405043236946229,0.4031338821445298,0.6591684484065911,0.18339508231911197,0.46236834676234145,0.24753497748328682,0.13732560619258488,0.5033434117841987
Cerebellum_7b_L,-0.2154075122800945,-0.05951593303678059,1.0,0.23099505732444942,0.3366667118170568,-0.1264906244710273,0.14216401967028297,0.1770818735916091,-0.1765345862532749,-0.4483920218475285,0.2904145883910483,0.2559813084600147,0.17536313644839005,0.26350118085260077,0.3792340031812888,0.04573498910181879,0.1538065311308567,0.3625166645607382,0.29020770924782896,0.13970142328412874,0.33526816343026145,0.45670340379256213,0.08025203084811466,0.02171606709082765,0.2101732730079393
Vermis_9,0.08741052678360711,0.10314058271848646,0.23099505732444942,1.0,0.3515269412524678,-0.06617526497386265,0.24391108863827463,0.23316557235734378,0.13492296501848466,-0.057040240027763076,0.001159610484549295,0.2816054103968151,-0.08745032204702326,0.33394178483384873,-0.06705337544550119,0.06100957067666186,0.3619766053187747,0.1845902682729045,0.2661193388099158,0.10645466295164308,-0.11937117414043022,0.3382887867171139,0.16705258401685152,0.2660848259631645,0.09291628976598051
Precentral_R,0.5216289988094001,0.27965502992303914,0.3366667118170568,0.3515269412524678,1.0,0.29193449109534064,0.6293500850159724,0.5417832490404868,-0.006909208293686975,0.41447363291326933,0.19991344901436928,0.7297232210579233,0.0486090636800923,0.5465054924200379,0.4930063807682711,0.3124796675054661,0.6071622557276695,0.09201370506789264,0.4709595387434898,0.783630904892761,0.23757190900815373,0.9201014293480002,0.4566592895747248,0.3557711097871638,0.31392546021958656
Vermis_4_5,0.3085754046053294,0.8651850982459846,-0.1264906244710273,-0.06617526497386265,0.29193449109534064,1.0,0.2760301542346368,0.2121827113533452,-0.10457874009108932,0.15342400800657133,0.4413256121559745,0.27906748834259565,0.06859262476329131,0.21084485306116668,0.6671177421237869,0.887708696372848,0.4127581108103251,-0.786825666220763,0.3265094602318362,0.6490468376931872,0.2550883992551697,0.40510977607573745,0.23823475737337044,0.13981059254964917,0.36336943058625154
Thal_MDm_L,0.37791251888983796,0.33307641808101196,0.14216401967028297,0.24391108863827463,0.6293500850159724,0.2760301542346368,1.0,0.6811644973317843,-0.06806199203195383,0.29296180125982413,0.0927749721108328,0.5812015950220839,0.1332476456677385,0.6455676327790347,0.24374520435323851,0.37863700751320667,0.5991138560740137,0.1419072093835264,0.6192388563076782,0.5666783273093087,0.03899761255730935,0.6371132019093176,0.6123138685258203,0.6149097150602847,0.3169396714478384
Caudate_R,0.21955675033416314,0.3314616040246606,0.1770818735916091,0.23316557235734378,0.5417832490404868,0.2121827113533452,0.6811644973317843,1.0,-0.05230731074951502,0.1696426994405733,0.3709524992573791,0.2786770221181551,0.012195394800514306,0.5029770293951241,0.3068086614423769,0.3460405653669284,0.5030079222138593,0.09638154003136366,0.2827324314030804,0.5497378673091663,0.3309836549679531,0.5752260737736518,0.657075049757942,0.42022334629399727,0.2609912958619196
Frontal_Med_Orb_R,0.10676841676947245,-0.04355281425982327,-0.1765345862532749,0.13492296501848466,-0.006909208293686975,-0.10457874009108932,-0.06806199203195383,-0.05230731074951502,1.0,0.22090089333336854,-0.20761237076966452,0.006765944883573743,-0.19571087272634038,0.11246148108270414,-0.2398376823945358,-0.08710840003161385,0.13129591953993316,0.06676489272192367,0.08256990399796953,-0.14134184318031726,-0.16578086743417075,-0.07338115894917663,-0.38170550650816953,0.031171911388560482,0.09062378948584078
Frontal_Sup_2_L,0.782285853053293,0.04002107467384316,-0.4483920218475285,-0.057040240027763076,0.41447363291326933,0.15342400800657133,0.29296180125982413,0.1696426994405733,0.22090089333336854,1.0,-0.31124054813616653,0.4686891254463447,-0.1574783864984048,0.2294015864195573,-0.039935258354244954,-0.08295349032317173,0.36056315328747673,-0.0791336506500993,0.1696528759645559,0.42238422254912134,-0.2272343221462626,0.2476018309570375,0.19787326029224997,0.12920776363967987,0.029064893860468895
