,Heschl_R,Lingual_R,Thal_PuL_L,Cerebellum_10_L,Red_N_R,Hippocampus_L,Olfactory_L,SN_pr_L,Thal_MDm_L,Paracentral_Lobule_L,Putamen_L,Parietal_Sup_L,Temporal_Sup_L,Thal_AV_L,OFClat_R,Rolandic_Oper_R,Calcarine_L,Thal_MDm_R,Frontal_Inf_Tri_L,Temporal_Pole_Mid_L,Precuneus_L,Temporal_Inf_L,Frontal_Sup_Medial_L,Cerebellum_3_R,ACC_sub_L,LC_R,Thal_VL_R,Postcentral_R,Temporal_Pole_Sup_L,OFClat_L,Paracentral_Lobule_R,Frontal_Inf_Oper_R,OFCpost_L,Parietal_Inf_L,Cerebellum_8_L
Heschl_R,1.0,0.20683286159668687,0.17446541983876196,0.2523630684943792,0.4399348274714341,0.623641090358338,0.498345106973561,0.42359698878584734,0.6022062750705922,0.7417406274599496,0.4329661404452928,0.37327880338419656,0.7446793504219107,0.23993025623278758,0.041572612536880806,0.5401103184125128,0.37441650584122177,0.40706915542544186,0.6973428070963965,0.024973419370605827,0.6065365406768097,0.3284236221904065,0.41894425927552437,0.4206124642769212,-0.0726358498667899,-0.12293385381838726,0.590669986820108,0.7969404797992014,0.3861038493219577,0.4626308379469508,0.7383459494416525,0.5939302104887139,0.26738997318945734,0.5338206154857384,0.37038873266027816
Lingual_R,0.20683286159668687,1.0,0.11722022727299995,-0.04119007680833066,0.2028363224246572,0.18209611820334,0.1156757010906286,0.6133214812059211,0.37863700751320667,0.43651228936799447,0.35699036910496,0.4506456860421186,0.37625052447861634,0.27697681972978694,0.32191093224316103,0.30641386642434715,0.8311200587890819,-0.002191601888653741,0.29458368210287494,0.20263959865093462,0.6208715889790314,0.7054237210087219,0.16596625153920347,0.4476125063651495,0.05456951884984159,-0.021913909878086314,0.3673713848240706,0.47333971284768067,0.23048687127403553,0.3591260851532881,0.5394705726908007,-0.03199561816022783,0.2870864155155591,0.7009404205488429,-0.002847875569661157
Thal_PuL_L,0.17446541983876196,0.11722022727299995,1.0,0.24986719390329393,-0.00968815992067681,-0.09776333116690702,0.028252022034927184,0.22202237395292693,0.17310198105420058,0.203404933384016,0.03539602293757185,0.37867622926891875,0.08999207738606695,-0.16258505805816853,0.21697344011093136,-0.11839254575425269,-0.03528424935255974,0.07943999763201488,0.4309131583955941,-0.0508663817357588,0.30583543921877965,-0.14009141355131427,0.37945210890625425,-0.1246233371355136,0.07889135742954578,0.42810205443565713,0.30333058846304767,0.20899448628173342,-0.08595676422603034,-0.09898633565238917,0.21395112042085135,0.3007106867410387,-0.01823971230360844,0.29523255416834426,-0.14956882593544749
Cerebellum_10_L,0.2523630684943792,-0.04119007680833066,0.24986719390329393,1.0,0.15429051434761845,0.21113129509357767,0.3838573415448361,0.14578705855530893,0.07429695180794338,0.1463639748063244,-0.0024038105537281074,0.050285327463354235,0.12932215529149346,-0.02547367732687583,0.18884679831021675,0.10521942491354212,-0.12115595253983692,0.382901151101298,0.1679108190430006,0.004399446861200477,0.10584254118453956,0.015217773851060122,0.20593537992848432,0.09569245770468274,0.15682580705078603,0.0527404005442471,0.20636267602411604,0.1483167695971859,0.11575811707829552,0.07951006259949296,0.0918751078308569,0.1862901935787086,-0.01467938729390595,0.1020730763339126,0.04454589594616333
Red_N_R,0.4399348274714341,0.2028363224246572,-0.00968815992067681,0.15429051434761845,1.0,0.5614147868122693,0.35316529549283343,0.45471833513229376,0.6149097150602847,0.2966614839785409,0.25384995797808485,-0.00029336309750986974,0.46648699562066054,0.16962885573017927,-0.01120125658830205,0.35132278257424354,0.2862952214229431,0.0980029671518379,0.42511889717084955,-0.27693082516991957,0.14731136657798694,0.20279365043654268,0.23386004225030496,0.2904885644055047,0.038624983534857285,-0.35666488783408273,0.38134483523618184,0.3219520163889087,-0.10097978562211307,0.33245266689994807,0.23490602734916968,0.315743317645913,0.06450534265147878,0.22789686535069845,0.12911710586735226
Hippocampus_L,0.623641090358338,0.18209611820334,-0.09776333116690702,0.21113129509357767,0.5614147868122693,1.0,0.5078630159030312,0.4996387965046756,0.6236075719970823,0.38913785069789186,0.29898743955029633,0.10723770759130867,0.720597144848466,0.33353756450980837,0.15719461299649792,0.5906517784600348,0.3718071827197299,0.5209188264847808,0.3614984280705589,-0.16393343163224772,0.3776623688512163,0.31145592119889315,0.1478037598592605,0.5152154586687187,-0.21792905701923646,-0.2746844237808475,0.4877979555403,0.4888313805994773,0.19265473409687156,0.5490853250025475,0.3412228707057882,0.32444708030785685,0.11337154060037014,0.4370911152498095,0.39153811742404837
Olfactory_L,0.498345106973561,0.1156757010906286,0.028252022034927184,0.3838573415448361,0.35316529549283343,0.5078630159030312,1.0,0.13331935707135745,0.3429763245207773,0.44799975916982165,0.4624535645889462,0.1066145767351182,0.5681376589901381,0.1984398879207051,-0.06321068347715411,0.5169947083745928,0.2402876480497639,0.5370321626160177,0.4674422964266173,0.15470037203938425,0.2913951319523554,0.28812465308285584,0.43461313561036513,0.41958526808553465,-0.0630803760040651,-0.02448380223299618,0.5322607843395447,0.45556602947584984,0.3138561021550496,0.49397808226473583,0.4060407779206478,0.5023896909611455,0.4257461056620076,0.31475369317593693,0.2391363765797218
SN_pr_L,0.42359698878584734,0.6133214812059211,0.22202237395292693,0.14578705855530893,0.45471833513229376,0.4996387965046756,0.13331935707135745,1.0,0.5449887122484337,0.3540111392888884,0.20306166577725507,0.3760352905481623,0.4910608527671006,0.13828051219219198,0.39241655904605127,0.33241752782072215,0.5648089324656483,0.08434401369048085,0.351010859599069,-0.26051461383201613,0.5481658663855197,0.4248118841475675,0.10488904239707125,0.4331372226907553,-0.026012882491965508,-0.062018196017515084,0.37008087988074134,0.42957819493022864,0.08168722405978555,0.37576356687216417,0.38232856171380963,0.11283988844382867,0.08260890422420387,0.6526908875140564,0.11438875656694053
Thal_MDm_L,0.6022062750705922,0.37863700751320667,0.17310198105420058,0.07429695180794338,0.6149097150602847,0.6236075719970823,0.3429763245207773,0.5449887122484337,1.0,0.6234304159930767,0.5429959106005515,0.35102182738029075,0.6968447390439838,0.2857989647179846,0.018632408446702,0.542182531617942,0.45189920072433853,0.23341076096535027,0.6831006486828217,-0.18555205594379112,0.5282797527564802,0.31892936596263954,0.48002328190499466,0.41032469513536984,-0.03266932189631055,-0.1848844544706931,0.6352419312199967,0.6371132019093176,0.12985160149983827,0.45452750802022013,0.5567528175412768,0.5301019564181285,0.2377188616505951,0.5814242043995369,0.2637312338199693
Paracentral_Lobule_L,0.7417406274599496,0.43651228936799447,0.203404933384016,0.1463639748063244,0.2966614839785409,0.38913785069789186,0.44799975916982165,0.3540111392888884,0.6234304159930767,1.0,0.6726858990437726,0.6073721770137395,0.7621624588919349,0.20641395853261651,-0.07815059654274005,0.6044827434501685,0.4506572245541027,0.3441347564719999,0.8168074233993919,0.22290338626989206,0.7515176044899763,0.479402597231172,0.6506606445298323,0.43341637644410774,0.060045475611201875,-0.037733596489551664,0.6564875549061365,0.9339305204501824,0.5225307521492029,0.44029900510587555,0.9554823427211246,0.7246920121436504,0.4951564109172203,0.7108601079323884,0.3634564617878793
