,Thal_PuL_L,OFCant_L,Frontal_Sup_2_L,OFCpost_R,Cerebellum_10_R,OFClat_L,Fusiform_L,Postcentral_L,Postcentral_R,Precentral_R,Cingulate_Mid_L,Olfactory_L,Thal_PuA_R,Amygdala_L,Precentral_L,Amygdala_R,Occipital_Sup_L,Angular_L,Thal_PuA_L,Temporal_Sup_R,Occipital_Inf_L,Temporal_Inf_R,VTA_R,Temporal_Inf_L,OFClat_R,Precuneus_R,Frontal_Inf_Orb_2_R,Lingual_R,Thal_AV_R,Thal_MDl_L,LC_R,Frontal_Mid_2_L,Thal_LGN_R,Thal_VPL_R,Rolandic_Oper_L,Thal_VA_R,Parietal_Sup_L,N_Acc_L,OFCmed_L,Red_N_L,Heschl_R,Precuneus_L,N_Acc_R,ACC_sub_L,Occipital_Sup_R,Cerebellum_9_L,Cerebellum_8_L,Thal_AV_L,SN_pr_R,Calcarine_R,Cerebellum_Crus2_R,Temporal_Pole_Mid_R,Hippocampus_R,Insula_L,OFCmed_R
Thal_PuL_L,1.0,-0.03708320677943614,0.29057200994631577,-0.030503922905679014,-0.05583430394650197,-0.09898633565238917,-0.008032854643374377,0.26301070874460536,0.20899448628173342,0.13459696359598408,0.22370475363976672,0.028252022034927184,-0.01877863628461798,0.07107215554679687,0.24022753902013122,-0.07183492793309806,0.2680450579844321,0.4101532303916252,-0.21823950451310764,0.2218818545000013,0.24180400481474476,0.042575211949305025,0.13343784327511782,-0.14009141355131427,0.21697344011093136,0.29616256030896704,-0.009501302319482183,0.11722022727299995,0.0841040371225674,0.1656998477962857,0.42810205443565713,0.34079692853068355,0.1175766460288171,0.2897714184864917,-0.09997577062533979,0.26943773915787417,0.37867622926891875,0.23473971401978885,-0.08761954429169105,-0.007834814564895364,0.17446541983876196,0.30583543921877965,-0.044075442530784784,0.07889135742954578,0.17965478127618523,0.025952140932645137,-0.14956882593544749,-0.16258505805816853,-0.025657128136145322,-0.08742574778846512,0.0828753504091036,-0.007381938679042475,0.028854160243605317,0.04107539322863441,0.18662080376731552
OFCant_L,-0.03708320677943614,1.0,0.634145685599885,0.6796738019886762,0.09306876823577603,0.05636646809878893,-0.3713565450931953,0.05577920166607884,0.018991151384149432,0.23539607878433014,-0.3532555051823316,0.32392038297359005,-0.13624321465738193,-0.02609383057369593,0.2350079487952898,-0.13164414922036272,-0.2566770900722997,-0.09076006863129378,0.007369604871064734,-0.14874043500011946,0.4111431171790102,0.025187497903727197,-0.0456300379526972,-0.3126253787195425,-0.6254918067744001,-0.17603560599289897,0.6393220593908994,-0.4150315071248376,-0.2134844839476203,0.13184375587605357,-0.09660328109997503,0.15328496996575955,-0.05631174522846931,-0.05093957403726372,0.14375636795812358,0.00047203776400813347,-0.3033283359610879,0.2571244455304373,0.3759978918671186,-0.0919215320947952,0.12623515202887597,-0.2861402686717452,0.5363827271068752,0.04410700777456148,-0.21226126763751071,-0.2506833101496104,-0.20248371464104917,-0.08421415821336772,-0.18604571632082462,-0.3730694828609582,-0.2564626110361994,-0.15838285617205378,-0.17974596735737544,0.3004864463319811,-0.06245560288444652
Frontal_Sup_2_L,0.29057200994631577,0.634145685599885,1.0,0.8101290578329007,-0.09202727558596324,0.03034673517806153,-0.3056169112213505,0.35951763346200954,0.2476018309570375,0.41447363291326933,-0.03337348381147551,0.3781114777605934,0.19283492810391595,-0.19061981811028067,0.48831294673076814,-0.11515326565540975,-0.01680212210710279,0.11930472682229087,0.23542190323764062,0.12166498502143447,0.44843521934404795,0.14087942953276458,0.032467632923035776,-0.2170337924494742,-0.46075480921625345,0.060276218627159664,0.627584387226408,-0.08295349032317173,-0.11692805217712965,0.3686541228097684,0.12005010564741711,0.4983625598089407,0.1696528759645559,0.20549742130460968,0.2714407024004193,0.12248308431275778,-0.04905363468164558,0.48366925871979993,0.44442286938139697,0.0044981536162762605,0.2288502772648274,-0.013379697576747044,0.422425746750105,0.23137582997900047,0.023542193260867962,-0.15769579844922213,-0.23482672195166054,-0.1533962750771521,-0.004666866007814056,-0.23994700242556768,0.0245539520499089,-0.17536603805928244,-0.03912721635946227,0.5176749726111975,-0.15662215649049524
OFCpost_R,-0.030503922905679014,0.6796738019886762,0.8101290578329007,1.0,0.06324708158863479,0.2276736976228956,-0.20799926048810866,0.3242355803507317,0.2642115812937585,0.4791892744965441,-0.0387569048810827,0.44943060751785047,0.27282450900438965,-0.18992764072858248,0.4536861069032696,-0.061098283826958345,-0.12319992782219817,0.0379155536212391,0.33837191645512604,0.06780332748952278,0.3916490865612356,0.0607050361681865,0.06024901321972184,-0.07437116147446575,-0.4995014143305788,0.034392553793397056,0.8511675155011161,-0.09767903708690961,-0.09005997809238261,0.3325063980408463,-0.11493124729261263,0.4204983272952671,0.25676465362979,0.15792177051086986,0.4031295490717167,-0.021507962004619553,-0.12979415241311512,0.38631046790080537,0.5200406574197665,0.14762331601085235,0.2488998633287689,-0.06604926088242973,0.5678089644210671,0.13986526750267808,-0.05528056933329044,-0.06944907398436252,-0.1275374040704288,-0.07629272374839378,0.10979724660230551,-0.12079739340499646,-0.08643737292946273,-0.15813546345282312,0.07322746983697345,0.5864988236624205,-0.19433141425612868
Cerebellum_10_R,-0.05583430394650197,0.09306876823577603,-0.09202727558596324,0.06324708158863479,1.0,0.4158855800641249,0.21212860172872025,0.28944862417781125,0.40436288981082,0.35891460621041005,0.20540105358254182,0.0805463453419452,0.08885682016990751,0.1843347313704627,0.29249669373997056,-0.11187711561610955,0.08197762127878545,0.2613695975426793,0.18251830260250318,0.36580940712047627,0.20303274593242476,-0.028124663992872723,0.1932618506129827,0.214081476349666,0.1022727904638434,0.39454469171390594,0.3268191043590694,-0.08367362489394899,0.20480345452475773,0.24820368747668162,-0.19183142423369054,0.24821205291929824,0.3846791222904741,0.05354816201340751,0.3263037439527056,-0.1219178681650802,0.27716185081820977,-0.09758324387128457,0.03464028323310231,0.22103626220499933,0.3214685132294451,0.31716979489102487,0.0415145168731714,-0.3119572114962188,0.09881658206639385,0.4137090651399201,0.5126250297817814,0.10515832829995794,0.09906201637843302,0.2636872502424611,-0.14651557776527285,0.07009179967934566,0.16578792841500473,0.29448286258833334,0.07137835803540214
OFClat_L,-0.09898633565238917,0.05636646809878893,0.03034673517806153,0.2276736976228956,0.4158855800641249,1.0,0.34650142153338087,0.4504740051636574,0.556683115424872,0.4216826440253527,0.5373902171099927,0.49397808226473583,0.453522384082339,0.0774448618237338,0.3476987044589495,0.0001917375947573857,0.25008764751886076,0.08542801922123235,0.486655144069289,0.5862885572212643,-0.21669317253780587,-0.0738946362011184,0.3960827546192444,0.48692466994053973,0.1595575445808843,0.4533821725319641,0.2818075229274928,0.3591260851532881,0.5513547730322643,0.3486293367595778,-0.16659624449797883,0.5037707952199018,0.6051984614285368,0.508014079559479,0.6310160233893644,0.2346609290796476,0.2646505861709173,0.19214360657513424,0.19227472056358733,0.4085178905744061,0.4626308379469508,0.4794333946645395,0.32722341520212384,-0.11994764573854538,0.23190257372794956,0.5920847872851797,0.3605030698606748,0.34901246433542144,0.511709080239596,0.5200592502789327,-0.059050303120583285,-0.05138300910400307,0.5926208207137011,0.45253788223050084,0.31499088546344034
Fusiform_L,-0.008032854643374377,-0.3713565450931953,-0.3056169112213505,-0.20799926048810866,0.21212860172872025,0.34650142153338087,1.0,0.3461413297950783,0.37531958786578484,0.24139811213092627,0.5675373396458507,0.25741038507214525,0.3040819813964607,0.11574930792998213,0.22174120475957143,0.20333274486564454,0.16447395160103637,0.29930364609739923,0.2170598294180504,0.3782495880460955,-0.12540472151923324,-0.22256424515683265,0.4152949778950468,0.5368503949849363,0.48121192175515576,0.40678238038513714,-0.06749081152522646,0.19930276160163488,0.3697735139164762,0.15977460037194582,-0.04135140222914581,0.28572853701919726,0.5457958388362686,0.3427479858121181,0.2613672992903017,0.3150691949278037,0.41376731881247203,0.11041383526977071,-0.022586509870676674,0.5222468475255145,0.2904064300681566,0.4932491348942997,-0.09985748991793525,-0.26514047032796867,0.04077036154344114,0.45333843219695985,0.5936142970659483,0.16266163838325096,0.4452785123324378,0.38278669445337293,-0.18766179938177807,-0.10133405153684975,0.5586432575958611,0.08380127427526059,0.30607487895286645
Postcentral_L,0.26301070874460536,0.05577920166607884,0.35951763346200954,0.3242355803507317,0.28944862417781125,0.4504740051636574,0.3461413297950783,1.0,0.9637958822506615,0.9285814271077751,0.7470327058662326,0.45851247358244673,0.38006632039843724,-0.08749564851394316,0.95536914169362,0.1204410937933559,0.4231213153468677,0.629769459316794,0.43613298745347306,0.8225164557282263,0.03157444313986458,0.02036060295111184,0.5933829095909802,0.4838996463123156,0.0368193349243557,0.8683283922375227,0.3673613272555263,0.46642363707392603,0.5227931592663464,0.5976051807600811,-0.004880662310339582,0.9024408323797416,0.5447011493563692,0.6091695169215521,0.7269030585558467,0.38023346635219785,0.6862344544563169,0.36803590519687834,0.2577642523232775,0.5024123454814641,0.7746021942053418,0.8327786949774937,0.2832002253641306,-0.002203856563181002,0.4265478106799754,0.6806934877759271,0.41280745380722245,0.2503535779481109,0.4804104148525392,0.5533249331083843,0.2902522476811998,0.30348758453920466,0.5146673090163707,0.6557936362199581,0.29519383010665273
Postcentral_R,0.20899448628173342,0.018991151384149432,0.2476018309570375,0.2642115812937585,0.40436288981082,0.556683115424872,0.37531958786578484,0.9637958822506615,1.0,0.9201014293480002,0.7545073385472726,0.45556602947584984,0.3700875883828982,-0.06111083938285128,0.9077083004385074,0.15292701967649777,0.44192422042803103,0.606737524106185,0.4371484515018911,0.8753573942874012,-0.034395868294222955,0.0181872685213988,0.595874656157263,0.5459066712760804,0.08791759412342887,0.9001608764067067,0.3285122401968555,0.47333971284768067,0.5985500299441496,0.5936530952447342,-0.04450461519461461,0.8739923166965398,0.5578071332410173,0.6145344121783626,0.7489912198414663,0.3650448260649006,0.706397961269077,0.30777462803414135,0.20196827447490207,0.5423402931952827,0.7969404797992014,0.8620050764913262,0.23969137789514378,-0.031505847765566426,0.4623527042470331,0.7618356476214061,0.49820785524586425,0.3027165766057246,0.5022932661164763,0.6205606373423906,0.3029561373326477,0.3544634970412164,0.5426021585443535,0.6529548779110059,0.34087817421290967
Precentral_R,0.13459696359598408,0.23539607878433014,0.41447363291326933,0.4791892744965441,0.35891460621041005,0.4216826440253527,0.24139811213092627,0.9285814271077751,0.9201014293480002,1.0,0.5823850422586484,0.465260661673499,0.2785594066600096,-0.16003025345049265,0.9613962784728896,0.13845397837322485,0.2603251088413741,0.5531654559217963,0.37000228604283175,0.7191794712718849,0.14191532961035602,-0.0017272335343892862,0.5445051121614337,0.4151936362316386,-0.18571094291008838,0.767107003407802,0.5390816467888861,0.3124796675054661,0.4634044137509551,0.5754663828747911,-0.14427409608539626,0.8379144534370148,0.4709595387434898,0.5286024271053097,0.6917551746043611,0.3066520955873408,0.5766856911923145,0.32322227622133437,0.2914430258690975,0.4919452396485462,0.7518012763884966,0.6824112288928607,0.35909176696283684,0.027882667339431993,0.3233812961961863,0.6252123343586486,0.4417863222067513,0.22227936625995232,0.4114046892418423,0.4510167658379878,0.27583586262530974,0.3638537746124995,0.4236933005746779,0.6797811124192895,0.2469322665901294
