,Thal_VPL_R,Raphe_M,Cerebellum_7b_L,Vermis_7,Cerebellum_4_5_L,Frontal_Inf_Oper_R,Frontal_Sup_Medial_R,Vermis_6,Cerebellum_10_R,Angular_R,Calcarine_R,Pallidum_L,Thal_PuA_L,OFCmed_L,Rectus_L,Thal_VA_R,Paracentral_Lobule_L,Occipital_Inf_R,OFCant_L,Thal_PuI_L,Parietal_Sup_R,Pallidum_R,N_Acc_L,Thal_VL_L,Cerebellum_8_L,Frontal_Inf_Orb_2_L,Parietal_Inf_L,Hippocampus_L,Frontal_Inf_Tri_L,Cerebellum_10_L,Parietal_Sup_L,Thal_LGN_L,Cerebellum_6_R,Thal_VA_L,Heschl_L,Temporal_Inf_L,Frontal_Mid_2_L,Thal_IL_R,Red_N_R,OFClat_L,Temporal_Pole_Sup_R,Occipital_Mid_R,Thal_PuA_R,Thal_PuL_R,Precuneus_R,ACC_sub_R,Vermis_4_5,Olfactory_R,Lingual_R,Rectus_R,Thal_MDm_L,Thal_MDm_R,Cuneus_L,Amygdala_L,Insula_L,Putamen_R,Cingulate_Mid_L,Frontal_Inf_Tri_R,Heschl_R,ACC_pre_R,Precentral_L,Vermis_9,Occipital_Sup_R,Cerebellum_8_R,Cerebellum_6_L
Thal_VPL_R,1.0,0.2389646933293818,0.1460702687317566,0.1436918793291736,0.5878748802604254,0.3846453422936022,0.2736164574017956,-0.019653144582055766,0.05354816201340751,0.23094398389258472,0.4787322345404514,0.29173400569565705,0.4065534587432416,0.1130946301388149,-0.01571774330869671,0.6462700621643092,0.5497544538574198,0.38500577011071196,-0.05093957403726372,0.5220558076765243,0.223074307439874,0.6795774512760795,0.23482382851173453,0.7706661124995551,0.2791395582095319,0.26397499306127237,0.6076810929216737,0.7040358137143553,0.6231249650360127,0.21616564518357434,0.3700502475041986,0.632061455972005,0.1905323883785298,0.6226425436096704,0.5078116722957833,0.3593944137707255,0.7494735990656048,0.6172637103572906,0.6098566641187753,0.508014079559479,0.2634351587707579,-0.008346527974330593,0.43651975261213727,0.5279320207155929,0.5299466727428628,0.15788010248148374,0.2927765183654235,0.34972337976185625,0.459959695482566,-0.2777783041733796,0.8074682935072295,0.35811625485622,0.2892950877327924,-0.1492701842468503,0.3952476385252372,0.431815043481602,0.7095740441905282,0.5510366336696969,0.6397246051843319,0.31248855989706037,0.49531994842391963,0.32492703379427706,0.17193205162167366,0.3571343157654068,0.17734078557845176
Raphe_M,0.2389646933293818,1.0,0.07239543397855266,-0.4885588235068133,0.589468169547505,0.10923409807995968,0.007004489829000867,-0.3079368465402996,0.06645623235612132,0.5210898306138267,0.6068060949671159,0.22906869421772533,0.36208174220575634,0.14389323301470017,0.14820318492334608,-0.13788911720187522,0.3771186066506628,0.30266932113014083,-0.23983468656379792,-0.04549878536363663,0.21681993321124263,0.1859444292675576,0.3002094584708428,0.3661324733146777,-0.07571153120349793,0.2375435387692696,0.4897659940172674,0.06820987067781287,0.29674280161970074,0.04864880035328582,0.3019129091478557,0.13564753702793117,0.37393226101527643,0.4161746517595844,0.10092388791432932,0.5716593910857644,0.3018046122207547,0.27608124289003905,0.1315998187104311,0.3101267747229138,0.40019840627805375,0.3859831203031473,0.3940827286783601,0.42987761112129685,0.44962548925991747,-0.15105728226364626,0.6584653144558604,0.04552135643676432,0.6553008838473972,-0.13337966993781097,0.23539528400802484,-0.04495466433245264,0.4964561111351142,-0.01851989255592331,0.5185648669986889,0.293621500017008,0.38071124047914423,0.1680344073359583,0.2409870719794966,-0.019102996629542165,0.27990584838151933,0.23067805325788765,0.6005496105360421,0.3488064812196911,0.4274779622393436
Cerebellum_7b_L,0.1460702687317566,0.07239543397855266,1.0,0.3625166645607382,0.15511205327273803,0.11415241031606678,-0.29221681966115953,0.2233904898649418,0.4900597497136879,0.3792340031812888,0.3841820095108389,0.11404394608539216,0.07347688040185635,-0.2081160564374627,0.23644160804229547,0.14771112079990067,0.2908650303976277,0.2101732730079393,-0.23927552337236746,-0.004777244624346447,0.4666955226001811,0.2726457466041132,-0.12337716565213308,0.06576782880793415,0.8061860964695385,-0.2154075122800945,0.3841065584160213,0.3775635968998465,0.03968988724577865,-0.07810426170170925,0.39410073716302596,0.1774793815812355,0.2904145883910483,0.34245582158944965,0.331812266196043,0.43168736468678026,0.17485672979116632,-0.1721050868126703,0.02171606709082765,0.40604970002338947,0.12155627311199092,-0.15226575644320728,0.06166365336043385,0.08025203084811466,0.43310370468842235,-0.07398454560630763,-0.1264906244710273,-0.040089645894605765,0.04573498910181879,0.22275589866565026,0.14216401967028297,0.2909082863691874,0.08474573287214142,0.1415268648514078,0.09518525024238465,0.2559813084600147,0.3718780197283288,0.19349507965684723,0.3687370795921507,-0.2914173286642026,0.27080917367191726,0.23099505732444942,0.018137141667035964,0.7329185698285651,-0.24394744337173876
Vermis_7,0.1436918793291736,-0.4885588235068133,0.3625166645607382,1.0,-0.4944031597384792,0.23608221361406026,-0.0037884971993833757,0.6311277045668244,0.2820990855434372,-0.35756559620017686,-0.4016487264269025,-0.05336634374946619,-0.35750966432298836,-0.17137123310863137,0.1074745685217741,0.3128503397236048,0.005421007666586229,-0.06162654387726614,0.1568727501647589,0.1865811167225224,0.18759911527521259,0.08673829534630735,-0.07915736158542692,-0.03702622608126892,0.45896774457489636,-0.09997935396268087,-0.016990428946669054,0.3319655396685645,0.045217882226514364,0.1902313813370811,0.1589025605291418,0.11231328520014605,-0.3210622154723029,0.047751030544864785,0.47764435441825415,-0.35177408774517865,0.10529198022388658,-0.14661043575945898,0.1289883570619161,0.12936856081433756,-0.11098457150238294,-0.5739893705755319,-0.3721282529953958,0.023183045903001843,0.013254743052022266,0.10230868219690745,-0.786825666220763,0.13035238765693935,-0.592730705687618,-0.04649763858359712,0.1419072093835264,0.2142199626841876,-0.5036680160800889,0.086338870386843,-0.26945112697120543,0.03815390846358883,0.13159736414669854,0.27254169965660746,0.2439283121479356,0.007275523251247976,0.07053444456298996,0.1845902682729045,-0.6452995760129503,0.049968872868306084,-0.5632176063118903
Cerebellum_4_5_L,0.5878748802604254,0.589468169547505,0.15511205327273803,-0.4944031597384792,1.0,0.10318563769318549,0.05124463494896477,-0.44203546541900385,0.014849356585802458,0.6182632573424459,0.873107322937321,0.23008493005724664,0.7056712783462848,0.2679655853385741,-0.05590572120434315,0.2693112883844745,0.5111742796843056,0.4983386598423422,-0.319960168104005,0.37540668450483644,0.24576586575356724,0.45615198948025953,0.197810442488637,0.5835068283107542,0.11961854961508751,0.2085834632082601,0.7236202629208691,0.42643182225728066,0.4078050427601453,0.037055071745108796,0.3548943288520927,0.5062309949367306,0.4947804898434712,0.614018280961882,0.1137535583763234,0.7539328249880216,0.5692152864528006,0.5422429529931097,0.31045288304755375,0.4811733295562506,0.3244779631377978,0.4312225545623047,0.7111002131863599,0.32215971637360785,0.5979857608769945,0.03274761001667822,0.8525744597603756,0.15715548659385745,0.9025327661431757,-0.0873876491053074,0.5030743508666391,0.17253713473101556,0.7965252343159682,-0.10528843931291229,0.4937503373010261,0.32360276216477907,0.6895504176230206,0.21857969373253108,0.39876714123482526,0.03780715702281254,0.39328016507143143,0.15001210388641517,0.6967780813042489,0.5048577479609754,0.6103435064182686
Frontal_Inf_Oper_R,0.3846453422936022,0.10923409807995968,0.11415241031606678,0.23608221361406026,0.10318563769318549,1.0,0.750563920673751,0.17196540840445423,0.43430957514287394,0.23001801806510783,0.09046053100004539,0.4773533496171972,0.23116202980121447,0.34426557284099557,-0.15958466196151644,0.23039988319473328,0.7246920121436504,0.21521331486370993,0.4722782455490604,0.009126211892429343,0.24379672965613713,0.3855216812376154,0.36745130570925355,0.23309959541194653,0.2646332169377987,0.6864545687970276,0.4082093037925652,0.32444708030785685,0.7608827818412106,0.1862901935787086,0.375159040071541,0.3210540457115971,-0.25054021078991945,0.06979335514233599,0.5363934433414427,0.10780946778309415,0.7014746903565665,0.3148241705727449,0.315743317645913,0.3369725386076857,0.5571952769761144,-0.047398450782698234,0.2365920426688818,0.37264265014060194,0.5174011811294085,0.15504126924790043,0.08013345300051795,0.380404010690064,-0.03199561816022783,-0.09086366185275258,0.5301019564181285,0.3282029737946326,-0.06664152096909097,-0.13089711313509636,0.6165422517167295,0.7611237171465282,0.33812653643187496,0.9165674913426035,0.5939302104887139,0.6144390482413438,0.7987321569853871,0.3220668442838148,0.08571320729685233,0.032986250260545164,0.05658791402035755
Frontal_Sup_Medial_R,0.2736164574017956,0.007004489829000867,-0.29221681966115953,-0.0037884971993833757,0.05124463494896477,0.750563920673751,1.0,-0.05079594502161071,0.05076055602570436,0.0905955176990104,-0.13201200958601778,0.4847982804937355,0.2607473789733775,0.43779759130259066,-0.18801380130161524,0.1667932906794573,0.5157211052834303,0.08059145532064489,0.6443429330446473,-0.04104892450296183,0.002066777705911592,0.28847205546263577,0.4882800565397689,0.20669700665507915,-0.10043105420419818,0.799328218107036,0.1446753194652842,0.12347220881158028,0.6459928842926814,0.16835426538394338,0.11100486668052816,0.2562786433643931,-0.2654269765443387,-0.06976340122645266,0.18429626777911484,-0.1179307652081063,0.5863230389912831,0.28121611542448605,0.1651615470316231,0.16943700193935538,0.43175504097189854,0.08352411773003908,0.2289051697193273,0.22236950440823153,0.2212936363133419,0.19748602179923114,0.18023840859644027,0.40073071681953376,-0.02980713977515614,-0.012780229337027564,0.38237195881295516,0.32429892201523786,-0.11078657199112453,-0.19096584958866802,0.5990311132595986,0.6187097806999777,0.06384534722650022,0.6635600967873807,0.3056628580071274,0.8003202505222624,0.593419386100178,-0.012668576944977923,0.10870651412104691,-0.2977260432676371,0.16424999165197615
Vermis_6,-0.019653144582055766,-0.3079368465402996,0.2233904898649418,0.6311277045668244,-0.44203546541900385,0.17196540840445423,-0.05079594502161071,1.0,0.21879266428445598,-0.32813721139260255,-0.32039000347230195,0.036913127365825915,-0.2553577988003594,-0.12714443191824984,0.04881548959224806,0.06717058068049361,-0.06645571681681144,-0.155600124434642,0.08718842058185933,-0.041447254887075645,0.029902398899536272,0.05350142975777431,-0.09518251308717146,-0.05969320700172812,0.28712441047835074,-0.09548444822230175,-0.14372893531380296,0.17621997901223277,-0.021938833035263196,0.0940954758240612,7.786811724216087e-05,-0.04746799100105382,-0.2742267834647978,-0.05147000863712826,0.2731932993725154,-0.2556686208403812,-0.028946886353634335,-0.2075338429954505,0.08823620294899942,-0.0869085046683344,-0.05916809934633538,-0.48770317342232444,-0.29249456035717386,-0.000731498393547293,-0.08332340894826838,0.046133663794930904,-0.5980620204142604,0.06961541158639709,-0.5093367092765917,-0.023771454913288678,0.056427009098629875,0.041387379795208436,-0.40333662813935806,0.038562085869594455,-0.18002546930191937,0.08054163730187411,-0.015944029896226154,0.1542092168830329,0.14531353681012646,-0.019332523667081724,-0.010814322108279286,0.20335125109151708,-0.5319847449403275,0.0074300200052960196,-0.49345272260272627
Cerebellum_10_R,0.05354816201340751,0.06645623235612132,0.4900597497136879,0.2820990855434372,0.014849356585802458,0.43430957514287394,0.05076055602570436,0.21879266428445598,1.0,0.35762779445113846,0.2636872502424611,0.31224596080750755,0.18251830260250318,0.03464028323310231,0.11417979224850865,-0.1219178681650802,0.27364361709575724,0.2161466398677828,0.09306876823577603,0.0539989831961274,0.32665897830283447,0.0820021697999831,-0.09758324387128457,-0.1447045551188305,0.5126250297817814,0.12833610730554967,0.28469811296952646,0.17494966639844026,0.13420168158333057,-0.17351168224709723,0.27716185081820977,0.22832192472367974,-0.11315059782696876,0.04791951701618958,0.32617655059061434,0.214081476349666,0.24821205291929824,-0.030995879402528407,0.10000113816504962,0.4158855800641249,0.4003671307071404,-0.11129991124605539,0.08885682016990751,0.16729801264950453,0.39454469171390594,-0.23204388005268872,-0.049144769521635316,-0.023673262862971608,-0.08367362489394899,-0.010079485921193124,0.21150981348085926,-0.0979816160208808,0.06408907409516078,0.1843347313704627,0.29448286258833334,0.3726811265210303,0.20540105358254182,0.3784178892530189,0.3214685132294451,-0.10834256598413736,0.29249669373997056,-0.011934753098382026,0.09881658206639385,0.4471446766024601,-0.13220491170238233
Angular_R,0.23094398389258472,0.5210898306138267,0.3792340031812888,-0.35756559620017686,0.6182632573424459,0.23001801806510783,0.0905955176990104,-0.32813721139260255,0.35762779445113846,1.0,0.686219291321177,0.22405762876720273,0.4253025232606639,0.15406025740617477,0.13709305146129191,-0.06612342735550265,0.5663080747720878,0.40171043518512145,-0.20891303940384226,-0.0486481284069672,0.7240108712262705,0.19738438360804433,0.1714122719811788,0.09946609265039084,0.32811574821808714,0.19363582553937037,0.6986645554116977,-0.013825842342626838,0.35879296471347927,-0.19858297526619714,0.6956312897908629,0.18996497694428366,0.5321604817249899,0.3165209016340329,0.038689874307033544,0.6456643758828144,0.44625430719972053,0.13378005892931144,-0.053358623101121695,0.36287295124271157,0.40701677335298136,0.6963844027758674,0.33519599454156207,0.244075126827025,0.7975308320962791,-0.1885240050962129,0.6671177421237869,-0.09990896195115721,0.6436513204521342,0.08788962316523333,0.24374520435323851,0.016617561672322242,0.6733482572930469,0.10129539941509395,0.5655131174532504,0.33894265257748385,0.44542573656061185,0.28955410356463396,0.2908162310830269,-0.12663246786288654,0.5177041886398307,-0.06705337544550119,0.8739108489562636,0.5682598957920426,0.5570198922547769
